number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	451	501
0	TrialState.COMPLETE	0.3429761497204154	2020-01-21 02:05:37.794356	2020-01-21 02:32:23.642978	8.52832436358348	250.0	1	46.0	0.0023535197873135617	900.0	0.0421743185613987	0.12809540111833848	0.3429761497204154	0.2159006618737875	0.265683841150291	291.0566515462741	0.20019406845387985	0.12809540111833848	0.3429761497204154	0.2159006618737875	0.265683841150291	291.05576001369394	0.20019484630515114	0.12809540111833848	0.3429761497204154	0.2159006618737875	0.265683841150291	291.0575430788543	0.20019353178400495	0	0.34511582791281525	0.34368937578454867						
1	TrialState.COMPLETE	0.1916695195709232	2020-01-21 02:32:23.643875	2020-01-21 03:09:18.947424	4.900041015402583	350.0	1	16.0	0.007870857934429293	1600.0	0.11714533560713693	0.05082163642588155	0.1916695195709232	0.09941800753166724	0.12841492639507018	822.1200701814447	0.09859592197092405	0.05082163642588155	0.1916695195709232	0.09941800753166724	0.12841492639507018	822.1187664041995	0.09859617806305902	0.05082163642588155	0.1916695195709232	0.09941800753166724	0.12841492639507018	822.1213739586899	0.09859568369053098	1		0.19728783902012248	0.19377638936437294					
2	TrialState.COMPLETE	0.05918349880178021	2020-01-21 03:09:18.948320	2020-01-21 03:30:04.227005	8.694741665514252	250.0	2	1.0	0.06553676642030823	1000.0	0.47009589883071984	0.00686836699760356	0.05918349880178021	0.020227091178820038	0.03244465365742326	3332.7971014492755	0.026159585666093825	0.0069111605614515575	0.059518715051922855	0.020462455779984023	0.03285119251397923	3332.7057015291566	0.026282468889815204	0.00686836699760356	0.05910504393472555	0.02021282665753737	0.032416124614857926	3332.888501369394	0.026065308706120068	2	0.06516033321921716	0.06117577694092586						
3	TrialState.COMPLETE	0.2147951614743809	2020-01-21 03:30:04.227891	2020-01-21 03:56:52.815963	8.752021239234645	250.0	2	41.0	0.00972330485982713	900.0	0.1110920671659371	0.06953240899235422	0.2147951614743809	0.12425824489330138	0.15805802807257788	780.1285625641904	0.11841035420508728	0.06953240899235422	0.2147951614743809	0.12425824489330138	0.15805802807257788	780.1283093689376	0.11841178335791508	0.06953240899235422	0.2147951614743809	0.12425824489330138	0.15805802807257788	780.1288157594431	0.11840940058263506	3	0.2204724409448819	0.2166875879645479						
4	TrialState.COMPLETE	0.23209089352961315	2020-01-21 03:56:52.816830	2020-01-21 04:29:59.393584	8.511181383829832	450.0	2	46.0	0.0022534084333728265	1600.0	0.08269137343244587	0.07610122104302179	0.23209089352961315	0.13823034348967247	0.17347084331849824	577.0264927821522	0.12944508889663392	0.07610122104302179	0.23209089352961315	0.13823034348967247	0.17347084331849824	577.0263537030697	0.12944510049995459	0.07610122104302179	0.23209089352961315	0.13823034348967247	0.17347084331849824	577.0266318612347	0.12944507779341285	4	0.2353788656852676	0.23318688424816464						
5	TrialState.COMPLETE	0.13524192628095402	2020-01-21 04:29:59.394478	2020-01-21 04:51:08.689069	9.348023453856017	350.0	2	1.0	0.012997207454713547	1000.0	0.2848433571894391	0.04476920004564647	0.13524192628095402	0.07779869907565902	0.09958062307428962	2012.6629578911331	0.0762697252086802	0.04476920004564647	0.13524192628095402	0.07779869907565902	0.09958062307428962	2012.6599124158392	0.07626997824428076	0.04476920004564647	0.13524192628095402	0.07779869907565902	0.09958062307428962	2012.666003366427	0.07626949487636443	5	0.13748145612233253	0.13598843622808018						
6	TrialState.COMPLETE	0.2078055460458747	2020-01-21 04:51:08.689945	2020-01-21 05:15:42.334177	9.09875042613871	350.0	2	11.0	0.005277937112546371	1800.0	0.09992974098547958	0.06580223667693712	0.2078055460458747	0.11982911103503366	0.15127524820267033	700.095151489216	0.11411776285089185	0.06580223667693712	0.2078055460458747	0.11982911103503366	0.15127524820267033	700.0949874472212	0.11411776629004446	0.06580223667693712	0.2078055460458747	0.11982911103503366	0.15127524820267033	700.0953155312108	0.11411775948839917	6	0.2115143215793678	0.20904180455703908						
7	TrialState.COMPLETE	0.19120164327285177	2020-01-21 05:15:42.335093	2020-01-21 05:38:19.082730	2.50621486123768	150.0	2	6.0	0.009917314914544367	900.0	0.11264116583678009	0.05656595914641105	0.19120164327285177	0.10520084445965994	0.13719616569667922	790.9062678306516	0.10228648283016618	0.05656595914641105	0.19120164327285177	0.10520084445965994	0.13719616569667922	790.9060467305717	0.10228649590213508	0.05656595914641105	0.19120164327285177	0.10520084445965994	0.13719616569667922	790.9064889307315	0.10228647012866755	7	0.19100193997489445	0.19113507550686598						
8	TrialState.COMPLETE	0.23278272281182244	2020-01-21 05:38:19.083606	2020-01-21 06:03:04.549911	5.972815560566133	150.0	2	36.0	0.001992397645294759	1200.0	0.07492452347036771	0.07767745064475637	0.23278272281182244	0.13923599224010041	0.17406282095172887	521.2240385712655	0.1313417789128593	0.07767745064475637	0.23278272281182244	0.13923599224010041	0.17406282095172887	521.2238816615314	0.13134178136404523	0.07767745064475637	0.23278272281182244	0.13923599224010041	0.17406282095172887	521.2241954809997	0.13134177648364975	8	0.2442086043592377	0.23659134999429418						
