number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.14185393258426968	2020-05-23 21:27:21.177288	2020-05-23 22:43:55.026987	256	0.33892665189165655	450	56	128	0.8158421443552057	0.020131086142322098	0.14185393258426968	0.04307116104868914	0.06601123595505617	39.17462546816479	0.07177967750581922	0.020131086142322098	0.14185393258426968	0.04307116104868914	0.06601123595505617	39.17462546816479	0.07177967750581922	864067843	350.0	0.020131086142322098	0.14185393258426968	0.04307116104868914	0.06601123595505617	39.17462546816479	0.07177967750581922	0	COMPLETE
1	0.11891385767790262	2020-05-23 22:43:55.041716	2020-05-23 22:51:42.875179	64	0.33416405025313456	100	62	128	0.9475686985324399	0.009831460674157303	0.11891385767790262	0.03089887640449438	0.05945692883895131	45.691947565543074	0.05647443172439859	0.009831460674157303	0.11891385767790262	0.03089887640449438	0.05945692883895131	45.691947565543074	0.05647443172439859	2713476697	350.0	0.009831460674157303	0.11891385767790262	0.03089887640449438	0.05945692883895131	45.691947565543074	0.05647443172439859	1	COMPLETE
2	0.846441947565543	2020-05-23 22:51:42.885897	2020-05-23 23:24:30.174061	64	0.3465157144443487	500	22	128	0.1261175951889057	0.21816479400749064	0.846441947565543	0.47331460674157305	0.6301498127340824	6.110955056179775	0.40338909215834307	0.21816479400749064	0.846441947565543	0.47331460674157305	0.6301498127340824	6.110955056179775	0.40338909215834307	1505981470		0.21816479400749064	0.846441947565543	0.47331460674157305	0.6301498127340824	6.110955056179775	0.40338909215834307	2	COMPLETE
3	0.12780898876404495	2020-05-23 23:24:30.189225	2020-05-23 23:43:24.030042	64	0.13162958993545537	500	55	256	0.9204064148342174	0.01638576779026217	0.12780898876404495	0.042134831460674156	0.06694756554307116	44.39466292134831	0.06550295968630461	0.01638576779026217	0.12780898876404495	0.042134831460674156	0.06694756554307116	44.39466292134831	0.06550295968630461	1247636363	350.0	0.01638576779026217	0.12780898876404495	0.042134831460674156	0.06694756554307116	44.39466292134831	0.06550295968630461	3	COMPLETE
4	0.7846441947565543	2020-05-23 23:43:24.043184	2020-05-24 00:03:52.218309	256	0.13284403745493445	350	5	256	0.15140178918660607	0.175561797752809	0.7846441947565543	0.4241573033707865	0.5795880149812734	7.293071161048689	0.3569970166124029	0.175561797752809	0.7846441947565543	0.4241573033707865	0.5795880149812734	7.293071161048689	0.3569970166124029	2600192093	950.0	0.175561797752809	0.7846441947565543	0.4241573033707865	0.5795880149812734	7.293071161048689	0.3569970166124029	4	COMPLETE
5	0.11282771535580524	2020-05-24 00:03:52.228254	2020-05-24 00:25:24.790179	128	0.36434141949087306	400	78	512	0.9499858811241313	0.009363295880149813	0.11282771535580524	0.031835205992509365	0.056179775280898875	45.7684925093633	0.05614026652160159	0.009363295880149813	0.11282771535580524	0.031835205992509365	0.056179775280898875	45.76825842696629	0.05614050623731793	3877392196	200.0	0.009363295880149813	0.11282771535580524	0.031835205992509365	0.056179775280898875	45.7687265917603	0.05614003429700139	5	COMPLETE
6	0.10486891385767791	2020-05-24 00:25:24.802227	2020-05-24 00:30:52.706530	128	0.17425567825351998	100	68	256	0.9768105034135659	0.010299625468164793	0.10486891385767791	0.03277153558052434	0.056179775280898875	47.120318352059925	0.05489370991150502	0.010299625468164793	0.10486891385767791	0.03277153558052434	0.056179775280898875	47.11985018726592	0.0548957433545497	3144940835	200.0	0.010299625468164793	0.10486891385767791	0.03277153558052434	0.056179775280898875	47.12078651685393	0.05489181707131223	6	COMPLETE
7	0.12172284644194757	2020-05-24 00:30:52.717080	2020-05-24 00:32:57.071856	64	0.34539406195514993	100	46	512	0.947168432383655	0.015917602996254682	0.12172284644194757	0.04260299625468165	0.06460674157303371	45.68539325842696	0.06322849671310515	0.015917602996254682	0.12172284644194757	0.04260299625468165	0.06460674157303371	45.68539325842696	0.06322849671310515	2042826588	200.0	0.015917602996254682	0.12172284644194757	0.04260299625468165	0.06460674157303371	45.68539325842696	0.06322849671310515	7	COMPLETE
8	0.16292134831460675	2020-05-24 00:32:57.083226	2020-05-24 00:46:57.832955	128	0.42744054066503423	150	32	128	0.8010188884682576	0.015917602996254682	0.16292134831460675	0.05337078651685393	0.08333333333333333	38.463951310861425	0.07574605197457518	0.015917602996254682	0.16292134831460675	0.05337078651685393	0.08333333333333333	38.463951310861425	0.07574605197457518	3497683456	500.0	0.015917602996254682	0.16292134831460675	0.05337078651685393	0.08333333333333333	38.463951310861425	0.07574605197457518	8	COMPLETE
9	0.13810861423220974	2020-05-24 00:46:57.845155	2020-05-24 00:58:13.967397	64	0.26793098192952225	50	87	128	0.8841721256723983	0.012640449438202247	0.13810861423220974	0.04073033707865169	0.07116104868913857	42.51615168539326	0.06491718594581787	0.012640449438202247	0.13810861423220974	0.04073033707865169	0.07116104868913857	42.515917602996254	0.06491723205679925	2669380346	550.0	0.012640449438202247	0.13810861423220974	0.04073033707865169	0.07116104868913857	42.51638576779026	0.06491714047526678	9	COMPLETE
10	0.11938202247191011	2020-05-24 00:58:13.977213	2020-05-24 01:19:28.840349	64	0.23385902474695208	450	84	512	0.9446279793360344	0.012640449438202247	0.11938202247191011	0.03838951310861423	0.06132958801498127	45.5812265917603	0.06001344322888475	0.012640449438202247	0.11938202247191011	0.03838951310861423	0.06132958801498127	45.5809925093633	0.06001790194120863	2189383150	300.0	0.012640449438202247	0.11938202247191011	0.03838951310861423	0.06132958801498127	45.581460674157306	0.06000954185560134	10	COMPLETE
11	0.12780898876404495	2020-05-24 01:19:28.852079	2020-05-24 01:32:42.645924	128	0.10896644109956055	250	46	256	0.8950475302833562	0.015917602996254682	0.12780898876404495	0.042134831460674156	0.06975655430711611	43.04307116104869	0.06554517203406593	0.015917602996254682	0.12780898876404495	0.042134831460674156	0.06975655430711611	43.04307116104869	0.06554517203406593	3407958219	300.0	0.015917602996254682	0.12780898876404495	0.042134831460674156	0.06975655430711611	43.04307116104869	0.06554517203406593	11	COMPLETE
12	0.11235955056179775	2020-05-24 01:32:42.657978	2020-05-24 02:34:35.769081	128	0.4106429283801628	500	100	256	0.955986996661795	0.010767790262172285	0.11235955056179775	0.03745318352059925	0.060393258426966294	46.07350187265918	0.058046050626794875	0.010767790262172285	0.11235955056179775	0.03745318352059925	0.060393258426966294	46.07350187265918	0.058046050626794875	3211868651	300.0	0.010767790262172285	0.11235955056179775	0.03745318352059925	0.060393258426966294	46.07350187265918	0.058046050626794875	12	COMPLETE
13	0.12359550561797752	2020-05-24 02:34:35.781263	2020-05-24 03:07:53.370899	128	0.2370340999903439	200	92	256	0.9061429616925394	0.01544943820224719	0.12359550561797752	0.03698501872659176	0.060861423220973786	43.576310861423224	0.06299566695180621	0.01544943820224719	0.12359550561797752	0.03698501872659176	0.060861423220973786	43.576310861423224	0.06299566695180621	3619359465	450.0	0.01544943820224719	0.12359550561797752	0.03698501872659176	0.060861423220973786	43.576310861423224	0.06299566695180621	13	COMPLETE
14	0.15870786516853932	2020-05-24 03:07:53.380679	2020-05-24 03:37:39.972094	256	0.20986829156636616	150	57	128	0.7974090311233275	0.0149812734082397	0.15870786516853932	0.04307116104868914	0.07911985018726592	38.234550561797754	0.0716274350621724	0.0149812734082397	0.15870786516853932	0.04307116104868914	0.07911985018726592	38.234550561797754	0.0716274350621724	2920505548	400.0	0.0149812734082397	0.15870786516853932	0.04307116104868914	0.07911985018726592	38.234550561797754	0.0716274350621724	14	COMPLETE
15	0.7649812734082397	2020-05-24 03:37:39.984140	2020-05-24 03:45:42.638609	64	0.16336634163898855	50	7	256	0.17263167972104407	0.14138576779026218	0.7649812734082397	0.36704119850187267	0.5126404494382022	8.323033707865168	0.31886545641833386	0.14138576779026218	0.7649812734082397	0.36704119850187267	0.5126404494382022	8.323033707865168	0.31886545641833386	630421585		0.14138576779026218	0.7649812734082397	0.36704119850187267	0.5126404494382022	8.323033707865168	0.31886545641833386	15	COMPLETE
16	0.10767790262172285	2020-05-24 03:45:42.649389	2020-05-24 04:15:33.820721	128	0.2846006875062688	300	85	128	0.9380438543318976	0.009831460674157303	0.10767790262172285	0.02762172284644195	0.05149812734082397	45.16807116104869	0.05415463027870264	0.009831460674157303	0.10767790262172285	0.02762172284644195	0.05149812734082397	45.16807116104869	0.05415463027870264	609914950	300.0	0.009831460674157303	0.10767790262172285	0.02762172284644195	0.05149812734082397	45.16807116104869	0.05415463027870264	16	COMPLETE
17	0.10580524344569288	2020-05-24 04:15:33.833008	2020-05-24 04:25:29.273894	128	0.43598755224650454	100	99	256	0.9465805928925687	0.011704119850187267	0.10580524344569288	0.024812734082397005	0.04915730337078652	45.62078651685393	0.054565982340458764	0.011704119850187267	0.10580524344569288	0.024812734082397005	0.04915730337078652	45.62078651685393	0.054565982340458764	3758319748	250.0	0.011704119850187267	0.10580524344569288	0.024812734082397005	0.04915730337078652	45.62078651685393	0.054565982340458764	17	COMPLETE
18	0.11750936329588015	2020-05-24 04:25:29.285926	2020-05-24 04:30:01.546163	64	0.32540001089763515	50	41	256	0.9392559407261455	0.008426966292134831	0.11750936329588015	0.03745318352059925	0.06460674157303371	45.271067415730336	0.05748477460872044	0.008426966292134831	0.11750936329588015	0.03745318352059925	0.06460674157303371	45.271067415730336	0.05748477460872044	4240428978	450.0	0.008426966292134831	0.11750936329588015	0.03745318352059925	0.06460674157303371	45.271067415730336	0.05748477460872044	18	COMPLETE
19	0.11329588014981273	2020-05-24 04:30:01.558221	2020-05-24 04:37:35.442608	64	0.3428772376081146	100	82	512	0.9743169025476143	0.007958801498127341	0.11329588014981273	0.026685393258426966	0.05337078651685393	47.0564138576779	0.052723191545327557	0.007958801498127341	0.11329588014981273	0.026685393258426966	0.05337078651685393	47.056179775280896	0.05272397837691412	819039743	400.0	0.007958801498127341	0.11329588014981273	0.026685393258426966	0.05337078651685393	47.0566479400749	0.05272244842660691	19	COMPLETE
20	0.1352996254681648	2020-05-24 04:37:35.453255	2020-05-24 04:52:24.771394	128	0.21557522193544312	50	95	128	0.8901898209398006	0.008426966292134831	0.1352996254681648	0.03885767790262172	0.07209737827715355	42.81554307116105	0.061415871804497195	0.008426966292134831	0.1352996254681648	0.03885767790262172	0.07209737827715355	42.81554307116105	0.061415871804497195	3255238450	500.0	0.008426966292134831	0.1352996254681648	0.03885767790262172	0.07209737827715355	42.81554307116105	0.061415871804497195	20	COMPLETE
