number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	651	701
0	TrialState.COMPLETE	0.0009295325779036828	2019-12-26 20:21:09.615062	2019-12-26 20:33:53.967949	450.0	2	61.0	0.08954658061785624	1000.0	0.9986202040708606	0.000708215297450425	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	20245.550991501415	0.0009800918684282824	0.000708215297450425	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	20245.48853576487	0.0009800956510268432	0.000708215297450425	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	20245.61344723796	0.0009800881184489126	0	0.0009737960339943342	0.0009442870632672333					
1	TrialState.COMPLETE	0.0009737960339943342	2019-12-26 20:33:53.968930	2019-12-26 20:42:56.540046	250.0	1	81.0	0.00391109553676038	1600.0	0.9890690268656335	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000708215297450425	20051.609662712464	0.0009690022867825243	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000708215297450425	20051.592820467424	0.0009690027556096909	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000708215297450425	20051.62650495751	0.000969001818809206	1	0.0008852691218130312	0.0009442870632672333					
2	TrialState.COMPLETE	0.0012393767705382436	2019-12-26 20:42:56.541038	2019-12-26 20:53:09.409486	350.0	2	11.0	0.018489566259787357	1800.0	0.9792749160647491	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.001106586402266289	19852.878209100567	0.001038542702349586	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.001106586402266289	19852.84578611898	0.0010385431983467117	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.001106586402266289	19852.910632082152	0.0010385422066059053	2	0.0012393767705382436	0.0012393767705382436					
3	TrialState.COMPLETE	0.000796742209631728	2019-12-26 20:53:09.410499	2019-12-26 21:02:05.158629	350.0	2	1.0	0.0012593062957440599	900.0	1.0015931621102534	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.0007524787535410764	20305.370573654393	0.0009399256626382927	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.0007524787535410764	20305.351407577902	0.0009399258036486257	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.0007524787535410764	20305.38973973088	0.0009399255216632366	3	0.0008852691218130312	0.0008262511803588291					
4	TrialState.COMPLETE	0.0056952313503305	2019-12-26 21:02:05.159542	2019-12-26 21:22:39.918678	450.0	2	1.0	0.010120313615716426	1300.0	0.9403949021774266	0.000708215297450425	0.0056952313503305	0.004957507082152974	0.0054591595845136925	19064.669956916903	0.0032040848826609134	0.000708215297450425	0.0056952313503305	0.004957507082152974	0.0054591595845136925	19064.6472792729	0.003204085166325479	0.000708215297450425	0.0056952313503305	0.004957507082152974	0.0054591595845136925	19064.692634560906	0.0032040845991760654	4			0.0042935552407932015	0.005134560906515581			
5	TrialState.COMPLETE	0.0012393767705382436	2019-12-26 21:22:39.919625	2019-12-26 21:30:19.110269	150.0	2	31.0	0.0014056817584651474	1700.0	1.0043353502033243	0.000708215297450425	0.0012393767705382436	0.0008410056657223796	0.0010623229461756375	20361.301943165723	0.0010654499816855091	0.000708215297450425	0.0012393767705382436	0.0008410056657223796	0.0010623229461756375	20361.283374645893	0.0010654502143374192	0.000708215297450425	0.0012393767705382436	0.0008410056657223796	0.0010623229461756375	20361.320511685553	0.001065449749168312	5	0.0012393767705382436	0.0012393767705382436					
6	TrialState.COMPLETE	0.0008410056657223796	2019-12-26 21:30:19.111234	2019-12-26 21:41:57.952547	450.0	2	21.0	0.0037601173155029175	900.0	1.0105890887169156	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20488.124800814447	0.000951710591537094	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20488.09034171388	0.0009517119016329397	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20488.159259915014	0.000951709284689193	6	0.000796742209631728	0.0008262511803588291					
7	TrialState.COMPLETE	0.0010623229461756375	2019-12-26 21:41:57.953536	2019-12-26 21:53:44.345436	450.0	2	31.0	0.055152267095449285	1500.0	0.9943088291037238	0.000708215297450425	0.0010623229461756375	0.0008410056657223796	0.0008410056657223796	20157.710185021246	0.0010373853677434436	0.000708215297450425	0.0010623229461756375	0.0008410056657223796	0.0008410056657223796	20157.673070113313	0.0010373867484886827	0.000708215297450425	0.0010623229461756375	0.0008410056657223796	0.0008410056657223796	20157.74729992918	0.0010373839899654603	7	0.0008852691218130312	0.0010033050047214354					
8	TrialState.COMPLETE	0.31769933669591655	2019-12-26 21:53:44.346408	2019-12-27 01:11:11.888448	350.0	1	31.0	0.09336677733222677	2000.0	0.40050395960396035	0.0007816278587715055	0.31769933669591655	0.21281437849789261	0.27236492088716924	8117.096919695295	0.11852712620965836	0.0007816278587715055	0.31769933669591655	0.21281437849789261	0.27236492088716924	8117.0881857596905	0.11852713547080176	0.0007816278587715055	0.31769933669591655	0.21281437849789261	0.27236492088716924	8117.105653630899	0.11852711730188703	8							
