searcher	dataset	create_inverse_triples	model	loss	regularizer	optimizer	training_loop	negative_sampler	model_bytes	replicate	training_time	evaluation_time	hits@10
random	fb15k237	False	complex	bceaftersigmoid	no	adam	lcwa		7547904	0	7188.183634519577	11.36982774734497	0.26949799393287016
random	fb15k237	False	complex	bceaftersigmoid	no	adam	owa	basic	30191616	0	1767.3417921066284	25.002039194107056	0.3425726587728741
random	fb15k237	False	complex	bceaftersigmoid	no	adam	owa	basic	30191616	1	1768.2450168132782	25.007310152053833	0.3433555142381838
random	fb15k237	False	complex	bceaftersigmoid	no	adam	owa	basic	30191616	2	1768.669150352478	25.03045392036438	0.34125159017516393
random	fb15k237	False	complex	bceaftersigmoid	no	adam	owa	basic	30191616	3	1767.0044662952423	25.337275981903076	0.3388540953126529
random	fb15k237	False	complex	crossentropy	no	adam	lcwa		30191616	0	23830.31639814377	24.747159719467163	0.387855954594383
random	fb15k237	False	complex	marginranking	no	adam	owa	basic	30191616	0	10850.023889303207	25.057521104812622	0.2964086505528917
random	fb15k237	False	complex	nssa	no	adam	owa	basic	7547904	0	1357.287006855011	10.366342544555664	0.2838340346413543
random	fb15k237	False	complex	nssa	no	adam	owa	basic	7547904	1	1357.9116940498352	10.37463665008545	0.2870143849691751
random	fb15k237	False	complex	nssa	no	adam	owa	basic	7547904	2	1357.3560121059418	10.37873101234436	0.283271357275663
random	fb15k237	False	complex	nssa	no	adam	owa	basic	7547904	3	1356.782978773117	10.379410982131958	0.2899500929640865
random	fb15k237	False	complex	softplus	no	adam	lcwa		30191616	0	19359.508174180984	25.195301294326782	0.2161170368920638
random	fb15k237	False	complex	softplus	no	adam	owa	basic	15095808	0	1865.608253955841	15.731222867965698	0.3192337802133281
random	fb15k237	False	complex	softplus	no	adam	owa	basic	15095808	1	1865.507518529892	15.76176643371582	0.3198943145121832
random	fb15k237	False	complex	softplus	no	adam	owa	basic	15095808	2	1863.0069241523743	15.738268613815308	0.32322145023974946
random	fb15k237	False	complex	softplus	no	adam	owa	basic	15095808	3	1862.9113643169403	15.729822158813477	0.3149280751541247
random	fb15k237	False	distmult	bceaftersigmoid	no	adam	lcwa		15095808	0	17605.338730335236	6.769082069396973	0.3330560720227028
random	fb15k237	False	distmult	bceaftersigmoid	no	adam	owa	basic	3773952	0	1909.0875885486603	4.553181886672974	0.31903806634700066
random	fb15k237	False	distmult	crossentropy	no	adam	lcwa		15095808	0	8305.452387332916	7.447181463241577	0.3907427341227126
random	fb15k237	False	distmult	marginranking	no	adam	owa	basic	15095808	0	6567.791584730148	36.461323499679565	0.3756238379489187
random	fb15k237	False	distmult	nssa	no	adam	owa	basic	3773952	0	3656.6232187747955	4.022655487060547	0.3355269595850866
random	fb15k237	False	distmult	softplus	no	adam	lcwa		15095808	0	12639.513858318329	6.374098300933838	0.32287895097367647
random	fb15k237	False	distmult	softplus	no	adam	owa	basic	15095808	0	11018.939592838287	6.7349512577056885	0.33520892455230455
random	fb15k237	False	ermlp	bceaftersigmoid	no	adam	lcwa		7745540	0	3666.4578161239624	6.40740442276001	0.2595655152167531
random	fb15k237	False	ermlp	bceaftersigmoid	no	adam	owa	basic	15884292	0	5696.082400083542	10.79626178741455	0.35544084548390253
random	fb15k237	False	ermlp	crossentropy	no	adam	lcwa		3823620	0	4274.275679588318	6.2858874797821045	0.27314316469321853
random	fb15k237	False	ermlp	marginranking	no	adam	owa	basic	3823620	0	1558.4106318950653	6.429379940032959	0.35478031118504744
random	fb15k237	False	ermlp	nssa	no	adam	owa	basic	15884292	0	3250.0352358818054	10.800911664962769	0.28948527253155887
random	fb15k237	False	ermlp	softplus	no	adam	lcwa		3823620	0	2628.1299760341644	6.401012420654297	0.2506605342988551
random	fb15k237	False	ermlp	softplus	no	adam	owa	basic	7745540	0	6642.520796298981	7.0792555809021	0.32818768959780803
random	fb15k237	False	hole	bceaftersigmoid	no	adam	lcwa		3773952	0	7442.549971818924	7.552634954452515	0.3766268715138468
random	fb15k237	False	hole	bceaftersigmoid	no	adam	owa	basic	15095808	0	2402.9019989967346	12.116491317749023	0.3449212251688032
random	fb15k237	False	hole	crossentropy	no	adam	lcwa		7547904	0	8967.133796691895	10.293328762054443	0.3191114590468735
random	fb15k237	False	hole	marginranking	no	adam	owa	basic	15095808	0	8806.031153202057	12.012256860733032	0.288066347000685
random	fb15k237	False	hole	nssa	no	adam	owa	basic	7547904	0	9611.7030813694	9.13510775566101	0.30367452784029747
random	fb15k237	False	hole	softplus	no	adam	lcwa		3773952	0	5538.145260810852	7.517987012863159	0.3214600254428026
random	fb15k237	False	hole	softplus	no	adam	owa	basic	7547904	0	2753.164149284363	9.117411851882935	0.33479303258635873
random	fb15k237	False	kg2e	bceaftersigmoid	no	adam	lcwa		30191616	0	16162.396436214447	19.17617654800415	0.0006360700655641452
random	fb15k237	False	kg2e	bceaftersigmoid	no	adam	owa	basic	7547904	0	1190.4393558502197	9.049330711364746	0.029503865348859966
