searcher	dataset	create_inverse_triples	model	loss	regularizer	optimizer	training_loop	negative_sampler	model_bytes	replicate	training_time	evaluation_time	hits@10
random	fb15k237	False	kg2e	crossentropy	no	adam	lcwa		7547904	0	9633.103514671326	9.763645648956299	0.21819649672179273
random	fb15k237	False	kg2e	marginranking	no	adam	owa	basic	7547904	0	3076.697736263275	9.990844488143921	0.36537332420001956
random	fb15k237	False	kg2e	nssa	no	adam	owa	basic	30191616	0	5684.477144956589	19.44055485725403	0.36331832860358154
random	fb15k237	False	kg2e	softplus	no	adam	lcwa		15095808	0	22831.340337753296	12.665493249893188	0.40248556610235836
random	fb15k237	False	kg2e	softplus	no	adam	owa	basic	15095808	0	3332.0436532497406	12.768280744552612	0.4046384186319601
random	fb15k237	False	ntn	bceaftersigmoid	no	adam	owa	basic	19738272	0	11511.360867738724	74.65965461730957	0.022213523828163224
random	fb15k237	False	ntn	crossentropy	no	adam	lcwa		70533024	0	108039.74072885513	222.66719889640808	0.18737156277522263
random	fb15k237	False	ntn	marginranking	no	adam	owa	basic	19738272	0	6688.963989496231	74.3993673324585	0.09563068793424014
random	fb15k237	False	ntn	nssa	no	adam	owa	basic	19738272	0	5123.7124218940735	76.59015250205994	0.0004892846658185732
random	fb15k237	False	ntn	softplus	no	adam	owa	basic	265314720	0	66693.94997644424	807.548401594162	0.194784225462374
random	fb15k237	False	proje	bceaftersigmoid	no	adam	lcwa		3774724	0	2907.9230074882507	6.414285898208618	0.30416381250611607
random	fb15k237	False	proje	bceaftersigmoid	no	adam	owa	basic	15098884	0	7412.7425417900085	7.635804891586304	0.28447010470691847
random	fb15k237	False	proje	crossentropy	no	adam	lcwa		7549444	0	2796.4962911605835	6.015604496002197	0.28385849887464526
random	fb15k237	False	proje	marginranking	no	adam	owa	basic	3774724	0	1268.9583535194397	6.475771903991699	0.31346022115666894
random	fb15k237	False	proje	nssa	no	adam	owa	basic	3774724	0	1757.9085867404938	6.456241846084595	0.26037283491535373
random	fb15k237	False	proje	softplus	no	adam	lcwa		3774724	0	2009.9320788383484	6.386395215988159	0.2309668264996575
random	fb15k237	False	proje	softplus	no	adam	owa	basic	3774724	0	9727.486415147781	6.467076063156128	0.28136314707897053
random	fb15k237	False	rescal	bceaftersigmoid	no	adam	lcwa		7596288	0	2737.2556178569794	6.673035383224487	0.26365104217633817
random	fb15k237	False	rescal	bceaftersigmoid	no	adam	owa	basic	7596288	0	2768.995229959488	6.71515965461731	0.2527889225951659
random	fb15k237	False	rescal	crossentropy	no	adam	lcwa		76981248	0	17073.68879055977	9.816121816635132	0.3599178001761425
random	fb15k237	False	rescal	marginranking	no	adam	owa	basic	22958592	0	16833.069543361664	6.596638202667236	0.3214110969762208
random	fb15k237	False	rescal	nssa	no	adam	owa	basic	7596288	0	1784.5409045219421	6.68062686920166	0.30563166650357176
random	fb15k237	False	rescal	softplus	no	adam	lcwa		7596288	0	2090.0824151039124	6.695935010910034	0.20266170858205304
random	fb15k237	False	rescal	softplus	no	adam	owa	basic	22958592	0	15731.962267398834	6.680705308914185	0.33589392308445054
random	fb15k237	False	rotate	bceaftersigmoid	no	adam	lcwa		30191616	0	14719.897562265396	10.412333726882935	0.45660045014189254
random	fb15k237	False	rotate	bceaftersigmoid	no	adam	owa	basic	7547904	0	1188.248785495758	7.862170696258545	0.3579606615128682
random	fb15k237	False	rotate	crossentropy	no	adam	lcwa		30191616	0	9639.602864027023	9.9310462474823	0.4166014287112242
random	fb15k237	False	rotate	marginranking	no	adam	owa	basic	30191616	0	1897.0969350337982	11.999144792556763	0.3961248654467169
random	fb15k237	False	rotate	nssa	no	adam	owa	basic	30191616	0	3134.7069098949432	11.954871654510498	0.48177414619825815
random	fb15k237	False	rotate	softplus	no	adam	lcwa		15095808	0	6952.8471159935	8.105713844299316	0.43661317154320384
random	fb15k237	False	rotate	softplus	no	adam	owa	basic	30191616	0	2784.3539185523987	11.933720588684082	0.3650552891672375
random	fb15k237	False	simple	bceaftersigmoid	no	adam	lcwa		30191616	0	22204.542215824127	9.89303994178772	0.22081416968392212
random	fb15k237	False	simple	bceaftersigmoid	no	adam	owa	basic	7547904	0	2674.503270626068	6.834700107574463	0.2711615617966533
random	fb15k237	False	simple	bceaftersigmoid	no	adam	owa	basic	7547904	1	2671.2919993400574	6.758183002471924	0.2761767296212937
random	fb15k237	False	simple	bceaftersigmoid	no	adam	owa	basic	7547904	2	2675.133948802948	6.757226943969727	0.26225658087875525
random	fb15k237	False	simple	bceaftersigmoid	no	adam	owa	basic	7547904	3	2678.000818014145	6.77269434928894	0.2666356786378315
random	fb15k237	False	simple	crossentropy	no	adam	lcwa		30191616	0	12082.93138718605	9.785815715789795	0.3065613073686271
random	fb15k237	False	simple	marginranking	no	adam	owa	basic	7547904	0	5894.551884174347	6.745694875717163	0.21034347783540464
random	fb15k237	False	simple	nssa	no	adam	owa	basic	7547904	0	2803.0813913345337	6.772720575332642	0.2940356199236716
random	fb15k237	False	simple	nssa	no	adam	owa	basic	7547904	1	2805.572356700897	6.7654948234558105	0.3023289950092964
random	fb15k237	False	simple	nssa	no	adam	owa	basic	7547904	2	2805.91326212883	6.758986473083496	0.2990752519816029
random	fb15k237	False	simple	nssa	no	adam	owa	basic	7547904	3	2804.311305999756	6.77528190612793	0.2936686564243077
random	fb15k237	False	simple	softplus	no	adam	lcwa		7547904	0	5125.89228105545	6.768266201019287	0.20119385458459732
random	fb15k237	False	simple	softplus	no	adam	owa	basic	30191616	0	1705.4147148132324	9.856528282165527	0.21758489088951952
random	fb15k237	False	simple	softplus	no	adam	owa	basic	30191616	1	1707.0982728004456	9.846660852432251	0.21902828065368432
random	fb15k237	False	simple	softplus	no	adam	owa	basic	30191616	2	1707.5629048347473	9.858384132385254	0.22296702221352382
random	fb15k237	False	simple	softplus	no	adam	owa	basic	30191616	3	1707.4267871379852	9.839462995529175	0.24315001467853997
random	fb15k237	False	transd	bceaftersigmoid	no	adam	lcwa		30191616	0	22077.50121498108	23.29249906539917	0.040317056463450435
random	fb15k237	False	transd	bceaftersigmoid	no	adam	owa	basic	29948928	0	3827.554517030716	15.132873773574829	0.2750758391232019
random	fb15k237	False	transd	bceaftersigmoid	no	adam	owa	basic	29948928	1	3828.4725954532623	15.310787677764893	0.27984636461493295
random	fb15k237	False	transd	bceaftersigmoid	no	adam	owa	basic	29948928	2	3830.0063123703003	15.186343431472778	0.28564438790488306
random	fb15k237	False	transd	bceaftersigmoid	no	adam	owa	basic	29948928	3	3826.9657282829285	15.182269811630249	0.27169977492905373
random	fb15k237	False	transd	crossentropy	no	adam	lcwa		7911936	0	53677.66646146774	26.612722635269165	0.2578530188863881
random	fb15k237	False	transd	crossentropy	no	adam	lcwa		7911936	1	53652.146322488785	28.09291100502014	0.25917408748409826
random	fb15k237	False	transd	crossentropy	no	adam	lcwa		7911936	2	53674.63124012947	25.872978687286377	0.26120461884724533
random	fb15k237	False	transd	crossentropy	no	adam	lcwa		7911936	3	53662.97553038597	25.88435649871826	0.2610089049809179
random	fb15k237	False	transd	marginranking	no	adam	owa	basic	7911936	0	3136.5237016677856	21.242235898971558	0.32950875819551817
random	fb15k237	False	transd	nssa	no	adam	owa	basic	29948928	0	4477.505712270737	15.186960220336914	0.2507339269987279
random	fb15k237	False	transd	nssa	no	adam	owa	basic	29948928	1	4477.710519552231	15.179076433181763	0.24809178980330757
random	fb15k237	False	transd	nssa	no	adam	owa	basic	29948928	2	4475.326032161713	15.17529034614563	0.2478716117036892
random	fb15k237	False	transd	nssa	no	adam	owa	basic	29948928	3	4475.603314161301	15.175024509429932	0.24562090224092378
random	fb15k237	False	transd	softplus	no	adam	lcwa		7669248	0	10831.853626012802	14.199814796447754	0.010274977982190039
random	fb15k237	False	transd	softplus	no	adam	owa	basic	7911936	0	7027.283107995987	21.629234790802002	0.27793815441824055
random	fb15k237	False	transd	softplus	no	adam	owa	basic	7911936	1	7046.690100908279	20.556949138641357	0.2913934827282513
random	fb15k237	False	transd	softplus	no	adam	owa	basic	7911936	2	7035.476252794266	20.55399227142334	0.2894118798316861
random	fb15k237	False	transd	softplus	no	adam	owa	basic	7911936	3	7046.1157813072205	20.549336194992065	0.28351599960857227
random	fb15k237	False	transe	bceaftersigmoid	no	adam	lcwa		7547904	0	5329.135202169418	5.6381754875183105	0.43125550445249045
random	fb15k237	False	transe	bceaftersigmoid	no	adam	lcwa		7547904	1	5321.888278007507	5.636244773864746	0.43191603875134554
random	fb15k237	False	transe	bceaftersigmoid	no	adam	lcwa		7547904	2	5316.795130252838	5.634159803390503	0.4307906840199628
random	fb15k237	False	transe	bceaftersigmoid	no	adam	lcwa		7547904	3	5312.585401535034	5.650542974472046	0.4311087190527449
random	fb15k237	False	transe	bceaftersigmoid	no	adam	owa	basic	3773952	0	2098.006827354431	6.251930236816406	0.2953322242880908
random	fb15k237	False	transe	bceaftersigmoid	no	adam	owa	basic	3773952	1	2097.3934795856476	6.251150846481323	0.2926656228593796
random	fb15k237	False	transe	bceaftersigmoid	no	adam	owa	basic	3773952	2	2097.773854970932	6.2605273723602295	0.29352187102456206
random	fb15k237	False	transe	bceaftersigmoid	no	adam	owa	basic	3773952	3	2098.2497906684875	6.256578207015991	0.2951120461884725
random	fb15k237	False	transe	crossentropy	no	adam	lcwa		15095808	0	8983.217092990875	6.750617742538452	0.33188178882473823
random	fb15k237	False	transe	marginranking	no	adam	owa	basic	7547904	0	1072.0691306591034	5.714874982833862	0.4412858401017712
random	fb15k237	False	transe	marginranking	no	adam	owa	basic	7547904	1	1074.3339757919312	5.730613946914673	0.4388149525393874
random	fb15k237	False	transe	marginranking	no	adam	owa	basic	7547904	2	1071.2440445423126	5.72882866859436	0.4374694197083863
random	fb15k237	False	transe	marginranking	no	adam	owa	basic	7547904	3	1073.2593705654144	5.729594469070435	0.43949995107153345
random	fb15k237	False	transe	nssa	no	adam	owa	basic	15095808	0	908.931205034256	6.7898547649383545	0.40155592523730305
random	fb15k237	False	transe	nssa	no	adam	owa	basic	15095808	1	909.3347318172455	6.817147254943848	0.4118064389862022
random	fb15k237	False	transe	nssa	no	adam	owa	basic	15095808	2	908.770512342453	6.810484409332275	0.40385556316665033
random	fb15k237	False	transe	nssa	no	adam	owa	basic	15095808	3	909.97602891922	6.819559097290039	0.40170271063704865
random	fb15k237	False	transe	softplus	no	adam	lcwa		3773952	0	3140.1390228271484	6.270824193954468	0.4377874547411684
random	fb15k237	False	transe	softplus	no	adam	lcwa		3773952	1	3130.6521747112274	6.248020172119141	0.43754281240825915
random	fb15k237	False	transe	softplus	no	adam	lcwa		3773952	2	3132.578099489212	6.265180587768555	0.4364174576768764
random	fb15k237	False	transe	softplus	no	adam	lcwa		3773952	3	3129.299040555954	6.251744747161865	0.43927977297191506
random	fb15k237	False	transe	softplus	no	adam	owa	basic	3773952	0	1355.106066942215	6.272480249404907	0.3387073099129073
random	fb15k237	False	transe	softplus	no	adam	owa	basic	3773952	1	1355.9846968650818	6.255282163619995	0.3366523143164693
random	fb15k237	False	transe	softplus	no	adam	owa	basic	3773952	2	1355.844131231308	6.256107330322266	0.34002837851061746
random	fb15k237	False	transe	softplus	no	adam	owa	basic	3773952	3	1354.7941126823425	7.7147886753082275	0.3377042763479793
random	fb15k237	False	transh	bceaftersigmoid	transh	adam	lcwa		15338496	0	16477.01111793518	12.726263284683228	0.1538066347000685
random	fb15k237	False	transh	bceaftersigmoid	transh	adam	owa	basic	7669248	0	7017.150232791901	8.986412525177002	0.26575496623935807
random	fb15k237	False	transh	bceaftersigmoid	transh	adam	owa	basic	7669248	1	7026.891040325165	8.995054960250854	0.2700606712985615
random	fb15k237	False	transh	bceaftersigmoid	transh	adam	owa	basic	7669248	2	7014.5089955329895	8.993829011917114	0.25902730208435265
random	fb15k237	False	transh	bceaftersigmoid	transh	adam	owa	basic	7669248	3	7008.2907083034515	8.998161554336548	0.2620364027791369
random	fb15k237	False	transh	crossentropy	transh	adam	lcwa		15338496	0	32965.58662867546	12.710880756378174	0.21352382816322538
random	fb15k237	False	transh	marginranking	transh	adam	owa	basic	3834624	0	1623.0371146202087	8.774799823760986	0.3372149916821607
random	fb15k237	False	transh	nssa	transh	adam	owa	basic	3834624	0	1286.8892455101013	8.765163660049438	0.2537919561600939
random	fb15k237	False	transh	softplus	transh	adam	lcwa		3834624	0	5948.264013767242	8.916685104370117	0.21374400626284373
random	fb15k237	False	transh	softplus	transh	adam	owa	basic	3834624	0	3605.6766180992126	8.770803928375244	0.2569233780213328
random	fb15k237	False	transh	softplus	transh	adam	owa	basic	3834624	1	3604.3756289482117	8.75700068473816	0.251712496330365
random	fb15k237	False	transh	softplus	transh	adam	owa	basic	3834624	2	3604.881142616272	9.075711011886597	0.2515657109306194
random	fb15k237	False	transh	softplus	transh	adam	owa	basic	3834624	3	3611.8085062503815	8.821453332901001	0.25662980722184164
random	fb15k237	False	transr	bceaftersigmoid	no	adam	lcwa		38733312	0	22784.33207631111	22.645020008087158	0.10262745865544574
random	fb15k237	False	transr	crossentropy	no	adam	lcwa		15253248	0	8255.010372161865	15.51133418083191	0.21164008219982386
random	fb15k237	False	transr	marginranking	no	adam	owa	basic	77223936	0	11324.620667219162	25.953038215637207	0.33934337997847147
random	fb15k237	False	transr	nssa	no	adam	owa	basic	11600640	0	7058.633569717407	13.9347984790802	0.07349055680594971
random	fb15k237	False	transr	softplus	no	adam	lcwa		15253248	0	10331.897162914276	11.657112836837769	0.09592425873373128
random	fb15k237	False	tucker	bceaftersigmoid	no	adam	lcwa		82204672	0	13618.23601770401	19.829957485198975	0.33533124571875916
random	fb15k237	False	tucker	crossentropy	no	adam	lcwa		31691008	0	12097.869091033936	12.369158744812012	0.4071337704276348
random	fb15k237	False	tucker	softplus	no	adam	lcwa		48528896	0	14407.402175664902	15.244831562042236	0.3754525883158822
random	fb15k237	False	unstructuredmodel	bceaftersigmoid	no	adam	lcwa		7426560	0	2664.1280584335327	5.672623872756958	0.06475682552108816
random	fb15k237	False	unstructuredmodel	bceaftersigmoid	no	adam	owa	basic	7426560	0	2032.8301391601562	9.85842251777649	0.05854291026519229
random	fb15k237	False	unstructuredmodel	crossentropy	no	adam	lcwa		14853120	0	5890.509669303894	5.224450588226318	0.08041393482728251
random	fb15k237	False	unstructuredmodel	marginranking	no	adam	owa	basic	3713280	0	715.3493902683258	8.434056520462036	0.03217046677757119
random	fb15k237	False	unstructuredmodel	nssa	no	adam	owa	basic	7426560	0	1124.2796161174774	9.908286333084106	0.05575398767002642
random	fb15k237	False	unstructuredmodel	softplus	no	adam	lcwa		14853120	0	7325.329635620117	6.428195953369141	0.07114199041002055
random	fb15k237	False	unstructuredmodel	softplus	no	adam	owa	basic	7426560	0	728.047770023346	8.565985918045044	0.058812016831392505
random	fb15k237	True	complex	bceaftersigmoid	no	adam	lcwa		15338496	0	50052.22123837471	15.674278974533081	0.3335208924552305
random	fb15k237	True	complex	bceaftersigmoid	no	adam	owa	basic	15338496	0	3302.220775604248	15.601723432540894	0.303503278207261
random	fb15k237	True	complex	bceaftersigmoid	no	adam	owa	basic	15338496	1	3306.3643124103546	15.61164116859436	0.31098933359428516
random	fb15k237	True	complex	bceaftersigmoid	no	adam	owa	basic	15338496	2	3306.247308731079	15.635884284973145	0.30580291613660826
random	fb15k237	True	complex	bceaftersigmoid	no	adam	owa	basic	15338496	3	3307.0423786640167	15.734095811843872	0.30594970153635387
random	fb15k237	True	complex	crossentropy	no	adam	lcwa		30676992	0	30542.30256342888	22.575215816497803	0.43057050592034446
random	fb15k237	True	complex	marginranking	no	adam	owa	basic	30676992	0	19503.486876487732	22.89606809616089	0.32378412760544084
random	fb15k237	True	complex	nssa	no	adam	owa	basic	7669248	0	2652.9064671993256	12.323920011520386	0.2745620902240924
random	fb15k237	True	complex	nssa	no	adam	owa	basic	7669248	1	2651.5663702487946	12.34792184829712	0.2809961835796066
random	fb15k237	True	complex	nssa	no	adam	owa	basic	7669248	2	2654.1033022403717	12.299342393875122	0.2695958508660339
random	fb15k237	True	complex	nssa	no	adam	owa	basic	7669248	3	2655.4375739097595	12.278992414474487	0.2761767296212937
random	fb15k237	True	complex	softplus	no	adam	lcwa		7669248	0	9118.53445482254	12.323489904403687	0.26771210490263236
random	fb15k237	True	complex	softplus	no	adam	owa	basic	15338496	0	4333.9837074279785	15.599560022354126	0.259271944417262
random	fb15k237	True	complex	softplus	no	adam	owa	basic	15338496	1	4334.606046438217	15.628037452697754	0.2567031999217145
random	fb15k237	True	complex	softplus	no	adam	owa	basic	15338496	2	4338.744993209839	15.61544132232666	0.2501712496330365
random	fb15k237	True	complex	softplus	no	adam	owa	basic	15338496	3	4342.707458734512	15.599704504013062	0.26054408454839023
random	fb15k237	True	distmult	bceaftersigmoid	no	adam	lcwa		7669248	0	16013.385340452194	6.8719422817230225	0.38832077502691065
random	fb15k237	True	distmult	bceaftersigmoid	no	adam	owa	basic	7669248	0	8163.58926987648	7.8166234493255615	0.3215334181426754
random	fb15k237	True	distmult	crossentropy	no	adam	lcwa		3834624	0	5097.086951971054	6.348835468292236	0.45968294353654954
random	fb15k237	True	distmult	marginranking	no	adam	owa	basic	15338496	0	3170.2011046409607	22.418561220169067	0.35654173598199435
random	fb15k237	True	distmult	nssa	no	adam	owa	basic	7669248	0	17873.420428276062	6.94169545173645	0.3324444661904296
random	fb15k237	True	distmult	softplus	no	adam	lcwa		15338496	0	17869.76896047592	7.845778226852417	0.37317741461982584
random	fb15k237	True	distmult	softplus	no	adam	owa	basic	7669248	0	13079.09118437767	6.775794744491577	0.325447695469224
random	fb15k237	True	ermlp	bceaftersigmoid	no	adam	lcwa		3884292	0	5215.584770202637	10.682158470153809	0.4214942753694099
random	fb15k237	True	ermlp	bceaftersigmoid	no	adam	owa	basic	3884292	0	8771.4196600914	10.735191583633423	0.3355269595850866
random	fb15k237	True	ermlp	crossentropy	no	adam	lcwa		7866884	0	9199.317953109741	9.809566020965576	0.39514629611507973
random	fb15k237	True	ermlp	marginranking	no	adam	owa	basic	3884292	0	2907.1004111766815	11.833766460418701	0.35282317252177314
random	fb15k237	True	ermlp	nssa	no	adam	owa	basic	7866884	0	2745.382996559143	9.560376167297363	0.30338095704080636
random	fb15k237	True	ermlp	softplus	no	adam	lcwa		3884292	0	4214.861591100693	12.255415201187134	0.37926900870926705
random	fb15k237	True	ermlp	softplus	no	adam	owa	basic	16126980	0	13169.760205030441	11.68793272972107	0.3539485272531559
random	fb15k237	True	hole	bceaftersigmoid	no	adam	lcwa		3834624	0	10240.929528951645	8.938007354736328	0.38340346413543397
random	fb15k237	True	hole	bceaftersigmoid	no	adam	owa	basic	15338496	0	5540.470826148987	14.485870599746704	0.34369801350425677
random	fb15k237	True	hole	crossentropy	no	adam	lcwa		7669248	0	25374.798882722855	13.617743015289307	0.4100205499559644
random	fb15k237	True	hole	marginranking	no	adam	owa	basic	3834624	0	7221.186546325684	9.437417030334473	0.29621293668656423
random	fb15k237	True	hole	nssa	no	adam	owa	basic	7669248	0	9660.155834913254	10.375783920288086	0.3090077306977199
random	fb15k237	True	hole	softplus	no	adam	lcwa		7669248	0	11386.460676193237	13.762092590332031	0.32669537136706134
random	fb15k237	True	hole	softplus	no	adam	owa	basic	15338496	0	7193.361598968506	14.489328384399414	0.34690282806536843
random	fb15k237	True	kg2e	bceaftersigmoid	no	adam	lcwa		15338496	0	13750.642767190933	14.292079448699951	0.0005137488991095019
random	fb15k237	True	kg2e	bceaftersigmoid	no	adam	owa	basic	7669248	0	4533.296200990677	11.762153148651123	0.0021283882963107938
random	fb15k237	True	kg2e	crossentropy	no	adam	lcwa		30676992	0	43115.667216300964	21.553226470947266	0.362829043937763
random	fb15k237	True	kg2e	marginranking	no	adam	owa	basic	7669248	0	3061.355932712555	11.770994424819946	0.34890889519522456
random	fb15k237	True	kg2e	nssa	no	adam	owa	basic	30676992	0	8744.77625155449	21.885199308395386	0.3245180546041687
random	fb15k237	True	kg2e	softplus	no	adam	lcwa		15338496	0	41247.55405974388	14.848581075668335	0.4354633525785302
random	fb15k237	True	kg2e	softplus	no	adam	owa	basic	7669248	0	8630.144925832748	11.776140213012695	0.3835991780017614
random	fb15k237	True	ntn	bceaftersigmoid	no	adam	lcwa		35763264	0	163799.22920370102	22.485692977905273	0.1829190723162736
random	fb15k237	True	ntn	bceaftersigmoid	no	adam	owa	basic	133639488	0	54536.25705862045	29.07527995109558	0.09810157549662393
random	fb15k237	True	ntn	crossentropy	no	adam	lcwa		515776320	0	191629.97684907913	37.54249858856201	0.009663372149916822
random	fb15k237	True	ntn	marginranking	no	adam	owa	basic	515776320	0	242464.3755774498	37.9471709728241	0.029748507681769253
random	fb15k237	True	ntn	nssa	no	adam	owa	basic	35763264	0	14673.059550762177	22.51075267791748	0.008440160485370388
random	fb15k237	True	ntn	softplus	no	adam	owa	basic	133639488	0	77914.7622320652	28.456984996795654	0.04555240238770917
random	fb15k237	True	proje	bceaftersigmoid	no	adam	lcwa		3835396	0	6535.241614103317	7.112921714782715	0.4018494960367942
random	fb15k237	True	proje	bceaftersigmoid	no	adam	owa	basic	3835396	0	5356.026978731155	7.1510701179504395	0.2480183971034348
random	fb15k237	True	proje	crossentropy	no	adam	lcwa		15341572	0	6683.907640218735	8.197204351425171	0.40422252666601427
random	fb15k237	True	proje	marginranking	no	adam	owa	basic	7670788	0	2158.6365768909454	8.002686738967896	0.33767981211468834
random	fb15k237	True	proje	nssa	no	adam	owa	basic	3835396	0	6079.344256877899	7.149212837219238	0.22666112144045406
random	fb15k237	True	proje	softplus	no	adam	lcwa		3835396	0	3228.189203977585	7.10134482383728	0.3210196692435659
random	fb15k237	True	proje	softplus	no	adam	owa	basic	15341572	0	10368.779862165451	8.32784628868103	0.2315784323319307
random	fb15k237	True	rescal	bceaftersigmoid	no	adam	lcwa		11479296	0	4809.565442800522	7.448312759399414	0.43805656130736864
random	fb15k237	True	rescal	bceaftersigmoid	no	adam	owa	basic	11479296	0	3414.4948494434357	7.460469484329224	0.2914179469615422
random	fb15k237	True	rescal	crossentropy	no	adam	lcwa		139109376	0	21680.77762746811	9.943373203277588	0.44720618455817596
random	fb15k237	True	rescal	marginranking	no	adam	owa	basic	38490624	0	18787.456795215607	8.88876223564148	0.31209022409237697
random	fb15k237	True	rescal	nssa	no	adam	owa	basic	139109376	0	104007.68395805359	12.096237182617188	0.256531950288678
random	fb15k237	True	rescal	softplus	no	adam	lcwa		11479296	0	3228.749235391617	7.42895770072937	0.2962618651531461
random	fb15k237	True	rescal	softplus	no	adam	owa	basic	38490624	0	35295.383685827255	9.651842594146729	0.31404736275565126
random	fb15k237	True	rotate	bceaftersigmoid	no	adam	lcwa		15338496	0	10961.838722705841	11.011396408081055	0.4229132009002838
random	fb15k237	True	rotate	bceaftersigmoid	no	adam	owa	basic	30676992	0	5883.056023836136	12.894079446792603	0.3536060279870829
