number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8544007490636704	2020-03-06 13:31:35.019378	2020-03-06 13:32:39.106900	128	28	0.0072244589197546505	512	0.11818614144188662	0.2649812734082397	0.8544007490636704	0.5379213483146067	0.6764981273408239	5.698033707865169	0.44950059258535435	0.2649812734082397	0.8544007490636704	0.5379213483146067	0.6764981273408239	5.698033707865169	0.44950059258535435	2915343969	250	0.2649812734082397	0.8544007490636704	0.5379213483146067	0.6764981273408239	5.698033707865169	0.44950059258535435	0	COMPLETE
1	0.6966292134831461	2020-03-06 13:32:39.124834	2020-03-06 13:35:11.931942	128	25	0.055408369842374676	128	0.19926246651186702	0.14279026217228463	0.6966292134831461	0.3366104868913858	0.4812734082397004	9.665730337078651	0.3043448247920602	0.14279026217228463	0.6966292134831461	0.3366104868913858	0.4812734082397004	9.665730337078651	0.3043448247920602	1967159403	200	0.14279026217228463	0.6966292134831461	0.3366104868913858	0.4812734082397004	9.665730337078651	0.3043448247920602	1	COMPLETE
2	0.6090823970037453	2020-03-06 13:35:11.944040	2020-03-06 13:37:55.732301	256	100	0.08964450698912231	128	0.3172364095740425	0.1254681647940075	0.6090823970037453	0.301498127340824	0.41619850187265917	15.320224719101123	0.26991794253686535	0.1254681647940075	0.6090823970037453	0.301498127340824	0.41619850187265917	15.320224719101123	0.26991794253686535	568966358	200	0.1254681647940075	0.6090823970037453	0.301498127340824	0.41619850187265917	15.320224719101123	0.26991794253686535	2	COMPLETE
3	0.8305243445692884	2020-03-06 13:37:55.744203	2020-03-06 13:40:17.226407	64	91	0.008233624082973076	256	0.12644355910156996	0.23689138576779026	0.8305243445692884	0.49812734082397003	0.6320224719101124	6.087546816479401	0.4180300905625794	0.23689138576779026	0.8305243445692884	0.49812734082397003	0.6320224719101124	6.087546816479401	0.4180300905625794	1713129064	300	0.23689138576779026	0.8305243445692884	0.49812734082397003	0.6320224719101124	6.087546816479401	0.4180300905625794	3	COMPLETE
4	0.8314606741573034	2020-03-06 13:40:17.238460	2020-03-06 13:41:15.849612	256	1	0.02539373495981298	512	0.13459802642447197	0.2144194756554307	0.8314606741573034	0.44288389513108617	0.5955056179775281	6.494850187265918	0.3894853621604613	0.2144194756554307	0.8314606741573034	0.44288389513108617	0.5955056179775281	6.494850187265918	0.3894853621604613	2257212240	300	0.2144194756554307	0.8314606741573034	0.44288389513108617	0.5955056179775281	6.494850187265918	0.3894853621604613	4	COMPLETE
5	0.5945692883895131	2020-03-06 13:41:15.861528	2020-03-06 13:45:33.748329	256	41	0.05956004569947247	128	0.3202525515053491	0.11470037453183521	0.5945692883895131	0.2794943820224719	0.38857677902621723	15.453183520599252	0.2549921548345839	0.11470037453183521	0.5945692883895131	0.2794943820224719	0.38857677902621723	15.453183520599252	0.2549921548345839	221031862	300	0.11470037453183521	0.5945692883895131	0.2794943820224719	0.38857677902621723	15.453183520599252	0.2549921548345839	5	COMPLETE
6	0.6835205992509363	2020-03-06 13:45:33.760509	2020-03-06 13:49:50.825487	64	100	0.09661527302464303	128	0.24772059102542698	0.1409176029962547	0.6835205992509363	0.32724719101123595	0.47425093632958804	11.988295880149813	0.2975137180688202	0.1409176029962547	0.6835205992509363	0.32724719101123595	0.47425093632958804	11.988295880149813	0.2975137180688202	880680228	300	0.1409176029962547	0.6835205992509363	0.32724719101123595	0.47425093632958804	11.988295880149813	0.2975137180688202	6	COMPLETE
7	0.8094569288389513	2020-03-06 13:49:50.837622	2020-03-06 13:50:58.540709	64	90	0.012670964153762565	512	0.14008817644894458	0.19147940074906367	0.8094569288389513	0.4353932584269663	0.577247191011236	6.769662921348314	0.3698284359824494	0.19147940074906367	0.8094569288389513	0.4353932584269663	0.577247191011236	6.769662921348314	0.3698284359824494	1942108301	250	0.19147940074906367	0.8094569288389513	0.4353932584269663	0.577247191011236	6.769662921348314	0.3698284359824494	7	COMPLETE
8	0.8450374531835206	2020-03-06 13:50:58.552887	2020-03-06 13:52:56.153049	128	51	0.02786414701125805	512	0.11967959599342713	0.26779026217228463	0.8450374531835206	0.5210674157303371	0.6521535580524345	5.769662921348314	0.44246958227378014	0.26779026217228463	0.8450374531835206	0.5210674157303371	0.6521535580524345	5.769662921348314	0.44246958227378014	3253177385	400	0.26779026217228463	0.8450374531835206	0.5210674157303371	0.6521535580524345	5.769662921348314	0.44246958227378014	8	COMPLETE
9	0.8628277153558053	2020-03-06 13:52:56.165214	2020-03-06 13:55:12.723537	128	1	0.001728708869306191	256	0.11545174617463311	0.26264044943820225	0.8628277153558053	0.5280898876404494	0.6685393258426966	5.564138576779026	0.4454695544552042	0.26264044943820225	0.8628277153558053	0.5280898876404494	0.6685393258426966	5.564138576779026	0.4454695544552042	2290252980	400	0.26264044943820225	0.8628277153558053	0.5280898876404494	0.6685393258426966	5.564138576779026	0.4454695544552042	9	COMPLETE
