number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201
0	TrialState.COMPLETE	0.000796742209631728	2019-12-28 20:27:28.096526	2019-12-28 20:36:41.163063	250.0	1	51.0	0.004640332154966374	1400.0	0.9981739999763598	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	20236.181236720964	0.0009167961694872799	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	20236.16204851275	0.0009167967778420242	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	20236.20042492918	0.000916795562300411	0	0.000708215297450425	0.000767233238904627		
1	TrialState.COMPLETE	0.000796742209631728	2019-12-28 20:36:41.164065	2019-12-28 20:50:25.431369	450.0	2	81.0	0.02014269995258365	500.0	1.0048624885381514	0.0006196883852691218	0.000796742209631728	0.000708215297450425	0.000708215297450425	20371.89697680595	0.0008866243080579272	0.0006196883852691218	0.000796742209631728	0.000708215297450425	0.000708215297450425	20371.83967776204	0.0008866249595131116	0.0006196883852691218	0.000796742209631728	0.000708215297450425	0.000708215297450425	20371.954275849857	0.0008866236569771715	1	0.0008852691218130312	0.0008262511803588291		
2	TrialState.COMPLETE	0.0004868980169971671	2019-12-28 20:50:25.432399	2019-12-28 20:58:36.268043	50.0	2	31.0	0.03594456619903821	1300.0	1.001591113394134	8.852691218130312e-05	0.0004868980169971671	0.0001327903682719547	0.0002655807365439094	20305.265625	0.00038531247608374124	8.852691218130312e-05	0.0004868980169971671	0.0001327903682719547	0.0002655807365439094	20305.25239022663	0.00038531272501530795	8.852691218130312e-05	0.0004868980169971671	0.0001327903682719547	0.0002655807365439094	20305.27885977337	0.0003853122275308963	2	0.0006196883852691218	0.0005311614730878187		
3	TrialState.COMPLETE	0.000708215297450425	2019-12-28 20:58:36.269068	2019-12-28 21:08:09.087696	250.0	2	61.0	0.0959954272758056	1200.0	1.0052977088076742	0.0003098441926345609	0.000708215297450425	0.0004426345609065156	0.000708215297450425	20380.737052939094	0.0006114869371933983	0.0003098441926345609	0.000708215297450425	0.0004426345609065156	0.000708215297450425	20380.692723087817	0.0006114877218541982	0.0003098441926345609	0.000708215297450425	0.0004426345609065156	0.000708215297450425	20380.781382790366	0.0006114861530961759	3	0.000708215297450425	0.000708215297450425		
4	TrialState.COMPLETE	0.0013279036827195468	2019-12-28 21:08:09.089301	2019-12-28 21:16:25.255224	150.0	1	91.0	0.010442030000094058	800.0	0.9775947772797704	0.000708215297450425	0.0013279036827195468	0.0008410056657223796	0.001106586402266289	19818.977669086402	0.001096338734209863	0.000708215297450425	0.0013279036827195468	0.0008410056657223796	0.001106586402266289	19818.967820467424	0.001096338865654263	0.000708215297450425	0.0013279036827195468	0.0008410056657223796	0.001106586402266289	19818.987517705384	0.0010963386028497299	4	0.0010623229461756375	0.0012393767705382436		
5	TrialState.COMPLETE	0.004355524079320113	2019-12-28 21:16:25.256193	2019-12-28 21:31:55.623367	350.0	1	11.0	0.004242546041596018	1700.0	0.9566354846220868	0.000708215297450425	0.004355524079320113	0.0033994334277620396	0.0037889518413597736	19393.74824716714	0.002377205850821058	0.000708215297450425	0.004355524079320113	0.0033994334277620396	0.0037889518413597736	19393.731409348442	0.002377206137943403	0.000708215297450425	0.004355524079320113	0.0033994334277620396	0.0037889518413597736	19393.765084985836	0.002377205563864401	5		0.0033640226628895184	0.00398371104815864	
6	TrialState.COMPLETE	0.000708215297450425	2019-12-28 21:31:55.625013	2019-12-28 21:42:41.273898	350.0	2	11.0	0.007763942992261303	1400.0	0.9995719647357109	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20264.88916430595	0.0008851455170452826	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20264.859419263455	0.0008851460054192225	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20264.918909348442	0.0008851450289362297	6	0.000708215297450425	0.000708215297450425		
7	TrialState.COMPLETE	0.0003541076487252125	2019-12-28 21:42:41.274926	2019-12-28 21:50:57.920940	50.0	2	91.0	0.06276881011620472	500.0	0.9956437437460613	4.426345609065156e-05	0.0003541076487252125	0.0001327903682719547	0.0001327903682719547	20184.753873052407	0.0003276963260452622	4.426345609065156e-05	0.0003541076487252125	0.0001327903682719547	0.0001327903682719547	20184.73287004249	0.00032769662318877065	4.426345609065156e-05	0.0003541076487252125	0.0001327903682719547	0.0001327903682719547	20184.77487606232	0.00032769602908131005	7	0.0005311614730878187	0.00041312559017941453		
8	TrialState.COMPLETE	0.000708215297450425	2019-12-28 21:50:57.922598	2019-12-28 21:59:14.632146	50.0	2	91.0	0.005205269499744501	1600.0	0.9919867904063061	0.00017705382436260624	0.000708215297450425	0.000398371104815864	0.0005754249291784702	20110.58854904391	0.0005227306561513998	0.00017705382436260624	0.000708215297450425	0.000398371104815864	0.0005754249291784702	20110.576575779036	0.0005227308328395242	0.00017705382436260624	0.000708215297450425	0.000398371104815864	0.0005754249291784702	20110.60052230878	0.0005227304795405732	8	0.0008852691218130312	0.000767233238904627		
