number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.2206721442428392	2020-02-29 16:47:37.434843	2020-02-29 17:37:16.813439	6.204767587799228	256	2	30	0.0028271270256175524	256	0.0819101236335987	0.07066643843432614	0.2206721442428392	0.1283806915439918	0.16147438091977634	570.9798584959489	0.12198947075384697	0.07066643843432614	0.2206721442428392	0.1283806915439918	0.16147438091977634	570.9796873216935	0.1219894711846746	1944812329	250	0.07066643843432614	0.2206721442428392	0.1283806915439918	0.16147438091977634	570.9800296702043	0.1219894703245581	0	COMPLETE
1	0.14310167750770283	2020-02-29 17:37:16.860982	2020-02-29 17:59:36.413850	8.601094342717614	128	1	6	0.04175091411521486	256	0.420566438059503	0.045075887253223784	0.14310167750770283	0.08473125641903458	0.10498687664041995	2969.9416295789115	0.0803219514445672	0.045075887253223784	0.14310167750770283	0.08473125641903458	0.10498687664041995	2969.9281353417778	0.08032199184823308	1317048670	150	0.045075887253223784	0.14310167750770283	0.08473125641903458	0.10498687664041995	2969.9551238160448	0.08032191221866924	1	COMPLETE
2	0.20483852561908023	2020-02-29 17:59:36.447065	2020-02-29 18:16:46.695950	6.335717982584735	64	1	54	0.07170040012320666	512	0.23806672979248533	0.05277872874586329	0.20483852561908023	0.11551409334702728	0.14518429761497204	1676.9810139221727	0.10481609202675381	0.053092548214081936	0.20546616455551753	0.11656966792194454	0.14609722697706265	1673.662501426452	0.10543489260365757	1815315002	150	0.05277872874586329	0.20421088668264292	0.11548556430446194	0.1450701814447107	1680.2995264178935	0.10439160280582578	2	COMPLETE
3	0.4091920575145498	2020-02-29 18:16:46.729393	2020-02-29 19:04:25.241313	3.8714136257398777	128	1	27	0.0015531064021217394	256	0.03050332043385171	0.15408535889535546	0.4091920575145498	0.25704667351363686	0.3159876754536118	205.10027958461714	0.237402531999842	0.15408535889535546	0.4091920575145498	0.25704667351363686	0.3159876754536118	205.1001369394043	0.23740253607062223	2899140117	250	0.15408535889535546	0.4091920575145498	0.25704667351363686	0.3159876754536118	205.10042222982997	0.23740252796911124	3	COMPLETE
4	0.22155654456236448	2020-02-29 19:04:25.290375	2020-02-29 19:21:56.210362	3.5296308140140353	128	2	53	0.006853386193262446	512	0.0844945212456003	0.07246376811594203	0.22155654456236448	0.13325915782266348	0.166609608581536	589.3769970329796	0.12430462734733931	0.07246376811594203	0.22155654456236448	0.13325915782266348	0.166609608581536	589.3768686522881	0.12430465377989301	250900901	150	0.07246376811594203	0.22155654456236448	0.13325915782266348	0.166609608581536	589.3771254136711	0.12430460201445497	4	COMPLETE
5	0.14073376697478032	2020-02-29 19:21:56.243489	2020-02-29 19:50:42.988667	2.6737887173642054	128	1	96	0.09200707408440191	512	0.37703244151765386	0.04567499714709574	0.14073376697478032	0.07871162843774963	0.09714138993495379	2666.719716421317	0.07901951211017175	0.045732055232226405	0.1408193541024763	0.07871162843774963	0.09728403514778045	2664.609865342919	0.07908658852921698	1857199224	200	0.04567499714709574	0.14073376697478032	0.07871162843774963	0.09714138993495379	2668.829567499715	0.07897257222558281	5	COMPLETE
6	0.23482254935524363	2020-02-29 19:50:43.023179	2020-02-29 20:09:33.608311	9.241691122242212	128	2	82	0.0022389059803828142	512	0.07345546693160067	0.07560196279812849	0.23482254935524363	0.13842291452698846	0.17419833390391418	510.61796759100764	0.1304219440466957	0.07560196279812849	0.23482254935524363	0.13842291452698846	0.17419833390391418	510.61788200387997	0.13042194461424325	1408816519	150	0.07560196279812849	0.23482254935524363	0.13842291452698846	0.17419833390391418	510.61805317813537	0.13042194348193747	6	COMPLETE
7	0.13414355814218876	2020-02-29 20:09:33.642004	2020-02-29 20:32:32.037325	7.824068474395756	256	2	5	0.02354612090274854	256	0.23733988120781283	0.04136711171973068	0.13414355814218876	0.06978203811480087	0.09303320780554604	1676.4417722241242	0.07266656666850563	0.04136711171973068	0.13414355814218876	0.06978203811480087	0.09303320780554604	1676.4385199132716	0.07266664888662026	3740038108	150	0.04136711171973068	0.13414355814218876	0.06978203811480087	0.09303320780554604	1676.4450245349767	0.07266648702512504	7	COMPLETE
8	0.33986648408079423	2020-02-29 20:32:32.073186	2020-02-29 21:17:29.403250	6.078489816476001	128	1	62	0.0022957781082542862	128	0.040762977936018165	0.12823804633116512	0.33986648408079423	0.21664954924112748	0.2627524820267032	281.22371048727604	0.20002367510540614	0.12823804633116512	0.33986648408079423	0.21664954924112748	0.2627810110692685	281.21316900604813	0.20002549014304566	1907122531	150	0.12823804633116512	0.33986648408079423	0.21664954924112748	0.2627524820267032	281.23425196850394	0.20002207573028138	8	COMPLETE
9	0.22589295903229487	2020-02-29 21:17:29.438890	2020-02-29 22:28:21.284066	7.8693702914465495	64	2	74	0.00255039570772438	128	0.07803701124649137	0.07682871162843775	0.22589295903229487	0.13625470729202327	0.16929133858267717	543.0012552778729	0.12859499262447127	0.07682871162843775	0.22589295903229487	0.13625470729202327	0.16929133858267717	543.0010555745749	0.12859499300979915	689210057	200	0.07682871162843775	0.22589295903229487	0.13625470729202327	0.16929133858267717	543.0014549811708	0.12859499224036017	9	COMPLETE
10	0.11440146068697934	2020-02-29 22:28:21.320528	2020-02-29 23:13:52.199424	4.7398067718936945	128	1	14	0.0696375556911848	256	0.5192769825543562	0.037544220015976265	0.11440146068697934	0.06185096428163871	0.07642930503252311	3675.789156110921	0.06444695518429898	0.037544220015976265	0.11440146068697934	0.06185096428163871	0.07645783407508844	3674.5742610977977	0.06447014040344763	2584494263	250	0.037544220015976265	0.11440146068697934	0.06185096428163871	0.07642930503252311	3677.004051124044	0.06442935749473834	10	COMPLETE
11	0.20974552094031723	2020-02-29 23:13:52.234997	2020-02-29 23:54:18.131588	6.986103179098777	256	1	27	0.0065514227920805065	128	0.10719490432274184	0.04633116512609837	0.20974552094031723	0.10424512153372133	0.14084788314504165	750.76034177793	0.1025354055979904	0.04633116512609837	0.20974552094031723	0.10424512153372133	0.14084788314504165	750.7001882916809	0.10253635840310996	2135699329	150	0.04633116512609837	0.20974552094031723	0.10424512153372133	0.14084788314504165	750.8204952641789	0.10253452519936326	11	COMPLETE
12	0.31458975236791054	2020-02-29 23:54:18.167498	2020-03-01 00:22:18.279075	8.65610984165705	64	1	96	0.0010092097991288445	512	0.04918713777497637	0.10715508387538514	0.31458975236791054	0.19439689604016888	0.23901631861234737	342.01589067670886	0.17735240510997444	0.10715508387538514	0.31458975236791054	0.19439689604016888	0.23901631861234737	342.01577656053865	0.1773524074806387	3361019163	200	0.10715508387538514	0.31458975236791054	0.19439689604016888	0.23901631861234737	342.01600479287913	0.17735240275715064	12	COMPLETE
