number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8927902621722846	2020-04-04 16:10:44.626515	2020-04-04 16:28:42.031322	64	0.4412211988291227	500	47	0.03137779135126005	512	0.1017894305477149	0.32771535580524347	0.8927902621722846	0.6165730337078652	0.7640449438202247	4.894662921348314	0.5130864791166861	0.32771535580524347	0.8927902621722846	0.6165730337078652	0.7640449438202247	4.894662921348314	0.5130864791166861	2453365881	200	0.32771535580524347	0.8927902621722846	0.6165730337078652	0.7640449438202247	4.894662921348314	0.5130864791166861	0	COMPLETE
1	0.8075842696629213	2020-04-04 16:28:42.080758	2020-04-04 16:39:19.030800	64	0.21940743386899209	100	48	0.0832077187054337	128	0.1896107102629174	0.18211610486891386	0.8075842696629213	0.4288389513108614	0.5692883895131086	9.178370786516854	0.3651978989245537	0.4452247191011236	0.8300561797752809	0.6521535580524345	0.7364232209737828	7.748595505617978	0.5745024246520968	1290347584	200	0.18211610486891386	0.6867977528089888	0.39325842696629215	0.5070224719101124	10.60814606741573	0.33920010726119065	1	COMPLETE
2	0.9087078651685393	2020-04-04 16:39:19.065695	2020-04-04 20:07:42.049304	256	0.28982200100311	200	92	0.00125938768591103	512	0.1029530380519407	0.29728464419475653	0.9087078651685393	0.5969101123595506	0.7448501872659176	4.948501872659176	0.4878820866830991	0.29728464419475653	0.9087078651685393	0.5969101123595506	0.7448501872659176	4.948501872659176	0.4878820866830991	2414695081	500	0.29728464419475653	0.9087078651685393	0.5969101123595506	0.7448501872659176	4.948501872659176	0.4878820866830991	2	COMPLETE
3	0.925561797752809	2020-04-04 20:07:42.095715	2020-04-04 20:35:20.766928	256	0.18550450819352046	200	35	0.019029604568289997	512	0.08647055037699863	0.3595505617977528	0.925561797752809	0.6825842696629213	0.8141385767790262	4.159644194756554	0.5496129572542976	0.3595505617977528	0.925561797752809	0.6825842696629213	0.8141385767790262	4.159644194756554	0.5496129572542976	984544561	200	0.3595505617977528	0.925561797752809	0.6825842696629213	0.8141385767790262	4.159644194756554	0.5496129572542976	3	COMPLETE
4	0.9054307116104869	2020-04-04 20:35:20.814915	2020-04-04 21:11:42.599245	256	0.282024986516111	100	14	0.001959464765249007	256	0.10323592281310857	0.31788389513108617	0.9054307116104869	0.6128277153558053	0.7598314606741573	4.948970037453184	0.5054960736085767	0.31788389513108617	0.9054307116104869	0.6128277153558053	0.7598314606741573	4.948970037453184	0.5054960736085767	1263737451	500	0.31788389513108617	0.9054307116104869	0.6128277153558053	0.7598314606741573	4.948970037453184	0.5054960736085767	4	COMPLETE
5	0.8867041198501873	2020-04-04 21:11:42.633871	2020-04-04 22:03:32.193416	128	0.36100112490000086	450	76	0.053819385947568674	256	0.10856657358992161	0.30711610486891383	0.8867041198501873	0.577247191011236	0.7116104868913857	5.231741573033708	0.4866342726785992	0.3103932584269663	0.8867041198501873	0.577247191011236	0.7116104868913857	5.228464419475656	0.48808558354002235	402720435	200	0.30711610486891383	0.8867041198501873	0.576310861423221	0.7116104868913857	5.23501872659176	0.48608808041892376	5	COMPLETE
6	0.9349250936329588	2020-04-04 22:03:32.228151	2020-04-04 22:37:55.412827	128	0.17873524321006046	300	29	0.0017581766176561953	256	0.08692869741978884	0.35767790262172283	0.9349250936329588	0.6928838951310862	0.8188202247191011	4.1793071161048685	0.5517151447493382	0.35767790262172283	0.9349250936329588	0.6928838951310862	0.8188202247191011	4.1793071161048685	0.5517151447493382	2622342659	400	0.35767790262172283	0.9349250936329588	0.6928838951310862	0.8188202247191011	4.1793071161048685	0.5517151447493382	6	COMPLETE
7	0.8993445692883895	2020-04-04 22:37:55.465801	2020-04-05 00:40:18.267581	256	0.34948746280260423	300	53	0.004825802357060178	256	0.104694283462726	0.3464419475655431	0.8993445692883895	0.6310861423220974	0.7640449438202247	5.037453183520599	0.5226496819669522	0.3464419475655431	0.8993445692883895	0.6310861423220974	0.7640449438202247	5.037453183520599	0.5226496819669522	3071383422	350	0.3464419475655431	0.8993445692883895	0.6310861423220974	0.7640449438202247	5.037453183520599	0.5226496819669522	7	COMPLETE
8	0.8735955056179775	2020-04-05 00:40:18.306360	2020-04-05 01:05:08.268174	64	0.16181454120756	350	27	0.07284805347135655	256	0.1139802169665164	0.19147940074906367	0.8735955056179775	0.5973782771535581	0.7523408239700374	5.450842696629214	0.45513737998726606	0.5758426966292135	0.8735955056179775	0.6886704119850188	0.7673220973782772	4.829119850187266	0.6644612616518485	2348371084	250	0.19147940074906367	0.8637640449438202	0.4911048689138577	0.6793071161048689	6.072565543071161	0.3970404074332414	8	COMPLETE
9	0.8735955056179775	2020-04-05 01:05:08.313706	2020-04-05 03:56:06.110437	256	0.10559454589110927	500	91	0.0354784108067814	128	0.11971544372336415	0.2949438202247191	0.8735955056179775	0.5566479400749064	0.702247191011236	5.74063670411985	0.4728843333279704	0.2958801498127341	0.8735955056179775	0.5566479400749064	0.702247191011236	5.740168539325842	0.4731964431906421	2568935490	200	0.2949438202247191	0.8735955056179775	0.5566479400749064	0.702247191011236	5.741104868913857	0.4727282783966346	9	COMPLETE
