number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9068352059925093	2020-05-22 18:22:55.911712	2020-05-22 18:33:12.747647	3.30525339063314	64	0.2451220444319434	450	21	256	0.09591353054015378	0.31413857677902624	0.9068352059925093	0.6310861423220974	0.7649812734082397	4.628277153558052	0.5075062974088063	0.31413857677902624	0.9068352059925093	0.6310861423220974	0.7649812734082397	4.628277153558052	0.5075062974088063	728659154	450.0	0.31413857677902624	0.9068352059925093	0.6310861423220974	0.7649812734082397	4.628277153558052	0.5075062974088063	0	COMPLETE
1	0.8764044943820225	2020-05-22 18:33:12.780569	2020-05-22 19:31:45.074823	3.52542370157728	256	0.3168162148982244	100	71	512	0.11271341208434814	0.3038389513108614	0.8764044943820225	0.5917602996254682	0.7289325842696629	5.436329588014981	0.4882217922843345	0.3038389513108614	0.8764044943820225	0.5917602996254682	0.7289325842696629	5.436329588014981	0.4882217922843345	359643466	850.0	0.3038389513108614	0.8764044943820225	0.5917602996254682	0.7289325842696629	5.436329588014981	0.4882217922843345	1	COMPLETE
2	0.8586142322097379	2020-05-22 19:31:45.101661	2020-05-22 19:54:25.573384	1.0892716554726656	256	0.1976963348675525	100	27	256	0.12184480888235351	0.2631086142322097	0.8586142322097379	0.5435393258426966	0.6985018726591761	5.8632958801498125	0.44944191681536566	0.2631086142322097	0.8586142322097379	0.5435393258426966	0.6985018726591761	5.8632958801498125	0.44944191681536566	3340705089	800.0	0.2631086142322097	0.8586142322097379	0.5435393258426966	0.6985018726591761	5.8632958801498125	0.44944191681536566	2	COMPLETE
3	0.8735955056179775	2020-05-22 19:54:25.646403	2020-05-22 23:31:13.122525	2.5255627053112137	256	0.47355360901228505	450	95	512	0.11147850510413142	0.2804307116104869	0.8735955056179775	0.5561797752808989	0.7111423220973783	5.369850187265918	0.4661001110070067	0.2804307116104869	0.8735955056179775	0.5561797752808989	0.7111423220973783	5.369850187265918	0.4661001110070067	1279119577	600.0	0.2804307116104869	0.8735955056179775	0.5561797752808989	0.7111423220973783	5.369850187265918	0.4661001110070067	3	COMPLETE
4	0.846441947565543	2020-05-22 23:31:13.184678	2020-05-23 00:02:43.230527	8.836850556434193	256	0.4464338719131429	400	33	256	0.12810460274885602	0.274812734082397	0.846441947565543	0.5669475655430711	0.7102059925093633	6.160580524344569	0.4590032194164066	0.274812734082397	0.846441947565543	0.5669475655430711	0.7102059925093633	6.160580524344569	0.4590032194164066	2857523946	300.0	0.274812734082397	0.846441947565543	0.5669475655430711	0.7102059925093633	6.160580524344569	0.4590032194164066	4	COMPLETE
5	0.8848314606741573	2020-05-23 00:02:43.261618	2020-05-23 00:28:13.815958	9.79345651960707	128	0.13810991607427328	250	84	128	0.1090920346820455	0.29213483146067415	0.8848314606741573	0.6175093632958801	0.7476591760299626	5.24812734082397	0.4868521730883197	0.29213483146067415	0.8848314606741573	0.6175093632958801	0.7476591760299626	5.24812734082397	0.4868521730883197	1088596354	300.0	0.29213483146067415	0.8848314606741573	0.6175093632958801	0.7476591760299626	5.24812734082397	0.4868521730883197	5	COMPLETE
6	0.8721910112359551	2020-05-23 00:28:13.837662	2020-05-23 01:00:19.787713	7.423828044707866	128	0.13973260012338495	200	49	128	0.11438993932173522	0.3099250936329588	0.8721910112359551	0.6132958801498127	0.74812734082397	5.505149812734082	0.49894371348519395	0.3099250936329588	0.8721910112359551	0.6132958801498127	0.74812734082397	5.505149812734082	0.49894371348519395	2665230071	650.0	0.3099250936329588	0.8721910112359551	0.6132958801498127	0.74812734082397	5.505149812734082	0.49894371348519395	6	COMPLETE
7	0.8459737827715356	2020-05-23 01:00:19.823746	2020-05-23 02:20:26.466370	1.8657878947854523	256	0.205367270090961	300	56	256	0.12618452834997898	0.2631086142322097	0.8459737827715356	0.547752808988764	0.6858614232209738	6.0706928838951315	0.44861898659580207	0.2631086142322097	0.8459737827715356	0.547752808988764	0.6858614232209738	6.0706928838951315	0.44861898659580207	1817943783	550.0	0.2631086142322097	0.8459737827715356	0.547752808988764	0.6858614232209738	6.0706928838951315	0.44861898659580207	7	COMPLETE
8	0.8314606741573034	2020-05-23 02:20:26.513075	2020-05-23 02:35:18.885000	4.16835675820753	256	0.24107963320440537	350	14	256	0.13579824709853205	0.2397003745318352	0.8314606741573034	0.5112359550561798	0.6526217228464419	6.535580524344569	0.4211180316917103	0.2397003745318352	0.8314606741573034	0.5112359550561798	0.6526217228464419	6.535580524344569	0.4211180316917103	2421849328	350.0	0.2397003745318352	0.8314606741573034	0.5112359550561798	0.6526217228464419	6.535580524344569	0.4211180316917103	8	COMPLETE
9	0.9307116104868914	2020-05-23 02:35:18.943375	2020-05-23 02:51:45.453970	6.481329060649958	64	0.39509072075142515	250	34	512	0.08660153695992595	0.36282771535580527	0.9307116104868914	0.6732209737827716	0.8103932584269663	4.178370786516854	0.5513097981273501	0.36282771535580527	0.9307116104868914	0.6732209737827716	0.8103932584269663	4.178370786516854	0.5513097981273501	1830602640	800.0	0.36282771535580527	0.9307116104868914	0.6732209737827716	0.8103932584269663	4.178370786516854	0.5513097981273501	9	COMPLETE
10	0.8745318352059925	2020-05-23 02:51:45.484749	2020-05-23 03:27:54.399002	4.527724119256166	128	0.21709458052942857	250	89	256	0.11706894742105198	0.27715355805243447	0.8745318352059925	0.5720973782771536	0.7162921348314607	5.644194756554307	0.46702577542459417	0.27715355805243447	0.8745318352059925	0.5720973782771536	0.7162921348314607	5.644194756554307	0.46702577542459417	3036181912	400.0	0.27715355805243447	0.8745318352059925	0.5720973782771536	0.7162921348314607	5.644194756554307	0.46702577542459417	10	COMPLETE
11	0.9073033707865169	2020-05-23 03:27:54.439575	2020-05-23 04:24:35.462578	3.7677698001830238	64	0.255616256542903	350	97	512	0.0980708472289438	0.33192883895131087	0.9073033707865169	0.6362359550561798	0.7645131086142322	4.7382958801498125	0.5204510228364359	0.33192883895131087	0.9073033707865169	0.6362359550561798	0.7645131086142322	4.7382958801498125	0.5204510228364359	926542954	750.0	0.33192883895131087	0.9073033707865169	0.6362359550561798	0.7645131086142322	4.7382958801498125	0.5204510228364359	11	COMPLETE
12	0.8712546816479401	2020-05-23 04:24:35.485290	2020-05-23 05:25:35.700366	4.406021261616788	256	0.3755245736004017	250	44	512	0.11526168322832453	0.27574906367041196	0.8712546816479401	0.5664794007490637	0.7158239700374532	5.555711610486892	0.46660997535540866	0.27574906367041196	0.8712546816479401	0.5664794007490637	0.7158239700374532	5.555711610486892	0.46660997535540866	3212444986	650.0	0.27574906367041196	0.8712546816479401	0.5664794007490637	0.7158239700374532	5.555711610486892	0.46660997535540866	12	COMPLETE
13	0.9073033707865169	2020-05-23 05:25:35.743072	2020-05-23 05:47:05.854331	6.010836529824592	64	0.4424917052060996	450	77	128	0.09390398831026496	0.350187265917603	0.9073033707865169	0.6619850187265918	0.7949438202247191	4.51310861423221	0.5390688269656201	0.350187265917603	0.9073033707865169	0.6619850187265918	0.7949438202247191	4.51310861423221	0.5390688269656201	896883014	300.0	0.350187265917603	0.9073033707865169	0.6619850187265918	0.7949438202247191	4.51310861423221	0.5390688269656201	13	COMPLETE
14	0.9250936329588015	2020-05-23 05:47:05.903318	2020-05-23 06:12:27.018292	5.292518952706904	64	0.38862362433958575	450	92	128	0.09043836880349711	0.34269662921348315	0.9250936329588015	0.6793071161048689	0.8075842696629213	4.359550561797753	0.5382331207970387	0.34269662921348315	0.9250936329588015	0.6793071161048689	0.8075842696629213	4.359550561797753	0.5382331207970387	966090271	300.0	0.34269662921348315	0.9250936329588015	0.6793071161048689	0.8075842696629213	4.359550561797753	0.5382331207970387	14	COMPLETE
15	0.9119850187265918	2020-05-23 06:12:27.069736	2020-05-23 06:33:10.713290	3.404918228683864	128	0.3094311059339936	400	27	256	0.09520734782062108	0.33707865168539325	0.9119850187265918	0.6582397003745318	0.7921348314606742	4.584269662921348	0.5275981750869275	0.33707865168539325	0.9119850187265918	0.6582397003745318	0.7921348314606742	4.584269662921348	0.5275981750869275	900412078	450.0	0.33707865168539325	0.9119850187265918	0.6582397003745318	0.7921348314606742	4.584269662921348	0.5275981750869275	15	COMPLETE
16	0.9026217228464419	2020-05-23 06:33:10.741439	2020-05-23 06:43:17.759824	2.527495387812491	128	0.31966625493226647	50	24	512	0.10072723308783932	0.30711610486891383	0.9026217228464419	0.6207865168539326	0.7631086142322098	4.857677902621723	0.5003742200855311	0.30711610486891383	0.9026217228464419	0.6207865168539326	0.7631086142322098	4.857677902621723	0.5003742200855311	2238478461		0.30711610486891383	0.9026217228464419	0.6207865168539326	0.7631086142322098	4.857677902621723	0.5003742200855311	16	COMPLETE
17	0.9101123595505618	2020-05-23 06:43:17.781217	2020-05-23 06:54:50.491599	6.283041030672062	128	0.46390855283288246	150	30	256	0.09718351869945055	0.3356741573033708	0.9101123595505618	0.647003745318352	0.7818352059925093	4.685393258426966	0.5251922490375182	0.3356741573033708	0.9101123595505618	0.647003745318352	0.7818352059925093	4.685393258426966	0.5251922490375182	2211428165	500.0	0.3356741573033708	0.9101123595505618	0.647003745318352	0.7818352059925093	4.685393258426966	0.5251922490375182	17	COMPLETE
18	0.9190074906367042	2020-05-23 06:54:50.539379	2020-05-23 07:01:45.024442	6.2765483983776855	64	0.4852224606146207	300	8	256	0.08991296808863206	0.34737827715355807	0.9190074906367042	0.6615168539325843	0.7869850187265918	4.3389513108614235	0.5356979824211345	0.34737827715355807	0.9190074906367042	0.6615168539325843	0.7869850187265918	4.3389513108614235	0.5356979824211345	1432192724	600.0	0.34737827715355807	0.9190074906367042	0.6615168539325843	0.7869850187265918	4.3389513108614235	0.5356979824211345	18	COMPLETE
