number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.42837078651685395	2020-05-17 09:43:05.365506	2020-05-17 09:46:49.464724	256	256	2	512	0.003480406019858971	0.4229891089807973	0.03885767790262172	0.42837078651685395	0.1544943820224719	0.23689138576779026	19.857209737827716	0.1576711685508937	0.03885767790262172	0.42837078651685395	0.1544943820224719	0.23689138576779026	19.857209737827716	0.1576711685508937	1600430008		0.03885767790262172	0.42837078651685395	0.1544943820224719	0.23689138576779026	19.857209737827716	0.1576711685508937	0	COMPLETE
1	0.5215355805243446	2020-05-17 09:46:49.483056	2020-05-17 09:54:42.155930	64	256	1	128	0.05547307926033637	0.3548501292217439	0.075374531835206	0.5215355805243446	0.2148876404494382	0.3202247191011236	16.669475655430713	0.20695464509120298	0.075374531835206	0.5215355805243446	0.2148876404494382	0.3202247191011236	16.669475655430713	0.20695464509120298	2344813162		0.075374531835206	0.5215355805243446	0.2148876404494382	0.3202247191011236	16.669475655430713	0.20695464509120298	1	COMPLETE
2	0.5674157303370787	2020-05-17 09:54:42.174909	2020-05-17 09:58:50.912246	256	128	2	512	0.007204266180294023	0.26970018972363674	0.08707865168539326	0.5674157303370787	0.22191011235955055	0.3295880149812734	12.720505617977528	0.22307317771080717	0.08707865168539326	0.5674157303370787	0.22191011235955055	0.3295880149812734	12.720505617977528	0.22307317771080717	801345145		0.08707865168539326	0.5674157303370787	0.22191011235955055	0.3295880149812734	12.720505617977528	0.22307317771080717	2	COMPLETE
3	0.5641385767790262	2020-05-17 09:58:50.930537	2020-05-17 10:02:59.928282	256	128	1	512	0.10253733191281157	0.2684254074209345	0.08333333333333333	0.5641385767790262	0.224250936329588	0.33286516853932585	12.673220973782772	0.22089254956949636	0.08333333333333333	0.5641385767790262	0.224250936329588	0.33286516853932585	12.673220973782772	0.22089254956949636	2447540094		0.08333333333333333	0.5641385767790262	0.224250936329588	0.33286516853932585	12.673220973782772	0.22089254956949636	3	COMPLETE
4	0.6502808988764045	2020-05-17 10:02:59.940607	2020-05-17 10:08:19.819567	64	64	1	256	0.026791600617244053	0.22410442970940767	0.1306179775280899	0.6502808988764045	0.2785580524344569	0.4250936329588015	10.609082397003744	0.274688432111081	0.1306179775280899	0.6502808988764045	0.2785580524344569	0.4250936329588015	10.609082397003744	0.274688432111081	3571668418		0.1306179775280899	0.6502808988764045	0.2785580524344569	0.4250936329588015	10.609082397003744	0.274688432111081	4	COMPLETE
5	0.5950374531835206	2020-05-17 10:08:19.837347	2020-05-17 10:13:45.326076	128	128	1	256	0.03568009570110202	0.2534986974223262	0.0997191011235955	0.5950374531835206	0.23361423220973782	0.35346441947565543	11.975187265917603	0.23823403093051823	0.0997191011235955	0.5950374531835206	0.23361423220973782	0.35346441947565543	11.975187265917603	0.23823403093051823	1307744691		0.0997191011235955	0.5950374531835206	0.23361423220973782	0.35346441947565543	11.975187265917603	0.23823403093051823	5	COMPLETE
6	0.6886704119850188	2020-05-17 10:13:45.343009	2020-05-17 10:23:08.022873	64	64	2	128	0.2937168878704844	0.20742454295733784	0.13576779026217228	0.6886704119850188	0.3061797752808989	0.45224719101123595	9.815543071161049	0.290692699370949	0.13576779026217228	0.6886704119850188	0.3061797752808989	0.45224719101123595	9.815543071161049	0.290692699370949	3816254552		0.13576779026217228	0.6886704119850188	0.3061797752808989	0.45224719101123595	9.815543071161049	0.290692699370949	6	COMPLETE
7	0.35346441947565543	2020-05-17 10:23:08.041250	2020-05-17 10:27:34.511696	128	256	2	512	0.3753105876384571	0.5216840295319896	0.010767790262172285	0.35346441947565543	0.12078651685393259	0.19616104868913858	24.515917602996254	0.12137497543790197	0.010767790262172285	0.35346441947565543	0.12078651685393259	0.19616104868913858	24.515917602996254	0.12137497543790197	4258477162		0.010767790262172285	0.35346441947565543	0.12078651685393259	0.19616104868913858	24.515917602996254	0.12137497543790197	7	COMPLETE
8	0.37874531835205993	2020-05-17 10:27:34.523717	2020-05-17 10:32:02.998111	128	256	1	512	0.0023204728356570237	0.5036503445908204	0.031835205992509365	0.37874531835205993	0.1404494382022472	0.2148876404494382	23.63951310861423	0.14119841415511936	0.031835205992509365	0.37874531835205993	0.1404494382022472	0.2148876404494382	23.63951310861423	0.14119841415511936	3949792111		0.031835205992509365	0.37874531835205993	0.1404494382022472	0.2148876404494382	23.63951310861423	0.14119841415511936	8	COMPLETE
9	0.3951310861423221	2020-05-17 10:32:03.008724	2020-05-17 10:36:30.180126	128	256	1	512	0.0582852894947231	0.4952346321443019	0.023876404494382022	0.3951310861423221	0.13717228464419476	0.225187265917603	23.262172284644194	0.1393289146684066	0.023876404494382022	0.3951310861423221	0.13717228464419476	0.225187265917603	23.262172284644194	0.1393289146684066	1554523185		0.023876404494382022	0.3951310861423221	0.13717228464419476	0.225187265917603	23.262172284644194	0.1393289146684066	9	COMPLETE
