number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.012895127239529841	2020-01-20 03:23:24.755363	2020-01-21 04:26:16.647370	150.0	350.0	51.0	0.011530779239683774	900.0	0.47814999468566666	0.005135227661759671	0.012895127239529841	0.006846970215679562	0.008844003195252767	3418.439675339496	0.010081101741834922	0.005135227661759671	0.012895127239529841	0.006846970215679562	0.008844003195252767	3418.438034919548	0.010081102586251774	2131618976	0.005135227661759671	0.012895127239529841	0.006846970215679562	0.008844003195252767	3418.441315759443	0.010081100901470323	0
