number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09269662921348315	2020-03-16 22:24:11.254920	2020-03-16 22:30:46.787979	256	256	1	32	0.0010198995825733337	512	1.024901688043098	0.0	0.09269662921348315	0.015917602996254682	0.040262172284644196	49.512172284644194	0.041421558302557386	0.0	0.09269662921348315	0.015917602996254682	0.040262172284644196	49.512172284644194	0.041421558302557386	1577521673	150.0	0.0	0.09269662921348315	0.015917602996254682	0.040262172284644196	49.512172284644194	0.041421558302557386	0	COMPLETE
1	0.10580524344569288	2020-03-16 22:30:46.839876	2020-03-16 22:31:53.427287	64	128	2	18	0.0014767766274899846	512	1.0111673031305748	0.0	0.10580524344569288	0.025280898876404494	0.042134831460674156	48.84222846441948	0.045677626615994914	0.0	0.10580524344569288	0.025280898876404494	0.042134831460674156	48.84222846441948	0.045677626615994914	3553373453	150.0	0.0	0.10580524344569288	0.025280898876404494	0.042134831460674156	48.84222846441948	0.045677626615994914	1	COMPLETE
2	0.3291198501872659	2020-03-16 22:31:53.453961	2020-03-16 23:01:26.314455	256	64	2	12	0.017218688943599344	128	0.4602396596381824	0.00046816479400749064	0.3291198501872659	0.08941947565543071	0.16666666666666666	22.164794007490638	0.10660952782151928	0.00046816479400749064	0.3291198501872659	0.08941947565543071	0.16666666666666666	22.164794007490638	0.10660952782151928	117387220		0.00046816479400749064	0.3291198501872659	0.08941947565543071	0.16666666666666666	22.164794007490638	0.10660952782151928	2	COMPLETE
3	0.09597378277153558	2020-03-16 23:01:26.356067	2020-03-16 23:03:32.086087	128	256	2	7	0.0076833263101585576	256	0.9915170198679668	0.0	0.09597378277153558	0.018258426966292134	0.03885767790262172	47.79962546816479	0.04353304727720349	0.0	0.09597378277153558	0.018258426966292134	0.03885767790262172	47.79962546816479	0.04353304727720349	805630123	150.0	0.0	0.09597378277153558	0.018258426966292134	0.03885767790262172	47.79962546816479	0.04353304727720349	3	COMPLETE
4	0.09831460674157304	2020-03-16 23:03:32.111171	2020-03-16 23:21:52.357324	256	256	2	77	0.005452850304795131	128	1.018799419661335	0.0	0.09831460674157304	0.018726591760299626	0.041666666666666664	49.1624531835206	0.043005812607866664	0.0	0.09831460674157304	0.018726591760299626	0.041666666666666664	49.1624531835206	0.043005812607866664	1153670087	150.0	0.0	0.09831460674157304	0.018726591760299626	0.041666666666666664	49.1624531835206	0.043005812607866664	4	COMPLETE
5	0.08848314606741572	2020-03-16 23:21:52.384753	2020-03-16 23:44:33.681944	256	256	2	94	0.0990837560849934	512	1.0335532492619663	0.0	0.08848314606741572	0.018726591760299626	0.04119850187265917	49.85814606741573	0.04216771251396934	0.0	0.08848314606741572	0.018726591760299626	0.04119850187265917	49.85814606741573	0.04216771251396934	303841079	150.0	0.0	0.08848314606741572	0.018726591760299626	0.04119850187265917	49.85814606741573	0.04216771251396934	5	COMPLETE
6	0.08941947565543071	2020-03-16 23:44:33.717945	2020-03-16 23:46:49.909984	64	256	1	30	0.06538461063929497	512	1.0032465615124906	0.0	0.08941947565543071	0.020599250936329586	0.03932584269662921	48.37617041198502	0.04255751982882766	0.0	0.08941947565543071	0.020599250936329586	0.03932584269662921	48.375936329588015	0.04255759124984886	1730557268	150.0	0.0	0.08941947565543071	0.020599250936329586	0.03932584269662921	48.37640449438202	0.04255744963920337	6	COMPLETE
7	0.08567415730337079	2020-03-16 23:46:49.951641	2020-03-16 23:49:35.944162	64	128	2	82	0.00238446889422695	512	1.020620069520597	0.0	0.08567415730337079	0.01544943820224719	0.03651685393258427	49.228932584269664	0.041532852920791584	0.0	0.08567415730337079	0.01544943820224719	0.03651685393258427	49.228932584269664	0.041532852920791584	453924472	150.0	0.0	0.08567415730337079	0.01544943820224719	0.03651685393258427	49.228932584269664	0.041532852920791584	7	COMPLETE
8	0.09410112359550561	2020-03-16 23:49:35.971779	2020-03-16 23:53:54.524365	256	64	1	64	0.0022186939769222825	256	1.0119317572595279	0.0	0.09410112359550561	0.02294007490636704	0.04400749063670412	48.77574906367041	0.04396703565834682	0.0	0.09410112359550561	0.02294007490636704	0.04400749063670412	48.77574906367041	0.04396703565834682	412660098	150.0	0.0	0.09410112359550561	0.02294007490636704	0.04400749063670412	48.77574906367041	0.04396703565834682	8	COMPLETE
9	0.10252808988764045	2020-03-16 23:53:54.602316	2020-03-16 23:59:15.119402	256	64	1	56	0.0026137511873286926	128	1.0172516882405633	0.0	0.10252808988764045	0.020131086142322098	0.04307116104868914	49.0875468164794	0.04414221260131507	0.0	0.10252808988764045	0.020131086142322098	0.04307116104868914	49.0875468164794	0.04414221260131507	3348607204	150.0	0.0	0.10252808988764045	0.020131086142322098	0.04307116104868914	49.0875468164794	0.04414221260131507	9	COMPLETE
