number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.000708215297450425	2020-01-13 12:33:55.678766	2020-01-13 13:05:41.364192	9.751545442998319	0.018818954027444126	250.0	81.0	0.0014432937356024579	1600.0	1.0086564165830665	0.0	0.000708215297450425	0.0	0.0003541076487252125	20448.629249291786	0.0003292286046756268	0.0	0.000708215297450425	0.0	0.0003541076487252125	20448.621458923513	0.00032922864736771807	0.0	0.000708215297450425	0.0	0.0003541076487252125	20448.637039660058	0.0003292285619898911	0	0.000708215297450425	0.000708215297450425
1	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 13:05:41.365285	2020-01-13 13:49:38.394500	7.416737735870101	0.02442859218920277	450.0	71.0	0.08559795713181265	1300.0	1.0038562025183586	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20351.30515226629	0.0004468320219383794	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20351.29461756374	0.00044683209654065165	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20351.31568696884	0.00044683194734918507	1	0.0003541076487252125	0.0003541076487252125
2	TrialState.COMPLETE	0.0	2020-01-13 13:49:38.410841	2020-01-13 14:29:14.570692	6.736341436971641	0.03400958671532817	350.0	91.0	0.011967700474220593	1700.0	0.9853780229837537	0.0	0.0	0.0	0.0	19976.76221671388	0.0002143465577395151	0.0	0.0	0.0	0.0	19976.750177053826	0.00021434798510345604	0.0	0.0	0.0	0.0	19976.774256373938	0.00021434513569195502	2	0.0	0.0
3	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 14:29:14.579464	2020-01-13 14:54:07.487715	7.864813907787857	0.08278287241001538	150.0	11.0	0.0011056942087521644	1900.0	0.9955810373891911	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20183.80116855524	0.0002497277282797241	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20183.793909348442	0.0002497277798990758	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20183.80842776204	0.00024972767666892173	3	0.0003541076487252125	0.0003541076487252125
4	TrialState.COMPLETE	0.0005311614730878187	2020-01-13 14:54:07.488803	2020-01-13 15:31:17.808822	5.080349594642232	0.08568681422747305	450.0	11.0	0.039507048464203755	500.0	0.9861800683674359	0.0	0.0005311614730878187	0.0	0.0003541076487252125	19992.87331798867	0.0003276621144810989	0.0	0.0005311614730878187	0.0	0.0003541076487252125	19992.85835694051	0.0003276622508594733	0.0	0.0005311614730878187	0.0	0.0003541076487252125	19992.888279036826	0.00032766197814093514	4	0.0005311614730878187	0.0005311614730878187
5	TrialState.COMPLETE	0.0	2020-01-13 15:31:17.810066	2020-01-13 16:10:21.722643	4.655007922262747	0.021074698462590476	350.0	31.0	0.010798704623876507	600.0	1.003117394602725	0.0	0.0	0.0	0.0	20336.631728045326	0.00017779176759901547	0.0	0.0	0.0	0.0	20336.621990084986	0.0001777918287666397	0.0	0.0	0.0	0.0	20336.641466005665	0.00017779170644088515	5	0.0	0.0
6	TrialState.COMPLETE	0.00017705382436260624	2020-01-13 16:10:21.733979	2020-01-13 16:59:04.653018	1.1231488581706675	0.09710539839393305	450.0	61.0	0.08713648895758822	1600.0	0.9862377837963856	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19994.09206798867	0.00027775215574975845	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19994.07914305949	0.0002777523705580927	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19994.104992917848	0.00027775194101648074	6	0.00017705382436260624	0.00017705382436260624
7	TrialState.COMPLETE	0.008144475920679886	2020-01-13 16:59:04.659888	2020-01-13 17:25:53.372777	9.762327129745055	0.061212294826965066	50.0	51.0	0.007130565389189707	1900.0	0.8660331122603028	0.0012836402266288953	0.008144475920679886	0.0034968130311614732	0.004957507082152974	17558.100278859773	0.0037487747762154837	0.0012836402266288953	0.008144475920679886	0.0034968130311614732	0.004957507082152974	17558.095697592067	0.003748774894784517	0.0012836402266288953	0.008144475920679886	0.0034968130311614732	0.004957507082152974	17558.104860127478	0.0037487746577082393	7	0.009029745042492918	0.008439565627950897
8	TrialState.COMPLETE	0.00017705382436260624	2020-01-13 17:25:53.373942	2020-01-13 17:52:11.865857	6.270806373698757	0.01262845976533917	50.0	31.0	0.0016798074178806092	2000.0	0.9884834254619538	0.0	0.00017705382436260624	0.0	0.0	20039.639518413598	0.0002015336218476227	0.0	0.00017705382436260624	0.0	0.0	20039.636508498585	0.0002015336758377252	0.0	0.00017705382436260624	0.0	0.0	20039.64252832861	0.00020153356787871662	8	0.00017705382436260624	0.00017705382436260624
9	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 17:52:11.867186	2020-01-13 18:25:22.243946	4.23688506902145	0.072841419033788	250.0	41.0	0.006783419576892332	1800.0	1.0066966739854195	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20409.08029390935	0.0003114732866539322	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20409.071175637393	0.0003114733656335401	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20409.089412181303	0.0003114732076891375	9	0.0003541076487252125	0.0003541076487252125
10	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 18:25:22.245003	2020-01-13 19:03:31.909580	7.017803989103791	0.02377530817989874	350.0	21.0	0.0052437547311703385	800.0	1.0129116169262748	0.0	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20535.073565864022	0.0003894246577669744	0.0	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20535.0632082153	0.0003894248339635698	0.0	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20535.08392351275	0.00038942448164542	10	0.0003541076487252125	0.0003541076487252125
11	TrialState.COMPLETE	0.00017705382436260624	2020-01-13 19:03:31.914577	2020-01-13 19:29:49.760993	3.4456031854593956	0.01269998704032571	50.0	41.0	0.014969742124687485	1000.0	1.014643271881909	0.0	0.00017705382436260624	0.0	0.0	20570.093218838527	0.00020402389729158962	0.0	0.00017705382436260624	0.0	0.0	20570.090120396602	0.0002040239441803224	0.0	0.00017705382436260624	0.0	0.0	20570.096317280455	0.0002040238504176401	11	0.00017705382436260624	0.00017705382436260624
12	TrialState.COMPLETE	0.000708215297450425	2020-01-13 19:29:49.764791	2020-01-13 20:00:07.508720	1.7400800021929461	0.016595603681649952	150.0	91.0	0.006785648577052194	1000.0	1.012034145253547	0.0	0.000708215297450425	0.0	0.0003541076487252125	20517.368714589236	0.00034859704031558244	0.0	0.000708215297450425	0.0	0.0003541076487252125	20517.361898016996	0.00034859710266669613	0.0	0.000708215297450425	0.0	0.0003541076487252125	20517.375531161473	0.000348596977979116	12	0.000708215297450425	0.000708215297450425
13	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 20:00:07.510328	2020-01-13 20:34:30.863823	5.624079916777479	0.050274614653473146	250.0	61.0	0.018055438223865967	1800.0	0.9948412418439212	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20168.98211756374	0.0002840068181200699	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20168.971317280455	0.0002840069384550991	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20168.992917847027	0.00028400669781903216	13	0.0003541076487252125	0.0003541076487252125
