number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801	851	901	951	1001	1051	1101	1151
0	TrialState.COMPLETE	0.39496859219115654	2020-01-03 13:27:43.349205	2020-01-03 14:13:39.057113	0.19506863564321836	14.211526678844287	50.0	2	80.0	0.0020931096659936883	1700.0	0.22990179759734392	0.000708215297450425	0.39496859219115654	0.2530330089912551	0.3352629634191403	4658.387270599827	0.14339947505772926	0.000708215297450425	0.39496859219115654	0.2530330089912551	0.3352629634191403	4658.3854846655995	0.1433994768142138	0.000708215297450425	0.39496859219115654	0.2530330089912551	0.3352629634191403	4658.389056534056	0.1433994733296591	0																				0.3933630109267503	0.3942022920422354		
1	TrialState.COMPLETE	0.350888488282256	2020-01-03 14:13:39.058268	2020-01-03 14:35:01.895030	0.6853033969299624	24.259758885396614	50.0	2	20.0	0.0010056831720664885	500.0	0.36674585654642633	0.000708215297450425	0.350888488282256	0.23852369302086016	0.307542492917847	7433.5221558717485	0.12860474719384038	0.000708215297450425	0.350888488282256	0.23853978882307494	0.307542492917847	7433.519073525625	0.12860551419372193	0.000708215297450425	0.350888488282256	0.23852369302086016	0.307542492917847	7433.525238217872	0.1286041718126367	1																							
2	TrialState.COMPLETE	0.024920325779036828	2020-01-03 14:35:01.896284	2020-01-03 14:40:15.380059	0.6870860918082623	26.317709967636716	250.0	1	100.0	0.004539854753204221	1600.0	0.7188356631828995	0.000708215297450425	0.024920325779036828	0.016598796033994334	0.020095609065155808	14569.739553824362	0.01134337958161224	0.000708215297450425	0.024920325779036828	0.016598796033994334	0.020095609065155808	14569.736588172804	0.011343382443080549	0.000708215297450425	0.024920325779036828	0.016598796033994334	0.020095609065155808	14569.74251947592	0.011343376734176111	2	0.03142705382436261	0.027089235127478753																					
3	TrialState.COMPLETE	0.03412712464589235	2020-01-03 14:40:15.381273	2020-01-03 14:46:16.082384	0.6126429217253585	20.925223595387614	350.0	1	90.0	0.005033060011068364	1600.0	0.7275181795136639	0.000708215297450425	0.03412712464589235	0.025761331444759207	0.029523725212464588	14745.654058958924	0.015524654038548438	0.000708215297450425	0.03412712464589235	0.025761331444759207	0.029523725212464588	14745.65093838527	0.015524654194654599	0.000708215297450425	0.03412712464589235	0.025761331444759207	0.029523725212464588	14745.657179532578	0.0155246538825657	3	0.053912889518413595	0.04072237960339943																					
4	TrialState.COMPLETE	0.05123937677053824	2020-01-03 14:46:16.084483	2020-01-03 14:56:01.612927	0.8673654034822713	20.239075552453173	450.0	2	60.0	0.03541637949298643	800.0	0.6556516800114566	0.000708215297450425	0.05123937677053824	0.03434844192634561	0.0419971671388102	13289.848317988668	0.02104494817481101	0.000708215297450425	0.05123937677053824	0.03434844192634561	0.0419971671388102	13289.844759206799	0.021044954099034376	0.000708215297450425	0.05123937677053824	0.03434844192634561	0.0419971671388102	13289.85187677054	0.0210449423451334	4		0.05317516525023607	0.05196529745042493																				
5	TrialState.COMPLETE	0.005223087818696884	2020-01-03 14:56:01.614476	2020-01-03 15:00:13.072640	0.42325787013870075	14.395953428178505	50.0	1	10.0	0.08834158117986485	700.0	0.8357972743916872	0.000708215297450425	0.005223087818696884	0.0034968130311614732	0.004027974504249292	16941.827992209634	0.0028271911986857278	0.000708215297450425	0.005223087818696884	0.0034968130311614732	0.004027974504249292	16941.825247875353	0.002827191260067564	0.000708215297450425	0.005223087818696884	0.0034968130311614732	0.004027974504249292	16941.83073654391	0.002827191137325704	5	0.005311614730878187	0.0052525967894239845																					
6	TrialState.COMPLETE	0.4016076487252125	2020-01-03 15:00:13.073845	2020-01-03 15:46:46.225676	0.867089356983691	15.350258223683035	50.0	1	10.0	0.001051550231798416	1600.0	0.2141153110589461	0.000708215297450425	0.4016076487252125	0.2491784702549575	0.33493626062322945	4338.911497875354	0.14390233852366338	0.000708215297450425	0.4016076487252125	0.2491784702549575	0.33493626062322945	4338.910297450425	0.14390233889961077	0.000708215297450425	0.4016076487252125	0.2491784702549575	0.33493626062322945	4338.912698300283	0.1439023381493903	6																						0.3999799852198547	0.4008277266288952
7	TrialState.COMPLETE	0.011685552407932011	2020-01-03 15:46:46.226816	2020-01-03 15:52:43.269973	0.1639712559383027	2.6603738992793207	350.0	1	100.0	0.03022453509393747	1400.0	0.8004812747847238	0.000708215297450425	0.011685552407932011	0.007524787535410765	0.008764164305949009	16225.554731763455	0.005697316649922766	0.000708215297450425	0.011685552407932011	0.007524787535410765	0.008764164305949009	16225.551345609065	0.0056973729137290395	0.000708215297450425	0.011685552407932011	0.007524787535410765	0.008764164305949009	16225.558117917846	0.005697262966156415	7	0.010446175637393768	0.011272426817752597																					
8	TrialState.COMPLETE	0.013677407932011332	2020-01-03 15:52:43.271126	2020-01-03 15:57:10.486779	0.3237187822747381	10.329034966204132	150.0	1	10.0	0.005338786418170747	600.0	0.7335224083310536	0.000708215297450425	0.013677407932011332	0.008410056657223795	0.010269121813031162	14867.697370750708	0.00632546525003189	0.000708215297450425	0.013677407932011332	0.008410056657223795	0.010269121813031162	14867.69396246459	0.006325465733564908	0.000708215297450425	0.013677407932011332	0.008410056657223795	0.010269121813031162	14867.700779036828	0.006325464767201078	8	0.017970963172804534	0.015108593012275733																					
