number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.007613314447592068	2020-05-11 21:34:28.048961	2020-05-11 22:45:00.972989	1.888622812470643	128	0.3780973947178808	0.08772947343486864	62	0.08093731928658493	39	0.004340487013313915	128	0.8667845893009931	0.0017705382436260624	0.007613314447592068	0.0035410764872521247	0.004603399433427762	17571.625619688384	0.004404199022768071	0.0017705382436260624	0.007613314447592068	0.0035410764872521247	0.004603399433427762	17571.621990084986	0.004404199126336627	2121968449	200	0.0017705382436260624	0.007613314447592068	0.0035410764872521247	0.004603399433427762	17571.629249291786	0.004404198919250992	0	COMPLETE
1	0.010446175637393768	2020-05-11 22:45:01.027311	2020-05-11 23:13:07.441808	6.8215520560415435	64	0.39827117688158004	0.08762533355357366	18	0.07495851559286448	57	0.002320577835134573	128	0.7042113660625349	0.0010623229461756375	0.010446175637393768	0.005311614730878187	0.006728045325779037	14275.918997875355	0.005364250261198479	0.0010623229461756375	0.010446175637393768	0.005311614730878187	0.006728045325779037	14275.914660056656	0.005364250429657136	23095249	150	0.0010623229461756375	0.010446175637393768	0.005311614730878187	0.006728045325779037	14275.923335694051	0.005364250092866699	1	COMPLETE
2	0.006550991501416431	2020-05-11 23:13:07.496716	2020-05-12 00:35:51.130000	6.054841654467832	256	0.4263665815799674	0.43016779781689934	25	0.3836143002703357	22	0.002126239409492182	128	0.8720036188670385	0.0008852691218130312	0.006550991501416431	0.003186968838526912	0.0047804532577903685	17677.749026203965	0.0033444472481695985	0.0008852691218130312	0.006550991501416431	0.003186968838526912	0.0047804532577903685	17677.74026203966	0.003344447503466569	1876368156	250	0.0008852691218130312	0.006550991501416431	0.003186968838526912	0.0047804532577903685	17677.757790368272	0.0033444469930618845	2	COMPLETE
3	0.03381728045325779	2020-05-12 00:35:51.175453	2020-05-12 00:55:46.831994	7.690902408540735	64	0.005210026247180255	0.37519041463524166	31	0.08538402811539847	17	0.0013029734208517471	256	0.5397592435479731	0.006728045325779037	0.03381728045325779	0.015226628895184136	0.021246458923512748	10940.574893767705	0.01638783053589648	0.006728045325779037	0.03381728045325779	0.015226628895184136	0.021246458923512748	10940.573831444759	0.016387830543192747	1860234498	200	0.006728045325779037	0.03381728045325779	0.015226628895184136	0.021246458923512748	10940.575956090652	0.01638783052860137	3	COMPLETE
4	0.008144475920679886	2020-05-12 00:55:46.885468	2020-05-12 02:05:54.647277	4.792055464830452	128	0.21120820962894682	0.2502512000598394	32	0.0956132242007744	57	0.036434293234602705	128	0.96310468586756	0.0005311614730878187	0.008144475920679886	0.002478753541076487	0.003895184135977337	19523.8371990085	0.002983060660785843	0.01363314447592068	0.02160056657223796	0.015580736543909348	0.017174220963172806	19377.307896600567	0.016145151569011553	2573137616	200	0.0005311614730878187	0.008144475920679886	0.002478753541076487	0.003895184135977337	19670.36650141643	0.0029757114178556934	4	COMPLETE
5	0.010623229461756374	2020-05-12 02:05:54.684040	2020-05-12 03:29:17.900731	9.323286975606813	256	0.2665518178780724	0.4653186471298528	27	0.1949373307194195	68	0.0014833331806143103	256	0.7991145110983674	0.0030099150141643057	0.010623229461756374	0.006550991501416431	0.007613314447592068	16199.109861898018	0.006744206275140277	0.0030099150141643057	0.010623229461756374	0.006550991501416431	0.007613314447592068	16199.107825779036	0.006744206302958943	1962544541	150	0.0030099150141643057	0.010623229461756374	0.006550991501416431	0.007613314447592068	16199.111898016998	0.006744206247329905	5	COMPLETE
6	0.006373937677053824	2020-05-12 03:29:17.986826	2020-05-12 07:56:00.230053	6.727228716639847	256	0.09293802878413582	0.05805258627109777	56	0.06415375766673426	68	0.008037824634725637	128	0.7610768646128382	0.0003541076487252125	0.006373937677053824	0.0010623229461756375	0.0030099150141643057	15427.542847025496	0.003046882516949889	0.0003541076487252125	0.006373937677053824	0.0010623229461756375	0.0030099150141643057	15427.538774787536	0.0030468825554421344	3034805320	250	0.0003541076487252125	0.006373937677053824	0.0010623229461756375	0.0030099150141643057	15427.546919263455	0.0030468824784641185	6	COMPLETE
7	0.017705382436260624	2020-05-12 07:56:00.265756	2020-05-12 08:34:52.824239	3.8908318636564023	128	0.2635254044609513	0.11752174212182986	59	0.19283803472320066	33	0.002603995996471688	256	0.6696687607643957	0.0028328611898017	0.017705382436260624	0.007436260623229462	0.010623229461756374	13574.077903682719	0.008267009895852117	0.0028328611898017	0.017705382436260624	0.007436260623229462	0.010623229461756374	13574.076841359773	0.008267009938032888	870954697	150	0.0028328611898017	0.017705382436260624	0.007436260623229462	0.010623229461756374	13574.078966005665	0.0082670098536875	7	COMPLETE
8	0.007790368271954674	2020-05-12 08:34:52.864163	2020-05-12 08:57:08.822579	2.7633599986298814	64	0.33898988401202534	0.38950570872449425	56	0.31367057278328614	20	0.02867888623742434	512	0.7621086465093266	0.00017705382436260624	0.007790368271954674	0.002301699716713881	0.0033640226628895184	15449.409791076487	0.0034481394144113406	0.00017705382436260624	0.007790368271954674	0.002301699716713881	0.0033640226628895184	15449.408109065156	0.003448139424078324	2579609027	200	0.00017705382436260624	0.007790368271954674	0.002301699716713881	0.0033640226628895184	15449.41147308782	0.0034481394047453937	8	COMPLETE
9	0.012570821529745042	2020-05-12 08:57:08.860176	2020-05-12 10:07:37.639232	0.6084729353523498	256	0.015302805876878656	0.15778919269272407	25	0.1694219880489276	56	0.06998239358147083	256	0.8423689603006153	0.0003541076487252125	0.012570821529745042	0.00141643059490085	0.0035410764872521247	17075.82790368272	0.003884884747871652	0.5003541076487252	0.5125708215297451	0.5014164305949008	0.5035410764872521	6941.640580736544	0.5038602176814979	1870368285	150	0.0003541076487252125	0.012570821529745042	0.00141643059490085	0.0035410764872521247	27210.015226628897	0.003872550382212532	9	COMPLETE
