number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	251	301	351	401	451	501	551	601	651	701	751	801	851	901	1051	1101
0	TrialState.COMPLETE	0.3441167543504654	2020-01-09 16:35:44.456828	2020-01-09 17:24:20.246102	350.0	31.0	0.0011268154454444263	1200.0	0.47855325436565294	0.22329016592472684	0.3441167543504654	0.30709985835694054	0.3265757790368272	9699.5508776811	0.2707074578333836	0.22329016592472684	0.3441167543504654	0.30709985835694054	0.3265757790368272	9699.548588628086	0.2707074580476917	0.22329016592472684	0.3441167543504654	0.30709985835694054	0.3265757790368272	9699.553166734117	0.2707074576197094	0							0.34301227573182247	0.34360699498801484								
1	TrialState.COMPLETE	0.3338172804532578	2020-01-09 17:24:20.247049	2020-01-09 17:59:22.177199	350.0	91.0	0.003694405303320804	700.0	0.35861833060507936	0.1827372521246459	0.3338172804532578	0.2804532577903683	0.306657223796034	7269.222910764873	0.2396037548975449	0.1827372521246459	0.3338172804532578	0.2804532577903683	0.306657223796034	7269.2205559490085	0.23960375506384451	0.1827372521246459	0.3338172804532578	0.2804532577903683	0.306657223796034	7269.225265580737	0.23960375473154627	1			0.3353842067988669	0.3345136921624174												
2	TrialState.COMPLETE	0.24289423984891406	2020-01-09 17:59:22.178183	2020-01-09 18:50:08.649308	250.0	61.0	0.0763734063150698	700.0	0.5248635872061136	0.11488432483474977	0.24289423984891406	0.19920915958451368	0.2209395656279509	10640.32185434372	0.1635460124042347	0.11488432483474977	0.24289423984891406	0.19920915958451368	0.2209395656279509	10640.320054296506	0.16354601250901585	0.11488432483474977	0.24289423984891406	0.19920915958451368	0.2209395656279509	10640.323654390935	0.16354601229963894	2																
3	TrialState.COMPLETE	0.4091993439689876	2020-01-09 18:50:08.650256	2020-01-09 19:49:40.701444	450.0	1.0	0.0036036035212233188	1000.0	0.31629433322022826	0.18365140897569704	0.4091993439689876	0.34564633964514685	0.3799202325928135	6410.368593447145	0.27269545460163674	0.18365140897569704	0.4091993439689876	0.34564633964514685	0.3799202325928135	6410.3675171462655	0.2726954547225572	0.18365140897569704	0.4091993439689876	0.34564633964514685	0.3799202325928135	6410.3696697480245	0.27269545448096283	3												0.4076403932677887	0.4084631728045326			
4	TrialState.COMPLETE	0.34776912181303116	2020-01-09 19:49:40.702460	2020-01-09 20:35:20.471801	150.0	1.0	0.03913267584682762	1800.0	0.37575632252578745	0.12691218130311616	0.34776912181303116	0.2653328611898017	0.30862252124645895	7617.219236898017	0.2083178226394261	0.12691218130311616	0.34776912181303116	0.2653328611898017	0.30862252124645895	7617.218298512747	0.2083178227307112	0.12691218130311616	0.34776912181303116	0.2653328611898017	0.30862252124645895	7617.220175283286	0.20831782254835352	4													0.34615989927604657	0.34700685850603846		
5	TrialState.COMPLETE	0.37391800440667294	2020-01-09 20:35:20.472829	2020-01-09 21:02:55.324317	350.0	81.0	0.022557749516989023	2000.0	0.340700475569474	0.13983317595215614	0.37391800440667294	0.30061772112055396	0.3414581366068618	6904.949529823733	0.22895293956498947	0.13983317595215614	0.37391800440667294	0.30061772112055396	0.3414581366068618	6904.9483396285805	0.2289529395911561	0.13983317595215614	0.37391800440667294	0.30061772112055396	0.3414581366068618	6904.9507200188855	0.22895293953883972	5		0.37365944961554026	0.3738048866855524													
6	TrialState.COMPLETE	0.36351363314447593	2020-01-09 21:02:55.325339	2020-01-09 21:27:54.102044	450.0	51.0	0.025296943840915746	900.0	0.4192167211218038	0.1405364730878187	0.36351363314447593	0.30094723796033995	0.3365350566572238	8497.64068032932	0.22732969411889886	0.1405364730878187	0.36351363314447593	0.30094723796033995	0.3365350566572238	8497.63960694051	0.22732969413881648	0.1405364730878187	0.36351363314447593	0.30094723796033995	0.3365350566572238	8497.64175371813	0.22732969409898993	6	0.3632259206798867	0.3633903278025091														
7	TrialState.COMPLETE	0.2779376180358829	2020-01-09 21:27:54.102835	2020-01-09 22:38:40.957786	150.0	51.0	0.0010835167356457508	2000.0	0.5199245507684255	0.15512128186968838	0.2779376180358829	0.2296019239848914	0.2515197119924457	10538.428820673986	0.20036496958551198	0.15512128186968838	0.2779376180358829	0.2296019239848914	0.2515197119924457	10538.4272677644	0.20036496964935274	0.15512128186968838	0.2779376180358829	0.2296019239848914	0.2515197119924457	10538.43037358357	0.20036496952173394	7															0.27666269636878704	0.2773278728907501
8	TrialState.COMPLETE	0.40053741043159474	2020-01-09 22:38:40.958843	2020-01-09 23:34:40.090993	350.0	51.0	0.009763141370111163	800.0	0.2591039826638869	0.1947175470754874	0.40053741043159474	0.3367667888685219	0.3700737377103816	5250.736340818197	0.2750854830747759	0.19472796200633227	0.40053741043159474	0.3367667888685219	0.3700737377103816	5250.73546075654	0.2750889547686487	0.1947175470754874	0.40053741043159474	0.3367667888685219	0.3700737377103816	5250.737220879853	0.2750837472027746	8										0.3987960339943343	0.3997211402266289					
