number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	151	201	401	451	501	551	601	651	701	751	801	851	901	951	1151	1201
0	TrialState.COMPLETE	0.35103524412597903	2020-01-05 15:37:23.304045	2020-01-05 16:31:16.265925	0.2329743443953299	20.55710167772043	150.0	70.0	0.018953186483456393	800.0	0.3293480984594113	0.06432261289785036	0.35103524412597903	0.24256373937677053	0.3049804199300117	6675.002770371605	0.16461441495150753	0.06432261289785036	0.35103524412597903	0.24256373937677053	0.3049804199300117	6674.997000499917	0.16461441588809084	0.06432261289785036	0.35103524412597903	0.24256373937677053	0.3049804199300117	6675.008540243292	0.16461441401845067	0																
1	TrialState.COMPLETE	0.3607530689329556	2020-01-05 16:31:16.266938	2020-01-05 17:29:29.622046	0.7678508858398393	17.172875002405956	450.0	40.0	0.0016737203396536649	700.0	0.5869425921161564	0.10542965061378659	0.3607530689329556	0.29117091595845135	0.3306657223796034	11897.063473796034	0.20498716980974233	0.10542965061378659	0.3607530689329556	0.29117091595845135	0.3306657223796034	11897.059454674221	0.20498717001827038	0.10542965061378659	0.3607530689329556	0.29117091595845135	0.3306657223796034	11897.067492917848	0.20498716960177335	1																
2	TrialState.COMPLETE	0.38541821977038915	2020-01-05 17:29:29.623583	2020-01-05 18:28:02.468416	0.39324433337505726	6.668040143621487	250.0	30.0	0.0038575732481002044	1200.0	0.49612744358181365	0.1280471895035038	0.38541821977038915	0.31663746831668405	0.3561018339048755	10056.172879081556	0.22872786741686882	0.1280471895035038	0.38541821977038915	0.31663746831668405	0.3561018339048755	10056.171145817802	0.22872786919066282	0.1280471895035038	0.38541821977038915	0.31663746831668405	0.3561018339048755	10056.17461234531	0.22872786567370224	2											0.38447758706882185	0.38497403210576014				
3	TrialState.COMPLETE	0.1964117091595845	2020-01-05 18:28:02.469379	2020-01-05 18:41:17.029065	0.20891990977362768	4.891837210799061	50.0	40.0	0.04644494740363819	900.0	0.35040181041284857	0.06757554296506138	0.1964117091595845	0.1304886685552408	0.15793201133144477	7102.763323300283	0.11248334926986209	0.06757554296506138	0.1964117091595845	0.1304886685552408	0.15793201133144477	7102.762246222852	0.112483349339827	0.06757554296506138	0.1964117091595845	0.1304886685552408	0.15793201133144477	7102.764400377715	0.1124833491999721	3	0.193342776203966	0.1951841359773371														
4	TrialState.COMPLETE	0.36509860536064503	2020-01-05 18:41:17.030104	2020-01-05 19:36:02.433248	0.7005283568057997	14.7223985068223	450.0	90.0	0.003300727714765918	600.0	0.5288914332487794	0.12143168446284594	0.36509860536064503	0.2996840270211375	0.33832261930703855	10719.751382381783	0.2169845981698671	0.12143168446284594	0.36509860536064503	0.2996840270211375	0.33832261930703855	10719.748297559381	0.2169845983241622	0.12143168446284594	0.36509860536064503	0.2996840270211375	0.33832261930703855	10719.754467204184	0.21698459801573464	4																
5	TrialState.COMPLETE	0.3837369252560471	2020-01-05 19:36:02.434133	2020-01-05 21:15:32.788258	0.9906839269882126	6.014633220689896	450.0	20.0	0.0010043526751300953	1800.0	0.5474035494348123	0.12137039660056657	0.3837369252560471	0.3134397472216169	0.354999727609501	11095.14783313358	0.22412248516357075	0.12137039660056657	0.3837369252560471	0.3134397472216169	0.354999727609501	11095.145551863152	0.22412248522963016	0.12137039660056657	0.3837369252560471	0.3134397472216169	0.354999727609501	11095.15011440401	0.22412248509759147	5															0.3820157577903683	0.38291076487252124
6	TrialState.COMPLETE	0.3529863078375826	2020-01-05 21:15:32.789191	2020-01-05 22:11:21.528694	0.8284455543976551	2.4088047240495385	150.0	40.0	0.0016358136948132164	1800.0	0.5226387358376062	0.10368468681145734	0.3529863078375826	0.2813581995593327	0.3229265029902424	10593.79536020617	0.2002357788486853	0.10368468681145734	0.3529863078375826	0.2813581995593327	0.3229265029902424	10593.79382082153	0.20023577892651498	0.10368468681145734	0.3529863078375826	0.2813581995593327	0.3229265029902424	10593.796899590809	0.20023577877098855	6										0.35200513456090654	0.35252457923679387					
7	TrialState.COMPLETE	0.3542742876187302	2020-01-05 22:11:21.530488	2020-01-05 23:10:45.326326	0.21655889527484917	25.653044374991904	350.0	40.0	0.002312220225741621	1300.0	0.58057782605642	0.09958756873854357	0.3542742876187302	0.2806303116147309	0.32373771038160304	11768.095145600733	0.1977873205283026	0.09958756873854357	0.3542742876187302	0.2806303116147309	0.32373771038160304	11768.091807615398	0.1977873219146794	0.09958756873854357	0.3542742876187302	0.2806303116147309	0.32373771038160304	11768.098483586069	0.19778731915715903	7									0.3530925401322002	0.3537203434844193						
8	TrialState.COMPLETE	0.35222329016592474	2020-01-05 23:10:45.327409	2020-01-05 23:57:34.561411	0.6903440237410771	8.412038832623043	350.0	20.0	0.01311244403624062	1000.0	0.39537565715446654	0.007512140833670578	0.35222329016592474	0.24494131930392554	0.313385269121813	8013.779194910967	0.13333863935598056	0.007512140833670578	0.35222329016592474	0.24494131930392554	0.313385269121813	8013.777708923512	0.13333863939653898	0.007512140833670578	0.35222329016592474	0.24494131930392554	0.313385269121813	8013.780680898421	0.13333863931544263	8						0.35105347025495753	0.35168337328393984									
