number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351
0	TrialState.COMPLETE	0.01429077296641036	2020-01-08 12:04:29.349034	2020-01-08 12:51:18.507225	0.3106620909454795	11.12565537566656	450.0	60.0	0.07284920460624274	800.0	0.8812436121296635	0.0033893160663698908	0.01429077296641036	0.0073097936058276	0.009788547146904088	17865.137886989072	0.00703344752357709	0.0033893160663698908	0.01429077296641036	0.0073097936058276	0.009788547146904088	17865.109039862404	0.007033448921636084	0.0033893160663698908	0.01429077296641036	0.0073097936058276	0.009788547146904088	17865.16673411574	0.007033446129816553	0				0.01589943342776204	0.014961048158640227		
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-08 12:51:18.508920	2020-01-08 13:05:21.294739	0.5624226712187703	26.12080427374783	50.0	90.0	0.0014775837617030801	1300.0	1.0238924722617146	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20757.80322680595	0.0001989044208484019	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20757.795724150143	0.00019890456832430018	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20757.810729461755	0.00019890427350690226	1	0.00017705382436260624	0.00017705382436260624					
2	TrialState.COMPLETE	0.00483947119924457	2020-01-08 13:05:21.295828	2020-01-08 13:36:43.870113	0.5380243367737977	2.016342242309876	250.0	100.0	0.011426274281879244	700.0	0.9503517304078766	0.001534466477809254	0.00483947119924457	0.002891879131255902	0.0034525495750708213	19266.159171388103	0.0029098952714756206	0.001534466477809254	0.00483947119924457	0.002891879131255902	0.0034525495750708213	19266.144652974504	0.002909897579210348	0.001534466477809254	0.00483947119924457	0.002891879131255902	0.0034525495750708213	19266.1736898017	0.0029098929892421976	2			0.00398371104815864	0.004497167138810198			
3	TrialState.COMPLETE	0.0	2020-01-08 13:36:43.871203	2020-01-08 13:51:56.012003	0.4686738325618799	20.881437210925395	250.0	20.0	0.002381997391615476	1100.0	1.0440724084524309	0.0	0.0	0.0	0.0	21167.24794174929	0.0002052558892599188	0.0	0.0	0.0	0.0	21167.236101274786	0.00020525610353530402	0.0	0.0	0.0	0.0	21167.259782223795	0.0002052556752284612	3	0.0	0.0					
4	TrialState.COMPLETE	0.005766895993524888	2020-01-08 13:51:56.013129	2020-01-08 14:33:07.401222	0.5855569487044746	24.82840971071704	250.0	90.0	0.03921195527441104	1600.0	0.9177129261516428	0.0016187778227438284	0.005766895993524888	0.003035208417644678	0.004097531363820316	18604.289230068796	0.0032795937531823025	0.0016187778227438284	0.005766895993524888	0.003035208417644678	0.004097531363820316	18604.209328207202	0.003279597538823297	0.0016187778227438284	0.005766895993524888	0.003035208417644678	0.004097531363820316	18604.369131930394	0.0032795899776067046	4				0.004674220963172804	0.005311614730878187		
5	TrialState.COMPLETE	8.852691218130312e-05	2020-01-08 14:33:07.402837	2020-01-08 14:49:21.412271	0.5151793491492934	6.987705754606947	250.0	20.0	0.0035577878076662253	900.0	1.0276159518999783	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20833.351828080737	0.00021536948508401758	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20833.32732825779	0.0002153697522429734	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20833.376327903683	0.00021536921801590923	5	0.00017705382436260624	0.00011803588290840416					
6	TrialState.COMPLETE	0.012343180898421692	2020-01-08 14:49:21.413988	2020-01-08 15:36:21.910389	0.26572981266217965	5.47434464266882	450.0	50.0	0.01518086222718842	1700.0	0.9321790774847776	0.0036169566976932415	0.012343180898421692	0.00796742209631728	0.009535613112100364	18897.941471064347	0.0069160386327181125	0.0036169566976932415	0.012343180898421692	0.00796742209631728	0.009535613112100364	18897.914381829218	0.006916040641509435	0.0036169566976932415	0.012343180898421692	0.00796742209631728	0.009535613112100364	18897.968560299472	0.0069160366349082245	6				0.010906515580736544	0.011744570349386214		
7	TrialState.COMPLETE	0.006247470659651963	2020-01-08 15:36:21.911495	2020-01-08 16:21:19.955628	0.4815295375053077	13.67219744550257	350.0	80.0	0.010661064827688362	1100.0	0.9620206891626543	0.001669364629704573	0.006247470659651963	0.0036675435046539862	0.004679279643868879	19502.948363516796	0.0033393110256087237	0.001669364629704573	0.006247470659651963	0.0036675435046539862	0.004679279643868879	19502.89920578713	0.0033393135255521014	0.001669364629704573	0.006247470659651963	0.0036675435046539862	0.004679279643868879	19502.99752124646	0.003339308538354888	7				0.004851274787535411	0.0056657223796034		
8	TrialState.COMPLETE	0.0001327903682719547	2020-01-08 16:21:19.957163	2020-01-08 16:37:44.231930	0.4422097341242823	16.456013214067738	250.0	80.0	0.003380893995900371	1300.0	1.0304104634443674	0.0	0.0001327903682719547	0.0	0.0	20890.17685463881	0.00022506498390194196	0.0	0.0001327903682719547	0.0	0.0	20890.165368271955	0.0002250651367449449	0.0	0.0001327903682719547	0.0	0.0	20890.188341005665	0.00022506483110902527	8	8.852691218130312e-05	0.00011803588290840416					
9	TrialState.COMPLETE	0.0	2020-01-08 16:37:44.233041	2020-01-08 16:54:26.257865	0.2670189811225253	14.308317938456987	250.0	80.0	0.004087768235306326	1100.0	1.0407901092541254	0.0	0.0	0.0	0.0	21100.515270892352	0.0001828060609404227	0.0	0.0	0.0	0.0	21100.50190332861	0.0001828064976089975	0.0	0.0	0.0	0.0	21100.52863845609	0.0001828056249981663	9	0.0	0.0					
10	TrialState.COMPLETE	0.004213881019830028	2020-01-08 16:54:26.259645	2020-01-08 17:17:37.142981	0.389244998918697	5.97111075773394	150.0	50.0	0.019322768010142193	1200.0	0.951203015746701	0.0019475920679886685	0.004213881019830028	0.0028328611898017	0.003328611898016997	19283.89459985836	0.0028458370830402816	0.0019475920679886685	0.004213881019830028	0.0028328611898017	0.003328611898016997	19283.86409348442	0.002845837496222808	0.0019475920679886685	0.004213881019830028	0.0028328611898017	0.003328611898016997	19283.925106232295	0.00284583667003445	10		0.003600094428706327	0.00398371104815864				
11	TrialState.COMPLETE	0.005438081748280048	2020-01-08 17:17:37.144781	2020-01-08 17:58:18.337395	0.6157916397363549	16.13226368051587	250.0	60.0	0.010635376262149178	1300.0	0.9682015894602433	0.001441723998381222	0.005438081748280048	0.0028075677863213275	0.003869890732496965	19628.407830837717	0.0028875651058539865	0.001441723998381222	0.005438081748280048	0.0028075677863213275	0.003869890732496965	19628.30210441117	0.002887567664725435	0.001441723998381222	0.005438081748280048	0.0028075677863213275	0.003869890732496965	19628.513557264265	0.002887562552962466	11				0.004355524079320113	0.004987016052880076		
12	TrialState.COMPLETE	0.0002213172804532578	2020-01-08 17:58:18.338985	2020-01-08 18:18:56.613228	0.37000233797648663	3.720024922330346	450.0	80.0	0.0014388297995190451	1300.0	1.040395168640757	8.852691218130312e-05	0.0002213172804532578	0.00017705382436260624	0.00017705382436260624	21092.563252478754	0.00031048924630349713	8.852691218130312e-05	0.0002213172804532578	0.00017705382436260624	0.00017705382436260624	21092.547494688384	0.0003104896822971667	8.852691218130312e-05	0.0002213172804532578	0.00017705382436260624	0.00017705382436260624	21092.57901026912	0.000310488811125624	12	0.0002655807365439094	0.00023607176581680832					
