number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.16184525847312564	2020-03-10 09:41:19.323627	2020-03-10 14:21:15.060742	9.352880896428081	256	256	85	0.001190525451308328	128	0.21694926710914217	0.04558941001939975	0.16184525847312564	0.09132146525162615	0.11779641675225379	1540.333661417323	0.08513736696547486	0.04558941001939975	0.16184525847312564	0.09132146525162615	0.11779641675225379	1540.21396781924	0.08513738428428073	3115817454	300	0.04558941001939975	0.16184525847312564	0.09132146525162615	0.11779641675225379	1540.4533550154056	0.08513734997452478	0	COMPLETE
1	0.3976948533607212	2020-03-10 14:21:15.109081	2020-03-10 15:10:43.635462	1.351281528731218	128	128	43	0.0013283507035338166	512	0.03358326628964298	0.12792422686294647	0.3976948533607212	0.24309597169918978	0.3043763551295219	225.80088154741526	0.2175311678338793	0.12792422686294647	0.3976948533607212	0.24309597169918978	0.3043763551295219	225.80083875385142	0.2175311678385809	2100788812	200	0.12792422686294647	0.3976948533607212	0.24309597169918978	0.3043763551295219	225.80092434097912	0.21753116782917942	1	COMPLETE
2	0.0050211114914983455	2020-03-10 15:10:43.682325	2020-03-10 18:31:53.248604	2.5884520645455873	256	256	33	0.04603667466580664	128	0.9497906004378672	2.8529042565331506e-05	0.0050211114914983455	0.0009129293620906082	0.001911445851877211	6782.639521282666	0.0025284207257575677	0.0006561679790026247	0.008729887024991442	0.002852904256533151	0.00453611776788771	6520.422144242839	0.004228109962504758	3711595560	250	2.8529042565331506e-05	0.0050211114914983455	0.0009129293620906082	0.001911445851877211	7044.856898322492	0.00250591901105274	2	COMPLETE
3	0.09976606185096429	2020-03-10 18:31:53.283089	2020-03-10 19:56:28.734808	4.566566879697216	64	256	2	0.00173259990419334	128	0.2133295552252065	0.0291566815017688	0.09976606185096429	0.05372018715051923	0.06961086385940887	1509.2478175282438	0.05450914838664166	0.0291566815017688	0.09976606185096429	0.05372018715051923	0.06961086385940887	1509.245207120849	0.05450915578154969	4040735402	150	0.0291566815017688	0.09976606185096429	0.05372018715051923	0.06961086385940887	1509.2504279356385	0.05450914110746253	3	COMPLETE
4	0.130206550268173	2020-03-10 19:56:28.767137	2020-03-10 20:32:29.222169	4.156323005317221	128	256	43	0.0024681919150714997	512	0.20617565558387219	0.050239643957548784	0.130206550268173	0.08016660960858153	0.09913842291452699	1457.423798927308	0.07845404418230634	0.050239643957548784	0.130206550268173	0.08016660960858153	0.09913842291452699	1457.3948990071892	0.07845405794829055	2709051015	150	0.050239643957548784	0.130206550268173	0.08016660960858153	0.09913842291452699	1457.4526988474267	0.07845403047531095	4	COMPLETE
5	0.13867967591007646	2020-03-10 20:32:29.257283	2020-03-10 21:16:26.186549	4.448183408624657	128	256	75	0.0013208175700984064	512	0.21387705633597684	0.04476206778500513	0.13867967591007646	0.07874015748031496	0.10518657993837727	1514.5905654456237	0.07613234358958763	0.04476206778500513	0.13867967591007646	0.07874015748031496	0.10518657993837727	1514.5449332420403	0.07613235595442601	756765558	150	0.04476206778500513	0.13867967591007646	0.07874015748031496	0.10518657993837727	1514.636197649207	0.07613233124881544	5	COMPLETE
6	0.007331963939290197	2020-03-10 21:16:26.219649	2020-03-10 23:02:17.606828	8.886272482225586	128	128	66	0.036128841806379985	128	0.9567869235247132	0.0028243752139678192	0.007331963939290197	0.004279356384799726	0.005563163300239644	6831.400433641447	0.0048571895440623234	0.007988131918292823	0.026189661074974325	0.014264521282665754	0.01854387766746548	5586.5195709232	0.015176374312418129	2797903065	150	0.0028243752139678192	0.007132260641332877	0.004079653086842406	0.005277872874586329	8076.281296359694	0.004573282014772434	6	COMPLETE
7	0.08481684354673057	2020-03-10 23:02:17.643465	2020-03-10 23:41:09.619891	6.928340556293909	256	128	64	0.010152084572431174	512	0.34924193221870864	0.02330822777587584	0.08481684354673057	0.039056259271938835	0.05312107725664727	2487.058470272738	0.04369619405754061	0.02330822777587584	0.08481684354673057	0.039056259271938835	0.05312107725664727	2486.6801609038002	0.04369624760257813	3473021224	150	0.02330822777587584	0.08481684354673057	0.039056259271938835	0.05312107725664727	2487.436779641675	0.0436961415787041	7	COMPLETE
8	0.15009129293620907	2020-03-10 23:41:09.654862	2020-03-11 00:17:44.864157	4.241934882802819	256	64	70	0.002687926364119518	512	0.21004852407019178	0.037344516718018944	0.15009129293620907	0.07326258130777132	0.09962341663813762	1491.170617939062	0.07481419789005371	0.037344516718018944	0.15009129293620907	0.07326258130777132	0.09962341663813762	1491.1660675567728	0.07481420079043573	1816911400	150	0.037344516718018944	0.15009129293620907	0.07326258130777132	0.09962341663813762	1491.175168321351	0.07481419499483538	8	COMPLETE
9	0.3465137509985165	2020-03-11 00:17:44.946197	2020-03-11 02:39:54.697909	1.6333227254642928	64	64	12	0.001240257994243753	128	0.03933683538318682	0.10972269770626497	0.3465137509985165	0.20503822891703755	0.25921488074860205	268.32979573205523	0.18835111760436482	0.10972269770626497	0.3465137509985165	0.20503822891703755	0.25921488074860205	268.3297386739701	0.18835111771187227	2741374819	200	0.10972269770626497	0.3465137509985165	0.20503822891703755	0.25921488074860205	268.32985279014036	0.18835111749711606	9	COMPLETE
