number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10533707865168539	2020-05-21 11:27:33.649628	2020-05-21 11:31:36.682663	64	0.1652611129981783	150	30	512	0.9776651300219574	0.009831460674157303	0.10533707865168539	0.032303370786516857	0.05056179775280899	47.08286516853933	0.05459758232112334	0.009831460674157303	0.10533707865168539	0.032303370786516857	0.05056179775280899	47.08286516853933	0.05459758232112334	2883398921	200.0	0.009831460674157303	0.10533707865168539	0.032303370786516857	0.05056179775280899	47.08286516853933	0.05459758232112334	0	COMPLETE
1	0.10627340823970037	2020-05-21 11:31:36.700812	2020-05-21 11:34:53.314268	64	0.22703636428228116	50	24	128	0.9892862848309654	0.011235955056179775	0.10627340823970037	0.03089887640449438	0.05056179775280899	47.68632958801498	0.05434730967866258	0.011235955056179775	0.10627340823970037	0.03089887640449438	0.05056179775280899	47.68632958801498	0.05434730967866258	1385791402	150.0	0.011235955056179775	0.10627340823970037	0.03089887640449438	0.05056179775280899	47.68632958801498	0.05434730967866258	1	COMPLETE
2	0.13295880149812733	2020-05-21 11:34:53.329943	2020-05-21 11:53:03.459619	256	0.20598767956541222	450	8	512	0.8799873603593334	0.007958801498127341	0.13295880149812733	0.03698501872659176	0.06273408239700375	42.23033707865169	0.06041096299175779	0.007958801498127341	0.13295880149812733	0.03698501872659176	0.06273408239700375	42.23033707865169	0.06041096299175779	169178182	300.0	0.007958801498127341	0.13295880149812733	0.03698501872659176	0.06273408239700375	42.23033707865169	0.06041096299175779	2	COMPLETE
3	0.8838951310861424	2020-05-21 11:53:03.478831	2020-05-21 12:24:08.285034	256	0.4081294783362813	350	3	256	0.11011638806449173	0.25374531835205993	0.8838951310861424	0.5229400749063671	0.6816479400749064	5.302902621722846	0.44131465265852043	0.25374531835205993	0.8838951310861424	0.5229400749063671	0.6816479400749064	5.302902621722846	0.44131465265852043	1207701162		0.25374531835205993	0.8838951310861424	0.5229400749063671	0.6816479400749064	5.302902621722846	0.44131465265852043	3	COMPLETE
4	0.852996254681648	2020-05-21 12:24:08.300251	2020-05-21 12:48:41.383661	128	0.25517641627449617	200	7	256	0.12246964657452473	0.22612359550561797	0.852996254681648	0.48782771535580527	0.6404494382022472	5.906367041198502	0.4119472568251262	0.22612359550561797	0.852996254681648	0.48782771535580527	0.6404494382022472	5.906367041198502	0.4119472568251262	2329745981		0.22612359550561797	0.852996254681648	0.48782771535580527	0.6404494382022472	5.906367041198502	0.4119472568251262	4	COMPLETE
5	0.11938202247191011	2020-05-21 12:48:41.395643	2020-05-21 13:40:05.525187	256	0.21388536663837382	350	54	512	0.9416852063370331	0.012172284644194757	0.11938202247191011	0.0351123595505618	0.0599250936329588	45.39840823970037	0.05891001433454804	0.012172284644194757	0.11938202247191011	0.0351123595505618	0.0599250936329588	45.39840823970037	0.05891001433454804	1450185295	200.0	0.012172284644194757	0.11938202247191011	0.0351123595505618	0.0599250936329588	45.39840823970037	0.05891001433454804	5	COMPLETE
6	0.11938202247191011	2020-05-21 13:40:05.537303	2020-05-21 14:50:41.568018	64	0.19763677556649983	450	97	128	0.9551679270851255	0.012172284644194757	0.11938202247191011	0.032303370786516857	0.060861423220973786	46.12874531835206	0.05813871819722422	0.012172284644194757	0.11938202247191011	0.032303370786516857	0.060861423220973786	46.12874531835206	0.05813871819722422	574235845	400.0	0.012172284644194757	0.11938202247191011	0.032303370786516857	0.060861423220973786	46.12874531835206	0.05813871819722422	6	COMPLETE
7	0.9012172284644194	2020-05-21 14:50:41.579912	2020-05-21 15:29:08.912861	128	0.23271711480395285	150	12	128	0.1019258569701041	0.27762172284644193	0.9012172284644194	0.572565543071161	0.7144194756554307	4.913389513108614	0.4700215056354789	0.27762172284644193	0.9012172284644194	0.572565543071161	0.7144194756554307	4.913389513108614	0.4700215056354789	1826535274		0.27762172284644193	0.9012172284644194	0.572565543071161	0.7144194756554307	4.913389513108614	0.4700215056354789	7	COMPLETE
8	0.11235955056179775	2020-05-21 15:29:08.931068	2020-05-21 15:47:46.192722	128	0.43718671458735225	150	43	512	0.9786860599367415	0.01638576779026217	0.11235955056179775	0.03651685393258427	0.05711610486891386	47.17977528089887	0.05993381164097136	0.01638576779026217	0.11235955056179775	0.03651685393258427	0.05711610486891386	47.17977528089887	0.05993381164097136	2505356071	350.0	0.01638576779026217	0.11235955056179775	0.03651685393258427	0.05711610486891386	47.17977528089887	0.05993381164097136	8	COMPLETE
9	0.11704119850187265	2020-05-21 15:47:46.206648	2020-05-21 16:09:24.422644	256	0.17323833603894384	100	70	128	0.9057118618958507	0.010299625468164793	0.11704119850187265	0.02949438202247191	0.050093632958801496	43.62078651685393	0.057120005363876576	0.010299625468164793	0.11704119850187265	0.02949438202247191	0.050093632958801496	43.62078651685393	0.057120005363876576	3882466171	200.0	0.010299625468164793	0.11704119850187265	0.02949438202247191	0.050093632958801496	43.62078651685393	0.057120005363876576	9	COMPLETE
10	0.11657303370786516	2020-05-21 16:09:24.432693	2020-05-21 16:54:08.926328	128	0.4570358495598913	200	64	128	0.9500342785722614	0.008895131086142321	0.11657303370786516	0.035580524344569285	0.05805243445692884	45.813202247191015	0.056497458872409825	0.008895131086142321	0.11657303370786516	0.035580524344569285	0.05805243445692884	45.813202247191015	0.056497458872409825	693313297	400.0	0.008895131086142321	0.11657303370786516	0.035580524344569285	0.05805243445692884	45.813202247191015	0.056497458872409825	10	COMPLETE
11	0.12312734082397003	2020-05-21 16:54:08.938524	2020-05-21 18:54:02.893510	128	0.180639422947519	500	91	128	0.9090683197965392	0.011235955056179775	0.12312734082397003	0.03651685393258427	0.06835205992509363	43.78160112359551	0.06060361440037638	0.011235955056179775	0.12312734082397003	0.03651685393258427	0.06835205992509363	43.7813670411985	0.06060371090930113	3732106167	350.0	0.011235955056179775	0.12312734082397003	0.03651685393258427	0.06835205992509363	43.78183520599251	0.06060351982163011	11	COMPLETE
