number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451
0	TrialState.COMPLETE	0.017098340752731686	2020-01-14 14:03:28.617527	2020-01-14 14:39:52.715376	0.8041816583825979	22.648430662926614	9.285469710912484	0.019905276774329975	250.0	50.0	0.004167449711574116	1900.0	0.803092557791606	0.00556454876568191	0.017098340752731686	0.009080331849453662	0.011837312828814246	16279.72740034399	0.009870616563442585	0.00556454876568191	0.017098340752731686	0.009080331849453662	0.011837312828814246	16279.711604613516	0.009870617013075006	0.00556454876568191	0.017098340752731686	0.009080331849453662	0.011837312828814246	16279.743196074463	0.00987061611421293	0				0.01621813031161473	0.01673158640226629				
1	TrialState.COMPLETE	0.016971873735329827	2020-01-14 14:39:52.721876	2020-01-14 15:37:27.022779	0.8055229287768085	11.050882194193962	2.2790670784029636	0.04772914350735483	450.0	100.0	0.013462175193347555	1400.0	0.7060270170540757	0.006550991501416431	0.016971873735329827	0.009788547146904088	0.012343180898421692	14311.128009915014	0.010883462991125883	0.006550991501416431	0.016971873735329827	0.009788547146904088	0.012343180898421692	14311.102438284095	0.010883611584004362	0.006550991501416431	0.016971873735329827	0.009788547146904088	0.012343180898421692	14311.153581545932	0.010883329190274038	1				0.016111898016997167	0.016613550519357884				
2	TrialState.COMPLETE	0.017730675839740997	2020-01-14 15:37:27.025955	2020-01-14 16:33:45.702403	0.4410392753859065	24.01147179953149	7.168830460948631	0.012353950165180247	450.0	90.0	0.017490408262439285	900.0	0.6815274216862626	0.005943949817887495	0.017730675839740997	0.010420882233913395	0.012849048968029138	13813.988263860785	0.010675482574133895	0.005943949817887495	0.017730675839740997	0.010420882233913395	0.012849048968029138	13813.972986645083	0.010675482977283006	0.005943949817887495	0.017730675839740997	0.010420882233913395	0.012849048968029138	13814.003541076487	0.010675482171427676	2				0.01653682719546742	0.017233238904627007				
3	TrialState.COMPLETE	0.018312424119789558	2020-01-14 16:33:45.710878	2020-01-14 17:20:40.777656	0.403065387805285	28.149209462349795	6.597042770631462	0.02694721002282931	350.0	70.0	0.005677922371224357	800.0	0.7573455376656006	0.00589336301092675	0.018312424119789558	0.009181505463375152	0.011963779846216107	15352.136445265074	0.01036737796200517	0.00589336301092675	0.018312424119789558	0.009181505463375152	0.011963779846216107	15352.11301092675	0.010367379680408056	0.00589336301092675	0.018312424119789558	0.009181505463375152	0.011963779846216107	15352.1598796034	0.010367376251190014	3				0.017280453257790367	0.01788243626062323				
4	TrialState.COMPLETE	0.01732598138405504	2020-01-14 17:20:40.780247	2020-01-14 18:09:45.324392	0.11097668035133454	21.27465603864283	7.549966698276854	0.05866186941345023	350.0	90.0	0.023056927012367775	1600.0	0.7027796996383746	0.005741602590044516	0.01732598138405504	0.009636786726021853	0.012014366653176851	14245.358382233913	0.010448716515309627	0.005741602590044516	0.01732598138405504	0.009636786726021853	0.012014366653176851	14245.33829927155	0.010448719491899253	0.005741602590044516	0.01732598138405504	0.009636786726021853	0.012014366653176851	14245.378465196276	0.01044871357247723	4				0.016111898016997167	0.01682011331444759				
5	TrialState.COMPLETE	0.01819228045325779	2020-01-14 18:09:45.325974	2020-01-14 19:05:17.792313	0.5406452647339511	18.39399010825952	6.216740220797083	0.017502162062626926	350.0	70.0	0.04534212825525548	900.0	0.6537295887786845	0.0067059135977337115	0.01819228045325779	0.00980435552407932	0.012415899433427762	13250.228222379603	0.011194034898080416	0.0067059135977337115	0.01819228045325779	0.00980435552407932	0.012415899433427762	13250.216647485835	0.01119403560439172	0.0067059135977337115	0.01819228045325779	0.00980435552407932	0.012415899433427762	13250.23979727337	0.011194034195204348	5					0.0169971671388102	0.01768008903278025			
6	TrialState.COMPLETE	0.016390125455281263	2020-01-14 19:05:17.797725	2020-01-14 20:02:25.406670	0.4196637075750501	3.283958366641455	5.176693339065124	0.060323504338400946	450.0	90.0	0.026452668618796974	1000.0	0.6821439985318087	0.006879805746661271	0.016390125455281263	0.01004148118170781	0.011483205180089032	13826.936374443545	0.010941639253248694	0.006879805746661271	0.016390125455281263	0.01004148118170781	0.011483205180089032	13826.91089133954	0.010941640361293104	0.006879805746661271	0.016390125455281263	0.01004148118170781	0.011483205180089032	13826.961857547552	0.010941638147869526	6				0.01529745042492918	0.01593484419263456				
7	TrialState.COMPLETE	0.017831849453662486	2020-01-14 20:02:25.410675	2020-01-14 20:39:16.341406	0.5714178018444228	18.36076606977843	9.12153508994948	0.06129693599204393	250.0	40.0	0.016612762153265764	500.0	0.7246281528185331	0.0057163091865641445	0.017831849453662486	0.009459732901659247	0.013076689599352488	14688.761685552408	0.010460689025620565	0.0057163091865641445	0.017831849453662486	0.009459732901659247	0.013076689599352488	14688.740059692433	0.010460690307668389	0.0057163091865641445	0.017831849453662486	0.009459732901659247	0.013076689599352488	14688.783311412384	0.010460687748615414	7				0.016253541076487254	0.017174220963172806				
8	TrialState.COMPLETE	0.018287130716309188	2020-01-14 20:39:16.342711	2020-01-14 21:27:13.465920	0.4489402259675278	23.0054926009052	4.585601196241821	0.01669781686298449	350.0	80.0	0.005810897308261861	1100.0	0.750827114661812	0.007006272764063132	0.018287130716309188	0.010092067988668555	0.012747875354107648	15219.68445214488	0.01121480173715341	0.007006272764063132	0.018287130716309188	0.010092067988668555	0.012747875354107648	15219.66395184136	0.011214802214809317	0.007006272764063132	0.018287130716309188	0.010092067988668555	0.012747875354107648	15219.704952448401	0.01121480126000182	8				0.017245042492917848	0.01785292728989613				
