number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.017933023067583972	2020-01-14 21:27:13.478566	2020-01-14 22:15:38.953620	0.8819159669204508	8.610520137345986	4.5953227357126085	0.038493407594775916	450.0	20.0	0.005242969836099485	500.0	0.7684996347147315	0.007006272764063132	0.017933023067583972	0.010547349251315258	0.012773168757588022	15578.013848138406	0.011248628108293064	0.007006272764063132	0.017933023067583972	0.010547349251315258	0.012773168757588022	15577.988415621207	0.011248628882870754	0.007006272764063132	0.017933023067583972	0.010547349251315258	0.012773168757588022	15578.039280655605	0.011248627334927567	9				0.016961756373937677	0.017528328611898018				
10	TrialState.COMPLETE	0.018717118575475516	2020-01-14 22:15:38.958298	2020-01-14 22:56:10.330864	0.8299364433031996	25.429733483198017	4.836218242441828	0.03230269697066231	250.0	100.0	0.004289623248096193	700.0	0.8122249600940162	0.007436260623229462	0.018717118575475516	0.01037029542695265	0.012596114933225416	16465.03648573452	0.011432942947938268	0.007436260623229462	0.018717118575475516	0.01037029542695265	0.012596114933225416	16465.01714892756	0.011432944116250343	0.007436260623229462	0.018717118575475516	0.01037029542695265	0.012596114933225416	16465.055822541482	0.011432941784844873	10				0.017634560906515582	0.01826605288007554				
11	TrialState.COMPLETE	0.015846317280453256	2020-01-14 22:56:10.334190	2020-01-14 23:21:15.236764	0.9625987201867916	8.708083052219298	7.115339487182906	0.03426812122591558	150.0	80.0	0.011175597259510674	800.0	0.7713893040441258	0.00681657223796034	0.015846317280453256	0.009590415486307837	0.011567516525023608	15636.657474622285	0.010688849544441048	0.00681657223796034	0.015846317280453256	0.009590415486307837	0.011567516525023608	15636.644328375825	0.010688849874222377	0.00681657223796034	0.015846317280453256	0.009590415486307837	0.011567516525023608	15636.670620868745	0.010688849214899054	11			0.014562677053824363	0.0153328611898017					
12	TrialState.COMPLETE	0.01808478348846621	2020-01-14 23:21:15.238149	2020-01-14 23:59:57.416682	0.8156352457441353	7.22928445787267	2.3108603504471636	0.014716949058795503	250.0	80.0	0.004505989661697254	1200.0	0.7758793856140189	0.007031566167543505	0.01808478348846621	0.009965600971266694	0.012494941319303926	15727.865692027519	0.011135445225761735	0.007031566167543505	0.01808478348846621	0.009965600971266694	0.012494941319303926	15727.851375961149	0.0111354525965436	0.007031566167543505	0.01808478348846621	0.009965600971266694	0.012494941319303926	15727.880008093889	0.01113543800969684	12				0.01703257790368272	0.017646364494806423				
13	TrialState.COMPLETE	0.016491299069202752	2020-01-14 23:59:57.418048	2020-01-15 00:37:36.537909	0.3742878554810518	26.51390941735567	2.1628086960526267	0.025554126419046547	250.0	60.0	0.012604145644094226	1800.0	0.720817892741306	0.0052104411169566975	0.016491299069202752	0.00816976932416026	0.010547349251315258	14610.845280250911	0.009591289759350266	0.0052104411169566975	0.016491299069202752	0.00816976932416026	0.010547349251315258	14610.828890125455	0.009591290097987128	0.0052104411169566975	0.016491299069202752	0.00816976932416026	0.010547349251315258	14610.861670376366	0.009591289420996858	13				0.015580736543909348	0.016111898016997167				
14	TrialState.COMPLETE	0.0002213172804532578	2020-01-15 00:37:36.543005	2020-01-15 00:49:19.942544	0.8194251897462151	27.6379531777662	5.865388763872204	0.017014667589951484	50.0	40.0	0.04576934510090798	800.0	0.9142793917390537	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	18534.77607117564	0.0002567306496014616	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	18534.767174220964	0.0002567308592983898	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	18534.784968130312	0.00025673044007454385	14	8.852691218130312e-05	0.00017705382436260624							
15	TrialState.COMPLETE	0.0015492209631728046	2020-01-15 00:49:19.944169	2020-01-15 01:05:47.022241	0.7973568941960094	14.478324633238676	5.229953888131545	0.09094964043141984	250.0	80.0	0.0010799252154881933	1900.0	0.9679720822017759	0.0002655807365439094	0.0015492209631728046	0.0006639518413597734	0.0013279036827195468	19623.981453611897	0.0008220618929329098	0.0002655807365439094	0.0015492209631728046	0.0006639518413597734	0.0013279036827195468	19623.96467776204	0.0008220622700173336	0.0002655807365439094	0.0015492209631728046	0.0006639518413597734	0.0013279036827195468	19623.998229461755	0.0008220615161189041	15	0.0015049575070821529	0.001534466477809254							
16	TrialState.COMPLETE	0.012659348441926345	2020-01-15 01:05:47.023663	2020-01-15 01:31:07.015718	0.6037932364446288	14.743489627982445	2.5738851673672594	0.02713120789541828	150.0	30.0	0.05107606421109818	1600.0	0.695245001291059	0.0019180830972615676	0.012659348441926345	0.004603399433427762	0.007406751652502361	14092.446234655336	0.006076214329151938	0.0019180830972615676	0.012659348441926345	0.004603399433427762	0.007406751652502361	14092.435670443814	0.0060762145162644695	0.0019180830972615676	0.012659348441926345	0.004603399433427762	0.007406751652502361	14092.456798866855	0.006076214142139746	16			0.012880665722379604	0.012747875354107648					
17	TrialState.COMPLETE	0.017047753945770943	2020-01-15 01:31:07.017047	2020-01-15 02:20:50.873200	0.5315760432787635	6.003215692222027	6.9568933764749135	0.014625976749252976	450.0	40.0	0.014626596299370126	1300.0	0.6821227864112696	0.007486847430190206	0.017047753945770943	0.009055038445973291	0.011356738162687171	13826.139733407528	0.01124987412168682	0.007486847430190206	0.017047753945770943	0.009055038445973291	0.011356738162687171	13826.123027114529	0.011249874526937667	0.007486847430190206	0.017047753945770943	0.009055038445973291	0.011356738162687171	13826.156439700526	0.011249873716750708	17				0.016076487252124644	0.016643059490084985				
18	TrialState.COMPLETE	0.0011508498583569404	2020-01-15 02:20:50.886305	2020-01-15 02:32:43.444684	0.7834776955305216	27.421467421282298	6.19919066522455	0.01500670312353491	50.0	20.0	0.005780605735057875	2000.0	0.9563504009245766	0.00017705382436260624	0.0011508498583569404	0.0005311614730878187	0.0005311614730878187	19388.12218927054	0.0006607269469390586	0.00017705382436260624	0.0011508498583569404	0.0005311614730878187	0.0005311614730878187	19388.11455382436	0.0006607270945268724	0.00017705382436260624	0.0011508498583569404	0.0005311614730878187	0.0005311614730878187	19388.129824716714	0.0006607267994266711	18	0.00141643059490085	0.0012393767705382436							
19	TrialState.COMPLETE	0.0020361189801699716	2020-01-15 02:32:43.446472	2020-01-15 02:44:23.469550	0.6070523544554103	11.673382431188585	8.775140172145699	0.04908351775015486	50.0	30.0	0.09012819199856917	700.0	0.7754505156061872	0.0003541076487252125	0.0020361189801699716	0.000708215297450425	0.0010623229461756375	15718.858843838527	0.0011947819404821358	0.0003541076487252125	0.0020361189801699716	0.000708215297450425	0.0010623229461756375	15718.84702549575	0.0011947825553873944	0.0003541076487252125	0.0020361189801699716	0.000708215297450425	0.0010623229461756375	15718.870662181303	0.0011947813262405491	19	0.00141643059490085	0.0018295561850802645							
20	TrialState.COMPLETE	0.020927762039660056	2020-01-15 02:44:23.470753	2020-01-15 03:33:02.899964	0.8240040362169172	1.83601438850288	8.83595095094909	0.019328319699556163	150.0	30.0	0.05029226492953709	1700.0	0.6494804585269588	0.006267705382436261	0.020927762039660056	0.011349150141643059	0.014004957507082152	13164.26519121813	0.011637443369124242	0.006267705382436261	0.020927762039660056	0.011349150141643059	0.014004957507082152	13164.254904390935	0.011637443941716386	0.006267705382436261	0.020927762039660056	0.011349150141643059	0.014004957507082152	13164.275478045325	0.011637442797730773	20							0.01938739376770538	0.020243153918791314	
21	TrialState.COMPLETE	0.017528328611898018	2020-01-15 03:33:02.906670	2020-01-15 04:18:44.355417	0.8704262750275665	7.17190174053496	2.0346549546044574	0.07862857511679759	350.0	60.0	0.0215272101746183	1200.0	0.7071388765155554	0.0056657223796034	0.017528328611898018	0.009409146094698503	0.011938486442735735	14333.74592776204	0.01036447750161426	0.0056657223796034	0.017528328611898018	0.009409146094698503	0.011938486442735735	14333.725895386484	0.010364488177122917	0.0056657223796034	0.017528328611898018	0.009409146094698503	0.011938486442735735	14333.765960137596	0.010364467109237977	21				0.016607648725212466	0.017144711992445702				
22	TrialState.COMPLETE	0.014496281869688385	2020-01-15 04:18:44.356745	2020-01-15 04:56:12.296910	0.5200314997890685	22.64793040860331	8.281470669476008	0.02079516528743596	150.0	90.0	0.0025524735150423655	1100.0	0.852321609735437	0.006506728045325779	0.014496281869688385	0.009516643059490085	0.010866678470254958	17277.953899610482	0.009950316275806257	0.006506728045325779	0.014496281869688385	0.009516643059490085	0.010866678470254958	17277.936769652973	0.009950317281915134	0.006506728045325779	0.014496281869688385	0.009516643059490085	0.010866678470254958	17277.971029567987	0.00995031527290991	22					0.013308545797922568	0.013987252124645893			
23	TrialState.COMPLETE	0.017351274787535412	2020-01-15 04:56:12.298217	2020-01-15 05:48:46.618480	0.4373233753412049	15.755727961947727	3.5945465576890516	0.09537383456670039	450.0	60.0	0.01830755720147061	1300.0	0.7235161243756396	0.006905099150141643	0.017351274787535412	0.009889720760825577	0.011255564548765681	14665.699994941318	0.011098992008824153	0.006905099150141643	0.017351274787535412	0.009889720760825577	0.011255564548765681	14665.665140631323	0.01109902085722899	0.006905099150141643	0.017351274787535412	0.009889720760825577	0.011255564548765681	14665.734849251316	0.011098964434499987	23				0.016359773371104815	0.016938149197355996				
24	TrialState.COMPLETE	0.017904567988668556	2020-01-15 05:48:46.625498	2020-01-15 06:25:49.607533	0.5542554114045218	16.18500579588271	3.026615570687065	0.08218217584641334	150.0	50.0	0.006137765708670258	1400.0	0.8248194056158481	0.005311614730878187	0.017904567988668556	0.00911827195467422	0.012017528328611898	16720.59697016643	0.00972720384931658	0.005311614730878187	0.017904567988668556	0.00911827195467422	0.012017528328611898	16720.57429621105	0.009727205351134515	0.005311614730878187	0.017904567988668556	0.00911827195467422	0.012017528328611898	16720.619644121813	0.009727202351622537	24					0.016613550519357884	0.017351274787535412			
25	TrialState.COMPLETE	0.016900592325521505	2020-01-15 06:25:49.609237	2020-01-15 07:55:19.363619	0.7459253980913073	12.327680174108345	7.343364640781794	0.03757430779363095	350.0	100.0	0.0011583950719210767	1100.0	0.8630770573184505	0.006373937677053824	0.016900592325521505	0.009544810713365954	0.011701648210146794	17496.52725824105	0.010003395439607677	0.006373937677053824	0.016900592325521505	0.009544810713365954	0.011701648210146794	17496.498068503734	0.010003396204966515	0.006373937677053824	0.016900592325521505	0.009544810713365954	0.011701648210146794	17496.556447978368	0.01000339467505435	25								0.015541391249606547	0.016288951841359773
26	TrialState.COMPLETE	0.018261837312828814	2020-01-15 07:55:19.364949	2020-01-15 08:44:47.019085	0.898115990603644	25.841127732385413	2.30431481571635	0.07512663621757618	350.0	90.0	0.031767255028963826	1200.0	0.6874856687600712	0.003869890732496965	0.018261837312828814	0.007891541885876164	0.011407324969647916	13934.833468231485	0.009001429781425485	0.003869890732496965	0.018261837312828814	0.007891541885876164	0.011407324969647916	13934.815788142452	0.009001430213695759	0.003869890732496965	0.018261837312828814	0.007891541885876164	0.011407324969647916	13934.851148320518	0.00900142934958615	26				0.017492917847025495	0.01794145420207743				
27	TrialState.COMPLETE	0.017404390934844194	2020-01-15 08:44:47.020365	2020-01-15 09:51:59.205165	0.19106057351083727	16.516969538022067	1.9584188167039946	0.025839574676667566	350.0	10.0	0.0015924138628715585	1700.0	0.834907174836299	0.006338526912181303	0.017404390934844194	0.009171388101983003	0.012057365439093484	16925.32144121813	0.010153232996043092	0.006338526912181303	0.017404390934844194	0.009171388101983003	0.012057365439093484	16925.292829320115	0.010153233769155123	0.006338526912181303	0.017404390934844194	0.009171388101983003	0.012057365439093484	16925.350053116148	0.01015323222395202	27							0.01635534702549575	0.016938149197355996	
28	TrialState.COMPLETE	0.017370947434686812	2020-01-15 09:51:59.206566	2020-01-15 10:48:08.050307	0.9904327918886128	3.020053202051186	2.193122094157323	0.08004033325421658	250.0	90.0	0.002987515209825585	1300.0	0.8425169936095066	0.004505036197670759	0.017370947434686812	0.008675637393767706	0.010997009757632988	17079.55289974819	0.008819442904177993	0.004505036197670759	0.017370947434686812	0.008675637393767706	0.010997009757632988	17079.524354737172	0.008819443901115042	0.004505036197670759	0.017370947434686812	0.008675637393767706	0.010997009757632988	17079.581444759206	0.008819441908748211	28						0.016061311210036424	0.016797981586402267		
29	TrialState.COMPLETE	0.0003541076487252125	2020-01-15 10:48:08.062341	2020-01-15 11:01:28.619471	0.41377465103109545	15.032934451288366	6.200243849971628	0.05649519517458266	150.0	90.0	0.001008858425125018	800.0	0.991679732316226	0.0	0.0003541076487252125	0.0	0.0	20104.339699893768	0.00030174497862709565	0.0	0.0003541076487252125	0.0	0.0	20104.323698654393	0.0003017452543271637	0.0	0.0003541076487252125	0.0	0.0	20104.355701133143	0.00030174470305635245	29	0.00017705382436260624	0.0002950897072710104							
30	TrialState.COMPLETE	0.007107446377984622	2020-01-15 11:01:28.621041	2020-01-15 11:29:22.772809	0.5048781438645265	11.616545973176708	5.964325377198907	0.039166212398259515	50.0	10.0	0.0047509171306959995	1500.0	0.8723436931798706	0.002681100768919466	0.007107446377984622	0.00414811817078106	0.004805746661270741	17684.40494738972	0.004643758345044638	0.002681100768919466	0.007107446377984622	0.00414811817078106	0.004805746661270741	17684.392351274786	0.004643758585631212	0.002681100768919466	0.007107446377984622	0.00414811817078106	0.004805746661270741	17684.417543504653	0.004643758104576332	30				0.006550991501416431	0.006875590179414542				
31	TrialState.COMPLETE	0.01722480777013355	2020-01-15 11:29:22.774251	2020-01-15 12:14:14.377341	0.5691335228972697	20.74322389408107	6.7688830421169435	0.04216294326992712	350.0	50.0	0.014571919161795684	2000.0	0.7175627534854395	0.0057163091865641445	0.01722480777013355	0.009560906515580737	0.012064953460137596	14545.083986746256	0.010394525657551059	0.0057163091865641445	0.01722480777013355	0.009560906515580737	0.012064953460137596	14545.059743019021	0.01039452762483784	0.0057163091865641445	0.01722480777013355	0.009560906515580737	0.012064953460137596	14545.108230473492	0.010394523702734366	31				0.016111898016997167	0.01676109537299339				
32	TrialState.COMPLETE	0.01646600566572238	2020-01-15 12:14:14.390654	2020-01-15 12:44:01.959214	0.5347139801064908	6.462439673197526	2.883093242684481	0.04857262343440474	250.0	30.0	0.017239321602845123	1700.0	0.7452286941694868	0.006344428706326724	0.01646600566572238	0.009708451369216243	0.012128186968838528	15106.11751947592	0.010556043357014778	0.006344428706326724	0.01646600566572238	0.009708451369216243	0.012128186968838528	15106.0973796034	0.010556044148328749	0.006344428706326724	0.01646600566572238	0.009708451369216243	0.012128186968838528	15106.137659348442	0.010556042566875977	32			0.015138101983002833	0.01593484419263456					
33	TrialState.COMPLETE	0.018811968838526913	2020-01-15 12:44:01.960457	2020-01-15 13:37:26.688495	0.3869029164508637	18.26644097411591	3.313210907781793	0.026786202008616675	350.0	50.0	0.05069411752909773	700.0	0.6564545259987352	0.005378009915014165	0.018811968838526913	0.009627301699716715	0.012615084985835695	13305.472102956799	0.01043062650286965	0.005378009915014165	0.018811968838526913	0.009627301699716715	0.012615084985835695	13305.459985835694	0.010430627133713875	0.005378009915014165	0.018811968838526913	0.009627301699716715	0.012615084985835695	13305.484220077904	0.010430625873717313	33					0.018000472143531634	0.018464184540671794			
34	TrialState.COMPLETE	0.017410292728989613	2020-01-15 13:37:26.691136	2020-01-15 14:38:55.014988	0.7597033837172734	11.006116687209278	4.486512881944292	0.0904990552176935	350.0	50.0	0.003119252380071799	2000.0	0.8404412726488231	0.007455933270380862	0.017410292728989613	0.009836323575700346	0.012295404469625433	17037.291145341518	0.010910840196701523	0.007455933270380862	0.017410292728989613	0.009836323575700346	0.012295404469625433	17037.261508498585	0.01091084114851062	0.007455933270380862	0.017410292728989613	0.009836323575700346	0.012295404469625433	17037.32078218445	0.010910839246234214	34						0.0162636584378794	0.016908640226628895		
