Replicate	Epoch	Loss
0	0	0.0023974936064154644
0	1	0.00016681692504180468
0	2	0.00011810268078913054
0	3	0.00011755588034005695
0	4	0.00011737226382857653
0	5	0.00011708567865381623
0	6	0.00011667026129024983
0	7	0.00011644030785697765
0	8	0.00011580633369352775
0	9	0.00011554640844949345
0	10	0.00011494102090465818
0	11	0.00011468277819295876
0	12	0.00011453217752572621
0	13	0.00011415700408629148
0	14	0.00011371483303916628
0	15	0.00011327380491661147
0	16	0.00011271849037960601
0	17	0.00011263345874577001
0	18	0.00011217205767767164
0	19	0.00011182815097291741
0	20	0.00011122341784485088
0	21	0.00011060722879082314
0	22	0.0001103756392130855
0	23	0.00011005430483331695
0	24	0.00010931845709922124
0	25	0.00010941696685754766
0	26	0.00010815886261347616
0	27	0.00010756537088535025
0	28	0.00010696149086586118
0	29	0.0001056467552829962
0	30	0.00010460619168051072
0	31	0.0001031491632110649
0	32	0.00010122521921777866
0	33	9.833926671078031e-05
0	34	9.422792645565989e-05
0	35	8.823920496346496e-05
0	36	8.205376644664523e-05
0	37	7.941558456581809e-05
0	38	7.969394013918465e-05
0	39	7.959235439385943e-05
0	40	7.933288634578502e-05
0	41	7.91958175477232e-05
0	42	7.919007215558757e-05
0	43	7.896749544083866e-05
0	44	7.88822192293119e-05
0	45	7.867429332371251e-05
0	46	7.840220254195712e-05
0	47	7.83748153443274e-05
0	48	7.822510546690262e-05
0	49	7.817750433022169e-05
0	50	7.816741798689344e-05
0	51	7.808050039166625e-05
0	52	7.782701349185185e-05
0	53	7.779297479501061e-05
0	54	7.779395653549741e-05
0	55	7.767730124417465e-05
0	56	7.769432687604619e-05
0	57	7.759307405585302e-05
0	58	7.754406616004832e-05
0	59	7.751332215236331e-05
0	60	7.744874053549138e-05
0	61	7.737145186310195e-05
0	62	7.723736406461983e-05
0	63	7.742771233558002e-05
0	64	7.722012648735281e-05
0	65	7.719345304517446e-05
0	66	7.719189307554068e-05
0	67	7.709006704460955e-05
0	68	7.703910590253891e-05
0	69	7.703530038294173e-05
0	70	7.69743638331206e-05
0	71	7.704276428014735e-05
0	72	7.700969298175543e-05
0	73	7.697853257606876e-05
0	74	7.68958473699448e-05
0	75	7.693273554354912e-05
0	76	7.68291825036207e-05
0	77	7.679126988683229e-05
0	78	7.683620215665747e-05
0	79	7.686158510513862e-05
0	80	7.686383007275795e-05
0	81	7.687922120184188e-05
0	82	7.673305990494616e-05
0	83	7.679968674939644e-05
0	84	7.676124327213453e-05
0	85	7.674730636529398e-05
0	86	7.680063518861297e-05
0	87	7.682051461889966e-05
0	88	7.677562832473944e-05
0	89	7.668314372857078e-05
0	90	7.675261767909227e-05
0	91	7.676565366285334e-05
0	92	7.673141856031272e-05
0	93	7.666694722870873e-05
0	94	7.674553724742767e-05
0	95	7.672834906030382e-05
0	96	7.667786420400257e-05
0	97	7.678235195766235e-05
0	98	7.66297564706729e-05
0	99	7.660405513056096e-05
0	100	7.669859000386078e-05
0	101	7.673213783379231e-05
0	102	7.667679083647253e-05
0	103	7.675211858938899e-05
0	104	7.668713154158816e-05
0	105	7.674134740360326e-05
0	106	7.67493506238407e-05
0	107	7.677266622535471e-05
0	108	7.676063509446457e-05
0	109	7.661149574005995e-05
0	110	7.677648333670077e-05
0	111	7.684169087682095e-05
0	112	7.674949250945776e-05
0	113	7.678451053786409e-05
0	114	7.67410555954695e-05
0	115	7.686717441195094e-05
0	116	7.687386390882033e-05
0	117	7.67323730209211e-05
0	118	7.681394810789779e-05
0	119	7.695411929746157e-05
0	120	7.686645997557868e-05
0	121	7.685283066075602e-05
0	122	7.680785206306863e-05
0	123	7.696172810723777e-05
0	124	7.6860620581918e-05
0	125	7.677793373814742e-05
0	126	7.685808667715612e-05
0	127	7.701806741752236e-05
0	128	7.688474762621005e-05
0	129	7.695098703603117e-05
0	130	7.697984100496215e-05
0	131	7.696222453179278e-05
0	132	7.701256637645027e-05
0	133	7.708355555990583e-05
0	134	7.700062147229443e-05
0	135	7.705680866330907e-05
0	136	7.704596825171949e-05
0	137	7.694376164676336e-05
0	138	7.709432881726213e-05
0	139	7.694860762297622e-05
0	140	7.701614308527344e-05
0	141	7.696907890427477e-05
0	142	7.703892439745943e-05
0	143	7.706444882072416e-05
0	144	7.711223092480248e-05
0	145	7.707808447884382e-05
0	146	7.707336613087053e-05
0	147	7.707659053801563e-05
0	148	7.703809184704919e-05
0	149	7.710599791680564e-05
0	150	7.699101495747838e-05
0	151	7.709356277527323e-05
0	152	7.70930049712842e-05
0	153	7.707528930766496e-05
0	154	7.703588604082412e-05
0	155	7.703745145454192e-05
0	156	7.712372178230923e-05
0	157	7.708219904686688e-05
0	158	7.698520713722353e-05
0	159	7.711376156871826e-05
0	160	7.710548865749445e-05
0	161	7.713570295049687e-05
0	162	7.716431523689164e-05
0	163	7.710744414914409e-05
0	164	7.718378582946566e-05
0	165	7.704992409711662e-05
0	166	7.711170811126319e-05
0	167	7.71252042730209e-05
0	168	7.706413514668091e-05
0	169	7.714310980823523e-05
0	170	7.715242286540999e-05
0	171	7.718108859606114e-05
0	172	7.711921040063002e-05
0	173	7.712142818848355e-05
0	174	7.711588229923562e-05
0	175	7.724786568413211e-05
0	176	7.71460574889894e-05
0	177	7.723376777881924e-05
0	178	7.71113816154326e-05
0	179	7.719252098366408e-05
0	180	7.720292036484397e-05
0	181	7.717410592555539e-05
0	182	7.721656133862691e-05
0	183	7.723719384288198e-05
0	184	7.71775147708097e-05
0	185	7.71654220325636e-05
0	186	7.724263317605464e-05
0	187	7.717933618489516e-05
0	188	7.72503223362661e-05
0	189	7.723480466917188e-05
0	190	7.720137922987784e-05
0	191	7.729491912029496e-05
0	192	7.722170427491638e-05
0	193	7.729607892367828e-05
0	194	7.724416719289807e-05
0	195	7.723200471097813e-05
0	196	7.72696537765735e-05
0	197	7.72723981616845e-05
0	198	7.720096085798617e-05
0	199	7.721569290488685e-05
0	200	7.723969923612841e-05
0	201	7.720333565015063e-05
0	202	7.731273227773875e-05
0	203	7.725950089967925e-05
0	204	7.717420302741799e-05
0	205	7.735485906544183e-05
0	206	7.728929135390575e-05
0	207	7.724669760599409e-05
0	208	7.727237841502658e-05
0	209	7.724361130767244e-05
0	210	7.733917833425277e-05
0	211	7.719675597993688e-05
0	212	7.729880750909277e-05
0	213	7.726627403738298e-05
0	214	7.727785282019666e-05
0	215	7.736101108192574e-05
0	216	7.726829080082753e-05
0	217	7.734012130933126e-05
0	218	7.729563086617382e-05
0	219	7.730830684161445e-05
0	220	7.737078223432882e-05
0	221	7.725477975305804e-05
0	222	7.722072354896069e-05
0	223	7.730071462894414e-05
0	224	7.729692010878425e-05
0	225	7.724779158240951e-05
0	226	7.74166964177536e-05
0	227	7.744732514368017e-05
0	228	7.737666033044709e-05
0	229	7.734321191419357e-05
0	230	7.739675303466794e-05
0	231	7.724797179875121e-05
0	232	7.733565407077785e-05
0	233	7.734026239801433e-05
0	234	7.728922560289063e-05
0	235	7.740621445827357e-05
0	236	7.739231645170639e-05
0	237	7.740750161456468e-05
0	238	7.727322620022326e-05
0	239	7.738009625603696e-05
0	240	7.738328013340276e-05
0	241	7.734076948045773e-05
0	242	7.736296352469918e-05
0	243	7.733294972312349e-05
0	244	7.735960798214646e-05
0	245	7.737224976736416e-05
0	246	7.744607134038738e-05
0	247	7.737173442968578e-05
0	248	7.733234169109786e-05
0	249	7.731331469539374e-05
0	250	7.734561822566859e-05
0	251	7.732583042857218e-05
0	252	7.74791414887335e-05
0	253	7.732560958399485e-05
0	254	7.738382506747082e-05
0	255	7.718828172380534e-05
0	256	7.741412470080668e-05
0	257	7.733164704638722e-05
0	258	7.728420845261413e-05
0	259	7.735246765175929e-05
0	260	7.732392822989459e-05
0	261	7.744847641948974e-05
0	262	7.738702438339215e-05
0	263	7.743852825613569e-05
0	264	7.743441906966533e-05
0	265	7.731561235272829e-05
0	266	7.729148053780219e-05
0	267	7.724090929494313e-05
0	268	7.731844313400599e-05
0	269	7.738164916289679e-05
