number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.02762172284644195	2020-05-12 09:52:07.720092	2020-05-12 09:53:07.893943	2.8209411285719863	256	1	96	512	1.254637214297617	0.0	0.02762172284644195	0.0028089887640449437	0.009363295880149813	60.495318352059925	0.02470902512651338	0.0	0.02762172284644195	0.0028089887640449437	0.009363295880149813	60.495318352059925	0.02470902512651338	2191642052	150	0.0	0.02762172284644195	0.0028089887640449437	0.009363295880149813	60.495318352059925	0.02470902512651338	0	COMPLETE
1	0.0	2020-05-12 09:53:07.910327	2020-05-12 09:54:22.473002	5.319981015433393	64	1	35	256	1.6058820750606193	0.0	0.0	0.0	0.0	77.50280898876404	0.013667406259657167	0.0	0.0	0.0	0.0	77.50280898876404	0.013667406259657167	3353558622	150	0.0	0.0	0.0	0.0	77.50280898876404	0.013667406259657167	1	COMPLETE
2	0.0	2020-05-12 09:54:22.484215	2020-05-12 09:55:13.026403	6.380536822381778	128	2	55	512	1.647812779783533	0.0	0.0	0.0	0.0	79.52340823970037	0.012892035395240566	0.0	0.0	0.0	0.0	79.52340823970037	0.012892035395240566	3903366078	150	0.0	0.0	0.0	0.0	79.52340823970037	0.012892035395240566	2	COMPLETE
3	0.03136704119850187	2020-05-12 09:55:13.038549	2020-05-12 09:57:23.139019	2.9281860382568237	128	1	25	128	1.2697208457598497	0.0	0.03136704119850187	0.0028089887640449437	0.008895131086142321	61.2439138576779	0.02476214246375306	0.0	0.03136704119850187	0.0028089887640449437	0.008895131086142321	61.2439138576779	0.02476214246375306	795575640	150	0.0	0.03136704119850187	0.0028089887640449437	0.008895131086142321	61.2439138576779	0.02476214246375306	3	COMPLETE
4	0.02902621722846442	2020-05-12 09:57:23.158006	2020-05-12 10:00:24.419044	4.888399950472372	256	1	77	256	1.277062663105613	0.0	0.02902621722846442	0.006554307116104869	0.009363295880149813	61.66198501872659	0.02477938974704935	0.0	0.02902621722846442	0.006554307116104869	0.009363295880149813	61.66198501872659	0.02477938974704935	2913067507	250	0.0	0.02902621722846442	0.006554307116104869	0.009363295880149813	61.66198501872659	0.02477938974704935	4	COMPLETE
5	0.0	2020-05-12 10:00:24.431552	2020-05-12 10:01:14.498472	9.6423436469828	128	2	55	512	1.6448342204931077	0.0	0.0	0.0	0.0	79.38342696629213	0.01294043097568613	0.0	0.0	0.0	0.0	79.38342696629213	0.01294043097568613	3120004154	150	0.0	0.0	0.0	0.0	79.38342696629213	0.01294043097568613	5	COMPLETE
6	0.02949438202247191	2020-05-12 10:01:14.510767	2020-05-12 10:02:42.586705	3.122134825161724	256	1	60	256	1.2428841941383029	0.0	0.02949438202247191	0.0032771535580524347	0.008426966292134831	59.98899812734082	0.025499127060665275	0.0	0.02949438202247191	0.0032771535580524347	0.008426966292134831	59.98876404494382	0.0254991662868734	1549362592	150	0.0	0.02949438202247191	0.0032771535580524347	0.008426966292134831	59.98923220973783	0.02549908833735725	6	COMPLETE
7	0.0	2020-05-12 10:02:42.597700	2020-05-12 10:03:36.106523	1.4814879062901298	256	2	88	512	1.6495915409665876	0.0	0.0	0.0	0.0	79.62125468164794	0.01286292547248432	0.0	0.0	0.0	0.0	79.62125468164794	0.01286292547248432	90997108	150	0.0	0.0	0.0	0.0	79.62125468164794	0.01286292547248432	7	COMPLETE
8	0.0009363295880149813	2020-05-12 10:03:36.118559	2020-05-12 10:04:24.718532	2.21936465951723	64	1	57	512	1.5862382790980658	0.0	0.0009363295880149813	0.00046816479400749064	0.00046816479400749064	76.55664794007491	0.014174983383745201	0.0	0.0009363295880149813	0.00046816479400749064	0.00046816479400749064	76.55664794007491	0.014174983383745201	2611179828	150	0.0	0.0009363295880149813	0.00046816479400749064	0.00046816479400749064	76.55664794007491	0.014174983383745201	8	COMPLETE
9	0.0299625468164794	2020-05-12 10:04:24.730409	2020-05-12 10:07:10.813492	2.859728903620395	128	1	74	128	1.2444838637186124	0.0	0.0299625468164794	0.003745318352059925	0.014044943820224719	60.022940074906366	0.02583159450322918	0.0	0.0299625468164794	0.003745318352059925	0.014044943820224719	60.022940074906366	0.02583159450322918	2303123582	150	0.0	0.0299625468164794	0.003745318352059925	0.014044943820224719	60.022940074906366	0.02583159450322918	9	COMPLETE
