number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	1251	1301
0	TrialState.COMPLETE	0.005748602076914299	2020-01-22 08:20:11.000172	2020-01-22 08:33:19.403557	150.0	2	61.0	0.006889964569317069	700.0	1.063108150047584	0.005135227661759671	0.005748602076914299	0.005313534177792993	0.005491840693826315	7599.722473040055	0.005711184861740154	0.005135227661759671	0.005748602076914299	0.005313534177792993	0.005491840693826315	7599.7161930845605	0.005711185821741514	0.005135227661759671	0.005748602076914299	0.005313534177792993	0.005491840693826315	7599.728752995549	0.005711183904639016	0	0.005791395640762296	0.005762866598196964		
1	TrialState.COMPLETE	0.1883297196546084	2020-01-22 08:33:19.404372	2020-01-22 11:12:11.450813	250.0	1	31.0	0.012167057522299842	1300.0	0.6167244588041066	0.009263485784083753	0.1883297196546084	0.12210958533564947	0.1535982519093326	4379.405859971006	0.07587672719991177	0.009263485784083753	0.1883297196546084	0.12211064196685559	0.1535982519093326	4379.401378269746	0.0758768335176854	0.009263485784083753	0.1883297196546084	0.12210958533564947	0.1535982519093326	4379.410341672266	0.07587664211529122	1				
2	TrialState.COMPLETE	0.15166710299320002	2020-01-22 11:12:11.451626	2020-01-22 12:49:59.446491	250.0	2	21.0	0.06100434680514901	800.0	0.7177928544122688	0.07636385605252029	0.15166710299320002	0.11350531311463305	0.12960911855327548	5102.581461324688	0.10188208278325464	0.07636385605252029	0.15166710299320002	0.11350531311463305	0.12960911855327548	5102.5736200334295	0.10188209063840152	0.07636385605252029	0.15166710299320002	0.11350531311463305	0.12960911855327548	5102.589302615946	0.10188207513874749	2				
3	TrialState.COMPLETE	0.0057272052949903	2020-01-22 12:49:59.447338	2020-01-22 13:03:49.156465	150.0	2	81.0	0.0018382504429820098	1400.0	1.0309233799526123	0.005135227661759671	0.0057272052949903	0.005277872874586329	0.005370592262923656	7368.918802778729	0.005752224645138944	0.005135227661759671	0.0057272052949903	0.005277872874586329	0.005370592262923656	7368.913357297729	0.005752225078234021	0.005135227661759671	0.0057272052949903	0.005277872874586329	0.005370592262923656	7368.924248259728	0.00575222421247334	3	0.005748602076914299	0.005734337555631633		
4	TrialState.COMPLETE	0.005734337555631633	2020-01-22 13:03:49.157363	2020-01-22 13:16:07.747330	150.0	2	11.0	0.006865360440153977	1500.0	0.9717665744670173	0.005135227661759671	0.005734337555631633	0.005363460002282323	0.005434782608695652	6938.605742896269	0.005785854838395271	0.005135227661759671	0.005734337555631633	0.005363460002282323	0.005434782608695652	6938.599958632888	0.0057858555598078246	0.005135227661759671	0.005734337555631633	0.005363460002282323	0.005434782608695652	6938.611527159648	0.005785854118760812	4	0.0056487504279356384	0.005705808513066302		
5	TrialState.COMPLETE	0.055935942789759975	2020-01-22 13:16:07.748163	2020-01-22 16:05:12.313613	350.0	1	81.0	0.0012005153410219226	1000.0	0.8680613820880032	0.005135227661759671	0.055935942789759975	0.05045700809137988	0.05273797297076996	6188.0273933149665	0.029263317918767337	0.005135227661759671	0.055935942789759975	0.05045700809137988	0.05273797297076996	6188.021748640115	0.029263319764749367	0.005135227661759671	0.055935942789759975	0.05045700809137988	0.05273797297076996	6188.033037989817	0.029263316090737283	5				
6	TrialState.COMPLETE	0.12272243143520103	2020-01-22 16:05:12.314471	2020-01-22 19:17:45.912510	150.0	1	41.0	0.006445642472473819	1600.0	0.7630382879286225	0.005213898657924676	0.12272243143520103	0.09527057635582113	0.10938640081057062	5429.943212076258	0.05358164690129542	0.005213898657924676	0.12272243143520103	0.09527144087226251	0.10938640081057062	5429.939974029926	0.05358168985156105	0.005213898657924676	0.12272243143520103	0.09527057635582113	0.10938640081057062	5429.946450122588	0.05358161426224937	6				
7	TrialState.COMPLETE	0.19422360852236464	2020-01-22 19:17:45.913369	2020-01-22 22:34:23.012100	250.0	1	81.0	0.034671855457551255	1300.0	0.5976389117559788	0.011475014898500006	0.19422360852236464	0.1243517567550433	0.1571506460243194	4243.623141914024	0.0786856989821353	0.011475014898500006	0.19422360852236464	0.12435281338624943	0.15715170265552555	4243.618848821434	0.07868577332655119	0.011475014898500006	0.19422360852236464	0.1243517567550433	0.1571506460243194	4243.627435006614	0.07868564054034409	7				
8	TrialState.COMPLETE	0.19808479666446785	2020-01-22 22:34:23.013033	2020-01-23 02:51:34.220831	250.0	2	21.0	0.04691134425556375	2000.0	0.6033511810257391	0.0937373880756952	0.19808479666446785	0.14382673268704615	0.16713287297200258	4277.254789399999	0.1288155020479482	0.0937373880756952	0.19808479666446785	0.14382673268704615	0.16713287297200258	4277.247811613686	0.12881551527963309	0.0937373880756952	0.19808479666446785	0.14382673268704615	0.16713287297200258	4277.261767186313	0.1288154897605788	8				
9	TrialState.COMPLETE	0.1256381822782549	2020-01-23 02:51:34.221503	2020-01-23 04:57:19.388815	50.0	1	51.0	0.04772156680214976	1100.0	0.7022898261714581	0.010322551836029948	0.1256381822782549	0.0752583738941895	0.09615155619725228	4993.368529489107	0.051212752816984786	0.010323792229184963	0.1256381822782549	0.0752583738941895	0.09615279659040729	4993.366479119221	0.05121321199912767	0.010322551836029948	0.1256381822782549	0.0752583738941895	0.09615155619725228	4993.370579858992	0.05121250642871181	9				
10	TrialState.COMPLETE	0.005620221385370307	2020-01-23 04:57:19.389761	2020-01-23 05:15:02.955543	450.0	2	51.0	0.017336887639418066	1300.0	1.1096587297419331	0.005135227661759671	0.005620221385370307	0.005227947050096999	0.005349195480999658	7938.9137638365855	0.005664713725394552	0.005135227661759671	0.005620221385370307	0.005227947050096999	0.005349195480999658	7938.90280155198	0.005664714960479573	0.005135227661759671	0.005620221385370307	0.005227947050096999	0.005349195480999658	7938.924726121191	0.005664712494366586	10	0.00567727947050097	0.005639240747080528		
11	TrialState.COMPLETE	0.005598824603446308	2020-01-23 05:15:02.956340	2020-01-23 05:26:56.263679	50.0	2	21.0	0.0016249052383663764	2000.0	0.998630197784732	0.005071037315987676	0.005598824603446308	0.0052992696565103276	0.005391989044847655	7135.038239615428	0.0057188992072713775	0.005071037315987676	0.005598824603446308	0.0052992696565103276	0.005391989044847655	7135.034955209403	0.005718899454671662	0.005071037315987676	0.005598824603446308	0.0052992696565103276	0.005391989044847655	7135.041524021454	0.005718898960216842	11	0.005605956864087641	0.005601202023660086		
12	TrialState.COMPLETE	0.005641618167294305	2020-01-23 05:26:56.264607	2020-01-23 05:40:37.772603	250.0	2	51.0	0.05101495822219622	1600.0	1.0839090480133395	0.005120963140477006	0.005641618167294305	0.005235079310738332	0.0054133858267716535	7753.46964509871	0.005674480542561951	0.005120963140477006	0.005641618167294305	0.005235079310738332	0.0054133858267716535	7753.461043592377	0.005674481631058817	0.005120963140477006	0.005641618167294305	0.005235079310738332	0.0054133858267716535	7753.478246605044	0.0056744794562725	12	0.005634485906652973	0.005639240747080528		
13	TrialState.COMPLETE	0.18750770284149265	2020-01-23 05:40:37.773319	2020-01-23 08:04:57.620832	350.0	1	11.0	0.003586484124201996	1200.0	0.628422281866864	0.007052379322149948	0.18750770284149265	0.12383772680588839	0.15350793107383318	4464.327638365857	0.0749706340058747	0.007052379322149948	0.18750770284149265	0.12383886796759101	0.15350793107383318	4464.322536802465	0.07497080931185125	0.007052379322149948	0.18750770284149265	0.12383772680588839	0.15350793107383318	4464.332739929248	0.0749705105223707	13				
14	TrialState.COMPLETE	0.23134404395102787	2020-01-23 08:04:57.621550	2020-01-23 12:07:38.208996	450.0	1	81.0	0.055777412224099904	2000.0	0.4164754944055638	0.038415374708596205	0.23134404395102787	0.14254230449454688	0.18094137689310574	2947.733580007662	0.1070404726847178	0.038433714807388206	0.23140110203615852	0.14257287132586688	0.1809913027175951	2947.729280782837	0.10705693163580773	0.038415374708596205	0.23133996837351853	0.14254230449454688	0.18094137689310574	2947.737879232487	0.10702911366571358	14			0.22957320552322263	0.23049141804134388
