number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	0.0005754249291784702	2020-01-06 16:20:07.789791	2020-01-06 16:28:23.653639	0.8172125523480378	13.628557540011395	250.0	90.0	0.0010821408870754366	1800.0	1.0427407159330555	0.00017705382436260624	0.0005754249291784702	0.0003541076487252125	0.0004868980169971671	21140.240394830027	0.0004711989151787012	0.00017705382436260624	0.0005754249291784702	0.0003541076487252125	0.0004868980169971671	21140.19068696884	0.0004711997487821069	0.00017705382436260624	0.0005754249291784702	0.0003541076487252125	0.0004868980169971671	21140.29010269122	0.0004711980822919951	0	0.000796742209631728	0.0006491973559962229				
1	TrialState.COMPLETE	0.0054591595845136925	2020-01-06 16:28:23.654800	2020-01-06 16:42:59.834278	0.678850687903328	6.882743575070746	150.0	50.0	0.04787641984294325	700.0	0.9596975689321671	0.0018590651558073655	0.0054591595845136925	0.0028623701605288007	0.003747639282341832	19456.054886685553	0.0032341537073867165	0.0018590651558073655	0.0054591595845136925	0.0028623701605288007	0.003747639282341832	19456.01537417375	0.003234154290825587	0.0018590651558073655	0.0054591595845136925	0.0028623701605288007	0.003747639282341832	19456.094399197355	0.003234153124301066	1			0.00455913597733711	0.0050991501416430595		
2	TrialState.COMPLETE	0.00017705382436260624	2020-01-06 16:42:59.835330	2020-01-06 16:52:07.316752	0.5791709627111384	25.91226830132414	350.0	80.0	0.01691162830424657	800.0	1.0684065664938998	0.0001327903682719547	0.00017705382436260624	0.0001327903682719547	0.00017705382436260624	21660.678868626062	0.0003366145464966937	0.0001327903682719547	0.00017705382436260624	0.0001327903682719547	0.00017705382436260624	21659.313562322946	0.000336661254178073	0.0001327903682719547	0.00017705382436260624	0.0001327903682719547	0.00017705382436260624	21662.04417492918	0.00033656820196414623	2	0.00017705382436260624	0.00017705382436260624				
3	TrialState.COMPLETE	0.005792189397005261	2020-01-06 16:52:07.318350	2020-01-06 17:18:37.373996	0.2540685239865635	2.933660388757813	450.0	100.0	0.0074982820767739225	800.0	0.9653965140671252	0.0010623229461756375	0.005792189397005261	0.003085795224605423	0.00392047753945771	19571.415292391743	0.003056457619915619	0.0010623229461756375	0.005792189397005261	0.003085795224605423	0.00392047753945771	19571.25660157831	0.003056465813346171	0.0010623229461756375	0.005792189397005261	0.003085795224605423	0.00392047753945771	19571.57398320518	0.003056449524029363	3				0.00541784702549575	0.005636213408876298	
4	TrialState.COMPLETE	0.0001327903682719547	2020-01-06 17:18:37.376043	2020-01-06 17:25:57.153614	0.45565882984588113	10.102250800236583	50.0	100.0	0.006787430757439536	600.0	1.0254211496930505	0.0	0.0001327903682719547	0.0	0.0	20788.65906072946	0.00022072208106176317	0.0	0.0001327903682719547	0.0	0.0	20788.616457152973	0.00022072867271115228	0.0	0.0001327903682719547	0.0	0.0	20788.70166430595	0.00022071555810068978	4	8.852691218130312e-05	0.00011803588290840416				
5	TrialState.COMPLETE	0.0005311614730878187	2020-01-06 17:25:57.155313	2020-01-06 17:36:17.357594	0.12841615379239993	10.353831439812762	450.0	80.0	0.007243828218586629	800.0	1.0457332604724208	8.852691218130312e-05	0.0005311614730878187	0.0004868980169971671	0.0005311614730878187	21200.89558250708	0.0004963798511323343	8.852691218130312e-05	0.0005311614730878187	0.0004868980169971671	0.0005311614730878187	21200.02527443343	0.0004964118837894145	8.852691218130312e-05	0.0005311614730878187	0.0004868980169971671	0.0005311614730878187	21201.765890580737	0.0004963480704945483	5	0.0005311614730878187	0.0005311614730878187				
6	TrialState.COMPLETE	0.009181505463375152	2020-01-06 17:36:17.358621	2020-01-06 17:59:13.878952	0.9338220067902427	4.4612251065967845	350.0	90.0	0.011817559542908708	800.0	0.9650345172961572	0.0018717118575475515	0.009181505463375152	0.004072237960339943	0.005842776203966006	19564.22063435856	0.004220770421412338	0.0018717118575475515	0.009181505463375152	0.004072237960339943	0.005842776203966006	19564.048436867666	0.004220775499435596	0.0018717118575475515	0.009181505463375152	0.004072237960339943	0.005842776203966006	19564.392831849455	0.0042207653609526476	6				0.007825779036827196	0.008616619452313503	
7	TrialState.COMPLETE	0.004284702549575071	2020-01-06 17:59:13.879855	2020-01-06 18:10:04.505146	0.5401949509476942	11.036889397255218	150.0	20.0	0.07829623446970832	1100.0	0.9471829270730682	0.0005311614730878187	0.004284702549575071	0.0013456090651558074	0.002301699716713881	19202.3891111898	0.0020449623619661675	0.0005311614730878187	0.004284702549575071	0.0013456090651558074	0.002301699716713881	19202.33169263456	0.002044964130500685	0.0005311614730878187	0.004284702549575071	0.0013456090651558074	0.002301699716713881	19202.446529745044	0.0020449605972955817	7		0.0033640226628895184	0.003939447592067989			
8	TrialState.COMPLETE	0.0060198300283286115	2020-01-06 18:10:04.506152	2020-01-06 18:25:34.475281	0.4188528287681925	5.149458056828773	250.0	10.0	0.09162535950843219	1800.0	0.9285657254719494	0.001534466477809254	0.0060198300283286115	0.0028623701605288007	0.004131255901794146	18824.44552644004	0.003377825934925764	0.001534466477809254	0.0060198300283286115	0.0028623701605288007	0.004131255901794146	18824.41755193579	0.0033778264988722317	0.001534466477809254	0.0060198300283286115	0.0028623701605288007	0.004131255901794146	18824.47350094429	0.0033778253714308215	8			0.00540014164305949	0.005771954674220963		
