number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	701	751
0	TrialState.COMPLETE	0.0015492209631728046	2020-01-05 11:29:21.422367	2020-01-05 12:18:14.719305	0.6562259797446719	4.28168858174437	450.0	50.0	110.0	0.02134549872009435	500.0	0.9727444918831238	0.000796742209631728	0.0015492209631728046	0.001106586402266289	0.0012836402266288953	19720.97058693343	0.0014095163634414507	0.000796742209631728	0.0015492209631728046	0.001106586402266289	0.0012836402266288953	19720.90478930595	0.0014095167855126688	0.000796742209631728	0.0015492209631728046	0.001106586402266289	0.0012836402266288953	19721.036384560906	0.0014095159417819427	0	0.0009737960339943342	0.0013574126534466478		
1	TrialState.COMPLETE	0.0009737960339943342	2020-01-05 12:18:14.720371	2020-01-05 13:04:06.216023	0.16839982300659612	12.361356044075357	350.0	250.0	80.0	0.05800993857795724	800.0	0.9921155245555017	4.426345609065156e-05	0.0009737960339943342	0.00017705382436260624	0.0003541076487252125	20113.55116855524	0.0005242812093076033	0.0004868980169971671	0.0031427053824362606	0.0009737960339943342	0.0015492209631728046	18587.576885623228	0.0015275847015884386	4.426345609065156e-05	0.0009737960339943342	0.00017705382436260624	0.0003541076487252125	21639.52545148725	0.0005098357831730226	1	0.0008852691218130312	0.0009442870632672333		
2	TrialState.COMPLETE	0.002080382436260623	2020-01-05 13:04:06.217205	2020-01-05 13:42:40.398456	0.609065011621595	12.185783955045205	150.0	150.0	150.0	0.0022770912114914543	500.0	0.9881084878776003	0.0002655807365439094	0.002080382436260623	0.0006639518413597734	0.0008852691218130312	20032.289261685553	0.0011460128350601543	0.0002655807365439094	0.002124645892351275	0.0006639518413597734	0.0009295325779036828	19967.629603399433	0.0011703868615895326	0.0002655807365439094	0.002080382436260623	0.0006639518413597734	0.0008852691218130312	20096.94891997167	0.0011409813146060082	2	0.003098441926345609	0.002419735599622285		
3	TrialState.COMPLETE	0.0003541076487252125	2020-01-05 13:42:40.399593	2020-01-05 14:19:07.665993	0.5012513288178071	6.920817555841909	50.0	150.0	180.0	0.06831101593875177	900.0	1.0023060291399308	0.0	0.0003541076487252125	0.0	0.0	20320.456356232295	0.0003873991236584196	0.0	0.0003541076487252125	0.0	0.0	20308.991412889518	0.0003875424255960893	0.0	0.0003541076487252125	0.0	0.0	20331.92129957507	0.0003872566470024017	3	0.0005311614730878187	0.00041312559017941453		
4	TrialState.COMPLETE	0.0005311614730878187	2020-01-05 14:19:07.667131	2020-01-05 14:53:49.258474	0.7403510770665724	17.0888129017699	50.0	250.0	50.0	0.021019714702202336	700.0	1.0711742722898645	0.0	0.0005311614730878187	0.00017705382436260624	0.0003098441926345609	21717.377102514165	0.0005025684188099119	8.852691218130312e-05	0.0005311614730878187	0.00017705382436260624	0.0003098441926345609	21665.714146600567	0.0005607940257357783	0.0	0.0005311614730878187	8.852691218130312e-05	0.0003098441926345609	21769.040058427763	0.000484715751723134	4	0.0003541076487252125	0.00047214353163361664		
5	TrialState.COMPLETE	0.001903328611898017	2020-01-05 14:53:49.259326	2020-01-05 15:34:29.433995	0.2741793579574622	27.15624209621492	150.0	250.0	130.0	0.004685013288768866	800.0	0.9998202493419998	4.426345609065156e-05	0.001903328611898017	0.0005311614730878187	0.0009737960339943342	20269.240439093486	0.0011438035595797318	4.426345609065156e-05	0.001903328611898017	0.0005311614730878187	0.0009737960339943342	20145.510224858357	0.0011530039949310513	4.426345609065156e-05	0.001903328611898017	0.0005311614730878187	0.0009737960339943342	20392.97065332861	0.0011378406990281676	5	0.0016820113314447592	0.0018295561850802645		
6	TrialState.COMPLETE	0.0013279036827195468	2020-01-05 15:34:29.435145	2020-01-05 16:23:33.683549	0.6660355105753996	16.806574935893437	450.0	250.0	70.0	0.059310252333093144	600.0	0.9612686137342792	4.426345609065156e-05	0.0013279036827195468	0.0003541076487252125	0.000796742209631728	19488.07279125354	0.0005758280534453091	0.0011951133144475921	0.004691926345609066	0.002345963172804533	0.00340828611898017	17631.113402974504	0.0026675248905257145	4.426345609065156e-05	0.0012393767705382436	0.0002655807365439094	0.000796742209631728	21345.032179532576	0.0005355559887246031	6	0.0008852691218130312	0.0011803588290840415		
7	TrialState.COMPLETE	0.003585339943342776	2020-01-05 16:23:33.684661	2020-01-05 17:15:22.341551	0.5953358626765332	21.215211593703668	450.0	150.0	130.0	0.0012680752311785622	800.0	1.0063649901209604	0.0004868980169971671	0.003585339943342776	0.0011951133144475921	0.0019475920679886685	20402.0930417847	0.0019065212927232035	0.0004868980169971671	0.0037623937677053825	0.0011951133144475921	0.0020361189801699716	20362.228886331446	0.0019394417091816054	0.0004868980169971671	0.003585339943342776	0.0011951133144475921	0.0019475920679886685	20441.95719723796	0.0019002251556224673	7	0.004160764872521246	0.003777148253068933		
8	TrialState.COMPLETE	0.0008852691218130312	2020-01-05 17:15:22.342739	2020-01-05 18:08:13.144897	0.6610961047559739	11.386499857882452	150.0	350.0	200.0	0.0023443010776665256	700.0	1.000362292755978	8.852691218130312e-05	0.0008852691218130312	0.0004868980169971671	0.0005754249291784702	20281.327527443344	0.0006746283132486842	8.852691218130312e-05	0.0008852691218130312	0.0004868980169971671	0.0005754249291784702	20186.690023016996	0.0006975588878636608	8.852691218130312e-05	0.0008852691218130312	0.0004868980169971671	0.0005754249291784702	20375.965031869688	0.0006688671080569779	8	0.0012393767705382436	0.0010033050047214354		
