number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151
0	TrialState.COMPLETE	0.042528328611898016	2020-01-10 05:01:44.560767	2020-01-10 07:34:30.625289	250.0	51.0	0.002627172409996241	0.00022601431877058149	1900.0	0.5753999012106056	0.0026558073654390935	0.042528328611898016	0.012677053824362607	0.022981586402266288	11664.625814447592	0.014187254723864492	0.0026558073654390935	0.042528328611898016	0.012677053824362607	0.022981586402266288	11664.625531161473	0.014187254747256536	0.0026558073654390935	0.042528328611898016	0.012677053824362607	0.022981586402266288	11664.626097733712	0.014187254700481959	0		0.07029036827195467	0.05293909348441926
1	TrialState.COMPLETE	0.004514872521246459	2020-01-10 07:34:30.626128	2020-01-10 08:31:21.579307	150.0	81.0	0.041917985909174844	0.0038854109154259197	800.0	0.9255080192122687	0.000708215297450425	0.004514872521246459	0.0017262747875354107	0.0025672804532577906	18763.037336225214	0.002233007414574004	0.000708215297450425	0.004514872521246459	0.0017262747875354107	0.0025672804532577906	18763.037181303116	0.0022330076126652917	0.000708215297450425	0.004514872521246459	0.0017262747875354107	0.0025672804532577906	18763.037491147308	0.002233007217041199	1	0.008675637393767706	0.005901794145420208	
2	TrialState.COMPLETE	0.06788243626062324	2020-01-10 08:31:21.580766	2020-01-10 14:07:05.805849	350.0	61.0	0.07353461884402215	0.0004066735515490601	1600.0	0.5382961734849289	0.0209985835694051	0.06788243626062324	0.039270538243626064	0.052053824362606235	10912.593696883852	0.03749249392470314	0.0209985835694051	0.06788243626062324	0.039270538243626064	0.052053824362606235	10912.593519830029	0.037492493995121154	0.0209985835694051	0.06788243626062324	0.039270538243626064	0.052053824362606235	10912.593873937678	0.037492493854420814	2		0.08044145420207743	0.07259206798866856
3	TrialState.COMPLETE	0.001106586402266289	2020-01-10 14:07:05.806842	2020-01-10 14:51:56.244673	150.0	61.0	0.015645464161641767	0.018019949544072395	1100.0	0.9488586446279857	0.0003098441926345609	0.001106586402266289	0.0006196883852691218	0.000708215297450425	19236.267970963174	0.0008608013543041319	0.0003098441926345609	0.001106586402266289	0.0006196883852691218	0.000708215297450425	19236.267749645893	0.0008608013774704021	0.0003098441926345609	0.001106586402266289	0.0006196883852691218	0.000708215297450425	19236.268192280455	0.0008608013311478686	3	0.0013279036827195468	0.0011803588290840415	
4	TrialState.COMPLETE	0.0016377478753541077	2020-01-10 14:51:56.245670	2020-01-10 16:16:47.474308	350.0	21.0	0.004249826031930791	0.0018140817392592063	600.0	0.555535096938384	0.0003098441926345609	0.0016377478753541077	0.0005311614730878187	0.000796742209631728	11262.072083038243	0.0014771891962795086	0.0003098441926345609	0.0016377478753541077	0.0005311614730878187	0.000796742209631728	11262.07166253541	0.0014771892209075746	0.0003098441926345609	0.0016377478753541077	0.0005311614730878187	0.000796742209631728	11262.072503541076	0.0014771891716624257	4	0.002921388101983003	0.002065627950897073	
5	TrialState.COMPLETE	0.028222379603399433	2020-01-10 16:16:47.475272	2020-01-10 17:24:07.440584	250.0	21.0	0.009870408361968603	0.00015078434267430814	1800.0	0.6397171913653943	0.008781869688385268	0.028222379603399433	0.016643059490084985	0.02131728045325779	12968.836172096317	0.015849421838745315	0.008781869688385268	0.028222379603399433	0.016643059490084985	0.02131728045325779	12968.83473796034	0.015849422296511314	0.008781869688385268	0.028222379603399433	0.016643059490084985	0.02131728045325779	12968.837606232295	0.01584942138298759	5		0.04562086874409821	0.03474681303116147
6	TrialState.COMPLETE	0.002301699716713881	2020-01-10 17:24:07.441997	2020-01-10 17:35:22.272049	150.0	1.0	0.001534565072915938	0.007169034920620542	1600.0	0.6518565063853199	0.00017705382436260624	0.002301699716713881	0.0006373937677053824	0.0008144475920679886	13214.31446529745	0.0023939890021602707	0.00017705382436260624	0.002301699716713881	0.0006373937677053824	0.0008144475920679886	13214.314128895185	0.0023939890458508817	0.00017705382436260624	0.002301699716713881	0.0006373937677053824	0.0008144475920679886	13214.314801699717	0.0023939889585019463	6		0.0034820585457979226	0.0027443342776203965
7	TrialState.COMPLETE	0.017847025495750707	2020-01-10 17:35:22.273027	2020-01-10 18:42:14.530928	150.0	61.0	0.0011307665229222876	0.00010760047890391335	1900.0	0.5984268389470845	0.000708215297450425	0.017847025495750707	0.00396600566572238	0.00825070821529745	12131.291147308782	0.0065597505621239355	0.000708215297450425	0.017847025495750707	0.00396600566572238	0.00825070821529745	12131.290899433428	0.006559750622323146	0.000708215297450425	0.017847025495750707	0.00396600566572238	0.00825070821529745	12131.291395184136	0.006559750501992478	7		0.029745042492917848	0.022308781869688384
8	TrialState.COMPLETE	0.00017705382436260624	2020-01-10 18:42:14.531889	2020-01-10 18:54:10.759114	50.0	61.0	0.001329427153392815	0.03483238380537724	900.0	0.9979231537509148	4.426345609065156e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20231.13020095609	0.00029276024344932893	4.426345609065156e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20231.130046033995	0.00029276024896475266	4.426345609065156e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20231.130355878187	0.00029276023793620924	8	0.0003541076487252125	0.00023607176581680832	
9	TrialState.COMPLETE	0.0003541076487252125	2020-01-10 18:54:10.760032	2020-01-10 20:36:31.942523	250.0	51.0	0.005333204565947902	0.00911177731204641	800.0	0.9932015604460038	4.426345609065156e-05	0.0003541076487252125	8.852691218130312e-05	0.00017705382436260624	20135.62274256374	0.00033614967930814847	4.426345609065156e-05	0.0003541076487252125	8.852691218130312e-05	0.00017705382436260624	20135.62269830028	0.0003361496793539903	4.426345609065156e-05	0.0003541076487252125	8.852691218130312e-05	0.00017705382436260624	20135.622786827196	0.0003361496792623081	9	0.0003541076487252125	0.0003541076487252125	
10	TrialState.COMPLETE	0.0004426345609065156	2020-01-10 20:36:31.944081	2020-01-10 22:35:21.602295	250.0	61.0	0.004559677678218602	0.0012163044535513099	1300.0	0.6263548211275429	0.0	0.0004426345609065156	0.00017705382436260624	0.0002213172804532578	12697.544927407933	0.0006418242342604439	0.0	0.0004426345609065156	0.00017705382436260624	0.0002213172804532578	12697.544086402266	0.0006418242756882884	0.0	0.0004426345609065156	0.00017705382436260624	0.0002213172804532578	12697.545768413598	0.0006418241928503889	10	0.0005311614730878187	0.00047214353163361664	
11	TrialState.COMPLETE	0.031161473087818695	2020-01-10 22:35:21.603244	2020-01-10 22:49:45.723531	50.0	31.0	0.07778170581245865	0.00011204201312309238	1000.0	0.6157672358566976	0.006373937677053824	0.031161473087818695	0.01451841359773371	0.019794617563739375	12483.112606232295	0.01504211584821475	0.006373937677053824	0.031161473087818695	0.01451841359773371	0.019794617563739375	12483.11242917847	0.0150421158573432	0.006373937677053824	0.031161473087818695	0.01451841359773371	0.019794617563739375	12483.112783286118	0.015042115839089366	11		0.0397780925401322	0.03439270538243626
12	TrialState.COMPLETE	0.005311614730878187	2020-01-10 22:49:45.724474	2020-01-11 11:07:09.309319	450.0	81.0	0.0010203326983724839	0.005320090393703851	1400.0	0.6909945933707579	0.0005311614730878187	0.005311614730878187	0.002018413597733711	0.003328611898016997	14008.032347733712	0.002382349138339401	0.0005311614730878187	0.005311614730878187	0.002018413597733711	0.003328611898016997	14008.03183427762	0.0023823491610248477	0.0005311614730878187	0.005311614730878187	0.002018413597733711	0.003328611898016997	14008.032861189802	0.002382349115664081	12		0.007436260623229462	0.006108356940509915
