number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9405430711610487	2020-05-21 13:30:42.408629	2020-05-21 14:32:15.996489	9.566909392316322	64	0.1325661186211797	300	77	512	0.08133933674073203	0.39185393258426965	0.9405430711610487	0.721441947565543	0.8375468164794008	3.922752808988764	0.5816902266376539	0.39185393258426965	0.9405430711610487	0.721441947565543	0.8375468164794008	3.922752808988764	0.5816902266376539	2402927515	600.0	0.39185393258426965	0.9405430711610487	0.721441947565543	0.8375468164794008	3.922752808988764	0.5816902266376539	0	COMPLETE
1	0.901685393258427	2020-05-21 14:32:16.045093	2020-05-21 18:32:40.254569	7.37251529224922	256	0.46723011381759316	350	69	512	0.1000661804246601	0.33848314606741575	0.901685393258427	0.6413857677902621	0.7762172284644194	4.812265917602996	0.5268883159292498	0.33848314606741575	0.901685393258427	0.6413857677902621	0.7762172284644194	4.812265917602996	0.5268883159292498	1578280199	600.0	0.33848314606741575	0.901685393258427	0.6413857677902621	0.7762172284644194	4.812265917602996	0.5268883159292498	1	COMPLETE
2	0.9241573033707865	2020-05-21 18:32:40.300460	2020-05-21 18:45:42.246052	9.185224043547	128	0.1902550370393255	200	11	256	0.08957687486835131	0.36142322097378277	0.9241573033707865	0.7017790262172284	0.8206928838951311	4.316011235955056	0.5555915635958353	0.36142322097378277	0.9241573033707865	0.7017790262172284	0.8206928838951311	4.316011235955056	0.5555915635958353	3813599762	450.0	0.36142322097378277	0.9241573033707865	0.7017790262172284	0.8206928838951311	4.316011235955056	0.5555915635958353	2	COMPLETE
3	0.9260299625468165	2020-05-21 18:45:42.287824	2020-05-21 20:26:13.339303	5.01448683959539	128	0.4730190419326259	450	49	256	0.08824034017154926	0.3487827715355805	0.9260299625468165	0.6783707865168539	0.8071161048689138	4.2495318352059925	0.5453739806362325	0.3487827715355805	0.9260299625468165	0.6783707865168539	0.8071161048689138	4.2495318352059925	0.5453739806362325	2735870646	550.0	0.3487827715355805	0.9260299625468165	0.6783707865168539	0.8071161048689138	4.2495318352059925	0.5453739806362325	3	COMPLETE
4	0.8782771535580525	2020-05-21 20:26:13.366002	2020-05-22 01:26:56.242406	0.7731046986178576	128	0.35765810324277747	350	93	512	0.11567181042632722	0.2752808988764045	0.8782771535580525	0.5627340823970037	0.7120786516853933	5.5889513108614235	0.46450521834504727	0.2752808988764045	0.8782771535580525	0.5627340823970037	0.7120786516853933	5.5889513108614235	0.46450521834504727	3671422163		0.2752808988764045	0.8782771535580525	0.5627340823970037	0.7120786516853933	5.5889513108614235	0.46450521834504727	4	COMPLETE
5	0.8871722846441947	2020-05-22 01:26:56.281994	2020-05-22 01:49:28.011496	6.147964381648611	256	0.378912183897799	150	35	128	0.10777556955333004	0.32303370786516855	0.8871722846441947	0.6235955056179775	0.7504681647940075	5.188436329588015	0.5065453552852964	0.32303370786516855	0.8871722846441947	0.6235955056179775	0.7504681647940075	5.188202247191011	0.5065583598629078	1967065675	250.0	0.32303370786516855	0.8871722846441947	0.6235955056179775	0.7504681647940075	5.188670411985019	0.5065349516232074	5	COMPLETE
6	0.8927902621722846	2020-05-22 01:49:28.049836	2020-05-22 02:16:00.313159	2.2539118249846286	256	0.1979794480199665	200	20	128	0.09977287504462741	0.33192883895131087	0.8927902621722846	0.6367041198501873	0.7668539325842697	4.783707865168539	0.5200945315845211	0.33192883895131087	0.8927902621722846	0.6367041198501873	0.7668539325842697	4.783707865168539	0.5200945315845211	723427354	350.0	0.33192883895131087	0.8927902621722846	0.6367041198501873	0.7668539325842697	4.783707865168539	0.5200945315845211	6	COMPLETE
7	0.8632958801498127	2020-05-22 02:16:00.342119	2020-05-22 05:10:29.647672	0.8142085664740935	256	0.1562867855574128	300	47	512	0.11936548530221795	0.2551498127340824	0.8632958801498127	0.5388576779026217	0.6872659176029963	5.758426966292135	0.4434219258181092	0.2551498127340824	0.8632958801498127	0.5388576779026217	0.6872659176029963	5.758426966292135	0.4434219258181092	660581650	700.0	0.2551498127340824	0.8632958801498127	0.5388576779026217	0.6872659176029963	5.758426966292135	0.4434219258181092	7	COMPLETE
8	0.9489700374531835	2020-05-22 05:10:29.716571	2020-05-22 06:10:35.341434	6.157450975528436	64	0.3560572446820739	300	90	256	0.07424450224380563	0.41713483146067415	0.9489700374531835	0.7504681647940075	0.8595505617977528	3.584737827715356	0.6046600286046827	0.41713483146067415	0.9489700374531835	0.7504681647940075	0.8595505617977528	3.584737827715356	0.6046600286046827	2067677558	500.0	0.41713483146067415	0.9489700374531835	0.7504681647940075	0.8595505617977528	3.584737827715356	0.6046600286046827	8	COMPLETE
9	0.9424157303370787	2020-05-22 06:10:35.372738	2020-05-22 06:38:09.840747	3.004111531362305	128	0.23674439228050567	200	23	512	0.08071362183687421	0.37359550561797755	0.9424157303370787	0.6760299625468165	0.8211610486891385	3.88810861423221	0.5602264745409116	0.37359550561797755	0.9424157303370787	0.6760299625468165	0.8211610486891385	3.88810861423221	0.5602264745409116	725213600	650.0	0.37359550561797755	0.9424157303370787	0.6760299625468165	0.8211610486891385	3.88810861423221	0.5602264745409116	9	COMPLETE
10	0.9344569288389513	2020-05-22 06:38:09.894015	2020-05-22 07:16:48.990822	2.988849154978369	64	0.32782242411463347	200	79	128	0.08385203090716112	0.3698501872659176	0.9344569288389513	0.7017790262172284	0.8202247191011236	4.024812734082397	0.5651172310917332	0.3698501872659176	0.9344569288389513	0.7017790262172284	0.8202247191011236	4.024812734082397	0.5651172310917332	1109812234	450.0	0.3698501872659176	0.9344569288389513	0.7017790262172284	0.8202247191011236	4.024812734082397	0.5651172310917332	10	COMPLETE
