model	columns	mean	std
RotatE	mean_reciprocal_rank.avg	55.00	0.06
RotatE	mean_reciprocal_rank.best	55.00	0.06
RotatE	hits_at_k.worst.1	41.53	0.06
RotatE	hits_at_k.worst.3	64.14	0.07
RotatE	hits_at_k.worst.5	71.23	0.05
RotatE	hits_at_k.worst.10	78.67	0.08
RotatE	hits_at_k.avg.1	41.53	0.06
RotatE	hits_at_k.avg.3	64.14	0.07
RotatE	hits_at_k.avg.5	71.23	0.05
RotatE	hits_at_k.avg.10	78.67	0.08
RotatE	hits_at_k.best.1	41.53	0.06
RotatE	hits_at_k.best.3	64.14	0.07
RotatE	hits_at_k.best.5	71.23	0.05
RotatE	hits_at_k.best.10	78.67	0.08
RotatE	adjusted_mean_rank	0.63	0.00
SimplE	training	4697.83	16.45
SimplE	evaluation	36.85	0.09
SimplE	mean_rank.worst	14652.16	45.71
SimplE	mean_rank.avg	7395.75	2.02
SimplE	mean_rank.best	139.34	49.45
SimplE	mean_reciprocal_rank.worst	0.03	0.00
SimplE	mean_reciprocal_rank.avg	0.04	0.00
SimplE	mean_reciprocal_rank.best	23.90	8.79
SimplE	hits_at_k.worst.1	0.01	0.00
SimplE	hits_at_k.worst.3	0.03	0.00
SimplE	hits_at_k.worst.5	0.04	0.00
SimplE	hits_at_k.worst.10	0.06	0.01
SimplE	hits_at_k.avg.1	0.01	0.00
SimplE	hits_at_k.avg.3	0.03	0.00
SimplE	hits_at_k.avg.5	0.04	0.00
SimplE	hits_at_k.avg.10	0.06	0.01
SimplE	hits_at_k.best.1	11.58	6.42
SimplE	hits_at_k.best.3	24.16	10.95
SimplE	hits_at_k.best.5	34.73	13.40
SimplE	hits_at_k.best.10	54.28	15.80
SimplE	adjusted_mean_rank	100.02	0.03
TransD	training	37087.62	624.38
TransD	evaluation	35.95	1.48
TransD	mean_rank.worst	153.37	5.35
TransD	mean_rank.avg	153.37	5.35
TransD	mean_rank.best	153.37	5.35
TransD	mean_reciprocal_rank.worst	33.99	0.03
TransD	mean_reciprocal_rank.avg	33.99	0.03
TransD	mean_reciprocal_rank.best	33.99	0.03
TransD	hits_at_k.worst.1	21.22	0.03
TransD	hits_at_k.worst.3	40.48	0.10
TransD	hits_at_k.worst.5	48.57	0.09
TransD	hits_at_k.worst.10	58.71	0.14
TransD	hits_at_k.avg.1	21.22	0.03
TransD	hits_at_k.avg.3	40.48	0.10
TransD	hits_at_k.avg.5	48.57	0.09
TransD	hits_at_k.avg.10	58.71	0.14
TransD	hits_at_k.best.1	21.22	0.03
TransD	hits_at_k.best.3	40.48	0.10
TransD	hits_at_k.best.5	48.57	0.09
TransD	hits_at_k.best.10	58.71	0.14
TransD	adjusted_mean_rank	2.29	0.09
TransE	training	55100.56	1015.63
TransE	evaluation	18.93	0.00
TransE	mean_rank.worst	127.92	0.86
TransE	mean_rank.avg	127.92	0.86
TransE	mean_rank.best	127.92	0.86
TransE	mean_reciprocal_rank.worst	26.01	0.17
TransE	mean_reciprocal_rank.avg	26.01	0.17
TransE	mean_reciprocal_rank.best	26.01	0.17
TransE	hits_at_k.worst.1	15.23	0.16
TransE	hits_at_k.worst.3	29.85	0.24
TransE	hits_at_k.worst.5	37.18	0.24
TransE	hits_at_k.worst.10	47.34	0.18
TransE	hits_at_k.avg.1	15.23	0.16
TransE	hits_at_k.avg.3	29.85	0.24
TransE	hits_at_k.avg.5	37.18	0.24
TransE	hits_at_k.avg.10	47.34	0.18
TransE	hits_at_k.best.1	15.23	0.16
TransE	hits_at_k.best.3	29.85	0.24
TransE	hits_at_k.best.5	37.18	0.24
TransE	hits_at_k.best.10	47.34	0.18
TransE	adjusted_mean_rank	1.78	0.01
TransH	training	1710.03	56.56
TransH	evaluation	34.25	0.68
TransH	mean_rank.worst	6320.05	30.37
TransH	mean_rank.avg	6320.02	30.37
TransH	mean_rank.best	6320.00	30.37
TransH	mean_reciprocal_rank.worst	2.54	0.20
TransH	mean_reciprocal_rank.avg	2.54	0.20
