model	columns	mean	std
ConvE	training	17764.95	597.17
ConvE	evaluation	1.20	0.26
ConvE	mean_rank.worst	5369.49	50.92
ConvE	mean_rank.avg	5369.49	50.92
ConvE	mean_rank.best	5369.49	50.92
ConvE	mean_reciprocal_rank.worst	44.69	0.21
ConvE	mean_reciprocal_rank.avg	44.69	0.21
ConvE	mean_reciprocal_rank.best	44.69	0.21
ConvE	hits_at_k.worst.1	40.98	0.22
ConvE	hits_at_k.worst.3	46.49	0.14
ConvE	hits_at_k.worst.5	48.92	0.23
ConvE	hits_at_k.worst.10	51.76	0.13
ConvE	hits_at_k.avg.1	40.98	0.22
ConvE	hits_at_k.avg.3	46.49	0.14
ConvE	hits_at_k.avg.5	48.92	0.23
ConvE	hits_at_k.avg.10	51.76	0.13
ConvE	hits_at_k.best.1	40.98	0.22
ConvE	hits_at_k.best.3	46.49	0.14
ConvE	hits_at_k.best.5	48.92	0.23
ConvE	hits_at_k.best.10	51.76	0.13
ConvE	adjusted_mean_rank	26.49	0.25
ConvKB	training	605.94	10.45
ConvKB	evaluation	369.94	1.26
ConvKB	mean_rank.worst	13634.66	714.24
ConvKB	mean_rank.avg	13634.66	714.24
ConvKB	mean_rank.best	13634.65	714.24
ConvKB	mean_reciprocal_rank.worst	0.30	0.07
ConvKB	mean_reciprocal_rank.avg	0.30	0.07
ConvKB	mean_reciprocal_rank.best	0.30	0.07
ConvKB	hits_at_k.worst.1	0.09	0.03
ConvKB	hits_at_k.worst.3	0.21	0.07
ConvKB	hits_at_k.worst.5	0.32	0.10
ConvKB	hits_at_k.worst.10	0.57	0.16
ConvKB	hits_at_k.avg.1	0.09	0.03
ConvKB	hits_at_k.avg.3	0.21	0.07
ConvKB	hits_at_k.avg.5	0.32	0.10
ConvKB	hits_at_k.avg.10	0.57	0.16
ConvKB	hits_at_k.best.1	0.09	0.03
ConvKB	hits_at_k.best.3	0.21	0.07
ConvKB	hits_at_k.best.5	0.32	0.10
ConvKB	hits_at_k.best.10	0.57	0.16
ConvKB	adjusted_mean_rank	67.27	3.52
RotatE	training	66663.97	12.22
RotatE	evaluation	7.59	0.37
RotatE	mean_rank.worst	4263.32	90.33
RotatE	mean_rank.avg	4263.32	90.33
RotatE	mean_rank.best	4263.32	90.33
RotatE	mean_reciprocal_rank.worst	48.40	0.09
RotatE	mean_reciprocal_rank.avg	48.40	0.09
RotatE	mean_reciprocal_rank.best	48.40	0.09
RotatE	hits_at_k.worst.1	44.02	0.15
RotatE	hits_at_k.worst.3	50.55	0.12
RotatE	hits_at_k.worst.5	52.98	0.11
RotatE	hits_at_k.worst.10	56.51	0.26
RotatE	hits_at_k.avg.1	44.02	0.15
RotatE	hits_at_k.avg.3	50.55	0.12
RotatE	hits_at_k.avg.5	52.98	0.11
RotatE	hits_at_k.avg.10	56.51	0.26
RotatE	hits_at_k.best.1	44.02	0.15
RotatE	hits_at_k.best.3	50.55	0.12
RotatE	hits_at_k.best.5	52.98	0.11
RotatE	hits_at_k.best.10	56.51	0.26
RotatE	adjusted_mean_rank	21.03	0.45
