model	columns	mean	std
ConvE	training	15044.48	605.70
ConvE	evaluation	6.71	0.02
ConvE	mean_rank.worst	255.46	6.16
ConvE	mean_rank.avg	255.46	6.16
ConvE	mean_rank.best	255.46	6.16
ConvE	mean_reciprocal_rank.worst	26.93	0.11
ConvE	mean_reciprocal_rank.avg	26.93	0.11
ConvE	mean_reciprocal_rank.best	26.93	0.11
ConvE	hits_at_k.worst.1	18.22	0.11
ConvE	hits_at_k.worst.3	29.51	0.24
ConvE	hits_at_k.worst.5	35.98	0.16
ConvE	hits_at_k.worst.10	44.95	0.17
ConvE	hits_at_k.avg.1	18.22	0.11
ConvE	hits_at_k.avg.3	29.51	0.24
ConvE	hits_at_k.avg.5	35.98	0.16
ConvE	hits_at_k.avg.10	44.95	0.17
ConvE	hits_at_k.best.1	18.22	0.11
ConvE	hits_at_k.best.3	29.51	0.24
ConvE	hits_at_k.best.5	35.98	0.16
ConvE	hits_at_k.best.10	44.95	0.17
ConvE	adjusted_mean_rank	3.73	0.13
ConvKB	training	1971.70	19.48
ConvKB	evaluation	198.69	1.01
ConvKB	mean_rank.worst	4345.27	46.99
ConvKB	mean_rank.avg	4345.27	46.99
ConvKB	mean_rank.best	4345.27	46.99
ConvKB	mean_reciprocal_rank.worst	4.71	0.23
ConvKB	mean_reciprocal_rank.avg	4.71	0.23
ConvKB	mean_reciprocal_rank.best	4.71	0.23
ConvKB	hits_at_k.worst.1	3.31	0.23
ConvKB	hits_at_k.worst.3	4.04	0.19
ConvKB	hits_at_k.worst.5	4.57	0.22
ConvKB	hits_at_k.worst.10	7.76	0.88
ConvKB	hits_at_k.avg.1	3.31	0.23
ConvKB	hits_at_k.avg.3	4.04	0.19
ConvKB	hits_at_k.avg.5	4.57	0.22
ConvKB	hits_at_k.avg.10	7.76	0.88
ConvKB	hits_at_k.best.1	3.31	0.23
ConvKB	hits_at_k.best.3	4.04	0.19
ConvKB	hits_at_k.best.5	4.57	0.22
ConvKB	hits_at_k.best.10	7.76	0.88
ConvKB	adjusted_mean_rank	61.36	0.65
RotatE	training	101788.51	76.40
RotatE	evaluation	35.14	0.60
RotatE	mean_rank.worst	191.92	0.31
RotatE	mean_rank.avg	191.92	0.31
RotatE	mean_rank.best	191.92	0.31
RotatE	mean_reciprocal_rank.worst	26.42	0.04
RotatE	mean_reciprocal_rank.avg	26.42	0.04
RotatE	mean_reciprocal_rank.best	26.42	0.04
RotatE	hits_at_k.worst.1	17.57	0.06
RotatE	hits_at_k.worst.3	28.97	0.05
RotatE	hits_at_k.worst.5	35.29	0.09
RotatE	hits_at_k.worst.10	44.55	0.06
RotatE	hits_at_k.avg.1	17.57	0.06
RotatE	hits_at_k.avg.3	28.97	0.05
RotatE	hits_at_k.avg.5	35.29	0.09
RotatE	hits_at_k.avg.10	44.55	0.06
RotatE	hits_at_k.best.1	17.57	0.06
RotatE	hits_at_k.best.3	28.97	0.05
RotatE	hits_at_k.best.5	35.29	0.09
RotatE	hits_at_k.best.10	44.55	0.06
RotatE	adjusted_mean_rank	2.84	0.00
