number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801	851	951	1001
0	TrialState.COMPLETE	0.1779833569405099	2019-12-29 21:15:12.056622	2019-12-29 21:20:14.813929	350.0	1	21.0	0.0012737335483872629	1300.0	0.23672437464755433	0.0018590651558073655	0.1779833569405099	0.10618803116147309	0.13867740793201133	4797.933095786119	0.06711207605921166	0.0018590651558073655	0.1779833569405099	0.10618803116147309	0.13867740793201133	4797.929178470255	0.0671120763846406	0.0018590651558073655	0.1779833569405099	0.10618803116147309	0.13867740793201133	4797.937013101983	0.06711207573410992	0	0.22476983002832862	0.1935788479697828																	
1	TrialState.COMPLETE	0.02244157223796034	2019-12-29 21:20:14.814975	2019-12-29 21:24:54.117484	250.0	2	41.0	0.07075640786999664	800.0	0.8983051583259599	0.0032754957507082154	0.02244157223796034	0.00880842776203966	0.0127921388101983	18211.014319228045	0.009558357865028518	0.0032754957507082154	0.02244157223796034	0.00880842776203966	0.0127921388101983	18211.002655807366	0.009558358484775889	0.0032754957507082154	0.02244157223796034	0.00880842776203966	0.0127921388101983	18211.025982648724	0.009558357246529247	1	0.024699008498583568	0.023194050991501416																	
2	TrialState.COMPLETE	0.0481783128737803	2019-12-29 21:24:54.118554	2019-12-29 21:39:42.716338	150.0	2	91.0	0.01010031327755706	500.0	0.6091375777032101	0.01392823418319169	0.0481783128737803	0.028053194837897387	0.03596159899276047	12348.189998426189	0.026152823254824625	0.01392823418319169	0.0481783128737803	0.028053194837897387	0.03596159899276047	12348.172017626692	0.026152882195650283	0.01392823418319169	0.0481783128737803	0.028053194837897387	0.03596159899276047	12348.207979225685	0.02615276728103725	2						0.04666632942128693	0.04751682011331445												
3	TrialState.COMPLETE	0.028018767705382436	2019-12-29 21:39:42.717387	2019-12-29 21:56:10.962968	350.0	2	81.0	0.019394750105393863	2000.0	0.8549311130813982	0.006573123229461756	0.028018767705382436	0.013588881019830029	0.018789837110481586	17331.880864907933	0.013873545121366036	0.006573123229461756	0.028018767705382436	0.013588881019830029	0.018789837110481586	17331.858888101982	0.013873602721706652	0.006573123229461756	0.028018767705382436	0.013588881019830029	0.018789837110481586	17331.90284171388	0.01387349117183798	3					0.027089235127478753	0.02762039660056657													
4	TrialState.COMPLETE	0.08857117563739376	2019-12-29 21:56:10.963998	2019-12-29 22:17:08.593312	150.0	2	81.0	0.0011616931009284783	700.0	0.5029711933619264	0.011493744098205855	0.08857117563739376	0.03179591595845137	0.05162594428706327	10193.759937145893	0.03657188570450862	0.011493744098205855	0.08858593012275731	0.03179591595845137	0.05162594428706327	10193.750560670444	0.036572073947531876	0.011493744098205855	0.08857117563739376	0.03179591595845137	0.05162594428706327	10193.76931362134	0.036571713155999504	4									0.08726983002832861	0.08797965490600052									
5	TrialState.COMPLETE	0.04218307365439093	2019-12-29 22:17:08.594363	2019-12-29 22:21:24.249831	150.0	1	71.0	0.008792727304712965	1200.0	0.6597673993268709	0.000708215297450425	0.04218307365439093	0.021998937677053826	0.029479461756373938	13372.975035410765	0.015995059186370147	0.000708215297450425	0.04218307365439093	0.021998937677053826	0.029479461756373938	13372.96976805949	0.015995059740980536	0.000708215297450425	0.04218307365439093	0.021998937677053826	0.029479461756373938	13372.98030276204	0.015995058632878454	5	0.0710871104815864	0.051817752596789425																	
6	TrialState.COMPLETE	0.049043909348441925	2019-12-29 22:21:24.251161	2019-12-29 22:27:23.413925	450.0	1	51.0	0.02954917677122794	500.0	1.120082170283218	0.000708215297450425	0.049043909348441925	0.038464943342776205	0.04302407932011332	22708.458259560906	0.020906345390365816	0.000708215297450425	0.049043909348441925	0.038464943342776205	0.04302407932011332	22708.43524256374	0.020906345686561505	0.000708215297450425	0.049043909348441925	0.038464943342776205	0.04302407932011332	22708.481276558072	0.020906345094392872	6	0.051876770538243626	0.04998819641170916																	
7	TrialState.COMPLETE	0.040501062322946174	2019-12-29 22:27:23.414996	2019-12-29 22:32:57.029181	350.0	1	71.0	0.025461311451148345	1200.0	1.12371546319402	0.000708215297450425	0.040501062322946174	0.031958215297450424	0.03634029745042493	22782.02253009915	0.017836765742290633	0.000708215297450425	0.040501062322946174	0.031958215297450424	0.03634029745042493	22782.012615084986	0.01783676589435466	0.000708215297450425	0.040501062322946174	0.031958215297450424	0.03634029745042493	22782.032445113313	0.017836765590303793	7	0.042227337110481586	0.04107648725212465																	
8	TrialState.COMPLETE	0.2340504013220019	2019-12-29 22:32:57.030237	2019-12-29 22:52:21.153706	50.0	2	11.0	0.0015584233532833656	2000.0	0.3190466314425696	0.029228635505193577	0.2340504013220019	0.09069582152974505	0.1477514164305949	6466.483474976393	0.08862165721920646	0.029228635505193577	0.2340504013220019	0.09069582152974505	0.1477514164305949	6466.480096199244	0.08862180280363792	0.029228635505193577	0.2340504013220019	0.09069582152974505	0.1477514164305949	6466.486853753541	0.0886215252187334	8									0.23330382436260624	0.23371104815864022									
