number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.08099250936329588	2020-04-09 12:28:04.982667	2020-04-09 12:35:46.403727	0.5567542672526358	27.03864300768448	128	64	29	128	1.1308353847897288	0.007958801498127341	0.08099250936329588	0.019662921348314606	0.03745318352059925	54.543539325842694	0.04316495879246098	0.007958801498127341	0.08099250936329588	0.019662921348314606	0.03745318352059925	54.543539325842694	0.04316495879246098	689015982	250	0.007958801498127341	0.08099250936329588	0.019662921348314606	0.03745318352059925	54.543539325842694	0.04316495879246098	0	COMPLETE
1	0.08052434456928839	2020-04-09 12:35:46.458144	2020-04-09 12:39:47.548510	0.2622843890162532	21.241207494792093	256	128	32	256	1.14631503122189	0.00749063670411985	0.08052434456928839	0.02153558052434457	0.042134831460674156	55.300327715355806	0.04276368297638119	0.00749063670411985	0.08052434456928839	0.02153558052434457	0.042134831460674156	55.29962546816479	0.04276376066196787	2678686554	250	0.00749063670411985	0.08052434456928839	0.02153558052434457	0.042134831460674156	55.301029962546814	0.042763606626611196	1	COMPLETE
2	0.0749063670411985	2020-04-09 12:39:47.575275	2020-04-09 12:43:37.069566	0.353751481949241	21.388226072181507	256	256	92	512	1.1563888168152534	0.006086142322097378	0.0749063670411985	0.017790262172284643	0.037921348314606744	55.808052434456926	0.0407625097850663	0.006086142322097378	0.0749063670411985	0.017790262172284643	0.037921348314606744	55.808052434456926	0.0407625097850663	91772537	250	0.006086142322097378	0.0749063670411985	0.017790262172284643	0.037921348314606744	55.808052434456926	0.0407625097850663	2	COMPLETE
3	0.06132958801498127	2020-04-09 12:43:37.097192	2020-04-09 12:44:42.401321	0.648129112755177	3.276783170377065	128	128	10	512	0.9313352208860107	0.0	0.06132958801498127	0.00749063670411985	0.02153558052434457	44.868679775280896	0.03879969757382929	0.0	0.06132958801498127	0.00749063670411985	0.02153558052434457	44.868445692883896	0.03880070437983791	1452480379	150	0.0	0.06132958801498127	0.00749063670411985	0.02153558052434457	44.8689138576779	0.03879875369319621	3	COMPLETE
4	0.0599250936329588	2020-04-09 12:44:42.423768	2020-04-09 12:50:41.651764	0.17141273796749934	8.569699183562033	128	256	35	256	1.1710650717023383	0.006554307116104869	0.0599250936329588	0.018726591760299626	0.035580524344569285	56.530430711610485	0.03956330855150235	0.006554307116104869	0.0599250936329588	0.018726591760299626	0.035580524344569285	56.530430711610485	0.03956330855150235	3809213419	350	0.006554307116104869	0.0599250936329588	0.018726591760299626	0.035580524344569285	56.530430711610485	0.03956330855150235	4	COMPLETE
5	0.07958801498127341	2020-04-09 12:50:41.677920	2020-04-09 12:55:33.028908	0.5710011946819098	22.56983797624322	128	128	72	512	1.1545998533299953	0.005149812734082397	0.07958801498127341	0.017790262172284643	0.0351123595505618	55.72565543071161	0.040605822965047084	0.005149812734082397	0.07958801498127341	0.017790262172284643	0.0351123595505618	55.72565543071161	0.040605822965047084	3713666077	350	0.005149812734082397	0.07958801498127341	0.017790262172284643	0.0351123595505618	55.72565543071161	0.040605822965047084	5	COMPLETE
6	0.06413857677902622	2020-04-09 12:55:33.056519	2020-04-09 12:56:47.747906	0.39403350443204865	12.038235267703591	64	128	47	512	1.1621025145570103	0.0032771535580524347	0.06413857677902622	0.01638576779026217	0.02949438202247191	56.058052434456926	0.03719749968143504	0.0032771535580524347	0.06413857677902622	0.01638576779026217	0.02949438202247191	56.058052434456926	0.03719749968143504	1217388103	150	0.0032771535580524347	0.06413857677902622	0.01638576779026217	0.02949438202247191	56.058052434456926	0.03719749968143504	6	COMPLETE
7	0.07724719101123595	2020-04-09 12:56:47.787238	2020-04-09 13:00:13.718252	0.42719241355320337	11.631433766348511	64	64	34	512	1.1653576174285263	0.00749063670411985	0.07724719101123595	0.02153558052434457	0.040262172284644196	56.223314606741575	0.041769014914271416	0.00749063670411985	0.07724719101123595	0.02153558052434457	0.040262172284644196	56.223314606741575	0.041769014914271416	2804024006	350	0.00749063670411985	0.07724719101123595	0.02153558052434457	0.040262172284644196	56.223314606741575	0.041769014914271416	7	COMPLETE
8	0.0749063670411985	2020-04-09 13:00:13.740263	2020-04-09 13:05:54.775396	0.9033823536933238	25.36975632201236	128	128	13	128	1.1370411257500226	0.009363295880149813	0.0749063670411985	0.023876404494382022	0.04260299625468165	54.85744382022472	0.0445964691648371	0.009363295880149813	0.0749063670411985	0.023876404494382022	0.04260299625468165	54.857209737827716	0.044596499914577266	3061603071	200	0.009363295880149813	0.0749063670411985	0.023876404494382022	0.04260299625468165	54.857677902621724	0.0445964387645258	8	COMPLETE
9	0.0552434456928839	2020-04-09 13:05:54.796161	2020-04-09 13:08:08.286299	0.39226296780169356	8.798557807596207	128	256	73	512	1.1924239303541722	0.0009363295880149813	0.0552434456928839	0.018258426966292134	0.0299625468164794	57.577715355805246	0.03451420625828825	0.0009363295880149813	0.0552434456928839	0.018258426966292134	0.0299625468164794	57.577715355805246	0.03451420625828825	247545609	150	0.0009363295880149813	0.0552434456928839	0.018258426966292134	0.0299625468164794	57.577715355805246	0.03451420625828825	9	COMPLETE
