number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.21207865168539325	2020-03-09 12:57:47.792198	2020-03-09 13:02:10.654835	3.1992578659089563	256	1	46	0.036814211277682744	0.013887900622496865	512	0.7600334679432325	0.02902621722846442	0.21207865168539325	0.07865168539325842	0.11844569288389513	36.637172284644194	0.09612249726116046	0.02902621722846442	0.21207865168539325	0.07865168539325842	0.11844569288389513	36.637172284644194	0.09612249726116046	227690836	900.0	0.02902621722846442	0.21207865168539325	0.07865168539325842	0.11844569288389513	36.637172284644194	0.09612249726116046	0	COMPLETE
1	0.08707865168539326	2020-03-09 13:02:10.674272	2020-03-09 13:03:49.096387	5.413296062124333	256	1	87	0.0018505478925896041	0.02136088477631566	128	1.0128585889164623	0.0	0.08707865168539326	0.019194756554307114	0.03651685393258427	48.82677902621723	0.04207507698766319	0.0	0.08707865168539326	0.019194756554307114	0.03651685393258427	48.82677902621723	0.04207507698766319	3578319286	150.0	0.0	0.08707865168539326	0.019194756554307114	0.03651685393258427	48.82677902621723	0.04207507698766319	1	COMPLETE
2	0.09222846441947566	2020-03-09 13:03:49.109082	2020-03-09 13:05:21.234453	6.49485757051092	128	2	69	0.0018293432735886257	0.06275232845486131	128	0.9835502747952073	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	47.44803370786517	0.044363544897430336	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	47.44803370786517	0.044363544897430336	812513305	150.0	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	47.44803370786517	0.044363544897430336	2	COMPLETE
3	0.2055243445692884	2020-03-09 13:05:21.246877	2020-03-09 13:09:24.036606	3.151724545708158	64	1	13	0.07603870669202466	0.05303341498837398	512	0.7601166064231848	0.02153558052434457	0.2055243445692884	0.07350187265917603	0.11563670411985019	36.67088014981273	0.09048983400155429	0.02153558052434457	0.2055243445692884	0.07350187265917603	0.11563670411985019	36.67088014981273	0.09048983400155429	2012088125		0.02153558052434457	0.2055243445692884	0.07350187265917603	0.11563670411985019	36.67088014981273	0.09048983400155429	3	COMPLETE
4	0.10252808988764045	2020-03-09 13:09:24.049074	2020-03-09 13:11:53.515373	8.010348445146509	256	2	6	0.0029928239906320585	0.2636203394470735	128	0.9961977119990084	0.0	0.10252808988764045	0.02294007490636704	0.04868913857677903	48.09901685393258	0.046374469026141805	0.0	0.10252808988764045	0.02294007490636704	0.04868913857677903	48.098314606741575	0.04637616595552736	2091788894	300.0	0.0	0.10252808988764045	0.02294007490636704	0.04868913857677903	48.0997191011236	0.046372894443362955	4	COMPLETE
5	0.09925093632958802	2020-03-09 13:11:53.528112	2020-03-09 13:12:20.195211	1.9579090061151436	256	2	18	0.0014525082691184414	0.01393919829555933	512	0.9926303558606194	0.0	0.09925093632958802	0.021067415730337078	0.041666666666666664	47.91760299625468	0.04468525292037671	0.0	0.09925093632958802	0.021067415730337078	0.041666666666666664	47.91760299625468	0.04468525292037671	1335704287	150.0	0.0	0.09925093632958802	0.021067415730337078	0.041666666666666664	47.91760299625468	0.04468525292037671	5	COMPLETE
6	0.08333333333333333	2020-03-09 13:12:20.207960	2020-03-09 13:13:08.786938	9.345485106569706	64	1	5	0.003050308658510444	0.08133902289489875	512	0.9988249046222241	0.0	0.08333333333333333	0.015917602996254682	0.03464419475655431	48.17837078651685	0.04169555552786895	0.0	0.08333333333333333	0.015917602996254682	0.03464419475655431	48.17837078651685	0.04169555552786895	4068463368	250.0	0.0	0.08333333333333333	0.015917602996254682	0.03464419475655431	48.17837078651685	0.04169555552786895	6	COMPLETE
7	0.16151685393258428	2020-03-09 13:13:08.799141	2020-03-09 13:23:25.316953	9.17206710819826	64	1	73	0.01392720960318678	0.1296211080315537	128	0.8340397108832813	0.024344569288389514	0.16151685393258428	0.05758426966292135	0.08754681647940075	40.16011235955056	0.08035846521784622	0.024344569288389514	0.16151685393258428	0.05758426966292135	0.08754681647940075	40.16011235955056	0.08035846521784622	3492548392	750.0	0.024344569288389514	0.16151685393258428	0.05758426966292135	0.08754681647940075	40.16011235955056	0.08035846521784622	7	COMPLETE
8	0.18305243445692884	2020-03-09 13:23:25.329718	2020-03-09 13:34:49.025293	1.7801018546665008	256	2	90	0.005883028772860092	0.03734359312639796	128	0.8124933955756676	0.02294007490636704	0.18305243445692884	0.06132958801498127	0.10112359550561797	39.175561797752806	0.083731602123087	0.02294007490636704	0.18305243445692884	0.06132958801498127	0.10112359550561797	39.175561797752806	0.083731602123087	944671385	750.0	0.02294007490636704	0.18305243445692884	0.06132958801498127	0.10112359550561797	39.175561797752806	0.083731602123087	8	COMPLETE
9	0.09176029962546817	2020-03-09 13:34:49.037809	2020-03-09 13:35:37.207129	2.836891270738484	256	2	26	0.0014581792908382133	0.06736360080498593	256	1.020480423893654	0.0	0.09176029962546817	0.018258426966292134	0.03932584269662921	49.21699438202247	0.042489187427528496	0.0	0.09176029962546817	0.018258426966292134	0.03932584269662921	49.21676029962547	0.04248922665373662	4262744070	150.0	0.0	0.09176029962546817	0.018258426966292134	0.03932584269662921	49.21722846441948	0.04248914870422047	9	COMPLETE
