number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.009363295880149813	2020-05-18 11:12:13.827578	2020-05-18 11:33:34.553342	0.4400424905132265	4.383456865147848	128	69	0.0023410665014244932	256	0.9974242979939678	0.003745318352059925	0.009363295880149813	0.007022471910112359	0.007022471910112359	48.129447565543074	0.026514951008582525	0.7088014981273408	0.9953183520599251	0.9410112359550562	0.9770599250936329	1.6015917602996255	0.8246888190357291		85871714.0	150.0	0.003745318352059925	0.008426966292134831	0.007022471910112359	0.007022471910112359	94.65730337078652	0.01590188595792039	0		COMPLETE
1	0.018258426966292134	2020-05-18 11:33:34.645308	2020-05-18 12:37:21.766602	0.9328634394347814	4.465891359360009	256	53	0.010089052237173123	512	0.9897630711143648	0.007958801498127341	0.018258426966292134	0.016853932584269662	0.017322097378277154	47.76123595505618	0.03278552833597049	0.5416666666666666	0.9887640449438202	0.8885767790262172	0.9625468164794008	2.1877340823970037	0.721040851926892		106941342.0	150.0	0.007958801498127341	0.017322097378277154	0.01544943820224719	0.016853932584269662	93.33473782771536	0.021921392564049395	1		COMPLETE
2	0.0	2020-05-18 12:37:21.857872	2020-05-18 13:04:11.770849	0.19771960719964896	16.632655192542856	128	85	0.02089380314121694	512	1.000060215369146	0.0	0.0	0.0	0.0	48.25866104868914	0.02078038137964645	0.9948501872659176	1.0	0.9995318352059925	1.0	1.0060861423220975	0.997308052434457		1496644727.0	150.0	0.0	0.0	0.0	0.0	95.51123595505618	0.010500206678825732	2		COMPLETE
3	0.03745318352059925	2020-05-18 13:04:11.860197	2020-05-18 15:51:51.628969	0.9357460369088109	2.354459297766628	256	68	0.09357639051457861	512	0.9843965037237532	0.0032771535580524347	0.03745318352059925	0.017790262172284643	0.024812734082397005	47.512172284644194	0.0352997560817104	0.3600187265917603	0.7991573033707865	0.5889513108614233	0.6966292134831461	9.311797752808989	0.5064021138849577		1930448988.0	250.0	0.0032771535580524347	0.025280898876404494	0.013576779026217229	0.018726591760299626	85.7125468164794	0.02221580652728125	3		COMPLETE
4	0.0014044943820224719	2020-05-18 15:51:51.708555	2020-05-18 17:34:44.562816	0.9594278751939967	29.611939920185858	256	86	0.06414269818822681	128	0.9995087966059547	0.0014044943820224719	0.0014044943820224719	0.0014044943820224719	0.0014044943820224719	48.229166666666664	0.022181182978107013	0.9517790262172284	0.9985955056179775	0.9971910112359551	0.9985955056179775	1.1839887640449438	0.9743049105862561		2270477729.0	150.0	0.0014044943820224719	0.0014044943820224719	0.0014044943820224719	0.0014044943820224719	95.27434456928839	0.011916128302178629	4		COMPLETE
5	0.019194756554307114	2020-05-18 17:34:44.663375	2020-05-18 17:43:01.221734	0.896746646122869	8.373871185134522	64	22	0.07021222673896028	512	1.0024775202012854	0.0032771535580524347	0.019194756554307114	0.010767790262172285	0.013108614232209739	48.37710674157304	0.029409534684970016	0.5833333333333334	0.8707865168539326	0.7331460674157303	0.8258426966292135	7.0889513108614235	0.6808765028438676		3347241805.0	400.0	0.0032771535580524347	0.01451310861423221	0.009831460674157303	0.011235955056179775	89.66526217228464	0.01774375055553521	5		COMPLETE
6	0.0	2020-05-18 17:43:01.321288	2020-05-18 17:49:07.238090	0.17221554834299407	25.887875753825618	64	49	0.0021830475805706363	128	1.000103430410896	0.0	0.0	0.0	0.0	48.26076779026217	0.020779502812655632	0.9911048689138576	1.0	1.0	1.0	1.0102996254681649	0.9953183520599251		229201717.0	150.0	0.0	0.0	0.0	0.0	95.51123595505618	0.010500206678825732	6		COMPLETE
7	0.011235955056179775	2020-05-18 17:49:07.335328	2020-05-18 18:01:14.428536	0.9404856473084625	1.3889878635434683	128	37	0.03427225885212048	128	1.0018861693040597	0.003745318352059925	0.011235955056179775	0.0056179775280898875	0.007958801498127341	48.34410112359551	0.02622161164430734	0.6933520599250936	0.9592696629213483	0.8862359550561798	0.9302434456928839	3.37687265917603	0.7968829321045154		3924360539.0	150.0	0.003745318352059925	0.009363295880149813	0.004213483146067416	0.0056179775280898875	93.31132958801498	0.015454335026171122	7		COMPLETE
8	0.06320224719101124	2020-05-18 18:01:14.524302	2020-05-18 18:09:34.719020	0.652982775664127	3.1148539008412652	64	90	0.0018232037683241157	256	0.991589715395625	0.006554307116104869	0.06320224719101124	0.018726591760299626	0.04119850187265917	47.84597378277154	0.03980464108895214	0.11844569288389513	0.7860486891385767	0.33754681647940077	0.5140449438202247	7.241573033707865	0.30235334390952595		587744989.0	150.0	0.006554307116104869	0.05196629213483146	0.014044943820224719	0.027153558052434457	88.45037453183521	0.027288929719036216	8		COMPLETE
9	0.0	2020-05-18 18:09:34.843724	2020-05-18 18:12:04.737998	0.3292433628377281	28.224865270125193	64	23	0.05881346117707407	512	1.0000276489650712	0.0	0.0	0.0	0.0	48.25702247191011	0.020781022794206693	0.99812734082397	1.0	0.9995318352059925	1.0	1.002808988764045	0.9989466292134831		2058755015.0	150.0	0.0	0.0	0.0	0.0	95.51123595505618	0.010500206678825732	9		COMPLETE
