number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401
0	TrialState.COMPLETE	0.01737656819101578	2020-01-16 16:39:16.981241	2020-01-16 17:39:53.176719	0.78038990848715	9.494243707632494	7.023808560970895	0.07074601857034439	150.0	100.0	0.02335290169154052	2000.0	0.6960233370732372	0.004299878591663294	0.01737656819101578	0.008346823148522866	0.011634965600971266	14108.482547551599	0.00926819582765195	0.004299878591663294	0.01737656819101578	0.008346823148522866	0.011634965600971266	14108.468029138001	0.009268196528798836	0.004299878591663294	0.01737656819101578	0.008346823148522866	0.011634965600971266	14108.497065965197	0.009268195127854902	0				0.016395184135977337	0.016967658168083096			
1	TrialState.COMPLETE	0.018745573654390935	2020-01-16 17:39:53.178013	2020-01-16 19:04:53.738235	0.4274254523381248	12.74324055581492	2.7188245913593923	0.08465205483899908	250.0	20.0	0.0028413861811679452	1700.0	0.8161899194132037	0.006263279036827196	0.018745573654390935	0.010623229461756374	0.013279036827195468	16545.671531958214	0.010745277102830623	0.006263279036827196	0.018745573654390935	0.010623229461756374	0.013279036827195468	16545.642284879603	0.010745279416008542	0.006263279036827196	0.018745573654390935	0.010623229461756374	0.013279036827195468	16545.700779036826	0.01074527480284571	1					0.017557837582625118	0.01823654390934844		
2	TrialState.COMPLETE	0.001106586402266289	2020-01-16 19:04:53.747978	2020-01-16 19:28:13.895553	0.3795422610613567	16.199697520681436	4.283271106283312	0.015926450156010276	50.0	80.0	0.038655292879048286	500.0	0.7740024512128794	8.852691218130312e-05	0.001106586402266289	0.0003098441926345609	0.0006196883852691218	15689.686083569404	0.0007602420476465839	8.852691218130312e-05	0.001106586402266289	0.0003098441926345609	0.0006196883852691218	15689.676832507083	0.0007602431082285317	8.852691218130312e-05	0.001106586402266289	0.0003098441926345609	0.0006196883852691218	15689.695334631728	0.0007602409899266184	2	0.0009737960339943342	0.0010623229461756375						
3	TrialState.COMPLETE	0.018110076891946582	2020-01-16 19:28:13.897082	2020-01-16 21:12:05.648184	0.3120419460715106	3.5547077550873833	2.9774234288504076	0.08074194959051811	450.0	70.0	0.007678637853679175	800.0	0.7251494476590992	0.00698097936058276	0.018110076891946582	0.01102792391744233	0.012924929178470254	14698.998950323756	0.01145320190887611	0.00698097936058276	0.018110076891946582	0.01102792391744233	0.012924929178470254	14698.96613213274	0.011453206469788401	0.00698097936058276	0.018110076891946582	0.01102792391744233	0.012924929178470254	14699.031768514771	0.01145319739328827	3				0.017492917847025495	0.01785292728989613			
4	TrialState.COMPLETE	0.018435729461756374	2020-01-16 21:12:05.649540	2020-01-16 23:05:43.521153	0.2738321042264651	21.92832281787036	2.3207041357500335	0.011503949399057054	450.0	40.0	0.043147632373268505	2000.0	0.638529240959916	0.005422273371104816	0.018435729461756374	0.00949451133144476	0.012858533994334278	12941.742331356232	0.010424627030182048	0.005422273371104816	0.018435729461756374	0.00949451133144476	0.012858533994334278	12941.730723264873	0.010424629069393622	0.005422273371104816	0.018435729461756374	0.00949451133144476	0.012858533994334278	12941.753939447592	0.01042462500419	4					0.018029981114258735	0.018261837312828814		
5	TrialState.COMPLETE	0.0002213172804532578	2020-01-16 23:05:43.522378	2020-01-16 23:28:33.205300	0.39559195161645255	22.821530199602815	1.5236267232056742	0.030086714558058194	50.0	90.0	0.011425707717392248	900.0	0.9464063750042745	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	19186.415589589236	0.00024505911806857575	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	19186.405143413598	0.00024505942925858197	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	19186.42603576487	0.0002450588072111049	5	0.0004426345609065156	0.0002950897072710104						
6	TrialState.COMPLETE	0.017528328611898018	2020-01-16 23:28:33.206243	2020-01-17 00:41:47.093798	0.20397843743999727	10.85664577766312	2.833127107766682	0.018742726746603922	250.0	40.0	0.007934351575168771	1300.0	0.7011107239199036	0.005868069607446378	0.017528328611898018	0.009206798866855524	0.0117867260218535	14211.704307466613	0.010377872832039775	0.005868069607446378	0.017528328611898018	0.009206798866855524	0.0117867260218535	14211.689776406312	0.010377873602468337	0.005868069607446378	0.017528328611898018	0.009206798866855524	0.0117867260218535	14211.718838526913	0.0103778720629965	6				0.016607648725212466	0.017144711992445702			
7	TrialState.COMPLETE	0.01937755744412968	2020-01-17 00:41:47.096046	2020-01-17 02:52:49.809782	0.978939748644391	7.343611184709175	8.236677199078889	0.04605122871695948	350.0	80.0	0.0015500407903070825	600.0	0.821673660904177	0.0052525967894239845	0.01937755744412968	0.009560906515580737	0.014046270066100094	16656.679257160842	0.010167413941817185	0.0052525967894239845	0.01937755744412968	0.009560906515580737	0.014046270066100094	16656.647780925403	0.010167414906003251	0.0052525967894239845	0.01937755744412968	0.009560906515580737	0.014046270066100094	16656.710733396285	0.010167412979255518	7						0.01808478348846621	0.018811968838526913	
8	TrialState.COMPLETE	0.0005754249291784702	2020-01-17 02:52:49.815950	2020-01-17 03:15:57.058537	0.6791660813797598	28.444154095119615	3.640137328245945	0.018346806025487526	50.0	70.0	0.012888722489884439	900.0	0.9518442265226285	0.0	0.0005754249291784702	0.0002213172804532578	0.0003098441926345609	19296.692745219545	0.0003543043079987699	0.0	0.0005754249291784702	0.0002213172804532578	0.0003098441926345609	19296.683914660058	0.00035430457751873813	0.0	0.0005754249291784702	0.0002213172804532578	0.0003098441926345609	19296.701575779036	0.00035430403878975857	8	0.000796742209631728	0.0006491973559962229						
