number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	501	551	651	701	751
0	TrialState.COMPLETE	0.2195167180189433	2020-01-22 01:14:09.377383	2020-01-22 01:27:05.691237	350.0	1	11.0	0.0027129461774494084	800.0	0.15296482460126432	0.08415354330708662	0.2195167180189433	0.1426380805660162	0.1722084331849823	1076.7930217961884	0.13139583180296224	0.08415354330708662	0.2195167180189433	0.1426380805660162	0.1722084331849823	1076.792772167066	0.13139583558285461	0.08415354330708662	0.2195167180189433	0.1426380805660162	0.1722084331849823	1076.7932714253109	0.13139582812094966	0	0.24241127467762183	0.22714823690516947										
1	TrialState.COMPLETE	0.13002824375213967	2020-01-22 01:27:05.692107	2020-01-22 01:42:44.147845	450.0	1	31.0	0.016638315740412326	1600.0	0.6512499525088065	0.005199418007531667	0.13002824375213967	0.09095771995891817	0.10709089352961315	4632.287597711971	0.055523522023295926	0.005199418007531667	0.13002824375213967	0.09095771995891817	0.10709089352961315	4632.283550154057	0.05552352264839213	0.005199418007531667	0.13002824375213967	0.09095771995891817	0.10709089352961315	4632.291645269885	0.055523521400084895	1	0.13663984936665524	0.13223211229031154										
2	TrialState.COMPLETE	0.2480671573661988	2020-01-22 01:42:44.148707	2020-01-22 02:18:05.431616	50.0	2	81.0	0.0027562385038525485	1900.0	0.12198146040647861	0.08058384685609951	0.2480671573661988	0.1430660162044962	0.18242183042337098	858.5742521824718	0.13595759669609897	0.08059097911674085	0.2480671573661988	0.14307314846513752	0.18242183042337098	858.5728061166267	0.13596155880592375	0.08058384685609951	0.2480671573661988	0.1430660162044962	0.18242183042337098	858.5756982483168	0.13595528883607172	2					0.24694739244550953	0.24758725811447482						
3	TrialState.COMPLETE	0.27812250370877556	2020-01-22 02:18:05.432454	2020-01-22 02:30:12.980872	150.0	2	11.0	0.0015871114320968422	500.0	0.0684406512086889	0.09246262695423942	0.27812250370877556	0.1662387310281867	0.20901089809425996	478.8721363973525	0.15479853665789395	0.09246262695423942	0.27812250370877556	0.1662387310281867	0.20901089809425996	478.8717048955837	0.15479902770644752	0.09246262695423942	0.27812250370877556	0.1662387310281867	0.20901089809425996	478.8725678991213	0.15479813070387202	3	0.290924911559968	0.28238997299250634										
4	TrialState.COMPLETE	0.2805403400661874	2020-01-22 02:30:12.981723	2020-01-22 02:45:01.504947	350.0	1	41.0	0.0010843426442817552	1100.0	0.093772738033707	0.10397409562935069	0.2805403400661874	0.17979002624671916	0.22021567956179391	654.1027544790596	0.1646278165259213	0.10397409562935069	0.2805403400661874	0.17979002624671916	0.22021567956179391	654.1025119821978	0.16462781693104814	0.10397409562935069	0.2805403400661874	0.17979002624671916	0.22021567956179391	654.1029969759215	0.1646278161235699	4	0.28725892959032295	0.28277986990756593										
5	TrialState.COMPLETE	0.2196736277530526	2020-01-22 02:45:01.505803	2020-01-22 02:58:12.673613	250.0	2	31.0	0.026002036233883606	800.0	0.16181534373515422	0.0697249800296702	0.2196736277530526	0.12517830651603332	0.1590137509985165	1140.0267852048385	0.11926433363618295	0.0697249800296702	0.2196736277530526	0.12517830651603332	0.1590137509985165	1140.0259471642132	0.11926437822975104	0.0697249800296702	0.2196736277530526	0.12517830651603332	0.1590137509985165	1140.027623245464	0.11926429110693111	5	0.2193027501997033	0.21955000190193616										
6	TrialState.COMPLETE	0.22343946137167636	2020-01-22 02:58:12.674509	2020-01-22 03:15:52.292619	350.0	2	81.0	0.012377582537722408	600.0	0.11674253907859757	0.06650119821978774	0.22343946137167636	0.12119850507816958	0.15707377610407394	822.6896967362775	0.1176665166595085	0.06650119821978774	0.22343946137167636	0.12119850507816958	0.15707377610407394	822.6888836585645	0.11766943477781219	0.06650119821978774	0.22343946137167636	0.12119850507816958	0.15707377610407394	822.6905098139906	0.1176645521599696	6	0.22905968275704666	0.22531286850013313										
7	TrialState.COMPLETE	0.035782551637567044	2020-01-22 03:15:52.293484	2020-01-22 03:27:54.740974	150.0	1	31.0	0.09138207685854233	1900.0	0.9737548500817595	0.005149492183042337	0.035782551637567044	0.026289512723952985	0.030918349880178022	6956.67993267146	0.017635837869926372	0.005149492183042337	0.035782551637567044	0.026289512723952985	0.030918349880178022	6956.676466392788	0.017635839885568747	0.005149492183042337	0.035782551637567044	0.026289512723952985	0.030918349880178022	6956.683398950131	0.01763583587485385	7	0.039041994750656166	0.03686903267526342										
8	TrialState.COMPLETE	0.20895384000912928	2020-01-22 03:27:54.741806	2020-01-22 03:42:20.927899	450.0	2	21.0	0.034531936702674154	600.0	0.22986742136090538	0.0724780326372247	0.20895384000912928	0.12542793563847998	0.15738046331165126	1621.6280882688577	0.11845032103587848	0.0724780326372247	0.20895384000912928	0.12542793563847998	0.15738046331165126	1621.62722526532	0.11845038159113556	0.0724780326372247	0.20895384000912928	0.12542793563847998	0.15738046331165126	1621.6289512723954	0.11845026452272547	8	0.21024477918521053	0.20938415306782304										
9	TrialState.COMPLETE	0.26063420061622733	2020-01-22 03:42:20.928767	2020-01-22 03:54:32.315245	150.0	2	11.0	0.003270227284206382	1100.0	0.07118863346536647	0.08043050325231085	0.26063420061622733	0.15121819011753965	0.19294904712997832	498.2281503195253	0.1410738898702086	0.08043050325231085	0.26063420061622733	0.15121819011753965	0.19295617939061965	498.2277544790597	0.14107426373490192	0.08043050325231085	0.26063420061622733	0.15121819011753965	0.19294904712997832	498.22854615999086	0.1410735629997579	9	0.2669319867625243	0.262733462664993										
10	TrialState.COMPLETE	0.0645398265434212	2020-01-22 03:54:32.316066	2020-01-22 04:06:20.631619	450.0	1	1.0	0.03824309501925668	1800.0	0.9302152679920042	0.005199418007531667	0.0645398265434212	0.05163756704325003	0.058156453269428275	6644.285836043592	0.030280009422852167	0.005199418007531667	0.0645398265434212	0.05163756704325003	0.058156453269428275	6644.280761440146	0.030280010082403365	0.005199418007531667	0.0645398265434212	0.05163756704325003	0.058156453269428275	6644.290910647039	0.030280008764351798	10	0.06651546274107041	0.06519837194263761										
11	TrialState.COMPLETE	0.17587013579824262	2020-01-22 04:06:20.632495	2020-01-22 04:26:49.116928	450.0	2	11.0	0.06393386232076499	600.0	0.35686096358131647	0.06852676024192628	0.17587013579824262	0.11233025219673627	0.1369964623987219	2527.972652059797	0.10497354669779456	0.06852676024192628	0.17587013579824262	0.11233025219673627	0.1369964623987219	2527.9715793677965	0.1049735732650641	0.06852676024192628	0.17587013579824262	0.11233025219673627	0.1369964623987219	2527.9737247517974	0.10497352206050527	11		0.17605272167066074	0.17593860550039941									
12	TrialState.COMPLETE	0.04046559397466621	2020-01-22 04:26:49.117769	2020-01-22 04:46:48.491121	250.0	1	51.0	0.07323760171750597	1400.0	0.9686318535971412	0.0043763551295218535	0.04046559397466621	0.028768686522880293	0.03429761497204154	6919.073596371106	0.01882633342542718	0.0043763551295218535	0.04046559397466621	0.028768686522880293	0.03429761497204154	6919.068692228689	0.018826334507959487	0.0043763551295218535	0.04046559397466621	0.028768686522880293	0.03429761497204154	6919.078500513523	0.018826332349217538	12		0.04136711171973068	0.04080366312906539									
13	TrialState.COMPLETE	0.2674098482254936	2020-01-22 04:46:48.492001	2020-01-22 04:58:32.184966	150.0	2	31.0	0.0019910862151543965	1300.0	0.07947177328417175	0.08771967362775306	0.2674098482254936	0.15930617368481115	0.19964623987218988	556.4599666210202	0.14865163121923106	0.08771967362775306	0.2674169804861349	0.15930617368481115	0.19964623987218988	556.4591250142645	0.148652214783848	0.08771967362775306	0.2674098482254936	0.15930617368481115	0.19964623987218988	556.4608082277758	0.14865114235712906	13	0.2823661987903686	0.27239529841378524										
14	TrialState.COMPLETE	0.03917037544220016	2020-01-22 04:58:32.185835	2020-01-22 05:19:12.548282	450.0	1	91.0	0.08102646249381597	700.0	0.9911396789630411	0.005063905055346343	0.03917037544220016	0.02355785689832249	0.03014806573091407	7082.994112318841	0.017712409500742297	0.005063905055346343	0.03917037544220016	0.02355785689832249	0.03014806573091407	7082.988467134543	0.017712411955417985	0.005063905055346343	0.03917037544220016	0.02355785689832249	0.03014806573091407	7082.999757503138	0.017712407064716346	14	0.0442770740613945	0.04087260831526494										
15	TrialState.COMPLETE	0.07704981170831907	2020-01-22 05:19:12.549139	2020-01-22 05:32:15.503535	350.0	1	11.0	0.03191953907063319	1000.0	0.8474678262981579	0.005149492183042337	0.07704981170831907	0.06174398037201872	0.06904741526874358	6046.6167123131345	0.03564583308988615	0.005149492183042337	0.07704981170831907	0.06174398037201872	0.06904741526874358	6046.612033550154	0.03564583412893541	0.005149492183042337	0.07704981170831907	0.06174398037201872	0.06904741526874358	6046.621391076115	0.035645832053666573	15	0.07801266689489901	0.07737076343717905										
16	TrialState.COMPLETE	0.19718560995093004	2020-01-22 05:32:15.504472	2020-01-22 05:45:05.060808	250.0	2	11.0	0.04042264491891012	2000.0	0.24878752111810049	0.07075915782266347	0.19718560995093004	0.12032123701928563	0.1488859408878238	1757.4562007874015	0.11367481165919549	0.07075915782266347	0.19718560995093004	0.12032123701928563	0.1488859408878238	1757.4554019742097	0.11367483621001441	0.07075915782266347	0.19718560995093004	0.12032123701928563	0.1488859408878238	1757.4569996005935	0.11367478817165991	16	0.19640819354102476	0.1969264711476283										
17	TrialState.COMPLETE	0.09210601392217277	2020-01-22 05:45:05.061739	2020-01-22 06:03:00.915159	450.0	1	61.0	0.024720374207294445	800.0	0.7923039003959588	0.005113830879835673	0.09210601392217277	0.06787772452356498	0.0785761154855643	5650.396439575487	0.04096526792523126	0.005113830879835673	0.09210601392217277	0.06787772452356498	0.0785761154855643	5650.391889193199	0.040965271437390524	0.005113830879835673	0.09210601392217277	0.06787772452356498	0.0785761154855643	5650.400989957777	0.0409652644749701	17	0.09631404770055917	0.09350869184830157										
18	TrialState.COMPLETE	0.22087184754079653	2020-01-22 06:03:00.916016	2020-01-22 06:14:36.485098	50.0	1	31.0	0.009349298957434604	1000.0	0.08448459165707056	0.0749743238616912	0.22087184754079653	0.1298998630605957	0.16280811365970557	591.0631739986306	0.1246398141893282	0.0749743238616912	0.22087184754079653	0.1298998630605957	0.16280811365970557	591.063034919548	0.12463981472157358	0.0749743238616912	0.22087184754079653	0.1298998630605957	0.16280811365970557	591.0633130777131	0.12463981365916779	18	0.22711970786260413	0.22295446764806573										
