number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801	901	951
0	TrialState.COMPLETE	0.2805176409992274	2019-12-30 09:13:31.981373	2019-12-30 09:39:58.626410	4.323477898207448	50.0	36.0	0.00572423213868666	500.0	0.26458808436590253	0.15062451712593355	0.2805176409992274	0.21040432655163532	0.23939286634045842	5363.47775560134	0.19554665790334227	0.15062451712593355	0.2805176409992274	0.21040432655163532	0.23939286634045842	5363.477610739119	0.19554666270847013	0.15062451712593355	0.2805176409992274	0.21040432655163532	0.23939286634045842	5363.477900463559	0.19554665321092796	0								0.2810434372049103	0.2807542492917847									
1	TrialState.COMPLETE	0.2735818831782005	2019-12-30 09:39:58.627389	2019-12-30 10:33:00.373991	5.061836852248534	50.0	16.0	0.004670310312120078	1000.0	0.25767945932956815	0.14792425468771078	0.2735818831782005	0.2062592742479428	0.23329792256846082	5223.541413732632	0.19183860189668264	0.14792425468771078	0.2735818831782005	0.2062592742479428	0.23329792256846082	5223.541228247673	0.1918386070220142	0.14792425468771078	0.2735818831782005	0.2062592742479428	0.23329792256846082	5223.54159921759	0.19183859692439467	1																	0.27231810049202326	0.2729815864022663
2	TrialState.COMPLETE	0.03336659799124388	2019-12-30 10:33:00.374845	2019-12-30 11:01:52.372867	5.13115995343018	250.0	16.0	0.02997808533919111	600.0	0.8053464321518484	0.01591874839041978	0.03336659799124388	0.02464267319083183	0.028038887458150915	16327.2659831316	0.02258821075905429	0.01591874839041978	0.03336659799124388	0.02464267319083183	0.028038887458150915	16327.265757790368	0.02258821077654802	0.01591874839041978	0.03336659799124388	0.02464267319083183	0.028038887458150915	16327.26620847283	0.02258821074157309	2								0.03267626691847655	0.033055949008498585									
3	TrialState.COMPLETE	0.3186424057528873	2019-12-30 11:01:52.373873	2019-12-30 11:36:49.157645	5.35456204250649	150.0	26.0	0.0035716737679568266	600.0	0.28048081072410674	0.1867781651775986	0.3186424057528873	0.2508444105469601	0.27933645674438873	5685.59155044672	0.23287358043254838	0.1867781651775986	0.3186424057528873	0.2508444105469601	0.27933645674438873	5685.5913733928965	0.23287358961789054	0.1867781651775986	0.3186424057528873	0.2508444105469601	0.27933645674438873	5685.591727500545	0.23287357157476346	3																		
4	TrialState.COMPLETE	0.0853399433427762	2019-12-30 11:36:49.158603	2019-12-30 12:34:55.331252	3.130423091100433	350.0	41.0	0.018567557213886265	700.0	0.5097080958127493	0.03267233238904627	0.0853399433427762	0.058002832861189804	0.06953493862134089	10333.643980169973	0.05190173171635961	0.03267233238904627	0.0853399433427762	0.058002832861189804	0.06953493862134089	10333.643767705382	0.05190173176687791	0.03267233238904627	0.0853399433427762	0.058002832861189804	0.06953493862134089	10333.644192634561	0.05190173166591524	4																		
5	TrialState.COMPLETE	0.3630692961429505	2019-12-30 12:34:55.332254	2019-12-30 13:09:16.914890	5.66559798691879	50.0	31.0	0.0010381510396887492	600.0	0.3920158655103548	0.26827740248420134	0.3630692961429505	0.33038243626062325	0.34687568097624755	7946.811907550665	0.30425695362047755	0.26827740248420134	0.3630692961429505	0.33038243626062325	0.34687568097624755	7946.811641969928	0.30425695383940454	0.26827740248420134	0.3630692961429505	0.33038243626062325	0.34687568097624755	7946.812173131401	0.30425695340227626	5																		
6	TrialState.COMPLETE	0.3559747617821272	2019-12-30 13:09:16.915892	2019-12-30 13:42:04.041323	2.1313322014324347	250.0	46.0	0.003165449824489535	500.0	0.2842499029838236	0.22031934071594128	0.3559747617821272	0.2894669070306464	0.3180852433685295	5761.928985320628	0.26814208327520994	0.22031934071594128	0.3559747617821272	0.2894669070306464	0.3180852433685295	5761.928808266804	0.26814208327927364	0.22031934071594128	0.3559747617821272	0.2894669070306464	0.3180852433685295	5761.929162374453	0.2681420832711479	6								0.3671309411394397	0.36099504249291786									
7	TrialState.COMPLETE	0.05299116813864356	2019-12-30 13:42:04.042430	2019-12-30 14:37:19.329413	9.700464523220255	350.0	16.0	0.01869287727192136	800.0	0.6303446679967003	0.02278786868855191	0.05299116813864356	0.03794159306782203	0.044388435260789866	12779.496786993834	0.03443989332794103	0.02278786868855191	0.05299116813864356	0.03794159306782203	0.044388435260789866	12779.496531828028	0.03443989340140876	0.02278786868855191	0.05299116813864356	0.03794159306782203	0.044388435260789866	12779.49704215964	0.03443989325460564	7														0.051345609065155805	0.052219812322946174			
8	TrialState.COMPLETE	0.006728045325779037	2019-12-30 14:37:19.330192	2019-12-30 14:47:38.934857	6.309120297173864	450.0	46.0	0.0503965098268635	600.0	0.9495970161993252	0.0028328611898017	0.006728045325779037	0.00424929178470255	0.004957507082152974	19251.54483888102	0.004418442493159381	0.0028328611898017	0.006728045325779037	0.00424929178470255	0.004957507082152974	19251.54448477337	0.004418442508276943	0.0028328611898017	0.006728045325779037	0.00424929178470255	0.004957507082152974	19251.54519298867	0.004418442478048355	8	0.005488668555240793	0.0063149197355996224																
