number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10112359550561797	2020-03-13 11:41:09.140514	2020-03-13 11:41:31.251036	1.71388589991622	0.03706564102353102	128	0.0626892838483624	512	0.006157479089411243	0.990956468491079	0.00749063670411985	0.10112359550561797	0.026217228464419477	0.046348314606741575	47.82537453183521	0.050541587645584245	0.00749063670411985	0.10112359550561797	0.026217228464419477	0.046348314606741575	47.82537453183521	0.050541587645584245	2379610471	150	0.00749063670411985	0.10112359550561797	0.026217228464419477	0.046348314606741575	47.82537453183521	0.050541587645584245	0	COMPLETE
1	0.11142322097378277	2020-03-13 11:41:31.268415	2020-03-13 11:41:48.615210	1.3501335437720665	0.08585646985855896	256	0.0012726867621921459	512	0.41327355196334875	0.9721307693902151	0.009831460674157303	0.11142322097378277	0.02949438202247191	0.050093632958801496	46.931179775280896	0.05424923410488676	0.009831460674157303	0.11142322097378277	0.02949438202247191	0.050093632958801496	46.931179775280896	0.05424923410488676	1405306634	150	0.009831460674157303	0.11142322097378277	0.02949438202247191	0.050093632958801496	46.931179775280896	0.05424923410488676	1	COMPLETE
2	0.09269662921348315	2020-03-13 11:41:48.632679	2020-03-13 11:42:04.020789	6.61362433516436	0.06773906358151482	64	0.00709597713996951	512	0.009321231244204097	0.998813741591023	0.013108614232209739	0.09269662921348315	0.025749063670411985	0.04119850187265917	48.2312734082397	0.05287180268546828	0.013108614232209739	0.09269662921348315	0.025749063670411985	0.04119850187265917	48.2312734082397	0.05287180268546828	2087669726	150	0.013108614232209739	0.09269662921348315	0.025749063670411985	0.04119850187265917	48.2312734082397	0.05287180268546828	2	COMPLETE
3	0.11189138576779026	2020-03-13 11:42:04.030845	2020-03-13 11:42:32.378307	2.65832756750418	0.018387236830737053	256	0.015055530411715213	128	0.005069786047943044	1.0009028369409105	0.00749063670411985	0.11189138576779026	0.03089887640449438	0.056179775280898875	48.43539325842696	0.05266578968373216	0.00749063670411985	0.11189138576779026	0.03089887640449438	0.056179775280898875	48.43539325842696	0.05266578968373216	4100968681	150	0.00749063670411985	0.11189138576779026	0.03089887640449438	0.056179775280898875	48.43539325842696	0.05266578968373216	3	COMPLETE
4	0.10393258426966293	2020-03-13 11:42:32.393228	2020-03-13 11:43:00.500083	6.593359222475202	0.06346993508252935	64	0.019359668964869747	128	0.015240312539660591	0.9939439258902693	0.007958801498127341	0.10393258426966293	0.03277153558052434	0.056179775280898875	47.9625468164794	0.053673292557723705	0.007958801498127341	0.10393258426966293	0.03277153558052434	0.056179775280898875	47.9625468164794	0.053673292557723705	1055718033	150	0.007958801498127341	0.10393258426966293	0.03277153558052434	0.056179775280898875	47.9625468164794	0.053673292557723705	4	COMPLETE
5	0.09925093632958802	2020-03-13 11:43:00.512019	2020-03-13 11:43:18.419406	5.155891599542553	0.06955490896636675	256	0.0032472382981974975	512	0.014238426983778547	1.0117577855258986	0.014044943820224719	0.09925093632958802	0.02855805243445693	0.050093632958801496	48.899812734082396	0.05421976916233468	0.014044943820224719	0.09925093632958802	0.02855805243445693	0.050093632958801496	48.899812734082396	0.05421976916233468	2428446234	150	0.014044943820224719	0.09925093632958802	0.02855805243445693	0.050093632958801496	48.899812734082396	0.05421976916233468	5	COMPLETE
6	0.11235955056179775	2020-03-13 11:43:18.431478	2020-03-13 11:43:39.395949	5.723810887245166	0.07501675145499456	256	0.0016030506619495158	256	0.002958494629553278	1.0081876143534085	0.008895131086142321	0.11235955056179775	0.033707865168539325	0.054307116104868915	48.734550561797754	0.05429832552573825	0.008895131086142321	0.11235955056179775	0.033707865168539325	0.054307116104868915	48.734550561797754	0.05429832552573825	1417722855	150	0.008895131086142321	0.11235955056179775	0.033707865168539325	0.054307116104868915	48.734550561797754	0.05429832552573825	6	COMPLETE
7	0.10486891385767791	2020-03-13 11:43:39.413637	2020-03-13 11:43:59.067992	5.45085828564025	0.05005253202534818	64	0.008649807883903586	256	0.0070352522124517685	1.0114464774310994	0.011235955056179775	0.10486891385767791	0.03277153558052434	0.05337078651685393	48.7874531835206	0.053856063470764395	0.011235955056179775	0.10486891385767791	0.03277153558052434	0.05337078651685393	48.7874531835206	0.053856063470764395	4116201510	150	0.011235955056179775	0.10486891385767791	0.03277153558052434	0.05337078651685393	48.7874531835206	0.053856063470764395	7	COMPLETE
8	0.10861423220973783	2020-03-13 11:43:59.078715	2020-03-13 11:44:18.464715	9.283070761985693	0.016453834767011538	128	0.06276514975715114	256	0.0036078981436187918	1.0093677789199582	0.013108614232209739	0.10861423220973783	0.03323970037453183	0.05711610486891386	48.73501872659176	0.05578654848328631	0.013108614232209739	0.10861423220973783	0.03323970037453183	0.05711610486891386	48.73501872659176	0.05578654848328631	555385503	150	0.013108614232209739	0.10861423220973783	0.03323970037453183	0.05711610486891386	48.73501872659176	0.05578654848328631	8	COMPLETE
9	0.10393258426966293	2020-03-13 11:44:18.476733	2020-03-13 11:44:35.274479	5.102631610414788	0.07028925850120935	128	0.09219775041607889	512	0.1312275043265895	0.994597499564897	0.01451310861423221	0.10393258426966293	0.03417602996254682	0.05196629213483146	48.08941947565543	0.05625180580805598	0.01451310861423221	0.10393258426966293	0.03417602996254682	0.05196629213483146	48.08941947565543	0.05625180580805598	1885390202	150	0.01451310861423221	0.10393258426966293	0.03417602996254682	0.05196629213483146	48.08941947565543	0.05625180580805598	9	COMPLETE
