number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.125	2020-05-23 00:02:53.690093	2020-05-23 00:08:42.617359	0.3406017045769447	20.08959847280728	64	0.47270543464610737	150	27	512	0.9174593322647017	0.014044943820224719	0.125	0.04307116104868914	0.06835205992509363	44.188202247191015	0.0637283232525118	0.014044943820224719	0.125	0.04307116104868914	0.06835205992509363	44.18773408239701	0.06372844783480165	2814055879	500.0	0.014044943820224719	0.125	0.04307116104868914	0.06835205992509363	44.18867041198502	0.06372820081655839	0	COMPLETE
1	0.8445692883895131	2020-05-23 00:08:42.649862	2020-05-23 01:46:44.434051	0.451169355874789	29.858513658335713	128	0.2972174357665033	500	44	256	0.12536034950452826	0.20084269662921347	0.8445692883895131	0.4747191011235955	0.6352996254681648	6.041666666666667	0.39255545934601777	0.20084269662921347	0.8445692883895131	0.4747191011235955	0.6352996254681648	6.041666666666667	0.39255545934601777	2897130898		0.20084269662921347	0.8445692883895131	0.4747191011235955	0.6352996254681648	6.041666666666667	0.39255545934601777	1	COMPLETE
2	0.8632958801498127	2020-05-23 01:46:44.461060	2020-05-23 02:45:19.328042	0.5191117994705643	28.55943939636855	64	0.2773810544432497	250	98	256	0.11950231910236737	0.22237827715355804	0.8632958801498127	0.49719101123595505	0.653558052434457	5.766385767790262	0.41159681575347473	0.22237827715355804	0.8632958801498127	0.49719101123595505	0.653558052434457	5.766385767790262	0.41159681575347473	727786786		0.22237827715355804	0.8632958801498127	0.49719101123595505	0.653558052434457	5.766385767790262	0.41159681575347473	2	COMPLETE
3	0.8745318352059925	2020-05-23 02:45:19.355727	2020-05-23 03:14:38.200813	0.34876772890582797	3.916481235417765	128	0.3918204514534054	100	54	128	0.11160104267808438	0.2448501872659176	0.8745318352059925	0.528558052434457	0.6783707865168539	5.369850187265918	0.43404358431230355	0.2448501872659176	0.8745318352059925	0.528558052434457	0.6783707865168539	5.369850187265918	0.43404358431230355	2107913961	850.0	0.2448501872659176	0.8745318352059925	0.528558052434457	0.6783707865168539	5.369850187265918	0.43404358431230355	3	COMPLETE
4	0.8642322097378277	2020-05-23 03:14:38.231976	2020-05-23 06:02:19.488124	0.5061832861861375	6.986889910546066	256	0.4142304743805326	250	93	128	0.11926492468684158	0.22191011235955055	0.8642322097378277	0.49765917602996257	0.649812734082397	5.749063670411985	0.4136182885998681	0.22191011235955055	0.8642322097378277	0.49765917602996257	0.649812734082397	5.749063670411985	0.4136182885998681	702925104	850.0	0.22191011235955055	0.8642322097378277	0.49765917602996257	0.649812734082397	5.749063670411985	0.4136182885998681	4	COMPLETE
5	0.8642322097378277	2020-05-23 06:02:19.535325	2020-05-23 06:23:54.321197	0.2624970781621472	3.5935754224957406	64	0.45233309652079334	100	92	128	0.1172690039809291	0.20599250936329588	0.8642322097378277	0.49859550561797755	0.649812734082397	5.6722846441947565	0.40212509568647214	0.20599250936329588	0.8642322097378277	0.49859550561797755	0.649812734082397	5.6722846441947565	0.40212509568647214	609369287	650.0	0.20599250936329588	0.8642322097378277	0.49859550561797755	0.649812734082397	5.6722846441947565	0.40212509568647214	5	COMPLETE
6	0.7823033707865169	2020-05-23 06:23:54.362822	2020-05-23 08:12:07.185801	0.9181910214706154	29.907246170335803	256	0.14832477194134674	300	79	128	0.1522915649152804	0.15308988764044945	0.7823033707865169	0.3815543071161049	0.5337078651685393	7.339419475655431	0.33371132055466446	0.15308988764044945	0.7823033707865169	0.3815543071161049	0.5337078651685393	7.339419475655431	0.33371132055466446	3766141470	550.0	0.15308988764044945	0.7823033707865169	0.3815543071161049	0.5337078651685393	7.339419475655431	0.33371132055466446	6	COMPLETE
7	0.8862359550561798	2020-05-23 08:12:07.221119	2020-05-23 09:38:18.097076	0.2152680494451943	13.722043525641336	128	0.3581695407606392	300	71	128	0.11331586166518681	0.24204119850187267	0.8862359550561798	0.5430711610486891	0.697565543071161	5.456928838951311	0.43953798477631384	0.24204119850187267	0.8862359550561798	0.5430711610486891	0.697565543071161	5.456928838951311	0.43953798477631384	2960441619	900.0	0.24204119850187267	0.8862359550561798	0.5430711610486891	0.697565543071161	5.456928838951311	0.43953798477631384	7	COMPLETE
8	0.7467228464419475	2020-05-23 09:38:18.150577	2020-05-23 10:01:04.156002	0.22207277243605028	8.520292102942552	256	0.11752966820075561	50	38	512	0.17166151951698497	0.13389513108614232	0.7467228464419475	0.3506554307116105	0.5060861423220974	8.267790262172285	0.30787924684137863	0.13389513108614232	0.7467228464419475	0.3506554307116105	0.5060861423220974	8.267790262172285	0.30787924684137863	798607675		0.13389513108614232	0.7467228464419475	0.3506554307116105	0.5060861423220974	8.267790262172285	0.30787924684137863	8	COMPLETE
9	0.8984082397003745	2020-05-23 10:01:04.182781	2020-05-23 10:44:27.275184	0.29086807811183474	20.302609515199684	64	0.37298025152759773	350	47	128	0.10504231994975122	0.23923220973782772	0.8984082397003745	0.5552434456928839	0.7176966292134831	5.066011235955056	0.44376969683772777	0.23923220973782772	0.8984082397003745	0.5552434456928839	0.7176966292134831	5.066011235955056	0.44376969683772777	2094417619		0.23923220973782772	0.8984082397003745	0.5552434456928839	0.7176966292134831	5.066011235955056	0.44376969683772777	9	COMPLETE
10	0.8230337078651685	2020-05-23 10:44:27.313410	2020-05-23 13:56:00.203013	0.871815421463592	3.0161394351911124	256	0.4239291942259671	250	90	512	0.13668474872258216	0.14887640449438203	0.8230337078651685	0.39279026217228463	0.5720973782771536	6.590355805243446	0.33825366715900507	0.14887640449438203	0.8230337078651685	0.39279026217228463	0.5720973782771536	6.590355805243446	0.33825366715900507	442839119	1000.0	0.14887640449438203	0.8230337078651685	0.39279026217228463	0.5720973782771536	6.590355805243446	0.33825366715900507	10	COMPLETE
11	0.8314606741573034	2020-05-23 13:56:00.224604	2020-05-23 15:05:12.651898	0.21872747649083302	22.447495535467045	256	0.1341947141504366	150	78	128	0.1375230596425214	0.1853932584269663	0.8314606741573034	0.41760299625468167	0.601123595505618	6.616573033707865	0.3670796923626456	0.1853932584269663	0.8314606741573034	0.41760299625468167	0.601123595505618	6.616573033707865	0.3670796923626456	3791417	650.0	0.1853932584269663	0.8314606741573034	0.41760299625468167	0.601123595505618	6.616573033707865	0.3670796923626456	11	COMPLETE
12	0.7865168539325843	2020-05-23 15:05:12.687398	2020-05-23 16:24:18.647176	0.7872646769878797	10.00922658100849	256	0.10641695352700298	200	43	512	0.15321156217573623	0.14794007490636704	0.7865168539325843	0.36142322097378277	0.5229400749063671	7.391385767790262	0.3247939422921675	0.14794007490636704	0.7865168539325843	0.36142322097378277	0.5229400749063671	7.391385767790262	0.3247939422921675	1414454557		0.14794007490636704	0.7865168539325843	0.36142322097378277	0.5229400749063671	7.391385767790262	0.3247939422921675	12	COMPLETE
13	0.8122659176029963	2020-05-23 16:24:18.675439	2020-05-23 18:35:49.456627	0.20329177382682584	14.508868773041227	256	0.37048922910596416	500	32	256	0.13947256973313257	0.18632958801498128	0.8122659176029963	0.40730337078651685	0.5786516853932584	6.713483146067416	0.36444802141037447	0.18632958801498128	0.8122659176029963	0.40730337078651685	0.5786516853932584	6.713483146067416	0.36444802141037447	2353459883	950.0	0.18632958801498128	0.8122659176029963	0.40730337078651685	0.5786516853932584	6.713483146067416	0.36444802141037447	13	COMPLETE
