number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0007132260641332877	2020-03-14 09:53:54.424154	2020-03-14 12:56:35.855404	7.262974154344439	0.06736055580703233	256	0.006306231369746588	256	0.0029101933286137254	1.0067632992373745	0.00011411617026132602	0.0007132260641332877	0.00019970329795732054	0.0003994065959146411	7194.35598539313	0.0007133329874648799	0.00011411617026132602	0.0007132260641332877	0.00019970329795732054	0.0003994065959146411	7194.353132488874	0.0007133331553588412	3306041886	150	0.00011411617026132602	0.0007132260641332877	0.00019970329795732054	0.0003994065959146411	7194.358838297387	0.0007133328196701555	0	COMPLETE
1	0.0005991098938719617	2020-03-14 12:56:35.912507	2020-03-14 14:36:25.308230	7.653103362026086	0.012584429597804356	128	0.0016376896043218234	128	0.029252930254890824	0.9863390631139938	2.8529042565331506e-05	0.0005991098938719617	0.00014264521282665753	0.0002567613830879836	7047.473182699989	0.0006651596646396154	2.8529042565331506e-05	0.0005991098938719617	0.00014264521282665753	0.0002567613830879836	7047.470928905626	0.0006651600809747391	3623072241	150	2.8529042565331506e-05	0.0005991098938719617	0.00014264521282665753	0.0002567613830879836	7047.475436494351	0.0006651592492983135	1	COMPLETE
2	0.0006846970215679561	2020-03-14 14:36:25.352643	2020-03-14 17:39:07.290750	9.21933406309583	0.07592088742998686	256	0.005335844308742847	256	0.004843202807668815	1.021154035572771	5.705808513066301e-05	0.0006846970215679561	0.00011411617026132602	0.0004279356384799726	7299.240999087071	0.0006514522726889974	5.705808513066301e-05	0.0006846970215679561	0.00011411617026132602	0.0004279356384799726	7299.237761040739	0.0006514526609131953	1028160166	150	5.705808513066301e-05	0.0006846970215679561	0.00011411617026132602	0.0004279356384799726	7299.244237133402	0.0006514518850477159	2	COMPLETE
3	0.00034234851078397807	2020-03-14 17:39:07.326356	2020-03-14 18:36:51.409070	5.894489716149437	0.021725403269538025	64	0.09132210093522523	128	0.1676714057451165	1.0073193843280877	0.0	0.00034234851078397807	5.705808513066301e-05	8.558712769599452e-05	7197.997246947392	0.0005628865513461887	0.0	0.00034234851078397807	5.705808513066301e-05	8.558712769599452e-05	7197.995749172658	0.0005628866475218133	2620971551	150	0.0	0.00034234851078397807	5.705808513066301e-05	8.558712769599452e-05	7197.998744722127	0.0005628864552602946	3	COMPLETE
4	0.0004279356384799726	2020-03-14 18:36:51.443142	2020-03-14 20:13:52.755365	4.6752439487752975	0.011789878271091826	128	0.0020434835205002592	512	0.0013464368466342869	0.9778406568945971	0.0	0.0004279356384799726	2.8529042565331506e-05	5.705808513066301e-05	6985.332391874928	0.0005483839013932875	0.0	0.0004279356384799726	2.8529042565331506e-05	5.705808513066301e-05	6985.330138080566	0.0005483841391652597	1432626909	150	0.0	0.0004279356384799726	2.8529042565331506e-05	5.705808513066301e-05	6985.334645669292	0.000548383663834102	4	COMPLETE
5	0.0003708775533493096	2020-03-14 20:13:52.790817	2020-03-14 21:50:54.560571	5.447811875883918	0.05882712799308996	128	0.008597320306539247	512	0.057067923221737586	1.0228907391826978	5.705808513066301e-05	0.0003708775533493096	5.705808513066301e-05	0.00011411617026132602	7311.110364601164	0.0005415361189666608	5.705808513066301e-05	0.0003708775533493096	5.705808513066301e-05	0.00011411617026132602	7311.108125071322	0.000541536361023555	2046145229	150	5.705808513066301e-05	0.0003708775533493096	5.705808513066301e-05	0.00011411617026132602	7311.112604131005	0.0005415358772633744	5	COMPLETE
6	0.0005135227661759672	2020-03-14 21:50:54.598663	2020-03-15 00:55:30.528575	9.364058449773037	0.06681969079279916	256	0.0038110580825388577	128	0.029372435138166727	1.003873871529095	0.0	0.0005135227661759672	0.00014264521282665753	0.00022823234052265205	7174.923642017574	0.0005830743156110115	0.0	0.0005135227661759672	0.00014264521282665753	0.00022823234052265205	7174.920888964966	0.0005830769012138798	2494568374	150	0.0	0.0005135227661759672	0.00014264521282665753	0.00022823234052265205	7174.926395070182	0.0005830717554270163	6	COMPLETE
7	0.0006846970215679561	2020-03-15 00:55:30.568111	2020-03-15 03:58:12.554196	2.8691884460314854	0.01045532138097919	256	0.019689984227416735	256	0.37627050171126275	1.0019564888386123	0.0	0.0006846970215679561	8.558712769599452e-05	0.00028529042565331506	7160.3952413557	0.000645375175958461	0.0	0.0006846970215679561	8.558712769599452e-05	0.00028529042565331506	7160.392188748146	0.0006453757463623885	3123116297	150	0.0	0.0006846970215679561	8.558712769599452e-05	0.00028529042565331506	7160.398293963254	0.0006453746067356338	7	COMPLETE
8	0.0005705808513066301	2020-03-15 03:58:12.590139	2020-03-15 05:35:12.687161	2.7794356764650416	0.01209875340068695	128	0.01665273138535723	512	0.022074109047971042	0.9926584567766191	2.8529042565331506e-05	0.0005705808513066301	2.8529042565331506e-05	0.00011411617026132602	7092.185966563962	0.0006720943655662536	2.8529042565331506e-05	0.0005705808513066301	2.8529042565331506e-05	0.00011411617026132602	7092.183727034121	0.0006720944978923624	3816612006	150	2.8529042565331506e-05	0.0005705808513066301	2.8529042565331506e-05	0.00011411617026132602	7092.188206093803	0.0006720942333399616	8	COMPLETE
9	0.0004564646810453041	2020-03-15 05:35:12.723131	2020-03-15 07:15:03.417030	9.120644455943347	0.024201336394357856	128	0.004727584705567662	128	0.271178709770119	0.9967993574030751	2.8529042565331506e-05	0.0004564646810453041	0.00014264521282665753	0.00019970329795732054	7120.456136597056	0.0005771265057910868	2.8529042565331506e-05	0.0004564646810453041	0.00014264521282665753	0.00019970329795732054	7120.453640305831	0.0005771267114666358	1621136908	150	2.8529042565331506e-05	0.0004564646810453041	0.00014264521282665753	0.00019970329795732054	7120.458632888281	0.0005771263002927696	9	COMPLETE
10	0.0005420518087412986	2020-03-15 07:15:03.453829	2020-03-15 10:19:38.424140	9.961115811367577	0.018043719650316894	256	0.009396263529270532	128	0.0019541497376960094	1.0025167021620474	0.0	0.0005420518087412986	0.00019970329795732054	0.00028529042565331506	7164.764449960059	0.0006206451415953626	0.0	0.0005420518087412986	0.00019970329795732054	0.00028529042565331506	7164.761582791281	0.0006206454924201538	3196721736	150	0.0	0.0005420518087412986	0.00019970329795732054	0.00028529042565331506	7164.767317128837	0.000620644791424167	10	COMPLETE
