number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0005991098938719617	2020-03-04 23:39:19.586826	2020-03-04 23:50:11.441078	0.7883309260110668	15.691342462620316	64	45	0.014798284632004763	512	0.9966373730108773	0.00011411617026132602	0.0005991098938719617	0.00022823234052265205	0.0003138194682186466	7120.910960858154	0.0007512211400714684	0.00011411617026132602	0.0005991098938719617	0.00022823234052265205	0.0003138194682186466	7120.910761154855	0.0007512211898877589	1568879014	150	0.00011411617026132602	0.0005991098938719617	0.00022823234052265205	0.0003138194682186466	7120.911160561452	0.0007512210903033604	0	COMPLETE
1	0.0005991098938719617	2020-03-04 23:50:11.490551	2020-03-05 00:02:36.699918	0.3877377720783838	1.6435037215172767	256	64	0.00316634981562245	512	0.9976586024268427	0.0	0.0005991098938719617	0.00022823234052265205	0.00034234851078397807	7129.477504849937	0.000670609814743357	0.0	0.0005991098938719617	0.00022823234052265205	0.00034234851078397807	7129.477404998288	0.0006706098735559175	1126443839	150	0.0	0.0005991098938719617	0.00022823234052265205	0.00034234851078397807	7129.477604701587	0.0006706097560181104	1	COMPLETE
2	0.00048499372361063563	2020-03-05 00:02:36.739952	2020-03-05 00:16:52.200098	0.4909986859698242	5.364417633396199	128	2	0.0013513964291567587	256	0.9926517638526047	0.0	0.00048499372361063563	0.00014264521282665753	0.00019970329795732054	7093.202798699076	0.0006125305341134055	0.0	0.00048499372361063563	0.00014264521282665753	0.00019970329795732054	7093.202670318384	0.0006125305434387732	3206314789	150	0.0	0.00048499372361063563	0.00014264521282665753	0.00019970329795732054	7093.2029270797675	0.0006125305247922767	2	COMPLETE
3	0.0007132260641332877	2020-03-05 00:16:52.235341	2020-03-05 00:31:02.647405	0.8836915445930119	25.51082367268112	128	1	0.0012386013863705865	256	0.9965474259797913	5.705808513066301e-05	0.0007132260641332877	0.00017117425539198904	0.0003708775533493096	7118.66314332991	0.00070475156498832	5.705808513066301e-05	0.0007132260641332877	0.00017117425539198904	0.0003708775533493096	7118.662957891133	0.0007047515844795127	2700611960	150	5.705808513066301e-05	0.0007132260641332877	0.00017117425539198904	0.0003708775533493096	7118.663328768686	0.0007047515455059995	3	COMPLETE
4	0.0009129293620906082	2020-03-05 00:31:02.699444	2020-03-05 00:42:58.708517	0.4340400736073977	9.770877518061695	256	51	0.026701637520611186	512	0.9950096341512656	0.00014264521282665753	0.0009129293620906082	0.0003708775533493096	0.0004279356384799726	7109.697463768116	0.0008129098905059115	0.00014264521282665753	0.0009129293620906082	0.0003708775533493096	0.0004279356384799726	7109.697249800297	0.0008129099612712474	3936352510	150	0.00014264521282665753	0.0009129293620906082	0.0003708775533493096	0.0004279356384799726	7109.697677735935	0.0008129098198285053	4	COMPLETE
5	0.0007132260641332877	2020-03-05 00:42:58.761988	2020-03-05 01:12:29.844771	0.43420593097680177	10.951240577892893	64	31	0.0020574250192584263	128	1.0014792586507049	8.558712769599452e-05	0.0007132260641332877	0.00028529042565331506	0.0004279356384799726	7154.651089809426	0.0007467592083699817	8.558712769599452e-05	0.0007132260641332877	0.00028529042565331506	0.0004279356384799726	7154.6509186351705	0.0007467592132887004	4125708244	150	8.558712769599452e-05	0.0007132260641332877	0.00028529042565331506	0.0004279356384799726	7154.651260983682	0.0007467592034527687	5	COMPLETE
6	0.0005135227661759672	2020-03-05 01:12:29.880134	2020-03-05 01:23:34.379222	0.47687415553796025	16.881120351911342	256	13	0.011932241566597735	512	0.9942048472815209	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00022823234052265205	7104.10331792765	0.0006300503203247494	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00022823234052265205	7104.103132488874	0.0006300503365371913	93790416	150	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00022823234052265205	7104.103503366427	0.0006300503041190152	6	COMPLETE
7	0.0005135227661759672	2020-03-05 01:23:34.419994	2020-03-05 01:53:20.335769	0.6808193211293231	1.8234588888517487	64	51	0.028634433187908086	128	0.9995196165704079	0.00014264521282665753	0.0005135227661759672	0.00019970329795732054	0.0002567613830879836	7142.421787629807	0.0006705247233554723	0.00014264521282665753	0.0005135227661759672	0.00019970329795732054	0.0002567613830879836	7142.419319867625	0.0006705249157548446	2224095941	150	0.00014264521282665753	0.0005135227661759672	0.00019970329795732054	0.0002567613830879836	7142.424255391989	0.0006705245312096863	7	COMPLETE
8	0.0006561679790026247	2020-03-05 01:53:20.371466	2020-03-05 02:03:54.275088	0.3485504060197979	8.585859677271074	64	7	0.0030654577567157774	512	0.998086686058237	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0004279356384799726	7131.000698961543	0.0007788716030654325	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0004279356384799726	7131.000513522767	0.0007788742153328917	3697053487	150	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0004279356384799726	7131.00088440032	0.0007788690253149544	8	COMPLETE
9	0.0007132260641332877	2020-03-05 02:03:54.312981	2020-03-05 02:14:58.294399	0.9744555185866655	11.299220721151311	64	83	0.0989476206461201	512	1.0013229601815052	2.8529042565331506e-05	0.0007132260641332877	0.00014264521282665753	0.00022823234052265205	7155.8077285176305	0.0006081619458632354	2.8529042565331506e-05	0.0007132260641332877	0.00014264521282665753	0.00022823234052265205	7155.807628665982	0.0006081619491951088	2377383692	150	2.8529042565331506e-05	0.0007132260641332877	0.00014264521282665753	0.00022823234052265205	7155.80782836928	0.0006081619425321655	9	COMPLETE
