number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.951310861423221	2020-05-29 05:35:45.417268	2020-05-30 00:52:19.254815	0.10182967545360243	0.36771802353147176	0.1248547670088036	256	128	23	512	0.07539393329009246	0.4143258426966292	0.951310861423221	0.7593632958801498	0.8656367041198502	3.6399812734082397	0.6068255128450872	0.4143258426966292	0.951310861423221	0.7593632958801498	0.8656367041198502	3.6399812734082397	0.6068255128450872	3848531985	750	0.4143258426966292	0.951310861423221	0.7593632958801498	0.8656367041198502	3.6399812734082397	0.6068255128450872	0	COMPLETE
1	0.9555243445692884	2020-05-30 00:52:19.271475	2020-05-30 03:37:10.383944	0.3402448017236711	0.3854063922605121	0.12350717040177198	256	64	7	256	0.07157501113280124	0.4190074906367041	0.9555243445692884	0.7546816479400749	0.8759363295880149	3.460674157303371	0.6094748621768143	0.4190074906367041	0.9555243445692884	0.7546816479400749	0.8759363295880149	3.460674157303371	0.6094748621768143	1955939970	600	0.4190074906367041	0.9555243445692884	0.7546816479400749	0.8759363295880149	3.460674157303371	0.6094748621768143	1	COMPLETE
2	0.9531835205992509	2020-05-30 03:37:10.401419	2020-05-30 04:38:14.247326	0.3477714357034892	0.2633069963296416	0.12004980178437048	128	64	14	256	0.07589243632681975	0.39747191011235955	0.9531835205992509	0.7336142322097379	0.8497191011235955	3.6633895131086143	0.5886987581111328	0.39747191011235955	0.9531835205992509	0.7336142322097379	0.8497191011235955	3.6633895131086143	0.5886987581111328	3455439932	550	0.39747191011235955	0.9531835205992509	0.7336142322097379	0.8497191011235955	3.6633895131086143	0.5886987581111328	2	COMPLETE
3	0.9283707865168539	2020-05-30 04:38:14.258061	2020-05-30 09:59:22.798737	0.36978265130968435	0.48849290818438107	0.428678928820589	128	256	16	256	0.08699074852078009	0.34831460674157305	0.9283707865168539	0.6624531835205992	0.7935393258426966	4.203651685393258	0.5392444582977528	0.34831460674157305	0.9283707865168539	0.6624531835205992	0.7935393258426966	4.203651685393258	0.5392444582977528	2394770180	650	0.34831460674157305	0.9283707865168539	0.6624531835205992	0.7935393258426966	4.203651685393258	0.5392444582977528	3	COMPLETE
