number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8946629213483146	2020-04-06 04:19:52.378801	2020-04-06 04:36:30.959063	6.624728884584682	128	0.2732528077435701	300	69	0.003228903600863779	128	0.10206145108223993	0.3267790262172285	0.8946629213483146	0.6348314606741573	0.7710674157303371	4.911985018726591	0.5155839559526766	0.3267790262172285	0.8946629213483146	0.6348314606741573	0.7710674157303371	4.911985018726591	0.5155839559526766	1490398277	200.0	0.3267790262172285	0.8946629213483146	0.6348314606741573	0.7710674157303371	4.911985018726591	0.5155839559526766	0	COMPLETE
1	0.9269662921348315	2020-04-06 04:36:31.009409	2020-04-06 05:28:14.881721	6.636917142603933	256	0.20623941861620582	250	81	0.029709847255273415	256	0.09186868678188921	0.29307116104868913	0.9269662921348315	0.6128277153558053	0.7804307116104869	4.419475655430712	0.49501123103393546	0.29307116104868913	0.9269662921348315	0.6128277153558053	0.7804307116104869	4.419475655430712	0.49501123103393546	2665615078	250.0	0.29307116104868913	0.9269662921348315	0.6128277153558053	0.7804307116104869	4.419475655430712	0.49501123103393546	1	COMPLETE
2	0.9091760299625468	2020-04-06 05:28:14.929858	2020-04-06 06:52:07.157704	1.6397284727499641	256	0.22581081072576215	350	93	0.038304323500432044	256	0.10026180649556443	0.31741573033707865	0.9091760299625468	0.6240636704119851	0.7617041198501873	4.833333333333333	0.508208342397722	0.31741573033707865	0.9091760299625468	0.6240636704119851	0.7617041198501873	4.833333333333333	0.508208342397722	1888398510	250.0	0.31741573033707865	0.9091760299625468	0.6240636704119851	0.7617041198501873	4.833333333333333	0.508208342397722	2	COMPLETE
3	0.920880149812734	2020-04-06 06:52:07.191413	2020-04-06 07:05:11.766309	3.800331420607652	64	0.43320635874696806	500	68	0.0795941065286011	128	0.08846259638597345	0.32865168539325845	0.920880149812734	0.6867977528089888	0.8094569288389513	4.260299625468165	0.5417397573714324	0.3609550561797753	0.920880149812734	0.6882022471910112	0.8099250936329588	4.233614232209738	0.5545583206335202	3422906152	200.0	0.32865168539325845	0.9204119850187266	0.6816479400749064	0.8094569288389513	4.286985018726591	0.5359877838045564	3	COMPLETE
4	0.9428838951310862	2020-04-06 07:05:11.802690	2020-04-06 07:12:53.123471	2.35689978631355	64	0.14422643225344017	200	28	0.023385531003338865	128	0.07845679844279638	0.3993445692883895	0.9428838951310862	0.7265917602996255	0.8426966292134831	3.779494382022472	0.5872262227943393	0.3993445692883895	0.9428838951310862	0.7265917602996255	0.8426966292134831	3.779494382022472	0.5872262227943393	3250711738	250.0	0.3993445692883895	0.9428838951310862	0.7265917602996255	0.8426966292134831	3.779494382022472	0.5872262227943393	4	COMPLETE
5	0.8286516853932584	2020-04-06 07:12:53.174059	2020-04-06 08:24:50.231695	6.368324776590277	256	0.12677491900194204	400	46	0.0018578913333644473	512	0.1394369727766232	0.2532771535580524	0.8286516853932584	0.5131086142322098	0.6540262172284644	6.6905430711610485	0.43274144377458673	0.2532771535580524	0.8286516853932584	0.5131086142322098	0.6540262172284644	6.6905430711610485	0.43274144377458673	2614317410	350.0	0.2532771535580524	0.8286516853932584	0.5131086142322098	0.6540262172284644	6.6905430711610485	0.43274144377458673	5	COMPLETE
6	0.8553370786516854	2020-04-06 08:24:50.268680	2020-04-06 08:35:46.969116	7.058716628991355	128	0.44341265357764137	150	30	0.002373983244110501	512	0.1262716218970423	0.2612359550561798	0.8553370786516854	0.5547752808988764	0.6933520599250936	6.103932584269663	0.45033007790780266	0.2612359550561798	0.8553370786516854	0.5547752808988764	0.6933520599250936	6.103932584269663	0.45033007790780266	1550454333	450.0	0.2612359550561798	0.8553370786516854	0.5547752808988764	0.6933520599250936	6.103932584269663	0.45033007790780266	6	COMPLETE
7	0.9335205992509363	2020-04-06 08:35:47.004816	2020-04-06 08:39:39.554824	8.436382661280831	64	0.19262345220031368	200	14	0.03724767212369283	512	0.08031234726194669	0.4204119850187266	0.9335205992509363	0.7228464419475655	0.8333333333333334	3.865168539325843	0.5964522596276128	0.4204119850187266	0.9335205992509363	0.7228464419475655	0.8333333333333334	3.865168539325843	0.5964522596276128	1651963400	250.0	0.4204119850187266	0.9335205992509363	0.7228464419475655	0.8333333333333334	3.865168539325843	0.5964522596276128	7	COMPLETE
8	0.8323970037453183	2020-04-06 08:39:39.592276	2020-04-06 10:09:05.656567	0.8021394135757631	256	0.4430190279412029	350	78	0.0011085889699111457	256	0.1339165752183311	0.2588951310861423	0.8323970037453183	0.5393258426966292	0.6858614232209738	6.446161048689139	0.4430053890286405	0.2588951310861423	0.8323970037453183	0.5393258426966292	0.6858614232209738	6.446161048689139	0.4430053890286405	547286106	300.0	0.2588951310861423	0.8323970037453183	0.5393258426966292	0.6858614232209738	6.446161048689139	0.4430053890286405	8	COMPLETE
9	0.8562734082397003	2020-04-06 10:09:05.694795	2020-04-06 10:45:36.883702	8.929148345103252	128	0.16843138064793367	200	83	0.0018605030387237004	256	0.12781375233076986	0.2743445692883895	0.8562734082397003	0.5688202247191011	0.7120786516853933	6.186329588014981	0.46267827221400154	0.2743445692883895	0.8562734082397003	0.5688202247191011	0.7120786516853933	6.186329588014981	0.46267827221400154	992267254	450.0	0.2743445692883895	0.8562734082397003	0.5688202247191011	0.7120786516853933	6.186329588014981	0.46267827221400154	9	COMPLETE
