number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.21582397003745318	2020-05-20 01:29:49.548177	2020-05-20 01:46:44.712850	256	0.24981343014225318	150	512	0.0030857210353219416	0.7020702921804599	0.019194756554307114	0.21582397003745318	0.06132958801498127	0.10486891385767791	33.342696629213485	0.08815355510043223	0.019194756554307114	0.21582397003745318	0.06132958801498127	0.10486891385767791	33.342696629213485	0.08815355510043223	3969838672	350.0	0.019194756554307114	0.21582397003745318	0.06132958801498127	0.10486891385767791	33.342696629213485	0.08815355510043223	0	COMPLETE
1	0.8834269662921348	2020-05-20 01:46:44.728049	2020-05-20 01:56:23.999724	64	0.15352148368546314	100	128	0.0448695684672325	0.11379920797028373	0.3169475655430712	0.8834269662921348	0.5950374531835206	0.7439138576779026	5.413389513108614	0.49720386752122914	0.3169475655430712	0.8834269662921348	0.5950374531835206	0.7439138576779026	5.413389513108614	0.49720386752122914	2606808801	750.0	0.3169475655430712	0.8834269662921348	0.5950374531835206	0.7439138576779026	5.413389513108614	0.49720386752122914	1	COMPLETE
2	0.8857677902621723	2020-05-20 01:56:24.018025	2020-05-20 02:16:53.156179	128	0.19373808991683547	100	256	0.024994584294399005	0.11003729145911136	0.3094569288389513	0.8857677902621723	0.5926966292134831	0.7284644194756554	5.252340823970037	0.49329312685454435	0.3094569288389513	0.8857677902621723	0.5926966292134831	0.7284644194756554	5.252340823970037	0.49329312685454435	3406350322		0.3094569288389513	0.8857677902621723	0.5926966292134831	0.7284644194756554	5.252340823970037	0.49329312685454435	2	COMPLETE
3	0.8824906367041199	2020-05-20 02:16:53.171523	2020-05-20 02:33:14.369967	64	0.10997312485996807	250	128	0.030262694236223627	0.10767727521987638	0.33239700374531833	0.8824906367041199	0.6245318352059925	0.7542134831460674	5.13998127340824	0.5151218920799407	0.33239700374531833	0.8824906367041199	0.6245318352059925	0.7542134831460674	5.13998127340824	0.5151218920799407	1194557109	700.0	0.33239700374531833	0.8824906367041199	0.6245318352059925	0.7542134831460674	5.13998127340824	0.5151218920799407	3	COMPLETE
4	0.8637640449438202	2020-05-20 02:33:14.381943	2020-05-20 02:56:57.942213	64	0.16945733640978078	250	512	0.17724919253349397	0.11904390404011343	0.272940074906367	0.8637640449438202	0.5660112359550562	0.7073970037453183	5.686329588014981	0.4623423781265594	0.272940074906367	0.8637640449438202	0.5660112359550562	0.7073970037453183	5.686329588014981	0.4623423781265594	3248519625		0.272940074906367	0.8637640449438202	0.5660112359550562	0.7073970037453183	5.686329588014981	0.4623423781265594	4	COMPLETE
5	0.7602996254681648	2020-05-20 02:56:57.952357	2020-05-20 03:28:43.733813	128	0.239210521877956	250	128	0.8510952439221109	0.17776556219992817	0.19382022471910113	0.7602996254681648	0.4110486891385768	0.5580524344569289	8.488295880149813	0.35961074837621926	0.19382022471910113	0.7602996254681648	0.4110486891385768	0.5580524344569289	8.488295880149813	0.35961074837621926	3611056520	750.0	0.19382022471910113	0.7602996254681648	0.4110486891385768	0.5580524344569289	8.488295880149813	0.35961074837621926	5	COMPLETE
6	0.8955992509363296	2020-05-20 03:28:43.746769	2020-05-20 04:38:54.651571	128	0.4643434398873886	400	256	0.031241875747404394	0.10499823520183284	0.31835205992509363	0.8955992509363296	0.6165730337078652	0.7462546816479401	5.010299625468165	0.5028163214938415	0.31835205992509363	0.8955992509363296	0.6165730337078652	0.7462546816479401	5.010299625468165	0.5028163214938415	3904866796		0.31835205992509363	0.8955992509363296	0.6165730337078652	0.7462546816479401	5.010299625468165	0.5028163214938415	6	COMPLETE
7	0.24157303370786518	2020-05-20 04:38:54.669562	2020-05-20 04:55:19.675891	256	0.4674078568580827	50	512	0.576484822233968	0.6354181900845443	0.02855805243445693	0.24157303370786518	0.07069288389513109	0.10955056179775281	30.13436329588015	0.09924674719057455	0.02855805243445693	0.24157303370786518	0.07069288389513109	0.10955056179775281	30.13436329588015	0.09924674719057455	3239905079	850.0	0.02855805243445693	0.24157303370786518	0.07069288389513109	0.10955056179775281	30.13436329588015	0.09924674719057455	7	COMPLETE
8	0.8661048689138576	2020-05-20 04:55:19.687765	2020-05-20 06:44:10.695830	256	0.36195372463793296	450	128	0.014346176278125405	0.11257330697703032	0.3113295880149813	0.8661048689138576	0.5941011235955056	0.7256554307116105	5.377808988764045	0.4909687596234443	0.3113295880149813	0.8661048689138576	0.5941011235955056	0.7256554307116105	5.377808988764045	0.4909687596234443	1655462917	750.0	0.3113295880149813	0.8661048689138576	0.5941011235955056	0.7256554307116105	5.377808988764045	0.4909687596234443	8	COMPLETE
9	0.8965355805243446	2020-05-20 06:44:10.707811	2020-05-20 08:33:10.033266	256	0.21702245702227901	450	128	0.008694338526874628	0.1026007547296151	0.3267790262172285	0.8965355805243446	0.6170411985018727	0.7514044943820225	4.909176029962547	0.5088896853833683	0.3267790262172285	0.8965355805243446	0.6170411985018727	0.7514044943820225	4.909176029962547	0.5088896853833683	2206363905	750.0	0.3267790262172285	0.8965355805243446	0.6170411985018727	0.7514044943820225	4.909176029962547	0.5088896853833683	9	COMPLETE
