number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.8544007490636704	2020-05-15 21:43:14.851260	2020-05-15 21:57:09.766955	0.7908853143612029	15.594882746838229	64	0.26859269493638743	0.4292949934659044	35	0.3023493860283794	88	0.0018938463691316875	128	0.12417321300922374	0.19803370786516855	0.8544007490636704	0.4597378277153558	0.6245318352059925	5.99625468164794	0.39011706975042	0.19803370786516855	0.8544007490636704	0.4597378277153558	0.6245318352059925	5.99625468164794	0.39011706975042		1208362214.0	300.0	0.19803370786516855	0.8544007490636704	0.4597378277153558	0.6245318352059925	5.99625468164794	0.39011706975042	0		COMPLETE
1	0.9573970037453183	2020-05-15 21:57:09.874194	2020-05-15 22:10:32.856495	0.880010528510002	1.7615170096526325	256	0.49463037319366043	0.227778605086987	25	0.3091246540897716	50	0.004447672055364934	256	0.07279115298951275	0.39279026217228463	0.9573970037453183	0.7457865168539326	0.8693820224719101	3.50749063670412	0.5908932964836974	0.39279026217228463	0.9573970037453183	0.7457865168539326	0.8693820224719101	3.50749063670412	0.5908932964836974		3829245591.0	250.0	0.39279026217228463	0.9573970037453183	0.7457865168539326	0.8693820224719101	3.50749063670412	0.5908932964836974	1		COMPLETE
2	0.3211610486891386	2020-05-15 22:10:32.959346	2020-05-15 22:14:15.001237	0.6414647694459795	25.145163230397266	64	0.13662058105612895	0.2576925979580651	31	0.2860967476326186	40	0.028729964353997654	256	0.5177477187588672	0.050093632958801496	0.3211610486891386	0.12593632958801498	0.18211610486891386	25.02013108614232	0.14081532794215032	0.050093632958801496	0.3211610486891386	0.12593632958801498	0.18211610486891386	25.02013108614232	0.14081532794215032		4003376098.0	200.0	0.050093632958801496	0.3211610486891386	0.12593632958801498	0.18211610486891386	25.02013108614232	0.14081532794215032	2		COMPLETE
3	0.6404494382022472	2020-05-15 22:14:15.166150	2020-05-15 22:26:10.479537	0.9381531896420281	5.994646043659025	128	0.0868631335624494	0.13345224095887565	31	0.0271860111328725	81	0.002436264884962052	128	0.2478046991421112	0.11423220973782772	0.6404494382022472	0.29775280898876405	0.43352059925093633	11.911985018726591	0.2690858557919961	0.11423220973782772	0.6404494382022472	0.29775280898876405	0.43352059925093633	11.911985018726591	0.2690858557919961		108499392.0	200.0	0.11423220973782772	0.6404494382022472	0.29775280898876405	0.43352059925093633	11.911985018726591	0.2690858557919961	3		COMPLETE
4	0.24859550561797752	2020-05-15 22:26:10.623459	2020-05-15 22:29:47.714986	0.4699392905418345	15.975842049844557	128	0.11033327871635112	0.08705621594997814	61	0.15044293344095422	11	0.032371409734430694	128	0.5860560127605479	0.026217228464419477	0.24859550561797752	0.08052434456928839	0.12874531835205993	28.122191011235955	0.10423281589605858	0.026217228464419477	0.24859550561797752	0.08052434456928839	0.12874531835205993	28.122191011235955	0.10423281589605858		4111341465.0	200.0	0.026217228464419477	0.24859550561797752	0.08052434456928839	0.12874531835205993	28.122191011235955	0.10423281589605858	4		COMPLETE
5	0.923689138576779	2020-05-15 22:29:47.811099	2020-05-15 22:49:30.982717	0.5518080424275513	15.7233832543898	64	0.4545614775228245	0.40232181909129233	44	0.1155284736343749	97	0.02762467416456095	128	0.09503428820932235	0.2687265917602996	0.923689138576779	0.5814606741573034	0.7532771535580525	4.586142322097379	0.47140070671109285	0.2687265917602996	0.923689138576779	0.5814606741573034	0.7532771535580525	4.586142322097379	0.47140070671109285		3799900168.0	350.0	0.2687265917602996	0.923689138576779	0.5814606741573034	0.7532771535580525	4.586142322097379	0.47140070671109285	5		COMPLETE
6	0.8871722846441947	2020-05-15 22:49:31.086978	2020-05-15 23:07:57.408338	0.4738601850233227	8.229758503125304	256	0.05452055841534115	0.4047310232402231	47	0.45187238288758413	57	0.03532486617756329	256	0.10835425902946333	0.2654494382022472	0.8871722846441947	0.5678838951310862	0.7368913857677902	5.247191011235955	0.4622197694577877	0.2654494382022472	0.8871722846441947	0.5678838951310862	0.7368913857677902	5.247191011235955	0.4622197694577877		3412143873.0	200.0	0.2654494382022472	0.8871722846441947	0.5678838951310862	0.7368913857677902	5.247191011235955	0.4622197694577877	6		COMPLETE
7	0.4241573033707865	2020-05-15 23:07:57.614403	2020-05-15 23:35:01.687479	0.20384145463802295	24.12745030441717	256	0.07747899283910165	0.325700833879527	51	0.14069032597041775	80	0.015318640278579276	256	0.43016894971986724	0.05898876404494382	0.4241573033707865	0.14887640449438203	0.23267790262172286	20.806647940074907	0.16581690583655326	0.05898876404494382	0.4241573033707865	0.14887640449438203	0.23267790262172286	20.806647940074907	0.16581690583655326		2138237654.0	200.0	0.05898876404494382	0.4241573033707865	0.14887640449438203	0.23267790262172286	20.806647940074907	0.16581690583655326	7		COMPLETE
8	0.8852996254681648	2020-05-15 23:35:01.783913	2020-05-15 23:43:27.171503	0.7986801136741486	9.33219341947717	64	0.48886113919941027	0.1684622326048943	29	0.13192017585484467	84	0.08855276793941175	256	0.11116615627466767	0.2397003745318352	0.8852996254681648	0.5191947565543071	0.6793071161048689	5.370786516853933	0.43225268886875984	0.2397003745318352	0.8852996254681648	0.5191947565543071	0.6793071161048689	5.370786516853933	0.43225268886875984		1299743961.0	250.0	0.2397003745318352	0.8852996254681648	0.5191947565543071	0.6793071161048689	5.370786516853933	0.43225268886875984	8		COMPLETE
9	0.6170411985018727	2020-05-15 23:43:27.302221	2020-05-15 23:51:23.789757	0.10083159679452255	11.639541925141906	256	0.3381008043390648	0.41714322764222617	48	0.4559186344154535	22	0.005338753716637416	256	0.42082550216288295	0.20646067415730338	0.6170411985018727	0.4166666666666667	0.5131086142322098	20.090355805243444	0.34515365408205073	0.20646067415730338	0.6170411985018727	0.4166666666666667	0.5131086142322098	20.090355805243444	0.34515365408205073		557790533.0	200.0	0.20646067415730338	0.6170411985018727	0.4166666666666667	0.5131086142322098	20.090355805243444	0.34515365408205073	9		COMPLETE
