number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801	851	901	951	1001	1051	1101	1151	1201
0	TrialState.COMPLETE	0.018037358356940508	2019-12-25 20:00:23.080883	2019-12-25 20:18:50.419920	0.9640282616078638	9.122127599939406	450.0	2	70.0	0.0012745483655389983	700.0	0.7838028142541839	0.00398371104815864	0.018037358356940508	0.007259206798866855	0.010003541076487252	15888.630577195467	0.009037749532445894	0.00398371104815864	0.018037358356940508	0.007259206798866855	0.010003541076487252	15888.582152974504	0.009038777666137561	0.00398371104815864	0.018037358356940508	0.007259206798866855	0.010003541076487252	15888.67900141643	0.009036882669941399	0					0.0170266761095373	0.017604208822339134																		
1	TrialState.COMPLETE	0.3052762039660057	2019-12-25 20:18:50.420959	2019-12-25 20:26:38.422406	0.4439721193978836	1.6183520308001715	350.0	2	30.0	0.004410593022671761	700.0	0.16710297069895855	0.031090651558073654	0.3052762039660057	0.17992209631728046	0.2333215297450425	3386.8351274787537	0.1283808848647851	0.031090651558073654	0.3052762039660057	0.17992209631728046	0.2333215297450425	3386.8338172804533	0.12838088489180968	0.031090651558073654	0.3052762039660057	0.17992209631728046	0.2333215297450425	3386.8364376770537	0.12838088483776866	1		0.3044735599622285	0.30497521246458925																					
2	TrialState.COMPLETE	0.020557916273213725	2019-12-25 20:26:38.423274	2019-12-25 20:41:29.837472	0.18489353870901049	16.42612648975498	150.0	2	100.0	0.0012187880360728766	1200.0	1.0783450565147708	0.004170601196096947	0.020557916273213725	0.007869058860560278	0.012551148882593642	21861.44512315077	0.009649885957332004	0.004170601196096947	0.020577588920365125	0.007928076802014478	0.012570821529745042	21861.389675794773	0.00965525128334099	0.004170601196096947	0.020557916273213725	0.007869058860560278	0.012551148882593642	21861.500570506767	0.009645600190525724	2						0.0190965196276811	0.019918555240793202																	
3	TrialState.COMPLETE	0.016111898016997167	2019-12-25 20:41:29.838320	2019-12-25 20:46:46.048036	0.3479246980790942	18.11623642712234	350.0	2	20.0	0.015106185285179886	1900.0	0.9275424933610774	0.0029656515580736543	0.016111898016997167	0.006285410764872521	0.010623229461756374	18803.648393236545	0.007396232228563861	0.0029656515580736543	0.016111898016997167	0.006285410764872521	0.010623229461756374	18803.573654390933	0.0073967062766429085	0.0029656515580736543	0.016111898016997167	0.006285410764872521	0.010623229461756374	18803.723132082152	0.007395787482812918	3	0.016111898016997167	0.016111898016997167																						
4	TrialState.COMPLETE	0.016930771954674222	2019-12-25 20:46:46.048857	2019-12-25 20:58:49.542224	0.22683256946013802	23.221294291716525	50.0	2	30.0	0.0019506785517668687	2000.0	1.1051160177462813	0.003585339943342776	0.016930771954674222	0.006462464589235127	0.00949451133144476	22404.156216802407	0.008486575624585975	0.003607471671388102	0.016930771954674222	0.006484596317280453	0.00949451133144476	22404.110127478754	0.00849547290250789	0.003585339943342776	0.016930771954674222	0.006462464589235127	0.00949451133144476	22404.202306126062	0.008481650527387051	4					0.016849622285174694	0.01689599352488871																		
5	TrialState.COMPLETE	0.03463172804532578	2019-12-25 20:58:49.543046	2019-12-25 21:05:52.657026	0.4320203401794944	8.908742863135615	250.0	1	90.0	0.016228703949256008	1600.0	1.0218793516450146	0.000708215297450425	0.03463172804532578	0.024610481586402267	0.028824362606232296	20716.343201133146	0.014622862823167453	0.000708215297450425	0.03463172804532578	0.024610481586402267	0.028824362606232296	20716.330842776202	0.014622862978331456	0.000708215297450425	0.03463172804532578	0.024610481586402267	0.028824362606232296	20716.355559490086	0.014622862668071725	5		0.03611898016997167	0.03518944759206799																					
6	TrialState.COMPLETE	0.022839943342776205	2019-12-25 21:05:52.657853	2019-12-25 21:10:12.069062	0.4387346679503248	13.281785781222366	150.0	1	80.0	0.036070620218057646	1300.0	1.0398470664048247	0.000708215297450425	0.022839943342776205	0.018590651558073653	0.020626770538243626	21081.259583038245	0.01060722039164595	0.000708215297450425	0.022839943342776205	0.018590651558073653	0.020626770538243626	21081.252788597732	0.010607220478917682	0.000708215297450425	0.022839943342776205	0.018590651558073653	0.020626770538243626	21081.266377478754	0.010607220304419735	6	0.027089235127478753	0.024256373937677055																						
7	TrialState.COMPLETE	0.04982294617563739	2019-12-25 21:10:12.069897	2019-12-25 21:18:37.864346	0.7855971457691624	7.3884534881712485	350.0	1	90.0	0.02834369164038834	1100.0	1.1228389235562768	0.000708215297450425	0.04982294617563739	0.041395184135977335	0.04624645892351275	22764.010216005667	0.02231304425505216	0.000708215297450425	0.04982294617563739	0.04143059490084986	0.04624645892351275	22764.000779036825	0.022314730885512217	0.000708215297450425	0.04982294617563739	0.041395184135977335	0.04624645892351275	22764.019652974504	0.022311779181995388	7		0.04998819641170916	0.049884915014164304																					
8	TrialState.COMPLETE	0.0510800283286119	2019-12-25 21:18:37.865170	2019-12-25 21:24:06.628994	0.6365803173449365	17.75530026638501	350.0	1	60.0	0.08866934537531128	1400.0	1.1008241470774507	0.000708215297450425	0.0510800283286119	0.042802762039660054	0.046875	22317.80238580028	0.022751033186511286	0.000708215297450425	0.0510800283286119	0.042802762039660054	0.046875	22317.79178470255	0.022751033435929904	0.000708215297450425	0.0510800283286119	0.042802762039660054	0.046875	22317.812986898018	0.02275103293732718	8	0.04886685552407932	0.05034230406043437																						
