number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	251	301	351	401	451	751	801	851	901	951	1001	1051	1101	1151
0	TrialState.COMPLETE	0.29130665722379606	2020-01-05 15:37:00.293500	2020-01-05 16:37:12.350737	5.63923944415504	250.0	11.0	0.06729193084711071	1500.0	0.3652567646023586	0.13540191218130312	0.29130665722379606	0.2257878895184136	0.25694050991501416	7404.147229107649	0.191945771824667	0.13540191218130312	0.29130665722379606	0.2257878895184136	0.25694050991501416	7404.147007790369	0.1919457724317483	0.13540191218130312	0.29130665722379606	0.2257878895184136	0.25694050991501416	7404.147450424929	0.191945771223838	0								0.289817437834435	0.29060123751304606					
1	TrialState.COMPLETE	0.36370074684522274	2020-01-05 16:37:12.352258	2020-01-05 17:12:45.224271	4.463872843345021	150.0	41.0	0.007185139204515742	500.0	0.31010502347186936	0.14602111769250578	0.36370074684522274	0.28949909863507595	0.3288694308524337	6285.942264357455	0.22846531468455875	0.14602111769250578	0.36370074684522274	0.28949909863507595	0.3288694308524337	6285.941958537213	0.22846531475486967	0.14602111769250578	0.36370074684522274	0.28949909863507595	0.3288694308524337	6285.942570177697	0.22846531461436603	1														
2	TrialState.COMPLETE	0.3256373937677054	2020-01-05 17:12:45.225791	2020-01-05 17:44:18.237209	5.982612150538603	350.0	41.0	0.03257187948520593	1800.0	0.2992022407127828	0.13213526912181303	0.3256373937677054	0.24484773371104815	0.28379957507082154	6064.831851983003	0.20223933717466822	0.13213526912181303	0.3256373937677054	0.24484773371104815	0.28379957507082154	6064.831515580737	0.20223934170050237	0.13213526912181303	0.3256373937677054	0.24484773371104815	0.28379957507082154	6064.83218838527	0.20223933274338485	2			0.324185552407932	0.32499213094113943										
3	TrialState.COMPLETE	0.32653294343415884	2020-01-05 17:44:18.238069	2020-01-05 19:25:55.297545	3.362148233187212	50.0	36.0	0.0020129648045058	1500.0	0.359510177840783	0.14072352188613726	0.32653294343415884	0.24610481586402266	0.2843484419263456	7287.598264872521	0.2061816707348518	0.14072352188613726	0.32653294343415884	0.24610481586402266	0.2843484419263456	7287.597762268117	0.2061816710581283	0.14072352188613726	0.32653294343415884	0.24610481586402266	0.2843484419263456	7287.598767476926	0.20618167041374652	3														
4	TrialState.COMPLETE	0.38491501416430596	2020-01-05 19:25:55.298401	2020-01-05 20:34:04.386911	7.620921275394672	450.0	36.0	0.0014513889769174385	800.0	0.36549783987569945	0.14747542076320613	0.38491501416430596	0.3178636893851025	0.35507623729378435	7408.9290482836195	0.24023040928331596	0.14747542076320613	0.38491501416430596	0.3178636893851025	0.35507623729378435	7408.9282827862025	0.24023041157699027	0.14747542076320613	0.38491501416430596	0.3178636893851025	0.35507623729378435	7408.9298137810365	0.2402304070353873	4														
5	TrialState.COMPLETE	0.39386508498583567	2020-01-05 20:34:04.388057	2020-01-05 21:43:26.940426	2.1757870895531157	350.0	26.0	0.004207971324597486	1600.0	0.2786918716864983	0.14405099150141643	0.39386508498583567	0.314199716713881	0.35672804532577906	5648.557684135977	0.23949814471886977	0.14405099150141643	0.39386508498583567	0.314199716713881	0.35672804532577906	5648.557126416431	0.23949814547802786	0.14405099150141643	0.39386508498583567	0.314199716713881	0.35672804532577906	5648.558241855524	0.23949814396573005	5								0.39232176581680833	0.39313403906366484					
6	TrialState.COMPLETE	0.38551699716713883	2020-01-05 21:43:26.941296	2020-01-05 23:07:44.392340	2.155190451654954	150.0	26.0	0.002745559019402689	1200.0	0.3064746838278982	0.1500070821529745	0.38551699716713883	0.3133356940509915	0.35313031161473085	6211.874128895184	0.24061528903449886	0.1500070821529745	0.38551699716713883	0.3133356940509915	0.35313031161473085	6211.8736543909345	0.2406152891258496	0.1500070821529745	0.38551699716713883	0.3133356940509915	0.35313031161473085	6211.874603399433	0.24061528894340622	6														
7	TrialState.COMPLETE	0.3244068696883853	2020-01-05 23:07:44.393346	2020-01-05 23:30:04.902996	2.922717045881174	150.0	41.0	0.03270452346140899	1500.0	0.2794601783959331	0.12739022662889518	0.3244068696883853	0.24198831444759206	0.2820246104815864	5664.736588172805	0.19888460920712042	0.12739022662889518	0.3244068696883853	0.24198831444759206	0.2820246104815864	5664.7362119334275	0.19888460925305163	0.12739022662889518	0.3244068696883853	0.24198831444759206	0.2820246104815864	5664.736964412181	0.1988846091612304	7	0.3238314447592068	0.3241602590044516												
8	TrialState.COMPLETE	0.30039595673448366	2020-01-05 23:30:04.903942	2020-01-06 00:51:30.221978	4.2960061531056395	350.0	41.0	0.0852066862608972	1600.0	0.37944967127146	0.13747424671645636	0.30039595673448366	0.2329947849600824	0.265717550862735	7691.901719031676	0.196693144769852	0.13747424671645636	0.30039595673448366	0.2329947849600824	0.265717550862735	7691.9013246845225	0.19669316063582667	0.13747424671645636	0.30039595673448366	0.2329947849600824	0.265717550862735	7691.902113378831	0.19669312980725456	8										0.29849504249291786	0.29949075947659515			
9	TrialState.COMPLETE	0.2880581411034669	2020-01-06 00:51:30.223083	2020-01-06 01:58:47.888306	8.301347442225406	50.0	26.0	0.007981167735900001	1000.0	0.32879897372291267	0.13594361257250775	0.2880581411034669	0.21502765412113853	0.24696479158235532	6665.131867159045	0.18923579406787433	0.13594361257250775	0.2880581411034669	0.21502765412113853	0.24696479158235532	6665.131500404695	0.1892357941817634	0.13594361257250775	0.2880581411034669	0.21502765412113853	0.24696479158235532	6665.132233913396	0.1892357939542645	9														
10	TrialState.COMPLETE	0.37028670508938166	2020-01-06 01:58:47.889551	2020-01-06 03:37:33.084478	1.2941516314636587	50.0	41.0	0.008167566953568888	1400.0	0.27490791812546794	0.15185723356452085	0.37028670508938166	0.2819368467324411	0.3253333496141448	5572.425716762724	0.23058002108026926	0.15185723356452085	0.37028670508938166	0.2819368467324411	0.3253333496141448	5572.425387076292	0.23058002132245084	0.15185723356452085	0.37028670508938166	0.2819368467324411	0.3253333496141448	5572.426046449155	0.2305800208395067	10														
11	TrialState.COMPLETE	0.3616726757661602	2020-01-06 03:37:33.085402	2020-01-06 04:16:06.955238	1.494584095088002	450.0	21.0	0.019517097476131513	1000.0	0.26916705951253983	0.13517254699974246	0.3616726757661602	0.2732101467937162	0.3168780582024208	5455.959639775946	0.2176340762563993	0.13517254699974246	0.3616726757661602	0.2732101467937162	0.3168780582024208	5455.959277620396	0.21763407628776615	0.13517254699974246	0.3616726757661602	0.2732101467937162	0.3168780582024208	5455.960001931497	0.2176340762250571	11				0.3601668240478439	0.36099504249291786									
12	TrialState.COMPLETE	0.3871608021470106	2020-01-06 04:16:06.956902	2020-01-06 05:11:44.150447	2.082698148664324	350.0	6.0	0.00527878900535283	1100.0	0.2979412262741637	0.13230579991054123	0.3871608021470106	0.302221559564634	0.3473609661547637	6039.046923922767	0.2287417983928944	0.13230579991054123	0.3871608021470106	0.302221559564634	0.3473609661547637	6039.046611748919	0.2287417984127175	0.13230579991054123	0.3871608021470106	0.302221559564634	0.3473609661547637	6039.047236096615	0.228741798373082	12							0.38546700549908347	0.3863609537299339						
13	TrialState.COMPLETE	0.3601496104815864	2020-01-06 05:11:44.151349	2020-01-06 05:34:48.698740	5.921905739453825	350.0	16.0	0.022128453648919424	900.0	0.2835021760343377	0.1401823654390935	0.3601496104815864	0.2768457861189802	0.3187632790368272	5746.55163332153	0.22122905498158024	0.1401823654390935	0.3601496104815864	0.2768457861189802	0.3187632790368272	5746.551389872521	0.22122911805873868	0.1401823654390935	0.3601496104815864	0.2768457861189802	0.3187632790368272	5746.551876770538	0.2212289964082517	13	0.35933073654390935	0.35979866450829623												
14	TrialState.COMPLETE	0.3708794746330157	2020-01-06 05:34:48.699637	2020-01-06 06:09:42.662253	3.4370894627432667	250.0	11.0	0.014730506922959527	500.0	0.2715265167519456	0.14268928663404584	0.3708794746330157	0.2865052794231264	0.32919134689672935	5503.755705961885	0.22738549338074326	0.14268928663404584	0.3708794746330157	0.2865052794231264	0.32919134689672935	5503.755359902138	0.227385493397354	0.14268928663404584	0.3708794746330157	0.2865052794231264	0.32919134689672935	5503.756052021633	0.2273854933641431	14														
15	TrialState.COMPLETE	0.38677023032393154	2020-01-06 06:09:42.663849	2020-01-06 07:18:27.672265	4.3733032401126	350.0	6.0	0.0017337560351409179	1500.0	0.33329587844276976	0.13854846655992117	0.38677023032393154	0.3187045818450548	0.3577257051361005	6756.002848257174	0.23600725682866425	0.13854846655992117	0.38677023032393154	0.3187045818450548	0.3577257051361005	6756.001839820175	0.23600725686225138	0.13854846655992117	0.38677023032393154	0.3187045818450548	0.3577257051361005	6756.003856694174	0.23600725679509654	15											0.3851426547956293	0.3859934329126964		
16	TrialState.COMPLETE	0.26017538743542745	2020-01-06 07:18:27.673222	2020-01-06 08:12:42.136149	1.7390654409509174	150.0	16.0	0.09431092601780885	800.0	0.3672242535233258	0.11800116647225463	0.26017538743542745	0.19435302449591735	0.22401474754207631	7444.0600681136475	0.1685064512473558	0.11800116647225463	0.26017538743542745	0.19435302449591735	0.22401474754207631	7444.059802532911	0.1685064512735911	0.11800116647225463	0.26017538743542745	0.19435302449591735	0.22401474754207631	7444.060333694384	0.16850645122114874	16														
17	TrialState.COMPLETE	0.3907039044217268	2020-01-06 08:12:42.138007	2020-01-06 09:35:09.875817	6.050351480156992	350.0	26.0	0.0017266853820570684	1600.0	0.33005680286662964	0.15352875969947039	0.3907039044217268	0.32169910087449194	0.3609126739746274	6690.408189894076	0.24586198131476478	0.15352875969947039	0.3907039044217268	0.32169910087449194	0.3609126739746274	6690.4076240916365	0.24586198141129467	0.15352875969947039	0.3907039044217268	0.32169910087449194	0.3609126739746274	6690.408755696514	0.24586198121846228	17											0.38909685687306084	0.38993690445531803		
18	TrialState.COMPLETE	0.3818842692884519	2020-01-06 09:35:09.876731	2020-01-06 10:41:25.910267	0.6610224103766597	350.0	46.0	0.001991908362281073	800.0	0.3181987840806589	0.14075779036827196	0.3818842692884519	0.3097400433261123	0.3498687718713548	6449.235648225295	0.23439076395852732	0.14075779036827196	0.3818842692884519	0.3097400433261123	0.3498687718713548	6449.234846275621	0.23439076400054895	0.14075779036827196	0.3818842692884519	0.3097400433261123	0.3498687718713548	6449.236450174971	0.23439076391656088	18														
19	TrialState.COMPLETE	0.3048223023435488	2020-01-06 10:41:25.911899	2020-01-06 11:59:58.980077	4.623666531757581	350.0	26.0	0.06683947207495493	1400.0	0.3615202564716377	0.1365970254957507	0.3048223023435488	0.23717164563481843	0.26995879474633017	7328.429403811486	0.19807484440020184	0.1365970254957507	0.3048223023435488	0.23717164563481843	0.26995879474633017	7328.429106039145	0.19807486423871726	0.1365970254957507	0.3048223023435488	0.23717164563481843	0.26995879474633017	7328.4297015838265	0.19807482588319134	19										0.30290368271954676	0.3039086739511669			
20	TrialState.COMPLETE	0.3863237467668432	2020-01-06 11:59:58.981124	2020-01-06 13:18:15.082747	4.047299259470783	150.0	31.0	0.005374649373942291	1100.0	0.28539805678135755	0.15129634191402883	0.3863237467668432	0.3093592191156546	0.3492425175514226	5784.9737652420245	0.24065944239620018	0.15129634191402883	0.3863237467668432	0.3093592191156546	0.3492425175514226	5784.973372644415	0.2406595412857055	0.15129634191402883	0.3863237467668432	0.3093592191156546	0.3492425175514226	5784.974157839635	0.24065935760650853	20														
21	TrialState.COMPLETE	0.28542492917847023	2020-01-06 13:18:15.083769	2020-01-06 14:33:48.970124	0.8743988209876732	350.0	6.0	0.0925161207556163	1800.0	0.3774748469707234	0.13509915014164306	0.28542492917847023	0.2253682719546742	0.254256373937677	7651.986072946175	0.19049382412376248	0.13509915014164306	0.28542492917847023	0.2253682719546742	0.254256373937677	7651.985793201133	0.1904938268729324	0.13509915014164306	0.28542492917847023	0.2253682719546742	0.254256373937677	7651.986352691218	0.19049382144749577	21													0.283794186476167	0.2846435316336166
