number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0002213172804532578	2020-01-12 23:37:52.178841	2020-01-13 00:43:37.742820	0.30720937878926635	23.976384638796542	450.0	80.0	0.0195608511042277	0.011671815522585137	1700.0	1.0088574039937026	4.426345609065156e-05	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20452.88327726629	0.00027263696331670373	4.426345609065156e-05	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20452.882967422098	0.0002726369642959838	4.426345609065156e-05	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20452.883587110482	0.0002726369623374909	0	0.0002655807365439094	0.00023607176581680832
1	TrialState.COMPLETE	0.0004868980169971671	2020-01-13 00:43:37.743639	2020-01-13 01:35:28.985413	0.11403544242630921	20.387792725861704	450.0	30.0	0.0011594197587653527	0.07220454039470894	1900.0	1.0053322806489509	0.0	0.0004868980169971671	0.0	4.426345609065156e-05	20381.500309844192	0.000244958178670205	0.0	0.0004868980169971671	0.0	4.426345609065156e-05	20381.500132790366	0.0002449581796211312	0.0	0.0004868980169971671	0.0	4.426345609065156e-05	20381.500486898018	0.0002449581777193635	1	0.0004426345609065156	0.00047214353163361664
2	TrialState.COMPLETE	0.0002655807365439094	2020-01-13 01:35:28.986272	2020-01-13 02:06:23.098917	0.44205465242154285	13.844967632871032	150.0	30.0	0.007716421168583849	0.01412122363694124	1500.0	0.998717428384407	0.0	0.0002655807365439094	0.0001327903682719547	0.0002213172804532578	20247.192656692634	0.0002775772205130487	0.0	0.0002655807365439094	0.0001327903682719547	0.0002213172804532578	20247.192324716714	0.000277577242924536	0.0	0.0002655807365439094	0.0001327903682719547	0.0002213172804532578	20247.192988668554	0.0002775771981216852	2	0.0005311614730878187	0.0003541076487252125
3	TrialState.COMPLETE	0.0001327903682719547	2020-01-13 02:06:23.099782	2020-01-13 03:05:13.944394	0.253159756270906	2.4102691832953513	450.0	60.0	0.03400767240494084	0.021105642925985584	2000.0	1.001923593320614	0.0	0.0001327903682719547	0.0	0.0001327903682719547	20312.296056126062	0.00021201453553601715	0.0	0.0001327903682719547	0.0	0.0001327903682719547	20312.29585694051	0.0002120145365382495	0.0	0.0001327903682719547	0.0	0.0001327903682719547	20312.296255311616	0.00021201453453390277	3	8.852691218130312e-05	0.00011803588290840416
4	TrialState.COMPLETE	0.0002213172804532578	2020-01-13 03:05:13.945297	2020-01-13 04:01:31.787084	0.8882046681635513	21.64110533002307	450.0	50.0	0.002203713512424014	0.06591216734093538	1900.0	0.9961537666480408	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	20195.36141111898	0.00022430802635224997	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	20195.36083569405	0.00022430803848987553	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	20195.36198654391	0.00022430801421745848	4	0.0002655807365439094	0.00023607176581680832
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-13 04:01:31.787854	2020-01-13 04:27:48.330452	0.5307111199985377	20.36390662717458	50.0	90.0	0.007241264154907806	0.02345932179895235	1900.0	1.0042505484627233	8.852691218130312e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20359.15129249292	0.0003078533897956979	8.852691218130312e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20359.150938385268	0.0003078535263235528	8.852691218130312e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20359.151646600567	0.0003078532534930688	5	0.0	0.00011803588290840416
6	TrialState.COMPLETE	0.0	2020-01-13 04:27:48.331301	2020-01-13 05:16:53.201342	0.13920569203889915	3.5650221525863217	350.0	60.0	0.03558423728619541	0.010380134274146737	900.0	1.0052885321376082	0.0	0.0	0.0	0.0	20380.75398371105	0.00018615629802648715	0.0	0.0	0.0	0.0	20380.753718130312	0.00018615629906082115	0.0	0.0	0.0	0.0	20380.754249291786	0.00018615629699227678	6	0.0	0.0
7	TrialState.COMPLETE	0.0006639518413597734	2020-01-13 05:16:53.202114	2020-01-13 06:10:22.699043	0.7802762542178535	16.113074090954584	350.0	80.0	0.0024135279091926916	0.08308068759029084	600.0	0.9987490538620762	0.0	0.0006639518413597734	0.00017705382436260624	0.0002213172804532578	20248.223884560906	0.00035832829581301887	0.0	0.0006639518413597734	0.00017705382436260624	0.0002213172804532578	20248.223574716714	0.0003583282981322449	0.0	0.0006639518413597734	0.00017705382436260624	0.0002213172804532578	20248.2241944051	0.00035832829349408975	7	0.0004426345609065156	0.0005901794145420207
8	TrialState.COMPLETE	0.00017705382436260624	2020-01-13 06:10:22.699986	2020-01-13 07:16:56.356360	0.5960084980819275	14.045752880833373	450.0	80.0	0.060639747153979025	0.01317701624270344	2000.0	1.0040723074360387	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	20355.615859596317	0.00019797293205479295	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	20355.61548335694	0.00019797293811434178	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	20355.616235835692	0.0001979729259967939	8	0.0003541076487252125	0.00023607176581680832
