number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801
0	TrialState.COMPLETE	0.46524916301828484	2019-12-30 10:25:09.721429	2019-12-30 10:53:52.062328	5.99166981225687	150.0	26.0	0.0022981409925506052	500.0	0.2528028983423085	0.3600148081380376	0.46524916301828484	0.4205994076744785	0.43993046613443215	5124.619253798609	0.3997821952805635	0.3600148081380376	0.46524916301828484	0.4205994076744785	0.43993046613443215	5124.619092840587	0.3997821952877406	0.3600148081380376	0.46524916301828484	0.4205994076744785	0.43993046613443215	5124.619414756631	0.39978219527339015	0																
1	TrialState.COMPLETE	0.020588830433023068	2019-12-30 10:53:52.063486	2019-12-30 11:08:47.921326	8.13403848960667	250.0	16.0	0.05523397738947578	600.0	0.9244539010578553	0.01047146904087414	0.020588830433023068	0.016415418858761636	0.017958316471064346	18741.517035107245	0.014404336243134908	0.01047146904087414	0.020588830433023068	0.016415418858761636	0.017958316471064346	18741.516744233104	0.014404336257258421	0.01047146904087414	0.020588830433023068	0.016415418858761636	0.017958316471064346	18741.517325981386	0.01440433622902332	1				0.02152974504249292	0.020980878186968838											
2	TrialState.COMPLETE	0.07787838931606637	2019-12-30 11:08:47.923521	2019-12-30 11:23:06.927527	1.9891443832368831	50.0	31.0	0.02811452724246346	600.0	0.38656688155108787	0.0351831242411979	0.07787838931606637	0.0532679077296641	0.06209530554431404	7836.7205458316475	0.051284843125734135	0.0351831242411979	0.07787838931606637	0.0532679077296641	0.06209530554431404	7836.720280250911	0.05128484365220776	0.0351831242411979	0.07787838931606637	0.0532679077296641	0.06209530554431404	7836.720811412383	0.051284842601497384	2				0.07928470254957506	0.07846435316336166											
3	TrialState.COMPLETE	0.05268615944961554	2019-12-30 11:23:06.929062	2019-12-30 11:37:55.720916	0.7391082908797402	50.0	46.0	0.03949759330515573	800.0	0.4860966814445307	0.02291582355321732	0.05268615944961554	0.035613112100364226	0.0422146904087414	9854.400736038042	0.03414029277822867	0.02291582355321732	0.05268615944961554	0.035613112100364226	0.0422146904087414	9854.400495750708	0.034140293037394236	0.02291582355321732	0.05268615944961554	0.035613112100364226	0.0422146904087414	9854.400976325374	0.034140292519757774	3				0.05081444759206799	0.051906279508970726											
4	TrialState.COMPLETE	0.04380311614730878	2019-12-30 11:37:55.721964	2019-12-30 11:46:50.621195	2.1486931382472063	250.0	6.0	0.02442885427811999	800.0	0.8211654839516012	0.023406515580736545	0.04380311614730878	0.035269121813031164	0.03895184135977337	16647.512907223798	0.031169231752934675	0.023406515580736545	0.04380311614730878	0.035269121813031164	0.03895184135977337	16647.51257082153	0.031169231822571745	0.023406515580736545	0.04380311614730878	0.035269121813031164	0.03895184135977337	16647.51324362606	0.031169231683400904	4		0.044440509915014165	0.0440421388101983													
5	TrialState.COMPLETE	0.02295797922568461	2019-12-30 11:46:50.624845	2019-12-30 11:59:30.354899	8.118105906473447	250.0	26.0	0.06147442661876258	800.0	0.9251516582741652	0.01082979225684608	0.02295797922568461	0.018443106704438147	0.020361189801699715	18755.702092186024	0.015631503687460073	0.01082979225684608	0.02295797922568461	0.018443106704438147	0.020361189801699715	18755.70172332389	0.015631503695884796	0.01082979225684608	0.02295797922568461	0.018443106704438147	0.020361189801699715	18755.70246104816	0.015631503679037807	5			0.0226628895184136	0.022839943342776205												
6	TrialState.COMPLETE	0.09285208417644679	2019-12-30 11:59:30.355887	2019-12-30 12:16:19.038609	9.17296684737579	250.0	46.0	0.02048819881793746	1000.0	0.5205669610850541	0.04229057061918252	0.09285208417644679	0.06773573452043707	0.07800485633346824	10553.239882638607	0.06066262497198666	0.04229057061918252	0.09285208417644679	0.06773573452043707	0.07800485633346824	10553.23960441117	0.060662624994158254	0.04229057061918252	0.09285208417644679	0.06773573452043707	0.07800485633346824	10553.240160866046	0.06066262494982661	6				0.09174929178470255	0.09239258734655335											
7	TrialState.COMPLETE	0.15416961756373937	2019-12-30 12:16:19.040471	2019-12-30 12:23:29.890561	5.900284304957567	450.0	1.0	0.007499833265160054	600.0	0.500447544132554	0.08038243626062323	0.15416961756373937	0.1219015580736544	0.13593307365439095	10145.46365970255	0.10739616387426998	0.08038243626062323	0.15416961756373937	0.1219015580736544	0.13593307365439095	10145.463394121813	0.10739616388183516	0.08038243626062323	0.15416961756373937	0.1219015580736544	0.13593307365439095	10145.463925283286	0.10739616386670717	7	0.1674043909348442	0.158581208687441														
8	TrialState.COMPLETE	0.014037838931606638	2019-12-30 12:23:29.891631	2019-12-30 12:36:34.526232	2.7569882381527804	50.0	6.0	0.07386928627860384	900.0	0.9191148078602774	0.007613314447592068	0.014037838931606638	0.010724403075677864	0.01221671388101983	18633.32957304735	0.010092819433264288	0.007613314447592068	0.014037838931606638	0.010724403075677864	0.01221671388101983	18633.329168352895	0.0100928195451415	0.007613314447592068	0.014037838931606638	0.010724403075677864	0.01221671388101983	18633.329977741803	0.010092819321652633	8				0.013774787535410764	0.01392823418319169											
9	TrialState.COMPLETE	0.019652974504249292	2019-12-30 12:36:34.527495	2019-12-30 12:52:50.983203	2.5719504272471645	350.0	26.0	0.06903527400064859	1000.0	0.9380458585738315	0.010294415216511534	0.019652974504249292	0.015909550789154188	0.017503035208417644	19017.062967927963	0.013883456273236302	0.010294415216511534	0.019652974504249292	0.015909550789154188	0.017503035208417644	19017.062702347226	0.013883456284061882	0.010294415216511534	0.019652974504249292	0.015909550789154188	0.017503035208417644	19017.0632335087	0.01388345626241664	9				0.01880311614730878	0.01929886685552408											
10	TrialState.COMPLETE	0.4162063267233239	2019-12-30 12:52:50.984225	2019-12-30 13:25:28.139194	7.786336812108647	50.0	1.0	0.001007849959078921	700.0	0.332679732809472	0.3368862134088763	0.4162063267233239	0.3882082152974504	0.3999527856468366	6744.195561850803	0.36851814479795614	0.3368862134088763	0.4162063267233239	0.3882082152974504	0.3999527856468366	6744.19537299339	0.36851814554687573	0.3368862134088763	0.4162063267233239	0.3882082152974504	0.3999527856468366	6744.195750708215	0.3685181440559335	10																
11	TrialState.COMPLETE	0.45473745447187375	2019-12-30 13:25:28.141377	2019-12-30 13:57:56.927551	4.505779916195275	150.0	11.0	0.0027745222374931477	800.0	0.2297710810112899	0.31987302711452853	0.45473745447187375	0.3977640631323351	0.4231333468231485	4657.667189397005	0.36960525556909657	0.31987302711452853	0.45473745447187375	0.3977640631323351	0.4231333468231485	4657.667050283286	0.36960525573494457	0.31987302711452853	0.45473745447187375	0.3977640631323351	0.4231333468231485	4657.6673285107245	0.3696052554038633	11											0.4528004013220019	0.45384342994116367				
12	TrialState.COMPLETE	0.027738432483474976	2019-12-30 13:57:56.930014	2019-12-30 14:10:31.936356	7.92521831947795	450.0	1.0	0.035437477176566555	700.0	0.9139208819502791	0.011154390934844192	0.027738432483474976	0.02021364494806421	0.02419735599622285	18528.207064447593	0.017166070042305224	0.011154390934844192	0.027738432483474976	0.02021364494806421	0.02419735599622285	18528.206769357887	0.01716607006566645	0.011154390934844192	0.027738432483474976	0.02021364494806421	0.02419735599622285	18528.2073595373	0.017166070018967177	12			0.02646954674220963	0.02723087818696884												
13	TrialState.COMPLETE	0.05800725920679887	2019-12-30 14:10:31.937383	2019-12-30 14:26:54.409286	0.526374887752427	350.0	1.0	0.01557832205676092	700.0	0.7739784821337349	0.02748760623229462	0.05800725920679887	0.04399787535410765	0.05083657932011332	15691.158761951134	0.0386182279955772	0.02748760623229462	0.05800725920679887	0.04399787535410765	0.05083657932011332	15691.158463172804	0.03861822803367373	0.02748760623229462	0.05800725920679887	0.04399787535410765	0.05083657932011332	15691.159060729462	0.038618227957515544	13					0.058929414542020775	0.058402468636179684										
14	TrialState.COMPLETE	0.0907892666037142	2019-12-30 14:26:54.410353	2019-12-30 14:51:59.452182	4.2656785009219655	450.0	21.0	0.014867634679647978	1000.0	0.5738653322394549	0.039699401951526596	0.0907892666037142	0.06497875354107649	0.07585772741580107	11633.872757318224	0.05796574379602898	0.039699401951526596	0.0907892666037142	0.06497875354107649	0.07585772741580107	11633.872462228517	0.05796574931238924	0.039699401951526596	0.0907892666037142	0.06497875354107649	0.07585772741580107	11633.873052407933	0.05796573840782295	14						0.09189093484419264	0.09127124645892351									
15	TrialState.COMPLETE	0.3422096317280453	2019-12-30 14:51:59.453064	2019-12-30 15:14:54.129805	7.905521767696225	150.0	31.0	0.009761069388210038	500.0	0.24570128732077617	0.1885269121813031	0.3422096317280453	0.27197237960339943	0.3024610481586402	4980.687163597734	0.24349447510516772	0.1885269121813031	0.3422273371104816	0.27197237960339943	0.3024610481586402	4980.687039660057	0.24349455943021764	0.1885269121813031	0.3422096317280453	0.27197237960339943	0.3024610481586402	4980.687287535411	0.24349439844480034	15							0.3911561614730878	0.3639636449480642								
16	TrialState.COMPLETE	0.009560906515580737	2019-12-30 15:14:54.131031	2019-12-30 15:19:33.486536	0.7740585121218357	50.0	1.0	0.07157837428070916	600.0	0.957952700692222	0.005532932011331444	0.009560906515580737	0.007214943342776204	0.008055949008498584	19420.91981674929	0.007194567956617287	0.005532932011331444	0.009560906515580737	0.007214943342776204	0.008055949008498584	19420.91926345609	0.007194567984159194	0.005532932011331444	0.009560906515580737	0.007214943342776204	0.008055949008498584	19420.92037004249	0.0071945679290976875	16	0.008852691218130312	0.009324834749763929														
17	TrialState.COMPLETE	0.018088999055712936	2019-12-30 15:19:33.487730	2019-12-30 15:34:17.275020	3.037462733178995	450.0	26.0	0.06989435569966093	900.0	0.9448393624683284	0.009295325779036826	0.018088999055712936	0.014046270066100094	0.015728281397544855	19154.79007318225	0.012596917977612062	0.009295325779036826	0.018088999055712936	0.014046270066100094	0.015728281397544855	19154.78974858357	0.01259691800071294	0.009295325779036826	0.018088999055712936	0.014046270066100094	0.015728281397544855	19154.790397780926	0.01259691795452837	17			0.018723441926345608	0.018342776203966005												
18	TrialState.COMPLETE	0.07340145690004046	2019-12-30 15:34:17.276072	2019-12-30 15:49:18.225835	4.124544567178853	250.0	26.0	0.020649676060444835	800.0	0.5988185763790823	0.03614427357345204	0.07340145690004046	0.05521549979765277	0.06255058680696074	12139.765239275597	0.049988234362608706	0.03614427357345204	0.07340145690004046	0.05521549979765277	0.06255058680696074	12139.76497369486	0.04998823439523562	0.03614427357345204	0.07340145690004046	0.05521549979765277	0.06255058680696074	12139.765504856334	0.04998823433000638	18				0.0731586402266289	0.07330028328611898											
19	TrialState.COMPLETE	0.44982567008062757	2019-12-30 15:49:18.229544	2019-12-30 16:24:25.061225	7.830539502897898	150.0	41.0	0.005101309818296843	600.0	0.19562237394300422	0.3134942253214208	0.44982567008062757	0.3946393549792983	0.4192634560906516	3965.34718893005	0.3648127276347446	0.3134942253214208	0.44982567008062757	0.3946393549792983	0.4192634560906516	3965.3470254957506	0.3648127276852708	0.3134942253214208	0.44982567008062757	0.3946393549792983	0.4192634560906516	3965.3473523643497	0.3648127275843126	19																
20	TrialState.COMPLETE	0.25194759206798867	2019-12-30 16:24:25.063541	2019-12-30 16:39:31.552379	4.856590275618772	50.0	6.0	0.006113577551578848	800.0	0.2996563504437825	0.14845963172804533	0.25194759206798867	0.1978797804532578	0.21972379603399433	6074.53102868272	0.18510296252799555	0.14845963172804533	0.25194759206798867	0.1978797804532578	0.21972379603399433	6074.530829497167	0.18510296328747067	0.14845963172804533	0.25194759206798867	0.1978797804532578	0.21972379603399433	6074.531227868272	0.185102961772773	20					0.2539542020774315	0.25280756778632135										
21	TrialState.COMPLETE	0.4771010387157696	2019-12-30 16:39:31.553441	2019-12-30 17:13:21.038895	6.481273240913296	350.0	36.0	0.004968572693580306	1000.0	0.15466110283832754	0.27121694995278567	0.4771010387157696	0.3901233474976393	0.43199657695939564	3134.953870101511	0.3459983639914959	0.27121694995278567	0.4771010387157696	0.3901233474976393	0.43199657695939564	3134.953774197356	0.345998364620707	0.27121694995278567	0.4771010387157696	0.3901233474976393	0.43199657695939564	3134.9539660056657	0.3459983633679112	21									0.47694759206798865	0.4770312902395055						
