number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.34269662921348315	2020-04-10 12:48:12.840089	2020-04-10 12:50:45.568324	1.1033423248659286	256	2	38	128	0.5707185903410619	0.06460674157303371	0.34269662921348315	0.1441947565543071	0.20926966292134833	27.352762172284645	0.1545680713668531	0.06460674157303371	0.34269662921348315	0.1441947565543071	0.20926966292134833	27.35252808988764	0.1545682158621599	1479312774	200	0.06460674157303371	0.34269662921348315	0.1441947565543071	0.20926966292134833	27.35299625468165	0.1545679303958221	0	COMPLETE
1	0.2645131086142322	2020-04-10 12:50:45.601171	2020-04-10 12:54:02.653599	5.1839897456458255	128	2	33	128	0.6773396875083182	0.03838951310861423	0.2645131086142322	0.10440074906367042	0.1540262172284644	32.61563670411985	0.11637147330153956	0.03838951310861423	0.2645131086142322	0.10440074906367042	0.1540262172284644	32.61563670411985	0.11637147330153956	716196188	250	0.03838951310861423	0.2645131086142322	0.10440074906367042	0.1540262172284644	32.61563670411985	0.11637147330153956	1	COMPLETE
2	0.26685393258426965	2020-04-10 12:54:02.694512	2020-04-10 12:56:27.613009	5.941268197722379	128	2	13	128	0.6841105825210179	0.03417602996254682	0.26685393258426965	0.10159176029962547	0.15870786516853932	32.95505617977528	0.11376211372930461	0.03417602996254682	0.26685393258426965	0.10159176029962547	0.15870786516853932	32.95505617977528	0.11376211372930461	2159028063	200	0.03417602996254682	0.26685393258426965	0.10159176029962547	0.15870786516853932	32.95505617977528	0.11376211372930461	2	COMPLETE
3	0.2612359550561798	2020-04-10 12:56:27.653150	2020-04-10 12:59:13.151160	9.232058969475396	256	2	39	256	0.6876848344228924	0.03932584269662921	0.2612359550561798	0.10159176029962547	0.1549625468164794	33.12148876404494	0.11690842372085425	0.039794007490636704	0.2612359550561798	0.10159176029962547	0.1549625468164794	33.12125468164794	0.1170644786521901	994637216	350	0.03932584269662921	0.2612359550561798	0.10159176029962547	0.1549625468164794	33.12172284644195	0.11683039625518635	3	COMPLETE
4	0.648876404494382	2020-04-10 12:59:13.178075	2020-04-10 13:00:33.538405	8.846192763437088	256	1	30	256	0.2563583745833919	0.13951310861423222	0.648876404494382	0.38342696629213485	0.4892322097378277	12.337078651685394	0.3070977421604031	0.13951310861423222	0.648876404494382	0.38342696629213485	0.4892322097378277	12.337078651685394	0.3070977421604031	1260614876	200	0.13951310861423222	0.648876404494382	0.38342696629213485	0.4892322097378277	12.337078651685394	0.3070977421604031	4	COMPLETE
5	0.26732209737827717	2020-04-10 13:00:33.584165	2020-04-10 13:04:10.827998	7.75993501319042	128	2	82	128	0.6815354775433334	0.032303370786516857	0.26732209737827717	0.09691011235955056	0.14700374531835206	32.809925093632955	0.11122765969357935	0.032303370786516857	0.26732209737827717	0.09691011235955056	0.14700374531835206	32.809925093632955	0.11122765969357935	882883541	250	0.032303370786516857	0.26732209737827717	0.09691011235955056	0.14700374531835206	32.809925093632955	0.11122765969357935	5	COMPLETE
6	0.8127340823970037	2020-04-10 13:04:10.849377	2020-04-10 13:08:16.617217	1.2662861473656097	128	1	43	256	0.16192453134236404	0.004213483146067416	0.8127340823970037	0.4096441947565543	0.5959737827715356	7.835205992509363	0.26055072492018044	0.004213483146067416	0.8127340823970037	0.4096441947565543	0.5959737827715356	7.835205992509363	0.26055072492018044	2493605886	500	0.004213483146067416	0.8127340823970037	0.4096441947565543	0.5959737827715356	7.835205992509363	0.26055072492018044	6	COMPLETE
7	0.26591760299625467	2020-04-10 13:08:16.644930	2020-04-10 13:11:45.894627	9.075924714401012	64	2	51	128	0.6868359433148712	0.03464419475655431	0.26591760299625467	0.10767790262172285	0.1540262172284644	33.06554307116105	0.11416259853311082	0.03464419475655431	0.26591760299625467	0.10767790262172285	0.1540262172284644	33.06554307116105	0.11416259853311082	3324176951	250	0.03464419475655431	0.26591760299625467	0.10767790262172285	0.1540262172284644	33.06554307116105	0.11416259853311082	7	COMPLETE
8	0.7874531835205992	2020-04-10 13:11:45.922246	2020-04-10 13:13:07.864671	0.9937080176955351	128	1	36	512	0.17202755101356473	0.0028089887640449437	0.7874531835205992	0.40870786516853935	0.6015917602996255	8.317883895131086	0.26097341761980286	0.0028089887640449437	0.7874531835205992	0.40870786516853935	0.6015917602996255	8.317883895131086	0.26097341761980286	925338559	300	0.0028089887640449437	0.7874531835205992	0.40870786516853935	0.6015917602996255	8.317883895131086	0.26097341761980286	8	COMPLETE
9	0.26591760299625467	2020-04-10 13:13:07.886395	2020-04-10 13:14:52.668959	3.2713745081204046	256	2	2	512	0.6888159993043594	0.035580524344569285	0.26591760299625467	0.0997191011235955	0.1544943820224719	33.18773408239701	0.11460016124627653	0.035580524344569285	0.26591760299625467	0.0997191011235955	0.1544943820224719	33.18773408239701	0.11460016124627653	2955569450	400	0.035580524344569285	0.26591760299625467	0.0997191011235955	0.1544943820224719	33.18773408239701	0.11460016124627653	9	COMPLETE
