number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.2851123595505618	2020-04-10 01:37:33.795022	2020-04-10 01:39:26.249934	5.312614067089488	256	64	59	256	0.5449219230555472	0.037921348314606744	0.2851123595505618	0.09925093632958802	0.15215355805243447	26.00749063670412	0.12055803385434599	0.037921348314606744	0.2851123595505618	0.09925093632958802	0.15215355805243447	26.00749063670412	0.12055803385434599	4087395598	200	0.037921348314606744	0.2851123595505618	0.09925093632958802	0.15215355805243447	26.00749063670412	0.12055803385434599	0	COMPLETE
1	0.2298689138576779	2020-04-10 01:39:26.281962	2020-04-10 01:41:27.831517	7.211801431824611	64	64	64	256	0.7215667176958565	0.031835205992509365	0.2298689138576779	0.08286516853932584	0.13295880149812733	34.368679775280896	0.10261349447296061	0.031835205992509365	0.2298689138576779	0.08286516853932584	0.13295880149812733	34.368445692883896	0.10261353693303625	1479666404	250	0.031835205992509365	0.2298689138576779	0.08286516853932584	0.13295880149812733	34.3689138576779	0.10261345257901931	1	COMPLETE
2	0.2762172284644195	2020-04-10 01:41:27.900522	2020-04-10 01:43:40.106294	6.398738291885751	256	128	41	256	0.576183010204015	0.03651685393258427	0.2762172284644195	0.10159176029962547	0.15543071161048688	27.50187265917603	0.11891451504779163	0.03651685393258427	0.2762172284644195	0.10159176029962547	0.15543071161048688	27.50187265917603	0.11891451504779163	2117085764	250	0.03651685393258427	0.2762172284644195	0.10159176029962547	0.15543071161048688	27.50187265917603	0.11891451504779163	2	COMPLETE
3	0.27808988764044945	2020-04-10 01:43:40.133521	2020-04-10 01:47:19.404426	6.3598110211895476	256	256	54	512	0.6172911677935095	0.056179775280898875	0.27808988764044945	0.12125468164794008	0.17649812734082396	29.52013108614232	0.1361513029131472	0.056179775280898875	0.27808988764044945	0.12125468164794008	0.17649812734082396	29.52013108614232	0.1361513029131472	320858041	500	0.056179775280898875	0.27808988764044945	0.12125468164794008	0.17649812734082396	29.52013108614232	0.1361513029131472	3	COMPLETE
4	0.2752808988764045	2020-04-10 01:47:19.448145	2020-04-10 01:49:04.815644	5.039496035974322	256	64	71	256	0.543534656981362	0.04260299625468165	0.2752808988764045	0.10814606741573034	0.16292134831460675	25.950842696629213	0.12556674669347237	0.04260299625468165	0.2752808988764045	0.10814606741573034	0.16292134831460675	25.950842696629213	0.12556674669347237	3150812771	200	0.04260299625468165	0.2752808988764045	0.10814606741573034	0.16292134831460675	25.950842696629213	0.12556674669347237	4	COMPLETE
5	0.2794943820224719	2020-04-10 01:49:04.854220	2020-04-10 01:50:21.777147	6.698738901352866	256	64	36	512	0.564410731701306	0.03417602996254682	0.2794943820224719	0.09363295880149813	0.14794007490636704	26.957865168539325	0.11624795708610301	0.03417602996254682	0.2794943820224719	0.09363295880149813	0.14794007490636704	26.957865168539325	0.11624795708610301	1576818284	250	0.03417602996254682	0.2794943820224719	0.09363295880149813	0.14794007490636704	26.957865168539325	0.11624795708610301	5	COMPLETE
6	0.27668539325842695	2020-04-10 01:50:21.798364	2020-04-10 01:54:17.594379	6.288921653933212	256	256	85	256	0.6553419685699324	0.04353932584269663	0.27668539325842695	0.10112359550561797	0.16807116104868913	31.2687265917603	0.12291429710590591	0.04353932584269663	0.27668539325842695	0.10112359550561797	0.16807116104868913	31.2687265917603	0.12291429710590591	3135741332	300	0.04353932584269663	0.27668539325842695	0.10112359550561797	0.16807116104868913	31.2687265917603	0.12291429710590591	6	COMPLETE
7	0.34363295880149813	2020-04-10 01:54:17.622932	2020-04-10 01:57:12.711482	4.907629102600123	64	64	88	256	0.5358112667668052	0.06554307116104868	0.34363295880149813	0.14606741573033707	0.20833333333333334	25.644662921348313	0.15622349240607936	0.06554307116104868	0.34363295880149813	0.14606741573033707	0.20833333333333334	25.644662921348313	0.15622349240607936	3924274412	300	0.06554307116104868	0.34363295880149813	0.14606741573033707	0.20833333333333334	25.644662921348313	0.15622349240607936	7	COMPLETE
8	0.27668539325842695	2020-04-10 01:57:12.741723	2020-04-10 01:58:47.685269	4.121016996411193	128	256	81	512	0.5514776902822673	0.03885767790262172	0.27668539325842695	0.10533707865168539	0.16385767790262173	26.338483146067414	0.12380698842687488	0.03885767790262172	0.27668539325842695	0.10533707865168539	0.16385767790262173	26.338483146067414	0.12380698842687488	391711966	200	0.03885767790262172	0.27668539325842695	0.10533707865168539	0.16385767790262173	26.338483146067414	0.12380698842687488	8	COMPLETE
9	0.3548689138576779	2020-04-10 01:58:47.707070	2020-04-10 02:07:01.654198	4.242770291854869	128	64	100	128	0.4658437628161218	0.07911985018726592	0.3548689138576779	0.17088014981273408	0.23361423220973782	22.345037453183522	0.1762559468248658	0.07911985018726592	0.3548689138576779	0.17088014981273408	0.23361423220973782	22.345037453183522	0.1762559468248658	841740961	400	0.07911985018726592	0.3548689138576779	0.17088014981273408	0.23361423220973782	22.345037453183522	0.1762559468248658	9	COMPLETE
10	0.2794943820224719	2020-04-10 02:07:01.703235	2020-04-10 02:09:30.803988	9.159675884753371	128	64	68	256	0.628044294261405	0.048220973782771535	0.2794943820224719	0.12219101123595505	0.1793071161048689	30.230805243445694	0.13173919229341477	0.048220973782771535	0.2794943820224719	0.12219101123595505	0.1793071161048689	30.230337078651687	0.1317395413315891	2583955584	250	0.048220973782771535	0.2794943820224719	0.12219101123595505	0.1793071161048689	30.2312734082397	0.13173885491670653	10	COMPLETE
11	0.45786516853932585	2020-04-10 02:09:30.826074	2020-04-10 02:14:59.482903	3.3764310753958013	256	64	95	256	0.4418855307655137	0.09550561797752809	0.45786516853932585	0.21910112359550563	0.301498127340824	21.410112359550563	0.20842327109835299	0.09550561797752809	0.45786516853932585	0.21910112359550563	0.301498127340824	21.410112359550563	0.20842327109835299	1402574349	450	0.09550561797752809	0.45786516853932585	0.21910112359550563	0.301498127340824	21.410112359550563	0.20842327109835299	11	COMPLETE
12	0.2144194756554307	2020-04-10 02:14:59.516980	2020-04-10 02:19:14.992681	8.082244994862645	128	256	10	128	0.7356012296646638	0.028089887640449437	0.2144194756554307	0.0650749063670412	0.11610486891385768	35.04283707865169	0.09375799294445089	0.028089887640449437	0.2144194756554307	0.0650749063670412	0.11610486891385768	35.04213483146067	0.09375820812784517	2221631010	250	0.028089887640449437	0.2144194756554307	0.0650749063670412	0.11610486891385768	35.043539325842694	0.09375778169216774	12	COMPLETE
13	0.399812734082397	2020-04-10 02:19:15.014180	2020-04-10 02:21:27.455717	1.1387779688875073	128	64	15	512	0.4227445890511341	0.05945692883895131	0.399812734082397	0.16713483146067415	0.24204119850187267	20.41619850187266	0.16961874323273962	0.05945692883895131	0.399812734082397	0.16713483146067415	0.24204119850187267	20.41619850187266	0.16961874323273962	1065313242	400	0.05945692883895131	0.399812734082397	0.16713483146067415	0.24204119850187267	20.41619850187266	0.16961874323273962	13	COMPLETE
14	0.33941947565543074	2020-04-10 02:21:27.476541	2020-04-10 02:25:55.039400	3.710894265095095	128	64	66	128	0.48640652630331643	0.07677902621722846	0.33941947565543074	0.14372659176029962	0.21067415730337077	23.32256554307116	0.16426333333246898	0.07677902621722846	0.33941947565543074	0.14372659176029962	0.21067415730337077	23.32256554307116	0.16426333333246898	4200988596	250	0.07677902621722846	0.33941947565543074	0.14372659176029962	0.21067415730337077	23.32256554307116	0.16426333333246898	14	COMPLETE
