number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	301	351	501	551
0	TrialState.COMPLETE	0.015315155807365439	2020-01-09 17:43:39.914400	2020-01-09 19:27:17.181838	50.0	100.0	1	51.0	0.08251407210719834	800.0	0.9371598481667023	0.000708215297450425	0.015315155807365439	0.011154390934844192	0.013013456090651559	18999.375973796035	0.006938600432840799	0.000708215297450425	0.015315155807365439	0.011154390934844192	0.013013456090651559	18999.366383380548	0.006938600866159517	0.000708215297450425	0.015315155807365439	0.011154390934844192	0.013013456090651559	18999.38556421152	0.006938600000356134	0			0.014828257790368272	0.015120396600566572				
1	TrialState.COMPLETE	0.3308999782087601	2020-01-09 19:27:17.182791	2020-01-10 02:21:43.388953	150.0	100.0	2	41.0	0.0010555619099324827	600.0	0.5989755060081718	0.037943996513401614	0.3308999782087601	0.2325533885378078	0.28523371104815864	12142.286616092832	0.14736780140241862	0.037943996513401614	0.3308999782087601	0.2325533885378078	0.28523371104815864	12142.277688494225	0.1473678016363328	0.037943996513401614	0.3308999782087601	0.2325533885378078	0.28523371104815864	12142.295543691436	0.14736780116904138	1								
2	TrialState.COMPLETE	0.32413107430812815	2020-01-10 02:21:43.389780	2020-01-10 07:43:58.593795	50.0	200.0	1	41.0	0.003747434409875279	1000.0	0.3696970156373141	0.001743299193724123	0.32413107430812815	0.2203775332316409	0.2736298757899324	7495.024011222488	0.12469544555684017	0.001743299193724123	0.32413107430812815	0.2203775332316409	0.2736298757899324	7495.020701677926	0.12469549252932441	0.001743299193724123	0.32413107430812815	0.2203775332316409	0.2736298757899324	7495.027320767052	0.124695402092367	2							0.3235095287149112	0.32384619924457037
3	TrialState.COMPLETE	0.1733356940509915	2020-01-10 07:43:58.594776	2020-01-10 10:28:23.132578	100.0	150.0	1	91.0	0.011385705846617753	800.0	0.428532789657331	0.000991501416430595	0.1733356940509915	0.10789660056657224	0.13714589235127478	8687.895467422097	0.06623087647984073	0.000991501416430595	0.1733356940509915	0.10789660056657224	0.13714589235127478	8687.8914305949	0.06623087734683109	0.000991501416430595	0.1733356940509915	0.10789660056657224	0.13714589235127478	8687.899504249292	0.06623087561561854	3		0.1756964117091596	0.17422096317280453					
4	TrialState.COMPLETE	0.2897584198929808	2020-01-10 10:28:23.133337	2020-01-10 15:00:34.609176	100.0	100.0	1	81.0	0.006716807951166345	600.0	0.4112692065750495	0.0008262511803588291	0.2897584198929808	0.18879839471199245	0.23998662259993706	8337.789994491659	0.10928612774743758	0.0008262511803588291	0.2897584198929808	0.18879839471199245	0.23998662259993706	8337.78666981429	0.10928612864285464	0.0008262511803588291	0.2897584198929808	0.18879839471199245	0.23998662259993706	8337.793319169028	0.10928612685713562	4					0.28907830837717524	0.2894608711048159		
5	TrialState.COMPLETE	0.2449539660056657	2020-01-10 15:00:34.610150	2020-01-10 16:40:01.697207	150.0	150.0	2	51.0	0.007481450111499087	900.0	0.34196373850424827	0.0008852691218130312	0.2449539660056657	0.1423512747875354	0.19320998583569404	6932.470254957507	0.08899527830045029	0.0008852691218130312	0.2449539660056657	0.1423512747875354	0.19320998583569404	6932.466404036827	0.08899529171281857	0.0008852691218130312	0.2449539660056657	0.1423512747875354	0.19320998583569404	6932.474105878187	0.08899526517995834	5	0.25123937677053826	0.2470491029272899						
6	TrialState.COMPLETE	0.31949362606232296	2020-01-10 16:40:01.698416	2020-01-10 18:07:25.598286	100.0	200.0	2	51.0	0.005222567976838423	800.0	0.3887870075682078	0.001106586402266289	0.31949362606232296	0.20967599150141644	0.266510269121813	7881.649876062323	0.12063289393591783	0.001106586402266289	0.31949362606232296	0.20967599150141644	0.266510269121813	7881.645316926346	0.12063289499831925	0.001106586402266289	0.31949362606232296	0.20967599150141644	0.266510269121813	7881.6544351983	0.12063289287654577	6	0.32878895184135976	0.3225920679886686						
