number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.0010555745749172658	2020-01-22 06:44:55.706587	2020-01-22 08:37:52.523233	250.0	71.0	0.0019308193951329447	600.0	1.0000944829772538	0.00014264521282665753	0.0010555745749172658	0.0003708775533493096	0.0004564646810453041	7145.25178306516	0.0008635132123468781	0.00014264521282665753	0.0010555745749172658	0.0003708775533493096	0.0004564646810453041	7145.251654684469	0.0008635132166935898	1460328429	0.00014264521282665753	0.0010555745749172658	0.0003708775533493096	0.0004564646810453041	7145.251911445852	0.0008635132080013369	0
1	TrialState.COMPLETE	0.031096656396211342	2020-01-22 08:37:52.524027	2020-01-22 10:47:32.956686	50.0	1.0	0.01425721320765297	900.0	0.8254037071984661	0.007075202556202214	0.031096656396211342	0.01609038000684697	0.021225607668606643	5898.4396610749745	0.015205020419684216	0.007075202556202214	0.031096656396211342	0.01609038000684697	0.021225607668606643	5898.439489900719	0.015205020597094306	939239254	0.007075202556202214	0.031096656396211342	0.01609038000684697	0.021225607668606643	5898.43983224923	0.015205020242869589	1
2	TrialState.COMPLETE	0.03543307086614173	2020-01-22 10:47:32.957455	2020-01-22 13:31:17.492137	450.0	11.0	0.02268189982379049	1000.0	0.79590925206757	0.007331963939290197	0.03543307086614173	0.015548328198105671	0.0223667693712199	5693.221998744722	0.017192522107861437	0.007331963939290197	0.03543307086614173	0.015548328198105671	0.0223667693712199	5693.2206436152	0.01719252223065872	1720885970	0.007331963939290197	0.03543307086614173	0.015548328198105671	0.0223667693712199	5693.223353874244	0.017192521985163717	2
3	TrialState.COMPLETE	0.0025676138308798357	2020-01-22 13:31:17.493045	2020-01-22 15:38:21.446213	50.0	11.0	0.03786527002011583	800.0	1.0052539481911202	0.0013979230857012438	0.0025676138308798357	0.0019399748944425425	0.002367910532922515	7183.398650576287	0.0022161727764107068	0.0013979230857012438	0.0025676138308798357	0.0019399748944425425	0.002367910532922515	7183.39846513751	0.0022161728181744876	3845385182	0.0013979230857012438	0.0025676138308798357	0.0019399748944425425	0.002367910532922515	7183.398836015063	0.00221617273468237	3
4	TrialState.COMPLETE	0.213596941686637	2020-01-22 15:38:21.447007	2020-01-22 18:21:04.941427	350.0	11.0	0.06700475047787771	1000.0	0.11275722896515603	0.046416752253794366	0.213596941686637	0.1061280383430332	0.14421431016775077	795.0436209060824	0.10042911216605645	0.046416752253794366	0.21362547072920232	0.1061280383430332	0.14421431016775077	795.043449731827	0.1004292493274354	3594907615	0.046416752253794366	0.213596941686637	0.1061280383430332	0.14421431016775077	795.0437920803378	0.10042898736381195	4
5	TrialState.COMPLETE	0.0005135227661759672	2020-01-22 18:21:04.942171	2020-01-22 21:20:38.847310	450.0	31.0	0.001091535896458281	1000.0	1.009140296635034	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00028529042565331506	7210.898365285861	0.0006238699639831128	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00028529042565331506	7210.898265434212	0.0006238699925528257	3937781916	2.8529042565331506e-05	0.0005135227661759672	0.00011411617026132602	0.00028529042565331506	7210.89846513751	0.000623869935447082	5
6	TrialState.COMPLETE	0.0010270455323519343	2020-01-22 21:20:38.848061	2020-01-22 23:29:49.102405	150.0	31.0	0.011366211081646552	800.0	1.0084210172834764	0.00017117425539198904	0.0010270455323519343	0.0004564646810453041	0.0005135227661759672	7204.8482254935525	0.0008552879286944023	0.00017117425539198904	0.0010270455323519343	0.0004564646810453041	0.0005135227661759672	7204.84808284834	0.0008552879484801548	2002242072	0.00017117425539198904	0.0010270455323519343	0.0004564646810453041	0.0005135227661759672	7204.848368138765	0.0008552879089214325	6
7	TrialState.COMPLETE	0.0010555745749172658	2020-01-22 23:29:49.103205	2020-01-23 01:19:57.033283	350.0	81.0	0.0012017531613804152	500.0	1.0002037651698454	0.00017117425539198904	0.0010555745749172658	0.0003138194682186466	0.0004564646810453041	7146.440160333219	0.0008675163098206732	0.00017117425539198904	0.0010555745749172658	0.0003138194682186466	0.0004564646810453041	7146.44006048157	0.0008675163200174581	1371094838	0.00017117425539198904	0.0010555745749172658	0.0003138194682186466	0.0004564646810453041	7146.440260184868	0.0008675162996291609	7
8	TrialState.COMPLETE	0.00028529042565331506	2020-01-23 01:19:57.034065	2020-01-23 02:59:49.620518	350.0	61.0	0.033131346847513336	500.0	1.4327705861555207	5.705808513066301e-05	0.00028529042565331506	0.00014264521282665753	0.00017117425539198904	10261.37999258245	0.00036937756386816136	5.705808513066301e-05	0.00028529042565331506	0.00014264521282665753	0.00017117425539198904	10261.379521853247	0.0003693775951146384	3675421236	5.705808513066301e-05	0.00028529042565331506	0.00014264521282665753	0.00017117425539198904	10261.38046331165	0.000369377532642183	8
