number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.8136704119850188	2020-05-12 13:48:06.845657	2020-05-12 13:55:15.493796	4.409254626293949	256	0.4947964504357717	0.3551672421600843	43	0.17055188393982718	30	128	0.14977250801406328	0.2883895131086142	0.8136704119850188	0.5749063670411985	0.6872659176029963	7.159644194756554	0.46594975977962855	0.2883895131086142	0.8136704119850188	0.5749063670411985	0.6872659176029963	7.159644194756554	0.46594975977962855		1358079586.0	200.0	0.2883895131086142	0.8136704119850188	0.5749063670411985	0.6872659176029963	7.159644194756554	0.46594975977962855	0		COMPLETE
1	0.9185393258426966	2020-05-12 13:55:15.532771	2020-05-12 14:06:00.570274	1.7761859315904558	128	0.3875450724375436	0.3706980972216934	47	0.16815317255172613	83	128	0.09255327313112911	0.3647003745318352	0.9185393258426966	0.672752808988764	0.7963483146067416	4.450374531835206	0.5504540177736678	0.3647003745318352	0.9185393258426966	0.672752808988764	0.7963483146067416	4.450374531835206	0.5504540177736678		22458838.0	250.0	0.3647003745318352	0.9185393258426966	0.672752808988764	0.7963483146067416	4.450374531835206	0.5504540177736678	1		COMPLETE
2	0.9508426966292135	2020-05-12 14:06:00.601918	2020-05-12 14:07:56.832089	2.2599409575662484	64	0.48455045065945374	0.14462942356073227	26	0.147427384063417	5	512	0.07543293215955298	0.3862359550561798	0.9508426966292135	0.7289325842696629	0.8553370786516854	3.6418539325842696	0.5821784827983522	0.3862359550561798	0.9508426966292135	0.7289325842696629	0.8553370786516854	3.6418539325842696	0.5821784827983522		1305171890.0	450.0	0.3862359550561798	0.9508426966292135	0.7289325842696629	0.8553370786516854	3.6418539325842696	0.5821784827983522	2		COMPLETE
3	0.9339887640449438	2020-05-12 14:07:56.864999	2020-05-12 14:10:14.485798	9.37251607043411	256	0.34869849708026307	0.420985689088979	28	0.22650416333093493	8	512	0.08261872655520222	0.36563670411985016	0.9339887640449438	0.6928838951310862	0.829119850187266	3.991573033707865	0.5582241721484655	0.36563670411985016	0.9339887640449438	0.6928838951310862	0.829119850187266	3.991573033707865	0.5582241721484655		1278622567.0	250.0	0.36563670411985016	0.9339887640449438	0.6928838951310862	0.829119850187266	3.991573033707865	0.5582241721484655	3		COMPLETE
4	0.9096441947565543	2020-05-12 14:10:14.513359	2020-05-12 14:15:49.121275	9.594187304246324	64	0.28655104636071893	0.45697709237007694	27	0.36943751604734837	69	128	0.09371841681618871	0.301498127340824	0.9096441947565543	0.6245318352059925	0.7602996254681648	4.538389513108614	0.49926253431575307	0.301498127340824	0.9096441947565543	0.6245318352059925	0.7602996254681648	4.538389513108614	0.49926253431575307		1937630625.0	250.0	0.301498127340824	0.9096441947565543	0.6245318352059925	0.7602996254681648	4.538389513108614	0.49926253431575307	4		COMPLETE
5	0.8487827715355806	2020-05-12 14:15:49.143455	2020-05-12 14:28:37.042046	1.5231698118561963	256	0.18316683701450498	0.3519562954113931	26	0.05205303360903868	89	128	0.12809481088958038	0.26825842696629215	0.8487827715355806	0.5674157303370787	0.7102059925093633	6.1835205992509366	0.4589769488914216	0.26825842696629215	0.8487827715355806	0.5674157303370787	0.7102059925093633	6.1835205992509366	0.4589769488914216		621078522.0	200.0	0.26825842696629215	0.8487827715355806	0.5674157303370787	0.7102059925093633	6.1835205992509366	0.4589769488914216	5		COMPLETE
6		2020-05-12 14:28:37.074703	2020-05-12 14:28:37.977289	5.240676896366024	256	0.41909119443425463	0.3377946795013598	62	0.4218685889232608	73	512														The current model can't be trained on this hardware with these parameters.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7	0.950374531835206	2020-05-12 14:28:37.989790	2020-05-12 14:38:05.097203	6.046919629607022	64	0.3211256570260528	0.2992094893985132	33	0.09470821505136473	97	512	0.07310623114698389	0.41058052434456926	0.950374531835206	0.7406367041198502	0.8506554307116105	3.5252808988764044	0.600042914718457	0.41058052434456926	0.950374531835206	0.7406367041198502	0.8506554307116105	3.5252808988764044	0.600042914718457		3303956291.0	400.0	0.41058052434456926	0.950374531835206	0.7406367041198502	0.8506554307116105	3.5252808988764044	0.600042914718457	7		COMPLETE
8	0.775749063670412	2020-05-12 14:38:05.124550	2020-05-12 14:41:26.565541	4.431058956551565	64	0.21640415503579535	0.09574388221200741	48	0.4525584149557056	61	512	0.15047069560485274	0.19054307116104868	0.775749063670412	0.42228464419475653	0.5646067415730337	7.257022471910112	0.36484039571244986	0.19054307116104868	0.775749063670412	0.42228464419475653	0.5646067415730337	7.257022471910112	0.36484039571244986		3771426742.0	200.0	0.19054307116104868	0.775749063670412	0.42228464419475653	0.5646067415730337	7.257022471910112	0.36484039571244986	8		COMPLETE
9	0.8745318352059925	2020-05-12 14:41:26.589790	2020-05-12 14:46:04.273400	1.970037262053332	128	0.3517703853199422	0.11875330436060333	36	0.29166569525558467	43	128	0.10977748078764991	0.30196629213483145	0.8745318352059925	0.5767790262172284	0.7130149812734082	5.291666666666667	0.4826822931020796	0.30196629213483145	0.8745318352059925	0.5767790262172284	0.7130149812734082	5.291666666666667	0.4826822931020796		2752203628.0	200.0	0.30196629213483145	0.8745318352059925	0.5767790262172284	0.7130149812734082	5.291666666666667	0.4826822931020796	9		COMPLETE
