number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	451	501	551	601	651	701	751	801	851	901	951	1001	1051	1101	1151
0	TrialState.COMPLETE	0.011110127478753541	2020-01-08 11:28:38.656957	2020-01-08 11:33:51.625647	450.0	1	31.0	0.022328115263155784	1100.0	0.7909939196384319	0.000708215297450425	0.011110127478753541	0.007391997167138811	0.00823300283286119	16033.115084985835	0.0056223755848204765	0.000708215297450425	0.011110127478753541	0.007391997167138811	0.00823300283286119	16033.111809490085	0.005622376214790376	0.000708215297450425	0.011110127478753541	0.007391997167138811	0.00823300283286119	16033.118360481587	0.005622374956181363	0	0.01336756373937677	0.011862606232294617																		
1	TrialState.COMPLETE	0.015536473087818697	2020-01-08 11:33:51.626731	2020-01-08 11:39:37.885567	450.0	1	61.0	0.001333297041679743	1100.0	0.7302855019791248	0.000708215297450425	0.015536473087818697	0.008587110481586403	0.010933073654390935	14801.973353399433	0.007097641862821962	0.000708215297450425	0.015536473087818697	0.008587110481586403	0.010933073654390935	14801.968572946176	0.007097642559167497	0.000708215297450425	0.015536473087818697	0.008587110481586403	0.010933073654390935	14801.978133852692	0.007097641168303906	1	0.017439801699716713	0.016170915958451368																		
2	TrialState.COMPLETE	0.01190686968838527	2020-01-08 11:39:37.886618	2020-01-08 11:43:04.436244	50.0	1	31.0	0.014344317820913804	1500.0	0.7703706578099963	0.000708215297450425	0.01190686968838527	0.005798512747875354	0.008321529745042492	15614.794750354107	0.004986898673093535	0.000708215297450425	0.01190686968838527	0.005798512747875354	0.008321529745042492	15614.791828966007	0.004986898830109574	0.000708215297450425	0.01190686968838527	0.005798512747875354	0.008321529745042492	15614.79767174221	0.004986898516249475	2	0.01938739376770538	0.014400377714825307																		
3	TrialState.COMPLETE	0.02536296033994334	2020-01-08 11:43:04.437282	2020-01-08 11:47:07.225385	150.0	2	41.0	0.0683419460816477	800.0	0.8275788823583693	0.000708215297450425	0.02536296033994334	0.02151203966005666	0.023371104815864022	16775.269254603398	0.011974941373898172	0.000708215297450425	0.02536296033994334	0.02151203966005666	0.023371104815864022	16775.265890580737	0.011974941483433652	0.000708215297450425	0.02536296033994334	0.02151203966005666	0.023371104815864022	16775.272618626062	0.011974941264403597	3	0.022928470254957506	0.024551463644948063																		
4	TrialState.COMPLETE	0.031382790368271955	2020-01-08 11:47:07.226444	2020-01-08 11:51:57.427513	450.0	2	1.0	0.05408661566395132	2000.0	0.8184229673854228	0.000708215297450425	0.031382790368271955	0.02523016997167139	0.02863845609065156	16589.58618094901	0.0141604420494619	0.000708215297450425	0.031382790368271955	0.02523016997167139	0.02863845609065156	16589.582639872522	0.014160442243141174	0.000708215297450425	0.031382790368271955	0.02523016997167139	0.02863845609065156	16589.589722025496	0.014160441855901882	4	0.03355169971671388	0.03210576015108593																		
5	TrialState.COMPLETE	0.039128895184135974	2020-01-08 11:51:57.428551	2020-01-08 11:59:54.701467	150.0	2	81.0	0.03567367636047307	600.0	0.6633447117618234	0.000708215297450425	0.039128895184135974	0.026558073654390935	0.03216477809254013	13445.844945113315	0.016567903649484014	0.000708215297450425	0.039128895184135974	0.026558073654390935	0.03216477809254013	13445.841979461757	0.01656790392620135	0.000708215297450425	0.039128895184135974	0.026558073654390935	0.03216477809254013	13445.847910764873	0.016567903373113622	5			0.03877478753541076	0.03898725212464589																
6	TrialState.COMPLETE	0.23722556657223795	2020-01-08 11:59:54.702508	2020-01-08 12:35:53.741251	350.0	2	1.0	0.0035211336616894273	1200.0	0.09761525754747709	0.000708215297450425	0.23722556657223795	0.10918909348441927	0.16357117563739376	1978.308525141643	0.08064660508925126	0.000708215297450425	0.23722556657223795	0.10918909348441927	0.16357117563739376	1978.3079762747875	0.08064671531431677	0.000708215297450425	0.23722556657223795	0.10918909348441927	0.16357117563739376	1978.3090740084986	0.0806465054572654	6														0.2358258577274158	0.23656254659311168					
7	TrialState.COMPLETE	0.124704910292729	2020-01-08 12:35:53.742143	2020-01-08 12:53:18.767210	250.0	2	1.0	0.008399603326457153	2000.0	0.19593325127306163	0.000708215297450425	0.124704910292729	0.06787063267233238	0.0922302880075543	3971.2571559254015	0.047236651698684955	0.000708215297450425	0.124704910292729	0.06787063267233238	0.0922302880075543	3971.2562411473086	0.047236653488616914	0.000708215297450425	0.124704910292729	0.06787063267233238	0.0922302880075543	3971.258070703494	0.04723664992177624	7						0.12379603399433428	0.12429178470254958													
8	TrialState.COMPLETE	0.009782223796033994	2020-01-08 12:53:18.768265	2020-01-08 12:56:49.989985	50.0	1	51.0	0.009893566044780939	1800.0	0.7413802574369548	0.000708215297450425	0.009782223796033994	0.004736189801699717	0.006860835694050991	15027.342023725212	0.004412361096575398	0.000708215297450425	0.009782223796033994	0.004736189801699717	0.006860835694050991	15027.33888101983	0.004412361715483226	0.000708215297450425	0.009782223796033994	0.004736189801699717	0.006860835694050991	15027.345166430596	0.004412360479103796	8	0.011419971671388102	0.010328139754485363																		
9	TrialState.COMPLETE	0.37265981032146817	2020-01-08 12:56:49.991060	2020-01-08 13:36:00.306878	50.0	2	51.0	0.004398214420145695	1700.0	0.08929416842629359	0.000708215297450425	0.37265981032146817	0.18766165783963543	0.2717160364576918	1809.6397224103953	0.12610956956220418	0.000708215297450425	0.37265981032146817	0.18766165783963543	0.2717160364576918	1809.6390257420865	0.12610956963864037	0.000708215297450425	0.37265981032146817	0.18766165783963543	0.2717160364576918	1809.6404190787043	0.1261095694859163	9																	0.37086874409820586	0.3718049832603657		
10	TrialState.COMPLETE	0.010711756373937677	2020-01-08 13:36:00.307930	2020-01-08 13:39:54.398556	250.0	1	11.0	0.03579700860767379	1000.0	0.8039356690303727	0.000708215297450425	0.010711756373937677	0.007524787535410765	0.008941218130311615	16295.459963703966	0.005399614223972181	0.000708215297450425	0.010711756373937677	0.007524787535410765	0.008941218130311615	16295.456267705382	0.005399614678795201	0.000708215297450425	0.010711756373937677	0.007524787535410765	0.008941218130311615	16295.46365970255	0.0053996137698554235	10	0.009915014164305949	0.010446175637393768																		
11	TrialState.COMPLETE	0.0313385269121813	2020-01-08 13:39:54.399606	2020-01-08 13:45:02.385254	350.0	2	71.0	0.08178088596412973	1700.0	0.8261507074675647	0.000708215297450425	0.0313385269121813	0.02554001416430595	0.029169617563739376	16746.29800371813	0.014230940262963671	0.000708215297450425	0.0313385269121813	0.02554001416430595	0.029169617563739376	16746.295547096317	0.014230940434518424	0.000708215297450425	0.0313385269121813	0.02554001416430595	0.029169617563739376	16746.300460339942	0.014230940091535258	11	0.03098441926345609	0.0312204910292729																		
12	TrialState.COMPLETE	0.028904036827195466	2020-01-08 13:45:02.386301	2020-01-08 13:50:00.028011	350.0	2	41.0	0.058115186382175936	1500.0	0.8171631735647447	0.000708215297450425	0.028904036827195466	0.023149787535410766	0.026026912181303118	16564.10722822238	0.013006433752963049	0.000708215297450425	0.028904036827195466	0.023149787535410766	0.026026912181303118	16564.104683073656	0.013006433994282309	0.000708215297450425	0.028904036827195466	0.023149787535410766	0.026026912181303118	16564.109773371103	0.013006433511863133	12	0.027177762039660058	0.028328611898016998																		
13	TrialState.COMPLETE	0.012924929178470254	2020-01-08 13:50:00.029088	2020-01-08 13:54:08.689937	350.0	1	1.0	0.017015329130705307	1700.0	0.7804021832401203	0.000708215297450425	0.012924929178470254	0.009029745042492918	0.010490439093484419	15818.223862429179	0.006464434982769661	0.000708215297450425	0.012924929178470254	0.009029745042492918	0.010490439093484419	15818.221007436261	0.006464435125538465	0.000708215297450425	0.012924929178470254	0.009029745042492918	0.010490439093484419	15818.226717422096	0.006464434840087403	13	0.013456090651558074	0.013101983002832862																		
14	TrialState.COMPLETE	0.3883406207661042	2020-01-08 13:54:08.690770	2020-01-08 14:46:40.844687	350.0	2	81.0	0.001364729485734916	2000.0	0.08568700084711761	0.000708215297450425	0.3883406207661042	0.20063277497228724	0.28976013055795047	1736.4379310875725	0.13181756987740234	0.000708215297450425	0.3883406207661042	0.20064047296465082	0.28976013055795047	1736.436822576672	0.13181793674982029	0.000708215297450425	0.3883406207661042	0.20063277497228724	0.28976013055795047	1736.4390395984726	0.13181729464855263	14																	0.386592809928504	0.38750643832088594		
15	TrialState.COMPLETE	0.01819228045325779	2020-01-08 14:46:40.845748	2020-01-08 14:50:37.236986	250.0	1	21.0	0.004135493545709358	1400.0	0.7343939830802073	0.000708215297450425	0.01819228045325779	0.011242917847025496	0.013677407932011332	14885.185640934844	0.008303924950910173	0.000708215297450425	0.01819228045325779	0.011242917847025496	0.013677407932011332	14885.181878541076	0.008303932782902647	0.000708215297450425	0.01819228045325779	0.011242917847025496	0.013677407932011332	14885.189403328612	0.008303917249161824	15	0.02381373937677054	0.020066100094428708																		
