number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10861423220973783	2020-04-03 13:42:44.338025	2020-04-03 13:48:28.951285	64	0.1182384928199697	150	63	0.07164450280512624	512	0.9984609098784095	0.0046816479400749065	0.10861423220973783	0.024812734082397005	0.04447565543071161	48.14653558052434	0.04930620787680749	0.0046816479400749065	0.10861423220973783	0.024812734082397005	0.04447565543071161	48.14653558052434	0.04930620787680749	3958177938	150	0.0046816479400749065	0.10861423220973783	0.024812734082397005	0.04447565543071161	48.14653558052434	0.04930620787680749	0	COMPLETE
1	0.9297752808988764	2020-04-03 13:48:29.014584	2020-04-03 14:12:30.941177	128	0.23045708756633682	100	51	0.012200258150879452	256	0.08612226232561922	0.3445692883895131	0.9297752808988764	0.675561797752809	0.8038389513108615	4.132958801498128	0.5413291074701705	0.3445692883895131	0.9297752808988764	0.675561797752809	0.8038389513108615	4.132958801498128	0.5413291074701705	3786984951	250	0.3445692883895131	0.9297752808988764	0.675561797752809	0.8038389513108615	4.132958801498128	0.5413291074701705	1	COMPLETE
2	0.9129213483146067	2020-04-03 14:12:30.990433	2020-04-03 14:20:04.860100	64	0.441783863832047	100	36	0.023172074444718048	256	0.0960926220931936	0.3544007490636704	0.9129213483146067	0.6802434456928839	0.8033707865168539	4.618913857677903	0.5505987896164322	0.37359550561797755	0.9129213483146067	0.6807116104868914	0.8033707865168539	4.605805243445693	0.5577840045263661	1846578807	200	0.3544007490636704	0.9129213483146067	0.6802434456928839	0.802434456928839	4.632022471910112	0.5472893103940316	2	COMPLETE
3	0.9288389513108615	2020-04-03 14:20:04.895342	2020-04-03 14:42:58.328949	128	0.36399128767310185	400	20	0.0027327389369742943	512	0.08725630597399778	0.3661048689138577	0.9288389513108615	0.6928838951310862	0.8132022471910112	4.196629213483146	0.5583862779857859	0.3661048689138577	0.9288389513108615	0.6928838951310862	0.8132022471910112	4.196629213483146	0.5583862779857859	69872127	300	0.3661048689138577	0.9288389513108615	0.6928838951310862	0.8132022471910112	4.196629213483146	0.5583862779857859	3	COMPLETE
4	0.09831460674157304	2020-04-03 14:42:58.369864	2020-04-03 14:59:11.924250	64	0.2663312451282635	200	70	0.03278127322864651	128	1.0090491336618623	0.006554307116104869	0.09831460674157304	0.025280898876404494	0.052434456928838954	48.75187265917603	0.049881924250409576	0.006554307116104869	0.09831460674157304	0.025280898876404494	0.052434456928838954	48.75187265917603	0.049881924250409576	2437596218	150	0.006554307116104869	0.09831460674157304	0.025280898876404494	0.052434456928838954	48.75187265917603	0.049881924250409576	4	COMPLETE
5	0.10205992509363296	2020-04-03 14:59:11.963189	2020-04-03 15:12:53.950887	128	0.36068854056756705	400	31	0.014398540433011657	128	1.018247530308172	0.0014044943820224719	0.10205992509363296	0.02247191011235955	0.04400749063670412	49.127808988764045	0.04519260349296066	0.0014044943820224719	0.10205992509363296	0.02247191011235955	0.04400749063670412	49.127808988764045	0.04519260349296066	2411207553	150	0.0014044943820224719	0.10205992509363296	0.02247191011235955	0.04400749063670412	49.127808988764045	0.04519260349296066	5	COMPLETE
6	0.09691011235955056	2020-04-03 15:12:53.993532	2020-04-03 15:25:36.123768	64	0.2496129424287387	450	21	0.017050835456991154	128	1.0083942710612082	0.0023408239700374533	0.09691011235955056	0.02247191011235955	0.042134831460674156	48.63857677902622	0.04548545106650805	0.0023408239700374533	0.09691011235955056	0.02247191011235955	0.042134831460674156	48.63857677902622	0.04548545106650805	1618696453	150	0.0023408239700374533	0.09691011235955056	0.02247191011235955	0.042134831460674156	48.63857677902622	0.04548545106650805	6	COMPLETE
7	0.9405430711610487	2020-04-03 15:25:36.161734	2020-04-03 16:25:39.689089	64	0.27240325241103	350	81	0.0016926642846437328	512	0.07862982853954092	0.38436329588014984	0.9405430711610487	0.724250936329588	0.8370786516853933	3.7808988764044944	0.5779696404737732	0.38436329588014984	0.9405430711610487	0.724250936329588	0.8370786516853933	3.7808988764044944	0.5779696404737732	4154086684	450	0.38436329588014984	0.9405430711610487	0.724250936329588	0.8370786516853933	3.7808988764044944	0.5779696404737732	7	COMPLETE
8	0.9185393258426966	2020-04-03 16:25:39.747816	2020-04-03 17:31:07.135676	256	0.45126093516231114	100	54	0.0018443786389304505	256	0.08955721233095904	0.3146067415730337	0.9185393258426966	0.6446629213483146	0.7818352059925093	4.2972846441947565	0.5124494888560468	0.3146067415730337	0.9185393258426966	0.6446629213483146	0.7818352059925093	4.2972846441947565	0.5124494888560468	3746945868	500	0.3146067415730337	0.9185393258426966	0.6446629213483146	0.7818352059925093	4.2972846441947565	0.5124494888560468	8	COMPLETE
9	0.952247191011236	2020-04-03 17:31:07.173531	2020-04-03 18:06:21.270869	64	0.24263155948975018	250	35	0.002981972917459561	128	0.07478939838295852	0.4143258426966292	0.952247191011236	0.7654494382022472	0.8759363295880149	3.5969101123595504	0.6069720381199749	0.4143258426966292	0.952247191011236	0.7654494382022472	0.8759363295880149	3.5969101123595504	0.6069720381199749	3490345397	350	0.4143258426966292	0.952247191011236	0.7654494382022472	0.8759363295880149	3.5969101123595504	0.6069720381199749	9	COMPLETE
