number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251
0	TrialState.COMPLETE	0.0008852691218130312	2020-01-06 18:52:48.089363	2020-01-06 19:08:24.474548	100.0	1.0	0.0056416131696614856	900.0	0.9688606491545337	0.0	0.0008852691218130312	0.00017705382436260624	0.0003098441926345609	19641.8731851983	0.0004727228296487402	0.0	0.0008852691218130312	0.00017705382436260624	0.0003098441926345609	19641.872654036826	0.0004727228475841277	0.0	0.0008852691218130312	0.00017705382436260624	0.0003098441926345609	19641.873716359773	0.0004727228117213266	0	0.00017705382436260624	0.0006491973559962229			
1	TrialState.COMPLETE	0.0003541076487252125	2020-01-06 19:08:24.475334	2020-01-06 19:20:58.764851	50.0	11.0	0.003378135561167762	1800.0	0.97761635794674	4.426345609065156e-05	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	19819.5715740085	0.00032508364319614613	4.426345609065156e-05	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	19819.56838703966	0.0003250840293439509	4.426345609065156e-05	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	19819.57476097734	0.0003250832584481536	1	0.0003541076487252125	0.0003541076487252125			
2	TrialState.COMPLETE	0.00017705382436260624	2020-01-06 19:20:58.765730	2020-01-06 19:51:25.550870	200.0	61.0	0.0053180922624545025	700.0	0.9865674166206309	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20000.807830205384	0.0002612875009710881	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20000.802186614732	0.0002612877121313117	0.0	0.00017705382436260624	0.0	0.0001327903682719547	20000.813473796035	0.00026128729015117584	2	0.00017705382436260624	0.00017705382436260624			
3	TrialState.COMPLETE	0.00017705382436260624	2020-01-06 19:51:25.551750	2020-01-06 20:08:51.761782	100.0	41.0	0.007803166173217179	1600.0	0.9965218082479623	0.0	0.00017705382436260624	0.0	0.0	20202.70243891643	0.00023357033608085176	0.0	0.00017705382436260624	0.0	0.0	20202.6976805949	0.00023357036053257125	0.0	0.00017705382436260624	0.0	0.0	20202.70719723796	0.00023357031163210378	3	0.0	0.00011803588290840416			
4	TrialState.COMPLETE	0.0004868980169971671	2020-01-06 20:08:51.762588	2020-01-06 20:23:14.714115	50.0	51.0	0.003737528168534516	1600.0	1.0135617319119143	4.426345609065156e-05	0.0004868980169971671	4.426345609065156e-05	8.852691218130312e-05	20548.4128009915	0.0003033089244139073	4.426345609065156e-05	0.0004868980169971671	4.426345609065156e-05	8.852691218130312e-05	20548.408773016996	0.00030330897211305945	4.426345609065156e-05	0.0004868980169971671	4.426345609065156e-05	8.852691218130312e-05	20548.416828966005	0.00030330887673829814	4	0.0004426345609065156	0.00047214353163361664			
5	TrialState.COMPLETE	0.0006639518413597734	2020-01-06 20:23:14.714945	2020-01-06 20:46:50.862586	150.0	61.0	0.023854038008971783	1900.0	0.9741509778712945	0.0	0.0006639518413597734	8.852691218130312e-05	0.00017705382436260624	19749.271666961755	0.00037997792564117486	0.0	0.0006639518413597734	8.852691218130312e-05	0.00017705382436260624	19749.26358888102	0.0003799780011054331	0.0	0.0006639518413597734	8.852691218130312e-05	0.00017705382436260624	19749.27974504249	0.0003799778502026784	5	0.0002655807365439094	0.0005311614730878187			
6	TrialState.COMPLETE	0.0008410056657223796	2020-01-06 20:46:50.863375	2020-01-06 21:16:51.642161	200.0	41.0	0.017963257878342933	1100.0	0.9481005142305375	8.852691218130312e-05	0.0008410056657223796	0.0003098441926345609	0.0003541076487252125	19220.836446529745	0.0005736749741313076	8.852691218130312e-05	0.0008410056657223796	0.0003098441926345609	0.0003541076487252125	19220.831666076487	0.0005736760199939038	8.852691218130312e-05	0.0008410056657223796	0.0003098441926345609	0.0003541076487252125	19220.841226983004	0.000573673932968341	6	0.0004426345609065156	0.000708215297450425			
7	TrialState.COMPLETE	0.0003098441926345609	2020-01-06 21:16:51.642971	2020-01-06 21:31:21.426365	50.0	41.0	0.03183547843097556	2000.0	0.9917001828297667	0.0	0.0003098441926345609	0.0	0.0	20105.071419086402	0.0002766384934869314	0.0	0.0003098441926345609	0.0	0.0	20105.05833923513	0.00027663875336391395	0.0	0.0003098441926345609	0.0	0.0	20105.08449893768	0.0002766382338385197	7	8.852691218130312e-05	0.00023607176581680832			
8	TrialState.COMPLETE	0.0018590651558073655	2020-01-06 21:31:21.427149	2020-01-06 21:52:55.625735	150.0	1.0	0.08634441928733465	1800.0	0.8971872349923379	0.0002655807365439094	0.0018590651558073655	0.000796742209631728	0.0012836402266288953	18187.97997078612	0.0011381690871432636	0.0002655807365439094	0.0018590651558073655	0.000796742209631728	0.0012836402266288953	18187.979550283286	0.001138169093652085	0.0002655807365439094	0.0018590651558073655	0.000796742209631728	0.0012836402266288953	18187.98039128895	0.0011381690806358902	8	0.002301699716713881	0.0020066100094428708			
