number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.004461756373937677	2019-12-31 15:06:20.011543	2019-12-31 15:23:20.954516	50.0	71.0	0.04359063355887427	700.0	0.803461795488482	0.0017705382436260624	0.004461756373937677	0.002478753541076487	0.003434844192634561	16287.856409348442	0.0029001414340817677	0.0017705382436260624	0.004461756373937677	0.002478753541076487	0.003434844192634561	16287.853682719548	0.0029001415172412396	0.0017705382436260624	0.004461756373937677	0.002478753541076487	0.003434844192634561	16287.859135977336	0.0029001413510551695	9		0.003777148253068933	0.004205028328611898					
10	TrialState.COMPLETE	0.01967510623229462	2019-12-31 15:23:20.956596	2019-12-31 16:05:23.379239	450.0	11.0	0.01424140590295022	900.0	0.820948256041074	0.01389872521246459	0.01967510623229462	0.01662092776203966	0.01792669971671388	16642.295945467424	0.01608412565744851	0.01389872521246459	0.01967510623229462	0.01662092776203966	0.01792669971671388	16642.294993803116	0.016084125662248403	0.01389872521246459	0.01967510623229462	0.01662092776203966	0.01792669971671388	16642.296897131728	0.016084125652649297	10					0.019918555240793202	0.019779441521651155		
11	TrialState.COMPLETE	0.37808073654390933	2019-12-31 16:05:23.380367	2019-12-31 17:19:28.080143	50.0	91.0	0.001644029576416626	700.0	0.4227391599606256	0.19110009442870632	0.37808073654390933	0.30252596789423986	0.3373229461756374	8569.765002360718	0.2593145819243405	0.19110009442870632	0.37808073654390933	0.30252596789423986	0.3373229461756374	8569.764046270066	0.2593145821722444	0.19110009442870632	0.37808073654390933	0.30252596789423986	0.3373229461756374	8569.76595845137	0.2593145816779219	11								
12	TrialState.COMPLETE	0.005524079320113315	2019-12-31 17:19:28.082897	2019-12-31 17:38:30.550006	350.0	11.0	0.028118437334596486	1000.0	0.8850571117249502	0.004072237960339943	0.005524079320113315	0.004567988668555241	0.005169971671388102	17942.26866147309	0.004802240334079675	0.004072237960339943	0.005524079320113315	0.004567988668555241	0.005169971671388102	17942.26745750708	0.00480224033779704	0.004072237960339943	0.005524079320113315	0.004567988668555241	0.005169971671388102	17942.269865439095	0.004802240330362571	12		0.005193578847969783	0.00540014164305949					
13	TrialState.COMPLETE	0.02082595609065156	2019-12-31 17:38:30.551395	2019-12-31 18:12:28.335320	150.0	81.0	0.02275621450520422	900.0	0.6926458028360449	0.01095520538243626	0.02082595609065156	0.014606940509915014	0.016709454674220962	14041.504824716714	0.014747509661610307	0.01095520538243626	0.02082595609065156	0.014606940509915014	0.016709454674220962	14041.502080382435	0.014747509901159656	0.01095520538243626	0.02082595609065156	0.014606940509915014	0.016709454674220962	14041.507569050991	0.014747509422988183	13					0.020095609065155808	0.02051295022258195		
14	TrialState.COMPLETE	0.32768236543909346	2019-12-31 18:12:28.336910	2019-12-31 18:25:40.010965	450.0	1.0	0.002857649590637865	900.0	0.3398016024950065	0.23056834277620397	0.32768236543909346	0.2871813031161473	0.3035145184135977	6888.29981851983	0.2668965330215692	0.23056834277620397	0.32768236543909346	0.2871813031161473	0.3035145184135977	6888.299575070821	0.26689653302632116	0.23056834277620397	0.32768236543909346	0.2871813031161473	0.3035145184135977	6888.300061968838	0.2668965330168182	14	0.34339589235127477	0.3329202077431539						
15	TrialState.COMPLETE	0.40742880572536155	2019-12-31 18:25:40.012038	2019-12-31 20:17:46.480443	250.0	91.0	0.0011809231366509403	900.0	0.44042081796236165	0.13818585060384672	0.40742880572536155	0.30467235723870584	0.35614842701654986	8927.795036901745	0.23647666524093747	0.13818585060384672	0.40742880572536155	0.30467235723870584	0.35614842701654986	8927.79349932906	0.2364766655567263	0.13818585060384672	0.40742880572536155	0.30467235723870584	0.35614842701654986	8927.79657447443	0.23647666492691438	15								
16	TrialState.COMPLETE	0.0013721671388101982	2019-12-31 20:17:46.482818	2019-12-31 20:30:27.855033	250.0	81.0	0.08108710138844923	700.0	0.8696445094173397	0.0006196883852691218	0.0013721671388101982	0.0008410056657223796	0.0008410056657223796	17629.095609065156	0.001090893587394865	0.0006196883852691218	0.0013721671388101982	0.0008410056657223796	0.0008410056657223796	17629.092908994335	0.0010908936024258548	0.0006196883852691218	0.0013721671388101982	0.0008410056657223796	0.0008410056657223796	17629.098309135978	0.0010908935723667956	16	0.0018590651558073655	0.001534466477809254						
17	TrialState.COMPLETE	0.3712954892133362	2019-12-31 20:30:27.856179	2019-12-31 21:52:44.865032	350.0	71.0	0.002315064755615556	600.0	0.4762323477988502	0.11997439529309217	0.3712954892133362	0.2572864458487688	0.3124046633253432	9654.037807801264	0.2065207256821242	0.11997439529309217	0.3712954892133362	0.2572864458487688	0.3124046633253432	9654.035151993898	0.20652072579123484	0.11997439529309217	0.3712954892133362	0.2572864458487688	0.3124046633253432	9654.04046360863	0.20652072557325266	17								
18	TrialState.COMPLETE	0.2851864966949953	2019-12-31 21:52:44.866084	2019-12-31 23:38:49.052002	450.0	61.0	0.004029076494920509	700.0	0.48054020965734634	0.09254013220018886	0.2851864966949953	0.17954438149197355	0.22509442870632673	9741.248524551464	0.15544127574046365	0.09254013220018886	0.2851864966949953	0.17954438149197355	0.22509442870632673	9741.246317280453	0.155441275782726	0.09254013220018886	0.2851864966949953	0.17954438149197355	0.22509442870632673	9741.250731822474	0.15544127569823546	18								
19	TrialState.COMPLETE	0.14660056657223797	2019-12-31 23:38:49.053872	2019-12-31 23:49:11.830505	250.0	1.0	0.007843698135742483	700.0	0.5760422738484616	0.10025672804532577	0.14660056657223797	0.12663774787535412	0.13509206798866855	11678.111698831444	0.11810584321971078	0.10025672804532577	0.14660056657223797	0.12663774787535412	0.13509206798866855	11678.111499645893	0.11810584322070371	0.10025672804532577	0.14660056657223797	0.12663774787535412	0.13509206798866855	11678.111898016998	0.11810584321871798	19	0.15138101983002833	0.1481940509915014						
20	TrialState.COMPLETE	0.005518177525967894	2019-12-31 23:49:11.832149	2020-01-01 00:19:51.613218	450.0	61.0	0.028598549949125675	500.0	0.8140057437242731	0.002891879131255902	0.005518177525967894	0.0040132200188857416	0.004809962228517469	16501.58541371577	0.00411189638496466	0.002891879131255902	0.005518177525967894	0.0040132200188857416	0.004809962228517469	16501.583008734655	0.00411189639858454	0.002891879131255902	0.005518177525967894	0.0040132200188857416	0.004809962228517469	16501.587818696884	0.004111896371347624	20			0.005178824362606233	0.00538243626062323				
21	TrialState.COMPLETE	0.39890226628895187	2020-01-01 00:19:51.615153	2020-01-01 01:26:44.473126	350.0	61.0	0.0010088031788861738	500.0	0.46903851344374276	0.13108421323718775	0.39890226628895187	0.29643638938964717	0.34708987895956733	9508.121676216842	0.22883462564797435	0.13108421323718775	0.39890226628895187	0.29643638938964717	0.34708987895956733	9508.12057365439	0.22883462566224172	0.13108421323718775	0.39890226628895187	0.29643638938964717	0.34708987895956733	9508.122778779294	0.2288346256337127	21								
22	TrialState.COMPLETE	0.0028771246458923513	2020-01-01 01:26:44.474612	2020-01-01 01:38:10.889057	150.0	81.0	0.06290451085499078	800.0	0.844822439305053	0.0010623229461756375	0.0028771246458923513	0.001903328611898017	0.002213172804532578	17126.036539483004	0.0018967292427752138	0.0010623229461756375	0.0028771246458923513	0.001903328611898017	0.002213172804532578	17126.033684490085	0.0018967292580142616	0.0010623229461756375	0.0028771246458923513	0.001903328611898017	0.002213172804532578	17126.03939447592	0.0018967292275385676	22	0.0025672804532577906	0.0027738432483474977						
23	TrialState.COMPLETE	0.3910653049053228	2020-01-01 01:38:10.890377	2020-01-01 03:17:50.165365	150.0	71.0	0.0016989507964007345	900.0	0.45155944521358293	0.13118756523035635	0.3910653049053228	0.28881206202475024	0.3397103772178321	9153.696105747726	0.22536683624933446	0.13118756523035635	0.3910653049053228	0.28881206202475024	0.3397103772178321	9153.693920530788	0.22536683630270646	0.13118756523035635	0.3910653049053228	0.28881206202475024	0.3397103772178321	9153.698290964663	0.22536683619602113	23								
24	TrialState.COMPLETE	0.006586402266288952	2020-01-01 03:17:50.166985	2020-01-01 03:35:02.492366	250.0	11.0	0.037093117630195155	1000.0	0.8880331656662239	0.004709631728045326	0.006586402266288952	0.005347025495750708	0.005913597733711048	18002.707082152974	0.005534239247643813	0.004709631728045326	0.006586402266288952	0.005347025495750708	0.005913597733711048	18002.705913597732	0.005534239251213983	0.004709631728045326	0.006586402266288952	0.005347025495750708	0.005913597733711048	18002.708250708216	0.005534239244073897	24		0.005783758262511804	0.006285410764872521					
25	TrialState.COMPLETE	0.39379989698686585	2020-01-01 03:35:02.493618	2020-01-01 04:56:42.079144	450.0	91.0	0.0010780361388952335	500.0	0.4588627236152754	0.13325714653618337	0.39379989698686585	0.2910121040432655	0.3430015451970126	9301.72404551893	0.22754892785536807	0.13325714653618337	0.39379989698686585	0.2910121040432655	0.3430015451970126	9301.721108035024	0.2275489280722758	0.13325714653618337	0.39379989698686585	0.2910121040432655	0.3430015451970126	9301.726983002833	0.2275489276389615	25								
26	TrialState.COMPLETE	0.42326824497504384	2020-01-01 04:56:42.079909	2020-01-01 06:42:03.419567	50.0	71.0	0.001289701955786879	1000.0	0.3898441599112598	0.2387865911237016	0.42326824497504384	0.3513085120733846	0.3852269661405639	7902.838935822204	0.306739606386852	0.2387865911237016	0.42326824497504384	0.3513085120733846	0.3852269661405639	7902.838273978146	0.3067396073725698	0.2387865911237016	0.42326824497504384	0.3513085120733846	0.3852269661405639	7902.839597666262	0.30673960541548884	26								
27	TrialState.COMPLETE	0.005134560906515581	2020-01-01 06:42:03.420670	2020-01-01 07:00:58.911384	350.0	11.0	0.040516063244201504	900.0	0.8987705023694637	0.0035056657223796034	0.005134560906515581	0.004072237960339943	0.004567988668555241	18220.123796033993	0.004296616766992402	0.0035056657223796034	0.005134560906515581	0.004072237960339943	0.004567988668555241	18220.122627478755	0.004296616769971731	0.0035056657223796034	0.005134560906515581	0.004072237960339943	0.004567988668555241	18220.124964589235	0.004296616764013325	27		0.00454438149197356	0.004913243626062323					
28	TrialState.COMPLETE	0.36734941106306845	2020-01-01 07:00:58.912123	2020-01-01 08:41:16.055537	150.0	71.0	0.0032411787220439545	900.0	0.447236950527778	0.12206463396451468	0.36734941106306845	0.256802594304458	0.309983971969584	9066.232709296257	0.2068888470907467	0.12206463396451468	0.36734941106306845	0.256802594304458	0.309983971969584	9066.230514760698	0.20688884719500827	0.12206463396451468	0.36734941106306845	0.256802594304458	0.309983971969584	9066.234903831817	0.20688884698677076	28								
