number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	701	751
0	TrialState.COMPLETE	0.005984419263456091	2019-12-31 08:10:30.919774	2019-12-31 08:31:58.844388	350.0	21.0	0.0404457544609262	900.0	0.8643493077395098	0.004072237960339943	0.005984419263456091	0.0050991501416430595	0.005488668555240793	17522.205559490085	0.0049430602749694925	0.004072237960339943	0.005984419263456091	0.0050991501416430595	0.005488668555240793	17522.203647308783	0.004943060281946579	0.004072237960339943	0.005984419263456091	0.0050991501416430595	0.005488668555240793	17522.207471671387	0.004943060267993261	0		0.00454438149197356	0.0054444050991501415					
1	TrialState.COMPLETE	0.3918853436707917	2019-12-31 08:31:58.845577	2019-12-31 10:21:37.963009	250.0	61.0	0.002036440898559716	900.0	0.457113494842521	0.13276241240495004	0.3918853436707917	0.28427389294766664	0.3375577754584762	9266.34714197853	0.22457594579968307	0.13276241240495004	0.3918853436707917	0.28427389294766664	0.3375577754584762	9266.344425600118	0.22457594682566887	0.13276241240495004	0.3918853436707917	0.28427389294766664	0.3375577754584762	9266.34985835694	0.22457594478820772	1								
2	TrialState.COMPLETE	0.014695467422096316	2019-12-31 10:21:37.964972	2019-12-31 10:43:10.614747	50.0	51.0	0.027495650162552957	500.0	0.7022941771290253	0.005990321057601511	0.014695467422096316	0.009354343720491029	0.011478989612842305	14237.226053470255	0.009310432725822377	0.005990321057601511	0.014695467422096316	0.009354343720491029	0.011478989612842305	14237.223825542966	0.009310432746009034	0.005990321057601511	0.014695467422096316	0.009354343720491029	0.011478989612842305	14237.228281397545	0.00931043270564187	2			0.01389872521246459	0.014376770538243626				
3	TrialState.COMPLETE	0.013485599622285174	2019-12-31 10:43:10.615544	2019-12-31 11:11:06.283789	450.0	11.0	0.018564460285379957	800.0	0.8499315565763006	0.009826487252124646	0.013485599622285174	0.011715061378659112	0.012039660056657223	17229.904700779036	0.01132311680430943	0.009826487252124646	0.013485599622285174	0.011715061378659112	0.012039660056657223	17229.903299102927	0.011323116815789694	0.009826487252124646	0.013485599622285174	0.011715061378659112	0.012039660056657223	17229.906102455145	0.01132311679283182	3			0.012615084985835695	0.013137393767705383				
4	TrialState.COMPLETE	0.009065155807365438	2019-12-31 11:11:06.285468	2019-12-31 11:28:10.423232	150.0	61.0	0.03285786964572916	700.0	0.810243029543046	0.004426345609065156	0.009065155807365438	0.006444759206798867	0.007507082152974505	16425.593325070822	0.006202466798673185	0.004426345609065156	0.009065155807365438	0.006444759206798867	0.007507082152974505	16425.59128895184	0.006202466840371911	0.004426345609065156	0.009065155807365438	0.006444759206798867	0.007507082152974505	16425.5953611898	0.006202466756990651	4		0.008262511803588292	0.008764164305949009					
5	TrialState.COMPLETE	0.006373937677053824	2019-12-31 11:28:10.424379	2019-12-31 11:49:31.063312	350.0	71.0	0.03090218751250595	800.0	0.8182728612909305	0.0030807365439093483	0.006373937677053824	0.004036827195467422	0.004886685552407932	16588.196529745044	0.0042478165604759146	0.0030807365439093483	0.006373937677053824	0.004036827195467422	0.004886685552407932	16588.193803116148	0.004247816576982308	0.0030807365439093483	0.006373937677053824	0.004036827195467422	0.004886685552407932	16588.199256373937	0.004247816543972923	5		0.00483947119924457	0.005798512747875354					
6	TrialState.COMPLETE	0.18610439926678887	2019-12-31 11:49:31.064343	2019-12-31 13:38:48.477390	450.0	31.0	0.00648958302441251	1000.0	0.42525591774196786	0.08144475920679886	0.18610439926678887	0.12983252791201466	0.15349525079153475	8620.27212652058	0.1177137600657976	0.08144475920679886	0.18610439926678887	0.12983252791201466	0.15349525079153475	8620.27071529745	0.11771376008911573	0.08144475920679886	0.18610439926678887	0.12983252791201466	0.15349525079153475	8620.27353774371	0.11771376004249184	6							0.18509206798866856	0.18562986898016998
7	TrialState.COMPLETE	0.3732975593811288	2019-12-31 13:38:48.478445	2019-12-31 14:56:03.172601	250.0	91.0	0.0022931260745520207	600.0	0.46721602468272866	0.12336565700588363	0.3732975593811288	0.26485890172150794	0.3180840052298976	9471.2080246241	0.21063846323032553	0.12336565700588363	0.3732975593811288	0.26485890172150794	0.3180840052298976	9471.205722924384	0.2106384633030836	0.12336565700588363	0.3732975593811288	0.26485890172150794	0.3180840052298976	9471.210326323819	0.21063846315766302	7								
8	TrialState.COMPLETE	0.1559844192634561	2019-12-31 14:56:03.175271	2019-12-31 15:06:20.009963	50.0	1.0	0.006490501361606601	700.0	0.3760713170301477	0.08224150141643059	0.1559844192634561	0.11238491501416431	0.12907223796033995	7623.617010446175	0.10788252915712845	0.08224150141643059	0.1559844192634561	0.11238491501416431	0.12907223796033995	7623.616678470255	0.10788252917403376	0.08224150141643059	0.1559844192634561	0.11238491501416431	0.12907223796033995	7623.617342422096	0.1078825291402341	8	0.16377478753541078	0.158581208687441						
