number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	351	401	451	501	551	601
0	TrialState.COMPLETE	0.009454674220963173	2020-01-02 03:19:02.548513	2020-01-02 03:29:38.315428	350.0	1.0	0.08467240566034225	900.0	0.941538224567138	0.004957507082152974	0.009454674220963173	0.006692634560906516	0.007577903682719547	19088.140315155808	0.0067488141244557275	0.004957507082152974	0.009454674220963173	0.006692634560906516	0.007577903682719547	19088.140084985836	0.006748814130184975	0.004957507082152974	0.009454674220963173	0.006692634560906516	0.007577903682719547	19088.14054532578	0.006748814118728407	0		0.01021010387157696	0.009737960339943343								
1	TrialState.COMPLETE	0.37047707957764614	2020-01-02 03:29:38.316399	2020-01-02 04:02:12.613476	150.0	71.0	0.0026610439590176197	500.0	0.29715941801876705	0.2634399948493433	0.37047707957764614	0.32944887973216586	0.3478624774658769	6022.913758691733	0.3039735785259321	0.2634399948493433	0.37047707957764614	0.32944887973216586	0.3478624774658769	6022.912986093227	0.3039735785778144	0.2634399948493433	0.37047707957764614	0.32944887973216586	0.3478624774658769	6022.914531290239	0.30397357847409967	1											
2	TrialState.COMPLETE	0.26248695392873117	2020-01-02 04:02:12.614460	2020-01-02 05:36:16.364296	450.0	61.0	0.004051983855791857	900.0	0.34482652034791805	0.1598516475324288	0.26248695392873117	0.21193342776203966	0.23412106754137468	6989.393208588042	0.19632778471481632	0.1598516475324288	0.26248695392873117	0.21193342776203966	0.23412106754137468	6989.392509691367	0.19632778473143986	0.1598516475324288	0.26248695392873117	0.21193342776203966	0.23412106754137468	6989.393907484718	0.1963277846982009	2											
3	TrialState.COMPLETE	0.21201605288007555	2020-01-02 05:36:16.365162	2020-01-02 06:40:34.556502	450.0	41.0	0.004688500577296082	700.0	0.36570595886682955	0.12700661000944288	0.21201605288007555	0.16770538243626062	0.18559962228517468	7412.819381491973	0.1569197132194294	0.12700661000944288	0.21201605288007555	0.16770538243626062	0.18559962228517468	7412.818460812087	0.1569197133420238	0.12700661000944288	0.21201605288007555	0.16770538243626062	0.18559962228517468	7412.82030217186	0.15691971309725247	3											
4	TrialState.COMPLETE	0.32247939737316506	2020-01-02 06:40:34.557436	2020-01-02 07:16:30.172160	350.0	21.0	0.002580817154084051	500.0	0.32711096338131423	0.20528586144733454	0.32247939737316506	0.2696368787020345	0.2933138037599794	6630.16649497811	0.24745029452952064	0.20528586144733454	0.32247939737316506	0.2696368787020345	0.2933138037599794	6630.165835050219	0.24745029458574222	0.20528586144733454	0.32247939737316506	0.2696368787020345	0.2933138037599794	6630.167154906	0.24745029447339564	4											
5	TrialState.COMPLETE	0.24499420551120268	2020-01-02 07:16:30.173090	2020-01-02 08:04:54.656367	350.0	81.0	0.004602263925910297	500.0	0.3578572792731255	0.14577968065928407	0.24499420551120268	0.19475920679886685	0.21611833633788308	7253.680353463817	0.18053739401320806	0.14577968065928407	0.24499420551120268	0.19475920679886685	0.21611833633788308	7253.6795164821015	0.18053739402645874	0.14577968065928407	0.24499420551120268	0.19475920679886685	0.21611833633788308	7253.681190445532	0.1805373939999616	5											
6	TrialState.COMPLETE	0.010016187778227438	2020-01-02 08:04:54.657306	2020-01-02 08:33:05.769772	450.0	71.0	0.020397283482658932	1000.0	0.8539394321088657	0.007360380412788345	0.010016187778227438	0.008928571428571428	0.009409146094698503	17310.81998684743	0.008614543702941409	0.007360380412788345	0.010016187778227438	0.008928571428571428	0.009409146094698503	17310.81811513557	0.008614543711729438	0.007360380412788345	0.010016187778227438	0.008928571428571428	0.009409146094698503	17310.821858559288	0.008614543694154573	6				0.009702549575070822	0.009885505193578848						
7	TrialState.COMPLETE	0.283721943778601	2020-01-02 08:33:05.770745	2020-01-02 09:06:49.678224	50.0	21.0	0.004577979729431828	600.0	0.27751270105748743	0.12182665068642405	0.283721943778601	0.19643440836783613	0.23249891043800391	5625.497997929832	0.17623799303277454	0.12182665068642405	0.283721943778601	0.19643440836783613	0.23249891043800391	5625.497548485509	0.17623799304317342	0.12182665068642405	0.283721943778601	0.19643440836783613	0.23249891043800391	5625.498447374155	0.17623799302238066	7											
8	TrialState.COMPLETE	0.22039035160806533	2020-01-02 09:06:49.679237	2020-01-02 09:53:53.167513	150.0	11.0	0.0053011437547426125	800.0	0.3062077985953556	0.11795950674887519	0.22039035160806533	0.1639935010831528	0.18655224129311782	6206.958309031828	0.15364407135929176	0.11795950674887519	0.22039035160806533	0.1639935010831528	0.18655224129311782	6206.957777870355	0.15364407136585836	0.11795950674887519	0.22039035160806533	0.1639935010831528	0.18655224129311782	6206.9588401933015	0.1536440713527268	8											
