number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	351	401	501	551	751	801	851	1051	1101
0	TrialState.COMPLETE	0.14976029636086294	2020-01-05 23:59:48.198534	2020-01-06 02:54:22.211039	450.0	21.0	0.01398950256474506	800.0	0.13444854355193597	0.050405861843538895	0.14976029636086294	0.08878568315537154	0.11199335367182393	2724.9629140335587	0.08510882837372148	0.050405861843538895	0.14976029636086294	0.08879930268032252	0.11199335367182393	2724.962151340161	0.08510947761028596	0.050405861843538895	0.14976029636086294	0.08878568315537154	0.11199335367182393	2724.963676726956	0.08510834127720582	0							0.14914370332217358	0.14947769121813032					
1	TrialState.COMPLETE	0.007214943342776204	2020-01-06 02:54:22.211742	2020-01-06 03:14:28.432903	150.0	21.0	0.0844134833198993	1700.0	0.7853387965667666	0.003098441926345609	0.007214943342776204	0.004470609065155807	0.005267351274787536	15918.287402620397	0.005043132516614793	0.003098441926345609	0.007214943342776204	0.004470609065155807	0.005267351274787536	15918.28443696884	0.005043133117845907	0.003098441926345609	0.007214943342776204	0.004470609065155807	0.005267351274787536	15918.290368271955	0.005043131916690435	1	0.007701841359773371	0.0073772426817752595											
2	TrialState.COMPLETE	0.010410764872521246	2020-01-06 03:14:28.433839	2020-01-06 03:44:39.975774	150.0	51.0	0.0745406007009355	1900.0	0.7630439472762703	0.0036827195467422098	0.010410764872521246	0.006090651558073654	0.0072237960339943345	15466.441660764873	0.006552256589904658	0.0036827195467422098	0.010410764872521246	0.006090651558073654	0.0072237960339943345	15466.438597733712	0.0065522576159805865	0.0036827195467422098	0.010410764872521246	0.006090651558073654	0.0072237960339943345	15466.444723796034	0.006552255569613211	2		0.00908876298394712	0.009915014164305949										
3	TrialState.COMPLETE	0.44931834277620397	2020-01-06 03:44:39.976470	2020-01-06 06:48:40.019837	50.0	91.0	0.01003542669036381	1500.0	0.07737409728826009	0.20678411237016053	0.44931834277620397	0.3278815509915014	0.3795665132200189	1568.262832713645	0.2898008176807464	0.20678411237016053	0.44931834277620397	0.3278815509915014	0.3795665132200189	1568.262452785647	0.2898008178936322	0.20678411237016053	0.44931834277620397	0.3278815509915014	0.3795665132200189	1568.2632126416431	0.28980081746898534	3												0.4478335050218903	0.4486082029806626
4	TrialState.COMPLETE	0.45323055131837003	2020-01-06 06:48:40.020746	2020-01-06 10:48:02.490866	450.0	81.0	0.0011958400969839607	600.0	0.10101474254243697	0.23274406188712138	0.45323055131837003	0.342626389191545	0.3885241882763129	2047.427877805622	0.30886825399384005	0.23274406188712138	0.45323055131837003	0.342626389191545	0.3885241882763129	2047.4270810634125	0.308868255304285	0.23274406188712138	0.45323055131837003	0.342626389191545	0.3885241882763129	2047.4286745478319	0.30886825269994983	4													
5	TrialState.COMPLETE	0.010711756373937677	2020-01-06 10:48:02.491546	2020-01-06 11:36:35.795870	250.0	51.0	0.06433841460866972	1400.0	0.771737726004428	0.004396836638338055	0.010711756373937677	0.006108356940509915	0.007613314447592068	15642.584115321057	0.006960045140955365	0.004396836638338055	0.010711756373937677	0.006108356940509915	0.007613314447592068	15642.581090651558	0.006960046041706016	0.004396836638338055	0.010711756373937677	0.006108356940509915	0.007613314447592068	15642.587139990557	0.006960044243673626	5			0.011021600566572238	0.0108356940509915									
6	TrialState.COMPLETE	0.3617504721435316	2020-01-06 11:36:35.796742	2020-01-06 14:10:50.202384	150.0	31.0	0.011575049337588818	1200.0	0.08598521625306887	0.1394298866855524	0.3617504721435316	0.23910135347812403	0.2908109065155807	1742.7751121340887	0.2138929606068254	0.1394298866855524	0.3617504721435316	0.2391111898016997	0.2908109065155807	1742.77475802644	0.21389343100299185	0.1394298866855524	0.3617504721435316	0.23910135347812403	0.2908109065155807	1742.7754662417374	0.21389260734601434	6									0.3593196706798867	0.3606065655724046			
7	TrialState.COMPLETE	0.012334749763928234	2020-01-06 14:10:50.203145	2020-01-06 14:46:00.809889	150.0	11.0	0.05150384903443328	500.0	0.7149364012600098	0.004131255901794146	0.012334749763928234	0.0063149197355996224	0.008380547686496695	14491.31255901794	0.007406714042668043	0.004131255901794146	0.012334749763928234	0.0063149197355996224	0.008380547686496695	14491.309578611897	0.007406714983484065	0.004131255901794146	0.012334749763928234	0.0063149197355996224	0.008380547686496695	14491.315539423986	0.007406713104925714	7			0.012305240793201134	0.012322946175637393									
8	TrialState.COMPLETE	0.11643059490084987	2020-01-06 14:46:00.810809	2020-01-06 17:03:24.295333	350.0	91.0	0.025308272137161764	1600.0	0.18614253186206492	0.04017351274787535	0.11643059490084987	0.06738668555240793	0.08670325779036828	3772.823441926346	0.0667544673695036	0.04017351274787535	0.11643059490084987	0.06738668555240793	0.08670325779036828	3772.8223796033994	0.06675446826893848	0.04017351274787535	0.11643059490084987	0.06738668555240793	0.08670325779036828	3772.8245042492917	0.06675446647300479	8					0.11557188385269122	0.11604894554611268							
